"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","68.22","66.02","69.44","65.99","7.37M","-3.45%"
"02/02/2023","70.66","69.48","70.86","69.25","5.87M","2.64%"
"02/01/2023","68.84","66.37","69.29","66.17","5.73M","3.13%"
"01/31/2023","66.75","65.20","66.78","65.07","4.20M","2.27%"
"01/30/2023","65.27","65.04","65.90","64.95","7.44M","-0.67%"
"01/27/2023","65.71","64.66","65.84","64.27","3.85M","1.62%"
"01/26/2023","64.66","64.66","64.72","63.69","3.23M","0.81%"
"01/25/2023","64.14","63.17","64.24","62.86","3.93M","0.34%"
"01/24/2023","63.92","63.97","64.52","63.66","3.22M","-0.50%"
"01/23/2023","64.24","62.63","64.49","62.51","4.10M","2.39%"
"01/20/2023","62.74","61.77","63.08","61.39","10.65M","2.23%"
"01/19/2023","61.37","60.52","61.71","60.29","4.86M","0.62%"
"01/18/2023","60.99","63.00","63.28","60.84","5.99M","-3.13%"
"01/17/2023","62.96","63.99","64.06","62.88","5.49M","-1.72%"
"01/13/2023","64.06","64.39","65.10","63.71","5.25M","-1.60%"
"01/12/2023","65.10","62.20","67.41","62.12","11.73M","5.85%"
"01/11/2023","61.50","61.69","62.21","61.03","4.87M","0.47%"
"01/10/2023","61.21","60.55","61.25","59.78","6.99M","0.58%"
"01/09/2023","60.86","58.57","61.15","58.56","6.71M","1.86%"
"01/06/2023","59.75","57.94","59.92","57.83","4.41M","3.79%"
"01/05/2023","57.57","57.00","57.63","56.78","2.68M","-0.84%"
"01/04/2023","58.06","58.24","58.63","57.62","3.06M","0.82%"
"01/03/2023","57.59","57.64","58.10","57.06","2.58M","0.70%"
"12/30/2022","57.19","56.63","57.22","56.32","5.54M","0.11%"
"12/29/2022","57.13","56.21","57.36","56.06","7.79M","2.79%"
"12/28/2022","55.58","56.63","56.91","55.48","4.94M","-1.59%"
"12/27/2022","56.48","55.97","56.58","55.58","3.41M","0.82%"
"12/23/2022","56.02","54.99","56.06","54.99","2.16M","1.01%"
"12/22/2022","55.46","55.07","55.48","54.25","3.65M","-0.31%"
"12/21/2022","55.63","55.43","56.13","55.39","3.87M","1.07%"
"12/20/2022","55.04","54.88","55.60","54.59","4.42M","0.11%"
"12/19/2022","54.98","55.64","55.99","54.81","3.32M","-1.04%"
"12/16/2022","55.56","55.81","55.97","54.95","8.72M","-1.40%"
"12/15/2022","56.35","56.79","57.28","55.61","4.90M","-3.23%"
"12/14/2022","58.23","59.21","59.75","57.70","4.46M","-1.61%"
"12/13/2022","59.18","61.48","61.63","58.85","5.19M","0.24%"
"12/12/2022","59.04","58.18","59.36","57.78","7.70M","1.20%"
"12/09/2022","58.34","59.10","59.19","57.56","6.28M","-1.62%"
"12/08/2022","59.30","59.39","59.81","58.95","4.57M","-0.17%"
"12/07/2022","59.40","59.94","60.11","59.21","2.58M","-0.40%"
"12/06/2022","59.64","60.31","60.66","59.05","2.45M","-1.34%"
"12/05/2022","60.45","61.76","62.05","60.32","3.44M","-3.11%"
"12/02/2022","62.39","61.62","62.88","61.54","3.13M","-0.37%"
"12/01/2022","62.62","62.59","63.58","62.29","2.68M","0.66%"
"11/30/2022","62.21","59.57","62.34","59.38","4.58M","4.34%"
"11/29/2022","59.62","59.92","60.52","59.38","2.18M","-0.80%"
"11/28/2022","60.10","60.52","61.18","60.00","3.79M","-1.35%"
"11/25/2022","60.92","60.18","61.28","60.13","1.61M","1.48%"
"11/23/2022","60.03","59.06","60.31","59.02","3.62M","1.35%"
"11/22/2022","59.23","58.57","59.37","58.34","2.76M","1.77%"
"11/21/2022","58.20","59.66","59.76","57.96","2.69M","-2.95%"
"11/18/2022","59.97","60.23","60.53","59.28","4.81M","0.84%"
"11/17/2022","59.47","58.04","60.01","58.00","4.76M","0.10%"
"11/16/2022","59.41","59.85","59.94","59.20","6.23M","-0.92%"
"11/15/2022","59.96","59.15","60.02","58.60","5.67M","3.24%"
"11/14/2022","58.08","58.12","58.86","58.02","5.03M","-0.58%"
"11/11/2022","58.42","57.59","58.77","57.38","3.61M","1.97%"
"11/10/2022","57.29","56.12","57.41","55.20","5.48M","6.05%"
"11/09/2022","54.02","52.91","54.45","52.74","5.20M","1.50%"
"11/08/2022","53.22","54.08","54.58","52.73","4.41M","-0.99%"
"11/07/2022","53.75","52.92","53.85","52.48","5.01M","2.13%"
"11/04/2022","52.63","52.61","53.51","51.44","5.17M","1.29%"
"11/03/2022","51.96","52.11","53.74","51.33","8.20M","-13.77%"
"11/02/2022","60.26","62.37","62.84","60.21","3.99M","-3.63%"
"11/01/2022","62.53","62.71","63.01","62.05","2.43M","0.45%"
"10/31/2022","62.25","62.43","62.64","61.85","3.76M","-1.22%"
"10/28/2022","63.02","61.87","63.09","61.83","2.87M","1.94%"
"10/27/2022","61.82","61.86","62.22","61.45","2.54M","0.28%"
"10/26/2022","61.65","61.34","62.83","61.31","2.25M","0.28%"
"10/25/2022","61.48","60.62","61.52","60.56","3.21M","1.18%"
"10/24/2022","60.76","60.75","61.26","60.24","4.29M","0.80%"
"10/21/2022","60.28","59.11","60.48","58.83","7.85M","0.84%"
"10/20/2022","59.78","60.03","61.15","59.63","3.12M","-0.05%"
"10/19/2022","59.81","60.20","60.68","59.22","2.36M","-1.50%"
"10/18/2022","60.72","61.06","61.82","60.26","4.46M","1.40%"
"10/17/2022","59.88","59.79","60.32","59.44","3.55M","2.18%"
"10/14/2022","58.60","59.18","59.61","58.31","3.28M","-0.59%"
"10/13/2022","58.95","55.61","59.29","55.40","5.21M","3.88%"
"10/12/2022","56.75","57.28","57.39","56.73","2.58M","-0.82%"
"10/11/2022","57.22","57.86","58.03","56.94","3.22M","-1.60%"
"10/10/2022","58.15","59.05","59.12","57.82","2.92M","-0.58%"
"10/07/2022","58.49","59.15","59.15","58.05","3.68M","-2.04%"
"10/06/2022","59.71","60.36","60.44","59.46","2.82M","-1.52%"
"10/05/2022","60.63","60.06","61.15","59.72","4.69M","-0.05%"
"10/04/2022","60.66","59.70","61.01","59.66","5.07M","2.76%"
"10/03/2022","59.03","58.24","59.60","57.63","4.77M","2.77%"
"09/30/2022","57.44","58.56","58.92","57.42","3.85M","-1.73%"
