"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","61.50","61.10","61.82","61.10","4.69M","-0.81%"
"02/02/2023","62.00","62.34","62.98","61.06","9.10M","-3.85%"
"02/01/2023","64.48","64.01","65.21","63.90","4.09M","0.05%"
"01/31/2023","64.45","62.61","64.47","62.48","3.80M","3.07%"
"01/30/2023","62.53","63.28","63.96","62.19","2.83M","-2.04%"
"01/27/2023","63.83","62.80","64.08","62.68","3.74M","1.11%"
"01/26/2023","63.13","63.50","63.65","62.57","3.66M","0.00%"
"01/25/2023","63.13","61.89","63.15","61.42","2.15M","0.99%"
"01/24/2023","62.51","62.08","62.55","61.20","2.17M","0.99%"
"01/23/2023","61.90","62.32","62.47","61.56","2.75M","-0.74%"
"01/20/2023","62.36","62.40","62.99","61.65","2.57M","0.23%"
"01/19/2023","62.22","61.62","62.36","61.15","3.09M","1.15%"
"01/18/2023","61.51","62.94","63.06","61.41","2.62M","-1.90%"
"01/17/2023","62.70","62.78","63.54","62.65","3.16M","-0.03%"
"01/13/2023","62.72","62.57","63.01","61.88","2.07M","0.22%"
"01/12/2023","62.58","62.10","62.85","61.71","2.89M","0.81%"
"01/11/2023","62.08","62.82","62.95","61.65","2.81M","0.53%"
"01/10/2023","61.75","61.42","61.79","60.49","1.73M","1.05%"
"01/09/2023","61.11","61.20","61.96","60.75","2.24M","0.16%"
"01/06/2023","61.01","59.77","61.14","59.59","2.87M","3.34%"
"01/05/2023","59.04","59.23","59.69","58.90","3.31M","-1.09%"
"01/04/2023","59.69","59.25","59.80","58.72","3.43M","1.29%"
"01/03/2023","58.93","58.73","59.12","58.30","2.35M","0.26%"
"12/30/2022","58.78","58.76","59.17","58.33","1.86M","-0.34%"
"12/29/2022","58.98","58.74","59.63","58.74","1.55M","0.60%"
"12/28/2022","58.63","59.76","59.93","58.48","1.65M","-1.89%"
"12/27/2022","59.76","59.63","60.03","59.26","1.68M","0.64%"
"12/23/2022","59.38","58.91","59.63","58.82","1.14M","0.81%"
"12/22/2022","58.90","59.23","59.24","57.96","2.31M","-0.83%"
"12/21/2022","59.39","59.09","59.90","58.42","2.43M","0.85%"
"12/20/2022","58.89","58.55","59.41","58.31","2.57M","1.01%"
"12/19/2022","58.30","60.03","60.29","58.01","3.34M","-2.48%"
"12/16/2022","59.78","59.74","60.08","59.00","9.74M","-0.75%"
"12/15/2022","60.23","60.99","61.36","59.92","3.92M","-2.38%"
"12/14/2022","61.70","62.73","63.03","61.40","2.96M","-1.50%"
"12/13/2022","62.64","63.22","63.63","62.37","2.38M","0.56%"
"12/12/2022","62.29","63.00","63.28","61.62","3.61M","-1.11%"
"12/09/2022","62.99","63.53","64.00","62.63","2.08M","-1.18%"
"12/08/2022","63.74","64.30","64.62","63.49","1.89M","-0.03%"
"12/07/2022","63.76","63.67","64.33","63.20","2.75M","0.16%"
"12/06/2022","63.66","64.50","65.40","63.17","2.67M","-1.09%"
"12/05/2022","64.36","66.96","67.11","64.03","2.57M","-4.38%"
"12/02/2022","67.31","65.97","67.55","65.83","1.87M","1.60%"
"12/01/2022","66.25","67.35","67.42","65.84","1.71M","-1.35%"
"11/30/2022","67.16","65.74","67.19","64.80","5.06M","2.42%"
"11/29/2022","65.57","65.01","65.88","64.97","1.74M","0.99%"
"11/28/2022","64.93","65.71","65.74","64.65","2.57M","-2.11%"
"11/25/2022","66.33","66.00","66.33","65.61","704.29K","0.81%"
"11/23/2022","65.80","65.99","66.31","65.32","1.65M","-0.44%"
"11/22/2022","66.09","65.93","66.33","65.38","1.90M","1.44%"
"11/21/2022","65.15","65.00","65.72","64.05","3.29M","-0.08%"
"11/18/2022","65.20","65.64","65.94","64.78","3.00M","-0.35%"
"11/17/2022","65.43","64.55","65.64","63.76","3.64M","0.12%"
"11/16/2022","65.35","66.30","66.59","65.06","3.06M","-2.05%"
"11/15/2022","66.72","66.72","67.05","64.82","3.42M","-0.01%"
"11/14/2022","66.73","64.93","67.67","64.83","3.24M","3.03%"
"11/11/2022","64.77","67.86","68.10","64.30","5.14M","-3.63%"
"11/10/2022","67.21","68.03","68.03","66.53","4.52M","0.24%"
"11/09/2022","67.05","67.07","67.87","66.74","3.60M","-0.21%"
"11/08/2022","67.19","66.09","67.52","65.88","2.90M","1.74%"
"11/07/2022","66.04","65.33","67.02","65.26","3.42M","1.02%"
"11/04/2022","65.37","66.98","67.27","63.95","5.37M","-2.40%"
"11/03/2022","66.98","65.76","67.64","65.73","5.41M","0.10%"
"11/02/2022","66.91","67.06","68.43","66.84","4.39M","-0.30%"
"11/01/2022","67.11","66.03","67.20","65.80","3.69M","2.71%"
"10/31/2022","65.34","65.98","66.50","64.89","3.67M","-1.03%"
"10/28/2022","66.02","66.09","66.50","65.25","2.95M","0.08%"
"10/27/2022","65.97","66.35","66.69","65.81","3.82M","0.15%"
"10/26/2022","65.87","65.50","66.27","64.70","5.58M","1.40%"
"10/25/2022","64.96","63.01","65.01","62.99","4.60M","2.53%"
"10/24/2022","63.36","63.05","63.77","62.69","3.12M","0.76%"
"10/21/2022","62.88","61.96","63.03","61.38","2.57M","1.53%"
"10/20/2022","61.93","62.38","62.74","61.37","2.89M","0.21%"
"10/19/2022","61.80","61.22","62.24","61.10","2.17M","0.29%"
"10/18/2022","61.62","61.77","62.40","60.84","2.93M","2.09%"
"10/17/2022","60.36","59.85","60.99","59.85","2.69M","2.78%"
"10/14/2022","58.73","63.25","63.25","58.60","4.04M","-6.70%"
"10/13/2022","62.95","60.11","63.24","59.51","3.07M","3.55%"
"10/12/2022","60.79","60.82","61.06","60.16","2.40M","0.05%"
"10/11/2022","60.76","60.59","61.73","60.26","2.20M","-0.48%"
"10/10/2022","61.05","61.33","61.76","60.76","2.13M","0.36%"
"10/07/2022","60.83","60.70","61.25","60.10","2.42M","-0.10%"
"10/06/2022","60.89","61.21","61.96","60.75","3.22M","-1.02%"
"10/05/2022","61.52","61.36","61.96","61.01","2.98M","-0.39%"
"10/04/2022","61.76","59.98","61.82","59.92","3.99M","4.36%"
"10/03/2022","59.18","58.48","59.47","57.90","3.68M","3.55%"
"09/30/2022","57.15","56.94","58.00","56.39","3.69M","-0.10%"
"09/29/2022","57.21","57.85","58.08","56.59","2.43M","-2.00%"
"09/28/2022","58.38","57.49","58.69","57.17","3.52M","1.96%"
"09/27/2022","57.26","58.25","58.58","56.90","2.36M","-0.61%"
"09/26/2022","57.61","57.88","58.97","57.51","3.94M","-0.54%"
"09/23/2022","57.92","58.78","58.81","57.09","2.69M","-3.08%"
"09/22/2022","59.76","59.55","60.59","59.55","3.17M","0.89%"
"09/21/2022","59.23","62.22","62.22","59.20","3.10M","-3.53%"
"09/20/2022","61.40","60.84","61.57","60.23","2.71M","-0.03%"
"09/19/2022","61.42","60.50","61.66","60.50","2.39M","0.11%"
"09/16/2022","61.35","61.23","61.60","60.38","7.51M","-1.24%"
"09/15/2022","62.12","63.81","63.98","61.97","5.79M","-2.65%"
"09/14/2022","63.81","63.03","64.30","62.76","5.01M","1.85%"
"09/13/2022","62.65","61.06","63.83","61.01","4.94M","0.87%"
"09/12/2022","62.11","62.87","62.87","61.29","4.92M","-0.66%"
"09/09/2022","62.52","62.59","62.98","61.79","2.02M","0.77%"
"09/08/2022","62.04","61.37","62.13","61.10","2.87M","0.36%"
"09/07/2022","61.82","59.88","61.99","59.78","2.06M","2.49%"
"09/06/2022","60.32","61.61","61.75","60.03","2.30M","-1.50%"
"09/02/2022","61.24","61.56","62.21","61.00","2.64M","0.71%"
"09/01/2022","60.81","60.78","60.93","59.95","2.47M","-1.01%"
"08/31/2022","61.43","61.74","62.21","61.18","3.71M","-0.55%"
"08/30/2022","61.77","61.58","61.87","60.71","2.54M","-0.23%"
"08/29/2022","61.91","61.60","62.47","61.35","1.80M","-0.66%"
"08/26/2022","62.32","63.48","63.77","62.28","1.89M","-1.45%"
"08/25/2022","63.24","62.41","63.35","62.18","2.52M","2.16%"
"08/24/2022","61.90","61.90","62.47","61.23","2.31M","0.21%"
"08/23/2022","61.77","61.23","61.97","61.23","1.95M","1.20%"
"08/22/2022","61.04","60.73","61.34","60.60","1.91M","-0.47%"
"08/19/2022","61.33","62.05","62.18","61.13","2.23M","-1.67%"
"08/18/2022","62.37","62.29","62.81","62.12","1.98M","0.81%"
"08/17/2022","61.87","61.50","61.90","61.21","1.75M","-0.37%"
"08/16/2022","62.10","61.64","62.32","61.64","2.52M","0.80%"
"08/15/2022","61.61","60.86","61.83","60.47","3.84M","-0.24%"
"08/12/2022","61.76","60.47","61.77","60.14","2.74M","2.47%"
"08/11/2022","60.27","60.49","61.05","60.13","1.99M","0.30%"
"08/10/2022","60.09","60.71","60.94","59.77","2.60M","0.62%"
"08/09/2022","59.72","59.13","60.14","59.13","3.02M","1.07%"
"08/08/2022","59.09","59.31","60.69","59.02","4.06M","2.06%"
"08/05/2022","57.90","56.97","58.41","56.74","5.73M","4.85%"
"08/04/2022","55.22","55.59","55.75","54.68","3.22M","-0.86%"
"08/03/2022","55.70","56.10","56.10","55.56","3.16M","-0.07%"
"08/02/2022","55.74","56.84","56.94","55.69","3.03M","-2.04%"
"08/01/2022","56.90","57.00","57.53","56.34","2.62M","-1.13%"
"07/29/2022","57.55","57.43","58.04","57.23","2.34M","1.04%"
"07/28/2022","56.96","56.81","57.25","56.27","2.29M","0.62%"
"07/27/2022","56.61","55.91","56.90","54.97","2.25M","2.07%"
"07/26/2022","55.46","55.65","56.02","55.05","1.69M","-0.02%"
"07/25/2022","55.47","54.62","55.60","54.18","2.64M","2.70%"
"07/22/2022","54.01","54.05","54.52","53.58","1.97M","0.24%"
"07/21/2022","53.88","53.62","53.91","52.83","1.48M","-0.26%"
"07/20/2022","54.02","53.41","54.27","53.38","1.68M","0.52%"
"07/19/2022","53.74","52.68","54.22","52.61","2.27M","2.87%"
"07/18/2022","52.24","52.56","53.04","52.01","1.87M","0.46%"
"07/15/2022","52.00","52.31","52.49","51.62","2.59M","0.99%"
"07/14/2022","51.49","51.32","51.87","50.03","3.56M","-0.92%"
"07/13/2022","51.97","51.87","52.41","51.63","1.68M","-1.12%"
"07/12/2022","52.56","52.63","53.50","52.17","2.71M","-0.66%"
"07/11/2022","52.91","52.16","52.98","52.01","2.25M","0.34%"
"07/08/2022","52.73","53.08","53.22","52.09","2.55M","-0.23%"
"07/07/2022","52.85","53.49","53.60","52.76","3.88M","1.56%"
"07/06/2022","52.04","52.13","52.36","50.50","3.85M","-0.12%"
"07/05/2022","52.10","52.79","53.04","51.26","4.66M","-3.73%"
"07/01/2022","54.12","53.62","54.44","52.66","2.13M","-0.04%"
"06/30/2022","54.14","53.90","54.74","53.57","3.59M","-0.72%"
"06/29/2022","54.53","54.49","54.95","53.98","3.21M","0.48%"
"06/28/2022","54.27","54.89","55.72","53.90","4.76M","0.06%"
"06/27/2022","54.24","53.71","54.32","53.08","4.77M","1.27%"
"06/24/2022","53.56","51.43","53.60","51.22","8.33M","5.16%"
"06/23/2022","50.93","53.25","53.54","50.76","5.88M","-4.68%"
"06/22/2022","53.43","53.71","54.66","53.42","4.49M","-3.50%"
"06/21/2022","55.37","54.46","55.62","53.93","3.59M","4.04%"
"06/17/2022","53.22","54.12","54.53","52.66","12.99M","-1.52%"
"06/16/2022","54.04","54.60","54.73","53.68","4.88M","-2.68%"
"06/15/2022","55.53","56.87","57.21","54.90","4.48M","-1.53%"
"06/14/2022","56.39","56.24","56.74","55.87","4.44M","0.27%"
"06/13/2022","56.24","56.62","57.19","55.78","3.72M","-3.00%"
"06/10/2022","57.98","60.16","60.31","57.97","3.55M","-5.08%"
"06/09/2022","61.08","61.47","61.65","60.86","4.50M","-1.48%"
"06/08/2022","62.00","61.86","62.40","61.32","3.73M","-0.61%"
"06/07/2022","62.38","61.35","62.53","61.31","3.56M","1.07%"
"06/06/2022","61.72","62.20","62.42","61.38","2.70M","-0.45%"
"06/03/2022","62.00","62.50","62.70","61.74","3.43M","-0.86%"
"06/02/2022","62.54","62.72","63.02","62.06","4.82M","0.34%"
"06/01/2022","62.33","63.01","63.27","61.80","4.26M","-0.46%"
"05/31/2022","62.62","62.98","63.97","62.36","12.55M","-0.46%"
"05/27/2022","62.91","62.94","63.12","61.22","6.50M","-0.41%"
"05/26/2022","63.17","62.52","64.03","62.45","5.75M","1.87%"
"05/25/2022","62.01","61.67","62.46","61.40","5.37M","-0.13%"
"05/24/2022","62.09","60.66","62.19","60.25","5.81M","1.94%"
"05/23/2022","60.91","59.85","61.17","59.19","4.96M","2.84%"
"05/20/2022","59.23","59.47","59.78","58.04","9.44M","0.39%"
"05/19/2022","59.00","56.48","59.08","56.43","6.91M","3.35%"
"05/18/2022","57.09","57.04","58.30","56.86","4.32M","-0.90%"
"05/17/2022","57.61","57.28","57.92","56.67","4.24M","1.89%"
"05/16/2022","56.54","55.41","57.18","55.28","3.62M","1.93%"
"05/13/2022","55.47","54.48","55.94","54.40","3.88M","2.63%"
"05/12/2022","54.05","53.03","54.06","52.68","3.75M","0.84%"
"05/11/2022","53.60","52.80","54.48","52.54","3.90M","1.48%"
"05/10/2022","52.82","54.25","54.38","52.26","4.32M","-0.49%"
"05/09/2022","53.08","55.03","55.03","52.95","5.31M","-4.77%"
"05/06/2022","55.74","57.14","57.27","54.83","5.24M","-3.96%"
"05/05/2022","58.04","56.35","59.60","56.33","6.84M","-1.86%"
"05/04/2022","59.14","57.52","59.22","57.05","5.03M","3.28%"
"05/03/2022","57.26","57.41","57.58","56.50","5.30M","-0.14%"
"05/02/2022","57.34","57.77","58.00","56.15","5.23M","-0.61%"
"04/29/2022","57.69","58.07","58.89","57.57","6.93M","-0.22%"
"04/28/2022","57.82","57.71","58.06","56.87","4.60M","1.05%"
"04/27/2022","57.22","56.93","57.91","56.49","4.52M","1.04%"
"04/26/2022","56.63","57.24","57.77","56.50","4.12M","-1.17%"
"04/25/2022","57.30","56.89","57.53","55.78","4.22M","-0.66%"
"04/22/2022","57.68","59.84","60.17","57.19","4.99M","-4.20%"
"04/21/2022","60.21","61.88","62.04","60.10","3.94M","-1.81%"
"04/20/2022","61.32","61.56","61.88","60.41","4.26M","0.29%"
"04/19/2022","61.14","61.35","61.83","60.64","3.87M","0.31%"
"04/18/2022","60.95","61.03","61.50","60.72","3.29M","-0.10%"
"04/14/2022","61.01","61.33","61.74","60.88","3.71M","0.10%"
"04/13/2022","60.95","60.84","61.21","60.11","2.19M","0.53%"
"04/12/2022","60.63","59.84","60.73","59.61","2.81M","1.47%"
"04/11/2022","59.75","59.75","60.07","59.35","2.49M","0.18%"
"04/08/2022","59.64","59.20","60.31","58.86","2.48M","1.97%"
"04/07/2022","58.49","58.22","58.75","57.92","2.32M","0.76%"
"04/06/2022","58.05","58.20","58.74","57.87","2.87M","-0.39%"
"04/05/2022","58.28","58.80","59.14","58.04","3.22M","-0.66%"
"04/04/2022","58.67","58.33","58.88","57.35","2.36M","0.65%"
"04/01/2022","58.29","57.91","58.45","57.64","2.43M","1.41%"
"03/31/2022","57.48","58.04","58.94","57.36","4.33M","-1.52%"
"03/30/2022","58.37","58.53","59.09","57.99","3.44M","0.59%"
"03/29/2022","58.03","57.85","58.12","56.25","4.22M","-1.69%"
"03/28/2022","59.03","59.34","59.58","58.60","3.28M","-1.27%"
"03/25/2022","59.79","58.52","59.81","58.52","4.68M","2.22%"
"03/24/2022","58.49","57.65","58.74","57.62","4.76M","1.88%"
"03/23/2022","57.41","57.17","57.73","56.45","3.90M","1.65%"
"03/22/2022","56.48","57.25","57.34","56.29","5.11M","-0.83%"
"03/21/2022","56.95","56.19","56.98","55.58","5.81M","1.97%"
"03/18/2022","55.85","55.80","55.98","55.04","11.27M","0.11%"
"03/17/2022","55.79","54.41","55.97","54.40","4.40M","1.88%"
"03/16/2022","54.76","55.49","56.10","53.94","5.37M","-0.42%"
"03/15/2022","54.99","54.12","55.44","53.87","5.53M","1.44%"
"03/14/2022","54.21","53.94","54.80","53.21","4.97M","1.04%"
"03/11/2022","53.65","53.84","55.04","53.36","4.04M","0.11%"
"03/10/2022","53.59","51.05","53.69","51.05","4.71M","4.00%"
"03/09/2022","51.53","50.41","51.93","50.22","4.83M","2.90%"
"03/08/2022","50.08","51.06","51.74","49.56","5.23M","-2.23%"
"03/07/2022","51.22","51.89","54.02","51.10","8.06M","-0.51%"
"03/04/2022","51.48","51.04","51.53","50.12","5.85M","-0.08%"
"03/03/2022","51.52","51.65","51.77","50.92","3.88M","0.43%"
"03/02/2022","51.30","50.83","51.81","50.74","4.59M","1.85%"
"03/01/2022","50.37","52.12","52.36","50.02","3.09M","-3.19%"
"02/28/2022","52.03","51.01","52.06","50.65","4.55M","0.37%"
"02/25/2022","51.84","50.29","51.86","50.18","3.41M","3.58%"
"02/24/2022","50.05","49.60","50.15","49.01","3.16M","-0.73%"
"02/23/2022","50.42","50.99","51.51","50.31","3.33M","-0.49%"
"02/22/2022","50.67","50.72","51.24","50.25","2.92M","-0.06%"
"02/18/2022","50.70","51.49","51.81","50.48","2.67M","-1.11%"
"02/17/2022","51.27","50.85","51.58","50.46","2.92M","-0.37%"
"02/16/2022","51.46","51.28","51.90","50.90","3.28M","1.12%"
"02/15/2022","50.89","50.44","51.13","50.20","4.65M","-0.02%"
"02/14/2022","50.90","51.20","51.55","50.37","5.55M","-0.29%"
"02/11/2022","51.05","50.93","51.74","50.47","3.19M","0.20%"
"02/10/2022","50.95","51.30","52.38","50.70","4.63M","-1.14%"
"02/09/2022","51.54","50.85","51.63","50.80","2.90M","2.32%"
"02/08/2022","50.37","49.65","50.42","49.34","4.34M","1.65%"
"02/07/2022","49.55","50.35","50.50","49.35","4.65M","-1.39%"
"02/04/2022","50.25","48.25","50.76","48.25","4.93M","3.54%"
"02/03/2022","48.53","48.04","49.35","47.37","4.05M","0.83%"
"02/02/2022","48.13","47.87","48.36","47.66","3.60M","0.42%"
"02/01/2022","47.93","47.95","48.34","47.36","4.43M","-0.31%"
"01/31/2022","48.08","47.44","48.20","47.26","2.57M","1.31%"
"01/28/2022","47.46","46.76","47.48","46.10","2.27M","1.32%"
"01/27/2022","46.84","46.48","47.55","46.30","2.51M","1.80%"
"01/26/2022","46.01","46.44","47.11","45.38","2.99M","-0.09%"
"01/25/2022","46.05","45.04","46.43","44.22","4.31M","-0.04%"
"01/24/2022","46.07","44.70","46.29","43.74","3.37M","1.39%"
"01/21/2022","45.44","46.17","46.75","45.32","2.36M","-2.36%"
"01/20/2022","46.54","47.50","47.98","46.40","2.19M","-1.44%"
"01/19/2022","47.22","48.43","48.50","47.17","2.53M","-1.91%"
"01/18/2022","48.14","48.14","48.36","47.75","1.88M","-0.95%"
"01/14/2022","48.60","48.32","48.78","47.81","2.04M","-0.61%"
"01/13/2022","48.90","48.82","49.41","48.54","2.11M","0.08%"
"01/12/2022","48.86","48.97","49.35","48.49","1.99M","0.93%"
"01/11/2022","48.41","47.51","48.49","47.25","1.87M","2.15%"
"01/10/2022","47.39","48.30","48.30","46.82","2.15M","-2.13%"
"01/07/2022","48.42","47.90","48.80","47.80","2.46M","1.09%"
"01/06/2022","47.90","47.54","48.25","47.07","2.69M","1.40%"
"01/05/2022","47.24","48.02","48.26","47.21","2.50M","-1.11%"
"01/04/2022","47.77","47.11","48.33","47.11","2.53M","1.86%"
"01/03/2022","46.90","47.40","47.78","46.79","2.07M","-0.80%"
"12/31/2021","47.28","46.94","47.42","46.88","1.46M","0.34%"
"12/30/2021","47.12","47.50","47.76","47.06","1.19M","-0.49%"
"12/29/2021","47.35","47.21","47.53","47.03","1.16M","-0.06%"
