"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","85.77","86.70","87.60","85.61","7.20M","-0.48%"
"02/02/2023","86.18","86.54","86.97","85.46","11.16M","-1.50%"
"02/01/2023","87.49","88.01","88.18","86.68","6.77M","-0.83%"
"01/31/2023","88.22","87.50","88.50","87.07","8.19M","1.34%"
"01/30/2023","87.05","87.89","88.39","86.99","8.02M","-0.83%"
"01/27/2023","87.78","87.75","88.12","87.00","7.48M","0.14%"
"01/26/2023","87.66","86.46","87.75","86.03","9.08M","2.23%"
"01/25/2023","85.75","85.39","86.01","84.82","18.32M","-0.31%"
"01/24/2023","86.02","86.75","87.20","85.92","14.60M","-1.35%"
"01/23/2023","87.20","87.00","87.45","86.75","14.54M","0.23%"
"01/20/2023","87.00","87.48","87.49","86.75","13.01M","-0.55%"
"01/19/2023","87.48","87.71","88.31","87.05","11.40M","-0.82%"
"01/18/2023","88.20","89.59","89.75","88.03","9.47M","-1.31%"
"01/17/2023","89.37","90.10","90.56","89.11","12.29M","-0.61%"
"01/13/2023","89.92","88.70","90.39","88.51","10.21M","0.83%"
"01/12/2023","89.18","89.79","89.97","89.03","10.45M","-0.64%"
"01/11/2023","89.75","91.56","91.69","89.35","10.21M","-0.99%"
"01/10/2023","90.65","90.85","91.36","88.50","10.77M","-0.92%"
"01/09/2023","91.49","92.14","93.25","91.42","10.40M","-0.12%"
"01/06/2023","91.60","91.33","91.93","90.98","8.96M","1.27%"
"01/05/2023","90.45","91.71","92.17","90.43","8.37M","-1.66%"
"01/04/2023","91.98","93.28","93.41","91.65","7.32M","-1.00%"
"01/03/2023","92.91","91.72","93.05","91.04","6.33M","-0.30%"
"12/30/2022","93.19","93.25","93.45","92.49","3.57M","-0.28%"
"12/29/2022","93.45","93.21","93.75","92.92","3.29M","0.74%"
"12/28/2022","92.76","93.40","93.69","92.58","3.79M","-0.28%"
"12/27/2022","93.02","93.11","93.32","92.13","3.97M","-0.58%"
"12/23/2022","93.56","93.31","94.21","93.07","7.31M","0.17%"
"12/22/2022","93.40","93.52","94.04","92.44","5.38M","-0.76%"
"12/21/2022","94.12","95.59","95.62","93.01","6.27M","-0.93%"
"12/20/2022","95.00","94.87","95.40","94.14","5.28M","-0.05%"
"12/19/2022","95.05","95.38","96.31","94.67","4.91M","-0.42%"
"12/16/2022","95.45","96.53","96.76","94.54","11.13M","-2.20%"
"12/15/2022","97.60","99.39","99.63","97.10","7.03M","-3.06%"
"12/14/2022","100.68","101.38","101.88","99.51","5.13M","-0.50%"
"12/13/2022","101.19","104.60","104.83","100.79","6.04M","-2.51%"
"12/12/2022","103.79","101.66","103.79","101.66","4.59M","2.11%"
"12/09/2022","101.65","102.17","102.69","101.53","4.38M","-0.86%"
"12/08/2022","102.53","102.50","103.80","102.28","4.04M","0.24%"
"12/07/2022","102.28","101.36","102.33","101.35","4.78M","1.08%"
"12/06/2022","101.19","101.84","102.72","100.54","4.06M","-0.80%"
"12/05/2022","102.01","101.88","102.84","101.72","3.60M","-0.56%"
"12/02/2022","102.58","101.17","102.75","101.09","4.48M","0.91%"
"12/01/2022","101.65","102.19","102.60","100.96","5.05M","-0.23%"
"11/30/2022","101.88","100.46","102.03","99.80","7.86M","0.99%"
"11/29/2022","100.88","100.19","101.09","100.11","3.43M","0.47%"
"11/28/2022","100.41","100.71","102.10","100.07","4.59M","-0.84%"
"11/25/2022","101.26","100.61","101.55","100.19","2.46M","1.20%"
"11/23/2022","100.06","99.77","100.61","99.70","3.36M","0.55%"
"11/22/2022","99.51","99.05","99.88","98.55","4.90M","1.65%"
"11/21/2022","97.89","97.25","98.27","97.25","4.84M","0.55%"
"11/18/2022","97.35","95.60","97.49","95.60","7.29M","2.55%"
"11/17/2022","94.93","95.73","96.40","94.74","6.43M","-1.22%"
"11/16/2022","96.10","97.87","98.96","95.82","6.94M","-1.67%"
"11/15/2022","97.73","97.80","98.67","97.15","6.57M","0.58%"
"11/14/2022","97.17","97.88","98.86","97.14","5.02M","-0.39%"
"11/11/2022","97.55","99.75","99.96","95.05","9.18M","-2.36%"
"11/10/2022","99.91","101.88","101.89","98.37","6.31M","0.35%"
"11/09/2022","99.56","101.65","101.97","99.45","5.05M","-2.06%"
"11/08/2022","101.65","101.40","102.77","101.00","5.65M","0.46%"
"11/07/2022","101.18","99.40","101.43","99.33","5.60M","1.63%"
"11/04/2022","99.56","98.59","99.85","97.78","9.42M","1.80%"
"11/03/2022","97.80","96.25","98.46","95.24","8.41M","1.03%"
"11/02/2022","96.80","96.51","99.44","96.00","15.50M","2.30%"
"11/01/2022","94.62","94.61","95.11","93.52","7.01M","-0.08%"
"10/31/2022","94.70","93.74","95.88","92.87","7.40M","0.54%"
