"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","54.99","52.44","56.75","52.02","4.66M","2.31%"
"02/02/2023","53.75","54.70","55.40","52.99","3.76M","0.58%"
"02/01/2023","53.44","51.75","53.83","51.00","3.21M","2.65%"
"01/31/2023","52.06","51.22","52.38","50.89","2.92M","2.84%"
"01/30/2023","50.62","51.60","52.31","50.51","3.67M","-3.42%"
"01/27/2023","52.41","52.68","53.62","52.09","2.97M","-0.23%"
"01/26/2023","52.53","52.63","53.47","51.10","3.50M","1.31%"
"01/25/2023","51.85","49.96","51.89","49.31","2.77M","1.49%"
"01/24/2023","51.09","50.58","52.48","50.23","3.39M","1.49%"
"01/23/2023","50.34","49.06","50.94","48.50","5.31M","5.93%"
"01/20/2023","47.52","45.82","47.61","45.45","2.67M","4.39%"
"01/19/2023","45.52","46.25","46.43","45.37","1.91M","-3.50%"
"01/18/2023","47.17","49.24","49.69","46.86","2.09M","-2.30%"
"01/17/2023","48.28","48.02","48.96","47.79","1.82M","-0.19%"
"01/13/2023","48.37","46.61","48.54","46.60","1.98M","2.46%"
"01/12/2023","47.21","46.25","47.48","45.31","2.71M","3.01%"
"01/11/2023","45.83","45.26","46.01","45.13","2.24M","1.17%"
"01/10/2023","45.30","42.85","45.33","42.78","2.32M","4.14%"
"01/09/2023","43.50","44.94","44.94","43.28","2.00M","-1.38%"
"01/06/2023","44.11","42.96","44.53","41.63","3.10M","3.86%"
"01/05/2023","42.47","44.92","45.18","42.45","3.25M","-6.43%"
"01/04/2023","45.39","43.25","45.46","42.78","2.75M","7.41%"
"01/03/2023","42.26","42.93","43.29","41.41","2.95M","1.59%"
"12/30/2022","41.60","40.48","41.74","40.16","2.08M","0.39%"
"12/29/2022","41.44","40.22","41.69","39.70","8.00M","3.63%"
"12/28/2022","39.99","41.52","41.93","39.89","2.94M","-4.22%"
"12/27/2022","41.75","42.79","43.22","41.73","2.79M","-3.11%"
"12/23/2022","43.09","42.45","43.15","42.00","1.94M","1.17%"
"12/22/2022","42.59","44.29","44.43","41.02","4.89M","-5.17%"
"12/21/2022","44.91","45.50","46.24","44.83","2.04M","-0.29%"
"12/20/2022","45.04","44.80","45.88","44.50","1.48M","0.00%"
"12/19/2022","45.04","47.21","47.23","44.74","4.80M","-4.70%"
"12/16/2022","47.26","47.29","47.98","46.66","3.66M","-2.11%"
"12/15/2022","48.28","48.68","48.96","47.29","4.19M","-2.84%"
"12/14/2022","49.69","50.57","51.32","49.22","3.25M","-5.44%"
"12/13/2022","52.55","54.29","55.51","51.87","3.94M","4.54%"
"12/12/2022","50.27","49.02","50.32","48.30","2.25M","1.88%"
"12/09/2022","49.34","49.72","50.28","49.22","2.47M","-1.83%"
"12/08/2022","50.26","50.38","50.66","49.13","1.92M","2.24%"
"12/07/2022","49.16","48.08","49.32","47.67","2.09M","0.92%"
"12/06/2022","48.71","50.12","50.19","47.85","2.10M","-2.17%"
"12/05/2022","49.79","51.36","51.60","49.72","2.18M","-3.09%"
"12/02/2022","51.38","50.39","51.71","49.74","2.92M","-0.89%"
"12/01/2022","51.84","51.05","52.63","50.93","2.55M","2.03%"
"11/30/2022","50.81","48.90","50.96","48.22","3.86M","3.97%"
"11/29/2022","48.87","48.93","49.62","48.63","1.91M","0.35%"
"11/28/2022","48.70","49.23","49.94","48.07","3.14M","-1.97%"
"11/25/2022","49.68","48.70","49.71","48.41","2.12M","1.08%"
"11/23/2022","49.15","49.00","49.44","48.45","7.03M","-0.06%"
"11/22/2022","49.18","48.71","49.40","48.00","3.93M","1.26%"
"11/21/2022","48.57","48.81","50.28","47.76","2.38M","-2.82%"
"11/18/2022","49.98","51.22","51.86","48.66","3.64M","0.44%"
"11/17/2022","49.76","48.97","49.92","47.88","3.40M","-1.91%"
"11/16/2022","50.73","53.27","53.28","50.64","3.23M","-6.57%"
"11/15/2022","54.30","53.09","54.93","52.72","3.99M","5.42%"
"11/14/2022","51.51","51.40","52.52","49.81","4.51M","-1.17%"
"11/11/2022","52.12","51.25","53.13","50.43","4.88M","2.96%"
"11/10/2022","50.62","46.24","51.13","46.24","7.36M","17.83%"
"11/09/2022","42.96","43.56","43.88","42.66","3.89M","-3.78%"
"11/08/2022","44.65","44.79","45.47","43.55","3.17M","1.32%"
"11/07/2022","44.07","42.91","44.33","41.60","3.47M","3.35%"
"11/04/2022","42.64","44.36","45.22","41.78","5.34M","-0.88%"
"11/03/2022","43.02","43.53","44.19","41.50","7.00M","-2.40%"
"11/02/2022","44.08","47.28","47.88","43.85","8.56M","-0.70%"
"11/01/2022","44.39","45.25","45.76","43.89","4.29M","1.51%"
"10/31/2022","43.73","44.56","44.92","43.22","4.44M","-0.84%"
"10/28/2022","44.10","41.33","44.13","40.76","4.45M","6.24%"
"10/27/2022","41.51","43.13","44.25","41.31","3.56M","-2.40%"
"10/26/2022","42.53","42.21","44.89","41.99","7.94M","0.09%"
"10/25/2022","42.49","41.41","43.30","41.36","5.72M","2.58%"
"10/24/2022","41.42","39.53","41.65","39.28","5.42M","4.57%"
"10/21/2022","39.61","37.08","39.80","36.52","5.35M","5.88%"
"10/20/2022","37.41","37.31","39.52","37.31","3.31M","0.27%"
"10/19/2022","37.31","38.01","38.88","36.78","3.30M","-3.99%"
"10/18/2022","38.86","39.54","40.00","38.26","5.27M","3.21%"
"10/17/2022","37.65","36.81","37.98","36.50","4.21M","6.57%"
"10/14/2022","35.33","36.86","37.55","35.10","3.31M","-2.81%"
"10/13/2022","36.35","34.35","36.60","32.70","5.18M","0.66%"
"10/12/2022","36.11","35.09","36.32","34.31","3.89M","2.61%"
"10/11/2022","35.19","35.34","36.05","33.84","4.47M","-0.54%"
"10/10/2022","35.38","37.33","37.52","35.13","6.45M","-5.10%"
"10/07/2022","37.28","37.44","38.14","36.70","3.48M","-3.47%"
"10/06/2022","38.62","38.54","39.85","37.91","3.59M","0.26%"
"10/05/2022","38.52","36.90","38.92","35.64","4.87M","1.24%"
"10/04/2022","38.05","35.72","38.86","35.69","7.41M","11.42%"
"10/03/2022","34.15","32.28","34.74","31.31","5.52M","5.86%"
"09/30/2022","32.26","31.79","33.35","31.38","6.05M","-0.49%"
"09/29/2022","32.42","33.77","33.77","31.45","5.69M","-6.03%"
"09/28/2022","34.50","32.92","34.83","32.60","5.37M","4.74%"
"09/27/2022","32.94","34.54","35.07","32.72","6.80M","-2.46%"
"09/26/2022","33.77","35.43","36.94","33.73","5.18M","-4.52%"
"09/23/2022","35.37","36.88","37.11","34.18","6.99M","-5.98%"
"09/22/2022","37.62","41.30","41.33","36.97","7.02M","-9.44%"
"09/21/2022","41.54","45.17","45.34","41.52","3.94M","-8.04%"
"09/20/2022","45.17","45.74","46.20","44.35","2.38M","-2.71%"
"09/19/2022","46.43","44.41","46.78","44.40","2.88M","2.99%"
"09/16/2022","45.08","45.31","46.13","44.41","3.71M","-3.37%"
"09/15/2022","46.65","46.04","48.78","45.92","3.20M","0.84%"
"09/14/2022","46.26","45.47","46.35","44.16","4.37M","1.49%"
"09/13/2022","45.58","46.95","47.85","45.51","4.84M","-8.62%"
"09/12/2022","49.88","48.97","49.93","48.69","2.47M","3.21%"
"09/09/2022","48.33","46.80","48.42","46.62","2.55M","4.66%"
"09/08/2022","46.18","44.51","46.22","43.88","2.33M","2.01%"
"09/07/2022","45.27","43.61","45.54","43.56","4.85M","3.83%"
"09/06/2022","43.60","43.28","43.72","41.20","3.03M","2.35%"
"09/02/2022","42.60","43.08","43.60","41.68","2.51M","0.24%"
"09/01/2022","42.50","42.06","42.60","40.70","3.62M","-1.44%"
"08/31/2022","43.12","43.85","44.59","42.87","2.53M","-0.21%"
"08/30/2022","43.21","44.76","45.41","42.45","2.46M","-2.11%"
"08/29/2022","44.14","43.49","44.76","43.47","1.59M","-0.38%"
"08/26/2022","44.31","46.88","47.28","44.30","2.34M","-5.42%"
"08/25/2022","46.85","46.38","47.53","46.05","1.50M","1.87%"
"08/24/2022","45.99","45.29","47.26","45.29","1.67M","0.70%"
"08/23/2022","45.67","45.16","46.49","44.91","2.03M","2.31%"
"08/22/2022","44.64","45.29","45.29","43.74","2.92M","-4.43%"
"08/19/2022","46.71","48.03","48.45","46.01","2.57M","-4.98%"
"08/18/2022","49.16","49.27","49.41","48.28","1.32M","-0.06%"
"08/17/2022","49.19","50.65","50.65","48.78","2.88M","-5.49%"
"08/16/2022","52.05","51.01","52.68","50.12","2.52M","1.24%"
"08/15/2022","51.41","50.86","51.87","50.54","2.17M","0.08%"
"08/12/2022","51.37","49.93","51.40","49.17","2.27M","4.14%"
"08/11/2022","49.33","49.61","50.62","48.53","2.43M","1.92%"
"08/10/2022","48.40","48.50","50.33","47.88","6.69M","4.99%"
"08/09/2022","46.10","48.50","48.52","46.02","3.18M","-5.98%"
"08/08/2022","49.03","48.41","51.60","48.33","3.46M","2.85%"
"08/05/2022","47.67","46.94","49.33","46.78","2.29M","-1.06%"
"08/04/2022","48.18","49.68","50.97","47.91","3.40M","-2.19%"
"08/03/2022","49.26","48.70","50.60","48.35","5.35M","0.18%"
"08/02/2022","49.17","45.60","49.27","45.17","5.70M","6.80%"
"08/01/2022","46.04","45.19","46.78","44.12","3.69M","0.77%"
"07/29/2022","45.69","44.43","45.86","43.47","2.85M","1.78%"
"07/28/2022","44.89","43.93","44.90","42.76","2.75M","2.33%"
"07/27/2022","43.87","41.89","44.01","41.56","3.51M","8.86%"
"07/26/2022","40.30","41.50","41.67","39.69","3.16M","-4.46%"
"07/25/2022","42.18","42.67","42.85","41.39","2.34M","-1.10%"
"07/22/2022","42.65","44.40","44.77","41.99","2.11M","-3.24%"
"07/21/2022","44.08","43.80","44.21","42.98","2.35M","-0.38%"
"07/20/2022","44.25","40.45","44.32","40.39","4.71M","5.89%"
"07/19/2022","41.79","39.57","42.22","39.45","4.17M","8.26%"
"07/18/2022","38.60","38.20","39.84","38.20","2.73M","2.52%"
"07/15/2022","37.65","35.93","38.08","35.38","4.74M","6.39%"
"07/14/2022","35.39","37.11","37.45","35.10","5.15M","-7.21%"
"07/13/2022","38.14","37.12","38.59","36.41","3.61M","-1.50%"
"07/12/2022","38.72","38.11","40.02","38.09","4.97M","1.33%"
"07/11/2022","38.21","38.85","39.08","36.96","3.52M","-3.49%"
"07/08/2022","39.59","41.01","41.15","39.30","3.33M","-4.67%"
"07/07/2022","41.53","41.19","42.12","40.83","2.47M","3.00%"
"07/06/2022","40.32","42.09","43.15","40.20","3.40M","-4.59%"
"07/05/2022","42.26","37.51","42.37","36.63","4.73M","9.68%"
"07/01/2022","38.53","38.30","38.95","37.37","6.30M","0.60%"
"06/30/2022","38.30","39.30","39.68","37.64","6.71M","-4.89%"
"06/29/2022","40.27","42.53","42.78","40.12","4.44M","-6.28%"
"06/28/2022","42.97","45.43","46.40","42.84","2.99M","-2.45%"
"06/27/2022","44.05","44.45","44.91","43.18","3.22M","-0.94%"
"06/24/2022","44.47","40.06","44.55","39.75","5.62M","12.53%"
"06/23/2022","39.52","40.28","40.72","37.64","5.47M","-1.10%"
"06/22/2022","39.96","39.11","40.81","38.85","3.69M","-0.37%"
"06/21/2022","40.11","41.05","42.14","40.03","4.19M","1.16%"
"06/17/2022","39.65","38.46","40.10","37.03","4.58M","5.26%"
"06/16/2022","37.67","40.20","40.47","37.03","4.36M","-8.99%"
"06/15/2022","41.39","39.97","42.42","39.65","4.84M","5.08%"
"06/14/2022","39.39","40.00","40.55","38.53","3.61M","-0.63%"
"06/13/2022","39.64","42.76","43.11","39.56","4.95M","-12.88%"
"06/10/2022","45.50","48.73","49.69","45.16","5.19M","-9.29%"
"06/09/2022","50.16","51.16","52.13","49.82","3.06M","-3.82%"
"06/08/2022","52.15","52.00","53.93","51.59","2.80M","-0.42%"
"06/07/2022","52.37","51.21","53.17","50.70","2.11M","0.06%"
"06/06/2022","52.34","51.50","52.64","51.08","2.96M","3.44%"
"06/03/2022","50.60","50.49","51.70","50.00","2.06M","-2.45%"
"06/02/2022","51.87","49.33","52.10","49.33","3.67M","4.66%"
"06/01/2022","49.56","50.49","51.36","48.21","2.54M","-1.22%"
"05/31/2022","50.17","51.21","51.89","49.76","3.85M","-2.77%"
"05/27/2022","51.60","51.45","52.83","50.45","3.95M","1.14%"
"05/26/2022","51.02","47.31","52.45","47.06","5.99M","9.96%"
"05/25/2022","46.40","42.91","46.89","42.71","5.44M","7.56%"
"05/24/2022","43.14","47.58","47.69","42.59","5.91M","-10.59%"
"05/23/2022","48.25","50.37","50.59","47.64","4.93M","-3.71%"
"05/20/2022","50.11","49.40","50.19","47.39","4.79M","3.04%"
"05/19/2022","48.63","47.24","50.24","46.65","5.41M","1.42%"
"05/18/2022","47.95","50.70","50.95","47.08","4.18M","-6.71%"
"05/17/2022","51.40","53.35","54.35","50.30","5.08M","-1.13%"
"05/16/2022","51.99","54.14","55.42","51.88","3.27M","-5.46%"
"05/13/2022","54.99","51.22","55.32","51.21","5.45M","10.36%"
"05/12/2022","49.83","47.90","51.38","46.08","5.33M","3.04%"
"05/11/2022","48.36","51.36","53.48","48.30","4.83M","-4.75%"
"05/10/2022","50.77","54.01","55.11","49.15","5.29M","-4.12%"
"05/09/2022","52.95","58.50","59.08","52.58","5.24M","-11.68%"
