"Date";"activision_blizard";"charter_communication";"comcast";"walt_disney";"dish_network";"electronic_arts";"alphabet_a";"alphabet_c";"lumen_technologies";"live_nation_entertainment";"meta_platforms";"match_group";"netflix";"news_corp";"news_corp_a";"omnicom";"paramount_global_b";"at_and_t";"t_mobile_us";"take_two";"verizon";"warner_bros_discovery"
2023-01-20;73,84;396,11;39,37;103,48;13,9;125,99;98,02;99,28;5,22;75,11;139,37;50,42;342,5;19,64;19,26;83,78;20,3;19,23;145,12;106,59;40;13,02
2023-01-19;73,76;384,2;38,14;99,08;13,21;123,72;93,05;93,91;5,03;73,22;136,15;47,84;315,78;19,06;18,71;82,11;19,57;18,94;145,14;102,26;40,06;12,47
2023-01-18;74,48;381,86;38,28;99,04;13,94;123,71;91,12;91,78;5,35;73,52;133,02;47,21;326,33;19,23;18,87;82,58;20,02;19,02;145,9;103,22;39,97;12,59
2023-01-17;74,56;388,35;38,94;99,91;14,5;123,7;91,29;92,16;5,59;76,12;135,36;47,29;326,22;19,62;19,27;83,68;20,64;19,33;146,98;104,54;40,85;13,23
2023-01-13;76,66;388,47;38,93;99,4;14,49;125,46;92,12;92,8;5,9;74,66;136,98;46,13;332,82;19,82;19,46;84,06;20,06;19,55;149,68;105,03;41,86;13,14
2023-01-12;76,9;385,47;38,69;99,81;15,06;126,42;91,13;91,91;6,04;73,15;136,71;46,06;330,13;19,72;19,35;84,35;20,23;19,41;149,91;104,29;41,81;13,15
2023-01-11;77;378,43;37,95;96,33;15,05;126,11;91,52;92,26;5,82;73,34;132,89;45,68;327,26;19,62;19,31;84,98;20;19,41;148,8;105,26;41,18;12,6
2023-01-10;77,69;374,64;37,88;95,56;14,83;124,02;88,42;89,24;5,6;72,56;132,99;44,97;327,54;19,59;19,39;85,8;19,89;19,47;149,56;105,53;41,95;12,56
2023-01-09;77,22;367,18;37,55;94,77;15,82;124,17;88,02;88,8;5,39;72,26;129,47;43,87;315,17;19,27;19,07;85,7;19,55;19,04;148,77;105,1;41,37;11,61
2023-01-06;77,59;367,73;37,89;93,92;15,64;123,89;87,34;88,16;5,43;72,38;130,02;42,35;315,55;19,2;19;86,08;19,03;19,53;148,57;104,75;42,19;11,32
2023-01-05;76,96;361,43;36,98;91,92;15,02;124,68;86,2;86,77;5,46;71,66;126,94;42,5;309,7;18,89;18,68;85,12;18,66;19,21;144,48;105,96;41,7;10,86
2023-01-04;76,84;354;36,59;91,98;14,82;125,01;88,08;88,71;5,44;71,01;127,37;42,26;309,41;19,24;18,98;84,44;18,5;19,14;139,96;106,77;41,13;10,38
2023-01-03;76,88;341,58;35,57;88,97;14,1;122,8;89,12;89,7;5,37;68,86;124,74;41,06;294,95;18,49;18,3;82,53;17,07;18,74;139,04;103,11;40,12;9,54
2022-12-30;76,55;339,1;34,97;86,88;14,04;122,18;88,23;88,73;5,22;69,74;120,34;41,49;294,88;18,44;18,2;81,57;16,88;18,41;140;104,13;39,4;9,48
2022-12-29;76,76;338,94;35,05;87,18;14,12;122,19;88,45;88,95;5,3;70,15;120,26;41,09;291,12;18,46;18,22;81,59;16,77;18,45;139,4;101,34;39,26;9,43
2022-12-28;76,05;332,34;34,62;84,17;13,5;119,54;86,02;86,46;5,09;68,16;115,62;39,35;276,88;18,2;17,95;80,63;16,11;18,22;138,98;99,69;38,81;8,87
2022-12-27;75,79;332,79;35;86,37;14,2;120,82;87,39;87,93;5,28;69,59;116,88;39,18;284,17;18,56;18,28;81,38;16,52;18,46;140,99;99,38;39,25;9,23
2022-12-23;75,95;333,92;35,14;88,01;14,46;121,51;89,23;89,81;5,24;70,69;118,04;40,58;294,96;18,56;18,31;80,5;16,66;18,31;140,02;99,83;38,41;9,17
2022-12-22;75,7;323,88;34,82;86,67;14,14;121,42;87,76;88,26;5,19;70,57;117,12;39,89;297,75;18,07;17,81;78,78;16,94;18,27;139,53;99,27;38,31;9,23
2022-12-21;75,89;321,34;35,08;86,92;13,92;122,5;89,58;90,25;5,3;70,68;119,76;40,71;297,96;17,97;17,73;78,77;16,88;18,15;141,47;99,88;37,78;9,04
2022-12-20;75,88;309,29;34,41;87,02;13,82;120,42;89,02;89,63;5,28;68,68;117,09;40,02;288,19;17,75;17,51;77,81;16,88;18,07;140,34;98,11;36,99;9,03
2022-12-19;75,99;306,16;33,98;85,78;13,87;120,79;88,44;89,15;5,29;68,39;114,48;40,37;288,3;17,7;17,43;77,31;16,92;17,86;141,62;98,59;37,03;9,25
2022-12-16;76,08;304,96;34,49;90,08;14,41;121,74;90,26;90,86;5,41;69,37;119,43;41,94;290,71;18,07;17,83;77,13;17,31;18,49;142,36;100,76;37,12;9,91
2022-12-15;76,37;313,43;34,61;90,49;14,86;121,73;90,86;91,2;5,43;70,23;116,15;41,95;290,41;18,04;17,78;78,4;17,66;18,47;140,2;101,66;37,77;10
2022-12-14;77,04;328,34;35,35;94,15;15,74;124,66;95,07;95,31;5,77;73,09;121,59;44,56;317,83;18,98;18,68;80,89;19,36;18,9;142,36;104,81;37,45;10,98
2022-12-13;76,73;392,68;36,71;94,7;16,15;125,68;95,63;95,85;5,68;74,17;120,15;46,89;320,34;18,97;18,7;80,94;19,67;19,12;140,58;104,55;37,86;10,89
2022-12-12;77,36;384,4;36,52;94,66;15,4;125,6;93,31;93,56;5,56;73,6;114,71;43,55;315,18;18,38;18,19;78,29;19,67;19,3;142,4;102,61;37,95;11,27
2022-12-09;75,16;380,57;35,32;93,38;14,74;124,71;92,83;93,07;5,49;71,77;115,9;43,58;320,01;18,28;18,05;75,65;19,02;19,09;141,57;102,06;37,4;11,09
2022-12-08;74,76;374,31;34,97;92,55;14,62;126,11;93,71;93,95;5,4;71,47;115,33;44,03;310,26;18,39;18,15;75,61;18,1;19,12;143,81;100,79;37,1;10,76
2022-12-07;75,93;374,89;34,62;92,15;14,45;126,01;94,94;95,15;5,44;71,14;113,93;43,05;308,42;18,47;18,2;75,67;18,01;19,3;148,79;99,49;37,17;10,74
2022-12-06;76,11;371,17;34,77;92,29;14,45;127,41;96,98;97,31;5,4;70,91;114,12;43,33;305,56;18,73;18,48;76,13;18,15;19,17;149,39;101,27;36,89;10,61
2022-12-05;76,33;387,79;35,15;95,93;14,47;130,42;99,48;99,87;5,2;73,88;122,43;45,78;312,59;18,96;18,72;77,2;19,51;18,75;150,62;106,98;37,07;11,15
2022-12-02;75,76;392,69;35,86;99,43;15,56;132,28;100,44;100,83;5,51;73,92;123,49;48,67;320,41;19,43;19,12;78,65;20,38;19,02;152,41;108,76;38,18;11,55
2022-12-01;75,19;389,16;36,28;98,59;15,59;131,62;100,99;101,28;5,59;73,55;120,44;49,96;316,95;19,43;19,16;79,86;20,17;19,19;151,81;106,4;38,33;11,63
2022-11-30;73,95;391,29;36,64;97,87;16,05;130,78;100,99;101,45;5,47;72,76;118,1;50,56;305,53;19,45;19,15;79,76;20,08;19,28;151,46;105,69;38,98;11,4
2022-11-29;74,34;385,28;35,48;94,69;15,68;127,59;95,19;95,44;5,47;70,21;109,46;46,88;280,96;18,82;18,56;78,76;19,75;19,01;148,62;101,35;38,34;11,14
2022-11-28;74,72;384,47;35,59;95,69;15,58;128,35;96,05;96,25;5,52;68,69;108,78;47,46;281,17;18,46;18,19;78,15;19,24;18,82;149,9;101,26;38,24;10,92
