"Date";"archer_daniel_midland";"brown_forman";"conagra_foods";"church_dwight";"colgate_palmolive";"clorox";"costco";"campbell_soup";"estee_lauder";"general_mills";"hormel_foods";"hershey_co";"kellogg";"kraft_heinz";"kimberley_clark";"coca_cola";"kroger";"mondelez";"mccormick_co";"monster_beverage";"altria";"pepsi_co";"procter_gamble";"philip_morris";"jm_smucker";"constellation_brands_a";"sysco";"molson_coors_brewin";"tyson_foods";"walgreens_boots";"walmart"
2023-01-20;84,75;66,25;37,98;83,2;75,44;142,56;480,11;52,04;267,56;77,46;44,58;214,52;67,5;39,88;135,13;60,08;44,45;64,04;77,44;100;44,94;169,88;142,97;101,82;148,93;220,88;77,83;49,98;64,7;35,88;140,54
2023-01-19;85,31;65,9;38,27;80,55;75,2;139,79;469,49;52,39;259,51;77,45;44,46;216,12;67,31;40,04;132,16;59,72;44;63,84;76,65;99,86;44,54;169,63;142,42;101,19;150,06;216,59;76,97;49,59;63,49;35,41;138,83
2023-01-18;85;66,69;38,45;82,06;76,32;143,32;479,47;52,58;263,25;78,41;44,46;216,77;67,33;39,66;132,84;59,81;45,26;64,57;77,17;100,74;44,01;171,62;146,41;99,26;150,18;219,6;77,3;49,03;63,87;35,61;140,84
2023-01-17;88,09;68;40,03;84,72;78,23;147,99;486,77;54,66;267,04;81,86;46,35;226,16;69,72;42,33;136,86;61,68;46,18;67,02;81,1;102,17;45,16;176,06;150,44;101,23;155,47;223,78;79,87;50,38;65,36;36,33;144,41
2023-01-13;88,4;67,07;39,91;81,91;77,85;146,11;485,25;54,96;267,22;82,51;46,1;226,61;70;42,42;136,83;61,43;45,22;67,06;81,1;102,08;45,62;175,24;150,88;101,7;154,43;225;80,33;50,76;64,98;36,78;145,29
2023-01-12;87,39;65,67;40,13;81,39;76,84;142,82;482,43;54,73;262,25;82,53;46,53;224,19;70,24;42,43;136,24;61,21;45,67;66,76;80,97;100,04;45,4;175,78;149,81;101,44;155,35;223,19;80,25;50,33;64,83;36,66;144,81
2023-01-11;86,68;66,13;40,52;81,72;77,13;141,95;484,31;55,63;263,61;83,95;46,82;226,59;70,82;42,56;136,31;62,01;45,61;67,57;83,52;101,69;45,82;178,05;150,66;102,06;157,88;222,64;80,6;50,92;65,81;37,12;146,13
2023-01-10;86,23;65,26;40,44;81,29;78,31;140,98;481,4;56;262,45;84,05;45,91;224,78;70,75;42,33;135,86;62,13;45,98;67,31;84,37;100,53;45,99;177,85;151,89;102,19;159,02;220;79,96;50,86;65,58;36,7;144,86
2023-01-09;85,37;64,69;40,42;82,25;78,73;142,66;478,75;55,95;261,63;84,68;46,09;225,39;71,38;42,2;137,02;62,61;46,19;67,24;84,61;101,15;45,98;179,33;152,04;102,3;160,33;215,51;79,2;50,21;65,71;36,35;144,95
2023-01-06;85,95;64,41;40,96;83,59;79,98;144,44;482,87;57,01;263,81;85,96;46,91;225,65;72,45;42,59;138,45;63,4;45,74;68,02;86,3;102,43;46,45;181,1;153,92;103,49;162,59;214,23;78,71;50,88;66,07;36,61;146,78
