"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","60.25","61.77","61.80","59.09","7.88M","-2.82%"
"02/02/2023","62.00","63.31","63.53","61.94","6.47M","-1.74%"
"02/01/2023","63.10","63.15","63.53","62.24","5.21M","-0.85%"
"01/31/2023","63.64","63.06","63.68","62.38","8.19M","1.52%"
"01/30/2023","62.69","62.29","63.19","62.21","3.79M","0.38%"
"01/27/2023","62.45","62.41","62.97","62.30","2.38M","-0.21%"
"01/26/2023","62.58","62.18","62.77","62.03","2.70M","0.42%"
"01/25/2023","62.32","62.21","62.50","61.78","3.12M","-0.26%"
"01/24/2023","62.48","63.11","63.59","62.24","4.90M","-0.78%"
"01/23/2023","62.97","62.28","63.54","62.10","3.97M","0.88%"
"01/20/2023","62.42","61.96","62.44","61.50","4.15M","0.66%"
"01/19/2023","62.01","61.83","62.41","61.34","3.75M","0.32%"
"01/18/2023","61.81","62.55","62.83","61.60","4.64M","-1.14%"
"01/17/2023","62.52","62.82","63.19","62.21","5.11M","-0.64%"
"01/13/2023","62.92","62.57","63.07","62.12","3.58M","0.02%"
"01/12/2023","62.91","62.58","63.58","62.24","3.71M","0.85%"
"01/11/2023","62.38","61.93","62.53","61.71","5.58M","0.89%"
"01/10/2023","61.83","61.44","61.96","61.21","6.25M","0.39%"
"01/09/2023","61.59","61.54","62.49","61.45","6.62M","-0.45%"
"01/06/2023","61.87","62.09","62.35","61.23","7.52M","0.67%"
"01/05/2023","61.46","62.72","63.00","61.33","5.64M","-2.77%"
"01/04/2023","63.21","63.00","63.94","62.89","7.02M","0.38%"
"01/03/2023","62.97","61.32","63.10","61.15","6.23M","2.69%"
"12/30/2022","61.32","61.74","61.88","60.48","3.55M","-0.52%"
"12/29/2022","61.64","61.78","62.12","61.41","3.12M","0.29%"
"12/28/2022","61.46","61.97","62.23","61.32","2.86M","-0.52%"
"12/27/2022","61.78","60.79","61.92","60.53","2.96M","1.63%"
"12/23/2022","60.79","60.33","60.79","60.05","2.86M","0.50%"
"12/22/2022","60.49","59.90","60.51","59.28","4.15M","0.73%"
"12/21/2022","60.05","59.86","60.40","59.61","3.96M","0.79%"
"12/20/2022","59.58","59.08","59.92","58.94","5.52M","0.56%"
"12/19/2022","59.25","58.69","60.18","58.53","6.99M","1.07%"
"12/16/2022","58.62","58.70","58.92","57.18","16.16M","-0.37%"
"12/15/2022","58.84","59.12","59.61","58.42","6.98M","-0.73%"
"12/14/2022","59.27","60.18","63.06","58.75","7.84M","-1.18%"
"12/13/2022","59.98","60.71","60.98","59.06","6.67M","0.00%"
"12/12/2022","59.98","58.45","60.02","57.23","6.97M","2.92%"
"12/09/2022","58.28","58.18","58.59","57.89","7.96M","-0.02%"
"12/08/2022","58.29","58.05","58.51","57.44","5.59M","0.50%"
"12/07/2022","58.00","57.71","58.48","57.64","6.18M","-0.43%"
"12/06/2022","58.25","59.25","59.57","57.40","9.66M","-1.72%"
"12/05/2022","59.27","60.00","60.16","58.85","5.54M","-1.98%"
"12/02/2022","60.47","59.92","60.74","59.76","4.44M","0.17%"
"12/01/2022","60.37","60.82","61.19","59.93","6.44M","-1.21%"
"11/30/2022","61.11","59.59","61.26","59.15","9.26M","2.24%"
"11/29/2022","59.77","60.26","60.26","59.44","3.90M","-1.40%"
"11/28/2022","60.62","61.10","61.69","60.44","6.47M","-1.48%"
"11/25/2022","61.53","61.39","61.97","61.25","1.70M","0.82%"
"11/23/2022","61.03","60.07","61.14","60.03","3.61M","1.29%"
"11/22/2022","60.25","59.79","60.50","59.65","3.58M","1.19%"
"11/21/2022","59.54","59.05","59.98","59.03","5.11M","0.64%"
"11/18/2022","59.16","58.80","59.23","58.49","7.37M","1.35%"
"11/17/2022","58.37","58.70","59.28","58.17","3.66M","-2.08%"
"11/16/2022","59.61","58.80","59.75","58.80","4.16M","1.24%"
"11/15/2022","58.88","58.74","59.59","58.32","5.58M","1.59%"
"11/14/2022","57.96","61.77","61.92","57.95","15.94M","-6.00%"
"11/11/2022","61.66","62.30","62.30","60.97","5.62M","-1.14%"
"11/10/2022","62.37","61.69","62.72","60.68","8.58M","3.23%"
"11/09/2022","60.42","60.82","61.50","59.90","11.13M","-3.51%"
"11/08/2022","62.62","63.29","63.42","62.26","8.07M","-0.51%"
"11/07/2022","62.94","65.06","65.24","59.67","20.57M","-6.24%"
"11/04/2022","67.13","67.33","68.42","66.34","7.62M","-3.03%"
"11/03/2022","69.23","68.43","69.79","68.25","3.77M","0.28%"
"11/02/2022","69.04","69.48","70.76","69.03","3.13M","-0.98%"
"11/01/2022","69.72","70.02","70.32","69.46","3.78M","-0.36%"
"10/31/2022","69.97","70.68","70.80","69.30","7.31M","0.81%"
"10/28/2022","69.41","67.67","69.54","67.24","3.07M","3.03%"
"10/27/2022","67.37","67.51","68.06","67.06","2.76M","0.37%"
"10/26/2022","67.12","67.41","67.74","66.50","4.20M","0.30%"
"10/25/2022","66.92","66.15","67.23","65.87","4.11M","1.38%"
"10/24/2022","66.01","66.00","66.68","65.36","5.85M","0.73%"
"10/21/2022","65.53","64.33","65.88","63.97","3.61M","1.74%"
"10/20/2022","64.41","65.03","65.61","64.11","3.30M","-1.95%"
"10/19/2022","65.69","65.70","66.24","65.06","2.42M","-1.28%"
"10/18/2022","66.54","66.55","67.06","66.22","2.90M","1.93%"
"10/17/2022","65.28","65.16","66.11","64.71","4.32M","1.51%"
"10/14/2022","64.31","65.58","65.93","63.95","4.58M","-1.12%"
"10/13/2022","65.04","61.98","65.41","61.70","6.23M","3.80%"
"10/12/2022","62.66","64.71","64.83","62.52","6.38M","-3.35%"
"10/11/2022","64.83","64.15","65.60","63.89","4.16M","0.51%"
"10/10/2022","64.50","64.40","65.37","64.16","3.89M","0.17%"
"10/07/2022","64.39","65.84","66.17","64.04","4.69M","-2.38%"
"10/06/2022","65.96","68.56","68.56","65.82","7.39M","-4.42%"
"10/05/2022","69.01","70.62","70.64","68.43","4.91M","-3.48%"
"10/04/2022","71.50","71.12","72.01","70.71","6.02M","0.58%"
"10/03/2022","71.09","70.62","71.92","69.86","6.41M","2.86%"
"09/30/2022","69.11","71.46","71.59","69.01","5.93M","-2.74%"
"09/29/2022","71.06","74.57","74.66","70.94","5.21M","-5.08%"
"09/28/2022","74.86","74.85","75.26","73.90","2.96M","1.12%"
"09/27/2022","74.03","76.21","76.23","73.97","3.82M","-2.39%"
"09/26/2022","75.84","77.27","77.52","75.17","3.21M","-2.46%"
"09/23/2022","77.75","77.70","77.84","76.75","3.49M","-0.88%"
"09/22/2022","78.44","78.63","78.71","78.01","2.96M","-0.62%"
"09/21/2022","78.93","80.40","81.31","78.90","3.62M","-1.37%"
"09/20/2022","80.03","80.66","80.73","79.44","2.82M","-1.42%"
"09/19/2022","81.18","80.55","81.28","80.08","2.52M","0.45%"
"09/16/2022","80.82","80.86","81.61","80.64","14.13M","-0.12%"
"09/15/2022","80.92","82.49","82.49","80.78","4.92M","-1.84%"
"09/14/2022","82.44","82.25","83.25","82.13","5.39M","0.24%"
"09/13/2022","82.24","83.48","83.98","81.93","3.05M","-2.33%"
"09/12/2022","84.20","83.48","84.45","83.36","3.70M","1.25%"
"09/09/2022","83.16","83.00","83.88","82.55","2.60M","0.47%"
"09/08/2022","82.77","83.28","83.70","82.62","2.87M","-0.74%"
"09/07/2022","83.39","82.00","83.56","81.90","3.44M","2.32%"
"09/06/2022","81.50","82.23","82.66","81.29","4.41M","-0.40%"
"09/02/2022","81.83","82.44","83.22","81.61","2.68M","-0.64%"
"09/01/2022","82.36","81.11","82.52","80.99","2.04M","0.68%"
"08/31/2022","81.80","82.36","83.02","81.77","3.38M","-0.66%"
"08/30/2022","82.34","83.37","83.56","82.09","2.78M","-1.52%"
"08/29/2022","83.61","82.74","84.16","82.24","1.87M","0.64%"
"08/26/2022","83.08","84.38","84.55","83.07","2.79M","-1.45%"
"08/25/2022","84.30","84.41","84.45","83.69","2.57M","-0.01%"
"08/24/2022","84.31","84.03","84.53","83.68","2.86M","0.45%"
"08/23/2022","83.93","84.66","84.66","83.42","2.00M","-0.76%"
"08/22/2022","84.57","85.35","85.63","84.22","2.09M","-1.23%"
"08/19/2022","85.62","85.88","86.28","85.28","1.91M","-0.04%"
"08/18/2022","85.65","85.77","86.07","85.22","1.68M","0.04%"
"08/17/2022","85.62","85.30","86.11","85.00","2.12M","0.20%"
"08/16/2022","85.45","84.72","85.79","84.47","3.64M","0.95%"
"08/15/2022","84.65","83.00","84.83","82.67","4.46M","2.20%"
"08/12/2022","82.83","82.18","82.86","82.14","1.85M","1.31%"
"08/11/2022","81.76","82.00","82.59","81.44","2.70M","-0.46%"
"08/10/2022","82.14","82.75","82.78","81.27","2.76M","-0.29%"
"08/09/2022","82.38","81.75","82.86","81.69","2.41M","1.22%"
"08/08/2022","81.39","82.99","83.47","81.26","3.38M","-1.43%"
"08/05/2022","82.57","82.76","83.07","81.52","2.53M","-0.39%"
"08/04/2022","82.89","83.40","83.85","82.79","2.98M","-0.37%"
"08/03/2022","83.20","82.04","83.43","81.01","2.66M","1.27%"
"08/02/2022","82.16","82.79","83.40","82.11","2.65M","-0.46%"
"08/01/2022","82.54","81.87","82.63","81.11","3.16M","0.68%"
"07/29/2022","81.98","81.12","82.28","80.88","3.47M","0.81%"
"07/28/2022","81.32","79.90","81.46","79.49","2.85M","2.68%"
"07/27/2022","79.20","78.86","79.34","78.52","2.16M","-0.06%"
