"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","406.06","406.50","413.71","404.92","2.30M","-0.12%"
"02/02/2023","406.55","426.62","426.74","401.87","2.55M","-4.79%"
"02/01/2023","426.99","422.04","429.83","418.50","1.10M","0.98%"
"01/31/2023","422.84","421.81","423.04","416.06","1.27M","0.53%"
"01/30/2023","420.60","418.73","425.75","418.00","1.28M","0.58%"
"01/27/2023","418.18","421.20","422.87","417.62","1.32M","-0.72%"
"01/26/2023","421.20","417.74","421.31","411.66","1.19M","1.83%"
"01/25/2023","413.64","413.17","415.41","409.24","1.00M","-0.73%"
"01/24/2023","416.67","408.50","419.17","405.01","1.31M","1.79%"
"01/23/2023","409.34","411.45","413.57","407.33","1.39M","-0.31%"
"01/20/2023","410.60","410.34","411.42","406.07","2.78M","0.49%"
"01/19/2023","408.60","422.22","423.27","407.88","2.24M","-4.08%"
"01/18/2023","425.99","439.09","443.12","425.63","1.39M","-2.79%"
"01/17/2023","438.20","440.08","445.14","437.68","1.77M","-0.33%"
"01/13/2023","439.63","433.89","440.26","433.21","985.89K","0.81%"
"01/12/2023","436.09","435.00","439.98","431.30","1.21M","0.60%"
"01/11/2023","433.48","439.74","439.88","430.09","1.13M","-0.90%"
"01/10/2023","437.43","426.89","437.95","426.89","1.08M","2.16%"
"01/09/2023","428.20","427.91","434.28","426.47","1.20M","0.41%"
"01/06/2023","426.47","416.20","428.54","416.01","1.04M","2.83%"
"01/05/2023","414.73","422.57","423.49","412.61","1.47M","-2.07%"
"01/04/2023","423.48","423.93","426.36","420.21","1.05M","-0.19%"
"01/03/2023","424.29","428.00","428.16","420.20","1.15M","-1.04%"
"12/30/2022","428.76","426.88","429.74","424.82","760.17K","0.03%"
"12/29/2022","428.64","429.73","431.76","426.40","835.15K","-0.36%"
"12/28/2022","430.18","437.00","437.90","429.82","818.21K","-1.37%"
"12/27/2022","436.15","438.05","442.25","435.75","701.74K","-0.18%"
"12/23/2022","436.93","435.89","437.88","433.22","735.69K","0.25%"
"12/22/2022","435.86","440.34","440.53","430.36","1.22M","-1.31%"
"12/21/2022","441.64","437.85","444.51","436.05","1.22M","1.44%"
"12/20/2022","435.36","432.07","437.04","429.73","984.28K","0.62%"
"12/19/2022","432.67","432.04","434.64","429.70","1.33M","0.37%"
"12/16/2022","431.09","424.76","433.00","421.65","3.10M","0.30%"
"12/15/2022","429.79","435.00","436.82","426.07","1.55M","-1.97%"
"12/14/2022","438.44","439.66","442.25","434.37","1.77M","0.29%"
"12/13/2022","437.19","438.84","439.66","432.76","1.66M","0.03%"
"12/12/2022","437.05","436.12","437.42","431.64","1.57M","0.52%"
"12/09/2022","434.81","443.38","444.54","434.38","1.34M","-1.83%"
"12/08/2022","442.93","443.31","443.49","437.60","1.20M","0.52%"
"12/07/2022","440.65","436.23","441.84","435.72","1.39M","0.55%"
"12/06/2022","438.25","439.13","439.26","433.66","1.01M","0.31%"
"12/05/2022","436.89","441.07","442.16","435.00","1.42M","-1.96%"
"12/02/2022","445.61","442.23","447.70","438.65","1.47M","0.86%"
"12/01/2022","441.81","440.33","444.51","436.37","1.75M","0.18%"
"11/30/2022","441.00","441.21","441.69","432.92","2.40M","0.01%"
"11/29/2022","440.97","443.79","444.53","436.22","1.64M","-0.05%"
"11/28/2022","441.21","437.38","443.64","436.92","1.98M","-0.06%"
"11/25/2022","441.47","435.77","442.41","432.55","1.14M","0.90%"
"11/23/2022","437.52","429.52","448.40","428.88","5.08M","5.03%"
"11/22/2022","416.56","414.00","416.83","411.45","2.20M","1.18%"
"11/21/2022","411.70","413.25","415.28","406.51","1.33M","-0.62%"
"11/18/2022","414.26","415.10","416.02","411.28","1.59M","0.31%"
"11/17/2022","412.99","402.65","413.63","401.57","1.28M","1.62%"
"11/16/2022","406.40","407.25","408.58","402.05","1.10M","-0.14%"
"11/15/2022","406.97","411.76","412.97","401.80","1.70M","0.01%"
"11/14/2022","406.94","404.58","410.48","402.33","2.04M","0.22%"
"11/11/2022","406.03","406.61","413.50","405.15","1.52M","-0.39%"
"11/10/2022","407.61","406.31","408.02","395.27","2.37M","2.65%"
"11/09/2022","397.09","400.35","404.91","396.42","2.18M","-1.85%"
"11/08/2022","404.57","399.81","408.77","398.55","1.36M","1.45%"
"11/07/2022","398.77","398.58","398.80","393.90","1.19M","0.93%"
"11/04/2022","395.09","400.62","403.99","393.50","1.55M","0.37%"
"11/03/2022","393.63","381.18","397.98","380.26","1.63M","1.99%"
"11/02/2022","385.95","388.71","397.33","385.65","1.72M","-0.71%"
"11/01/2022","388.71","398.00","398.00","385.73","2.27M","-1.80%"
"10/31/2022","395.82","395.92","406.02","395.01","1.64M","-0.26%"
"10/28/2022","396.85","393.80","397.73","390.17","1.71M","0.57%"
"10/27/2022","394.59","398.00","405.41","393.68","2.04M","0.87%"
"10/26/2022","391.18","394.77","395.77","388.22","1.16M","-0.11%"
"10/25/2022","391.63","384.00","392.50","383.14","1.40M","1.49%"
"10/24/2022","385.89","381.67","387.44","380.11","1.06M","0.74%"
"10/21/2022","383.06","364.56","383.63","363.07","1.39M","4.80%"
"10/20/2022","365.52","371.83","374.08","363.71","788.39K","-1.56%"
"10/19/2022","371.32","370.00","374.55","367.50","817.80K","0.00%"
"10/18/2022","371.31","371.86","373.94","365.75","1.21M","2.40%"
"10/17/2022","362.59","361.39","367.17","360.97","1.08M","1.53%"
"10/14/2022","357.14","368.38","372.40","356.43","1.23M","-2.73%"
"10/13/2022","367.17","354.11","368.39","349.07","1.60M","1.65%"
"10/12/2022","361.21","362.92","364.26","358.45","1.18M","-0.58%"
"10/11/2022","363.33","356.82","370.26","356.10","1.46M","1.01%"
"10/10/2022","359.68","358.26","365.28","355.75","1.37M","0.99%"
"10/07/2022","356.15","352.05","356.40","349.70","1.35M","0.19%"
"10/06/2022","355.47","354.24","359.34","353.04","915.15K","-0.08%"
"10/05/2022","355.77","355.29","359.66","355.29","1.07M","-1.25%"
"10/04/2022","360.29","350.07","360.70","350.00","1.64M","4.72%"
"10/03/2022","344.05","339.61","347.78","339.18","1.54M","3.04%"
"09/30/2022","333.89","338.76","341.06","333.66","1.70M","-2.09%"
"09/29/2022","341.00","341.00","344.60","338.44","1.59M","-1.42%"
"09/28/2022","345.90","338.20","348.07","337.07","1.29M","3.04%"
"09/27/2022","335.68","335.90","341.68","332.34","1.18M","1.04%"
"09/26/2022","332.24","331.05","338.83","330.76","1.33M","-0.59%"
"09/23/2022","334.22","341.49","343.10","328.62","1.72M","-3.44%"
"09/22/2022","346.13","352.51","354.05","345.93","1.01M","-1.05%"
"09/21/2022","349.81","360.30","361.09","349.81","1.01M","-1.63%"
"09/20/2022","355.59","359.88","360.45","352.54","1.43M","-1.96%"
"09/19/2022","362.69","350.28","363.20","349.54","1.01M","2.31%"
"09/16/2022","354.50","355.30","356.09","349.13","2.42M","-1.19%"
"09/15/2022","358.77","360.90","364.60","358.31","970.03K","-0.59%"
"09/14/2022","360.90","364.35","365.25","357.58","1.12M","-0.66%"
"09/13/2022","363.30","365.55","371.42","361.95","1.09M","-2.87%"
"09/12/2022","374.03","375.29","376.00","369.83","1.13M","0.48%"
"09/09/2022","372.25","373.02","375.26","372.10","1.24M","1.02%"
"09/08/2022","368.48","363.76","370.44","362.90","1.23M","0.69%"
"09/07/2022","365.94","357.88","366.97","357.22","913.17K","1.35%"
"09/06/2022","361.06","363.19","364.96","355.48","1.09M","-0.32%"
"09/02/2022","362.22","369.95","370.38","360.82","1.14M","-0.43%"
"09/01/2022","363.77","358.98","364.76","357.25","1.35M","-0.41%"
"08/31/2022","365.25","370.03","370.03","364.53","1.50M","-0.95%"
"08/30/2022","368.74","379.24","379.77","365.52","1.62M","-3.12%"
"08/29/2022","380.61","376.16","385.43","374.56","1.32M","0.32%"
"08/26/2022","379.38","391.18","392.93","378.68","1.45M","-2.26%"
"08/25/2022","388.15","382.00","388.43","381.60","1.33M","1.78%"
"08/24/2022","381.38","378.76","382.35","374.12","1.57M","1.73%"
"08/23/2022","374.88","368.50","385.99","368.49","2.39M","1.42%"
"08/22/2022","369.64","363.35","373.11","361.22","2.35M","-0.01%"
"08/19/2022","369.66","358.63","369.92","353.05","4.24M","0.45%"
"08/18/2022","367.99","364.45","369.94","362.75","1.98M","0.90%"
"08/17/2022","364.69","364.47","367.45","362.28","1.72M","-1.43%"
"08/16/2022","369.98","364.31","373.36","363.01","1.43M","1.07%"
"08/15/2022","366.05","362.46","366.29","359.10","1.20M","-0.57%"
"08/12/2022","368.16","362.45","368.58","361.71","1.26M","1.72%"
"08/11/2022","361.92","360.50","363.50","357.21","1.72M","2.71%"
"08/10/2022","352.36","348.89","357.25","348.59","1.14M","2.53%"
"08/09/2022","343.68","346.25","347.44","343.10","1.15M","-0.01%"
