"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","119.00","116.27","119.91","115.71","2.39M","0.89%"
"02/02/2023","117.95","116.64","119.24","116.43","3.37M","1.83%"
"02/01/2023","115.83","112.95","117.33","112.47","3.90M","-0.77%"
"01/31/2023","116.73","114.78","116.95","114.36","2.21M","2.00%"
"01/30/2023","114.44","116.30","117.31","114.36","2.36M","-2.66%"
"01/27/2023","117.57","115.69","118.40","115.69","2.44M","2.51%"
"01/26/2023","114.69","115.49","115.95","113.25","3.15M","-0.18%"
"01/25/2023","114.90","110.38","115.05","110.35","3.58M","3.06%"
"01/24/2023","111.49","109.25","112.37","109.04","2.31M","1.09%"
"01/23/2023","110.29","106.42","111.24","106.29","3.63M","3.91%"
"01/20/2023","106.14","101.91","106.21","101.75","4.97M","4.16%"
"01/19/2023","101.90","95.55","102.12","94.42","8.66M","-0.43%"
"01/18/2023","102.34","105.39","106.32","102.21","4.12M","-2.91%"
"01/17/2023","105.41","106.30","107.02","105.08","2.44M","-1.67%"
"01/13/2023","107.20","104.11","107.33","104.11","1.74M","1.07%"
"01/12/2023","106.06","108.15","108.30","105.86","2.01M","-0.92%"
"01/11/2023","107.04","105.51","107.24","105.51","2.63M","1.35%"
"01/10/2023","105.61","103.81","105.70","103.26","2.20M","1.67%"
"01/09/2023","103.88","103.91","105.10","103.56","2.55M","0.82%"
"01/06/2023","103.04","99.58","103.22","99.58","2.21M","3.51%"
"01/05/2023","99.55","100.24","100.85","99.04","2.48M","-1.70%"
"01/04/2023","101.27","98.56","101.73","98.47","3.14M","4.41%"
"01/03/2023","96.99","98.80","99.96","96.39","2.15M","-0.86%"
"12/30/2022","97.83","96.61","97.91","96.39","1.38M","0.39%"
"12/29/2022","97.45","95.62","97.53","95.36","1.54M","2.28%"
"12/28/2022","95.28","96.67","97.35","95.22","1.22M","-1.52%"
"12/27/2022","96.75","97.80","97.85","96.27","915.05K","-0.87%"
"12/23/2022","97.60","96.82","97.60","96.08","936.50K","0.76%"
"12/22/2022","96.86","96.18","96.89","95.21","1.55M","-0.96%"
"12/21/2022","97.80","97.81","98.64","97.48","1.95M","1.13%"
"12/20/2022","96.71","95.07","96.99","94.42","2.13M","1.62%"
"12/19/2022","95.17","96.93","97.43","94.73","2.19M","-1.78%"
"12/16/2022","96.89","97.50","98.63","95.54","4.63M","-2.01%"
"12/15/2022","98.88","101.45","101.59","95.83","4.21M","-4.42%"
"12/14/2022","103.45","106.19","106.82","102.62","2.00M","-2.92%"
"12/13/2022","106.56","105.45","108.50","105.26","2.48M","1.22%"
"12/12/2022","105.28","102.97","105.71","102.65","1.76M","2.21%"
"12/09/2022","103.00","102.29","104.26","102.06","1.53M","0.07%"
"12/08/2022","102.93","104.16","105.07","102.48","1.51M","-0.78%"
"12/07/2022","103.74","103.29","105.35","102.82","2.03M","-0.13%"
"12/06/2022","103.87","103.46","105.35","102.51","1.69M","0.35%"
"12/05/2022","103.51","104.36","105.06","102.98","1.44M","-1.79%"
"12/02/2022","105.40","105.04","107.42","104.71","1.29M","-1.06%"
"12/01/2022","106.53","108.31","109.11","105.75","2.08M","-1.69%"
"11/30/2022","108.36","108.32","108.37","105.48","3.42M","-0.18%"
"11/29/2022","108.55","107.01","108.76","106.52","1.19M","1.59%"
"11/28/2022","106.85","107.48","108.21","106.65","2.22M","-1.73%"
"11/25/2022","108.73","108.33","109.09","108.05","682.61K","0.06%"
"11/23/2022","108.66","107.94","109.16","107.33","887.01K","0.42%"
"11/22/2022","108.21","107.98","109.21","107.61","2.19M","0.06%"
"11/21/2022","108.14","106.73","108.57","106.27","1.31M","0.82%"
"11/18/2022","107.26","109.00","110.01","106.84","1.67M","0.21%"
"11/17/2022","107.04","104.96","107.63","104.42","1.75M","0.87%"
"11/16/2022","106.12","104.90","109.83","104.90","3.43M","2.40%"
"11/15/2022","103.63","106.90","108.18","103.27","1.82M","-2.17%"
"11/14/2022","105.93","107.50","108.72","105.76","1.54M","-2.62%"
"11/11/2022","108.78","109.48","111.59","108.70","2.64M","0.42%"
"11/10/2022","108.32","105.07","108.99","105.07","2.54M","8.28%"
"11/09/2022","100.04","101.43","101.64","100.01","1.01M","-2.38%"
"11/08/2022","102.48","101.04","102.92","100.82","1.19M","1.46%"
"11/07/2022","101.01","100.93","101.14","99.15","1.02M","1.16%"
