"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","269.85","268.76","271.29","266.38","1.68M","-0.31%"
"02/02/2023","270.68","269.00","273.24","267.95","2.52M","1.19%"
"02/01/2023","267.50","265.10","269.37","263.02","3.62M","1.18%"
"01/31/2023","264.38","263.02","265.17","260.42","2.60M","0.62%"
"01/30/2023","262.75","263.52","266.82","262.35","2.02M","-1.21%"
"01/27/2023","265.98","264.63","267.20","262.82","2.48M","0.05%"
"01/26/2023","265.86","264.00","265.90","260.82","3.83M","1.11%"
"01/25/2023","262.95","265.23","266.95","261.93","4.35M","-3.18%"
"01/24/2023","271.58","273.00","273.00","263.42","5.03M","-1.96%"
"01/23/2023","277.00","273.95","279.32","272.38","2.07M","0.95%"
"01/20/2023","274.40","272.58","274.42","268.95","3.02M","1.34%"
"01/19/2023","270.78","269.29","272.49","267.20","1.88M","0.06%"
"01/18/2023","270.62","276.01","278.79","269.75","2.10M","-1.56%"
"01/17/2023","274.92","274.86","277.29","272.58","2.60M","0.48%"
"01/13/2023","273.62","270.50","274.28","269.66","1.75M","0.48%"
"01/12/2023","272.31","273.80","275.04","269.44","1.62M","-0.55%"
"01/11/2023","273.81","268.12","275.07","268.00","3.00M","2.59%"
"01/10/2023","266.89","258.61","268.17","258.09","2.67M","4.64%"
"01/09/2023","255.05","254.91","260.85","253.55","2.94M","1.01%"
"01/06/2023","252.49","256.36","258.08","242.48","5.84M","-1.07%"
"01/05/2023","255.23","258.99","261.94","253.62","3.67M","-4.18%"
"01/04/2023","266.37","265.21","268.29","263.97","2.16M","1.56%"
"01/03/2023","262.27","267.81","268.00","259.06","2.34M","-1.19%"
"12/30/2022","265.42","266.70","267.65","262.45","1.51M","-0.54%"
"12/29/2022","266.85","262.77","268.53","261.70","1.20M","2.90%"
"12/28/2022","259.34","262.48","265.40","259.11","1.38M","-0.59%"
"12/27/2022","260.88","259.32","262.66","256.78","1.12M","0.39%"
"12/23/2022","259.86","258.15","261.54","257.72","1.10M","0.46%"
"12/22/2022","258.67","258.19","259.16","254.01","1.84M","-0.89%"
"12/21/2022","260.98","257.74","262.17","256.80","1.64M","2.10%"
"12/20/2022","255.60","257.73","258.59","254.50","2.54M","-1.21%"
"12/19/2022","258.72","262.41","262.89","257.69","2.22M","-1.26%"
"12/16/2022","262.03","266.70","267.63","261.33","5.02M","-2.98%"
"12/15/2022","270.08","270.57","272.18","267.00","2.83M","-1.51%"
"12/14/2022","274.23","277.46","279.69","272.27","2.61M","-0.89%"
"12/13/2022","276.68","281.25","281.54","273.10","2.61M","1.17%"
"12/12/2022","273.49","271.66","273.95","270.95","2.04M","1.54%"
"12/09/2022","269.34","270.50","272.72","269.05","1.70M","-0.91%"
"12/08/2022","271.82","268.79","273.46","266.42","1.63M","1.33%"
"12/07/2022","268.24","265.61","270.01","265.39","1.97M","1.09%"
"12/06/2022","265.35","265.48","267.26","262.91","1.71M","-0.98%"
"12/05/2022","267.97","270.67","271.42","266.44","2.16M","-2.28%"
"12/02/2022","274.23","269.99","275.14","268.00","1.81M","-0.11%"
"12/01/2022","274.54","275.52","277.98","270.55","1.99M","0.41%"
"11/30/2022","273.41","259.00","273.41","259.00","5.74M","5.56%"
"11/29/2022","259.02","260.00","261.67","256.65","2.16M","-0.82%"
"11/28/2022","261.16","265.07","268.26","260.37","2.34M","-2.20%"
"11/25/2022","267.04","264.96","267.45","264.42","868.33K","1.40%"
"11/23/2022","263.35","263.39","264.22","261.15","1.55M","0.50%"
"11/22/2022","262.04","262.64","263.77","258.69","1.81M","0.76%"
"11/21/2022","260.06","259.82","262.97","259.05","1.56M","-0.23%"
"11/18/2022","260.65","265.07","266.00","256.39","2.72M","0.40%"
"11/17/2022","259.62","263.29","263.29","254.96","2.16M","-2.46%"
"11/16/2022","266.16","270.00","271.14","263.69","2.21M","-1.54%"
"11/15/2022","270.33","272.08","275.55","268.11","2.56M","1.35%"
"11/14/2022","266.72","270.01","272.49","266.72","2.39M","-1.58%"
"11/11/2022","271.00","269.04","277.23","268.30","3.53M","1.17%"
"11/10/2022","267.87","257.33","268.23","257.13","3.34M","8.47%"
"11/09/2022","246.95","253.01","253.94","246.14","2.20M","-2.40%"
"11/08/2022","253.01","250.01","256.47","248.60","3.22M","1.59%"
"11/07/2022","249.04","248.51","249.59","245.30","2.44M","0.84%"
"11/04/2022","246.97","244.80","247.33","239.10","3.00M","2.30%"
"11/03/2022","241.42","240.20","243.57","234.96","4.08M","-0.46%"
"11/02/2022","242.54","254.59","255.31","242.24","4.53M","-5.19%"
"11/01/2022","255.82","253.75","257.27","251.52","3.00M","1.65%"
"10/31/2022","251.67","249.78","252.62","247.61","2.95M","-0.05%"
"10/28/2022","251.80","249.09","252.53","247.84","3.32M","1.49%"
"10/27/2022","248.10","251.98","252.46","244.63","3.29M","-2.24%"
"10/26/2022","253.78","253.64","256.59","251.11","4.55M","0.76%"
"10/25/2022","251.87","252.16","255.30","250.65","3.55M","0.08%"
"10/24/2022","251.67","246.80","252.05","242.27","3.65M","2.89%"
"10/21/2022","244.59","242.79","244.98","234.82","6.69M","0.62%"
"10/20/2022","243.08","241.68","254.01","241.57","7.56M","-5.74%"
"10/19/2022","257.89","260.36","261.05","251.33","4.11M","-2.89%"
"10/18/2022","265.57","266.43","269.39","263.50","2.06M","2.17%"
"10/17/2022","259.93","256.43","262.14","255.91","2.18M","2.45%"
"10/14/2022","253.71","258.93","260.76","253.34","2.01M","-1.38%"
"10/13/2022","257.27","246.73","259.07","242.55","2.90M","2.22%"
"10/12/2022","251.68","254.00","256.21","251.29","2.61M","-0.97%"
"10/11/2022","254.14","259.33","259.89","252.22","3.25M","-2.78%"
"10/10/2022","261.41","269.30","269.30","260.23","1.64M","-2.63%"
"10/07/2022","268.48","274.55","275.49","266.75","1.58M","-3.44%"
"10/06/2022","278.05","281.08","282.56","277.68","2.00M","-1.50%"
"10/05/2022","282.29","276.52","283.63","276.03","2.08M","1.16%"
"10/04/2022","279.05","273.59","279.19","271.93","2.59M","3.82%"
"10/03/2022","268.79","261.27","269.84","258.74","3.03M","4.07%"
"09/30/2022","258.29","262.14","265.60","258.03","2.67M","-1.47%"
"09/29/2022","262.15","264.64","265.86","260.26","2.46M","-1.54%"
"09/28/2022","266.24","264.47","268.03","260.89","2.86M","2.36%"
"09/27/2022","260.10","264.87","265.46","257.33","2.24M","-0.97%"
"09/26/2022","262.66","262.58","266.69","260.53","1.58M","-0.98%"
"09/23/2022","265.27","263.99","265.80","261.25","2.03M","-0.44%"
"09/22/2022","266.43","266.00","268.74","265.31","2.90M","-0.76%"
"09/21/2022","268.48","276.99","279.74","268.39","2.11M","-2.15%"
"09/20/2022","274.37","275.46","276.15","271.73","2.10M","-1.64%"
"09/19/2022","278.94","274.81","279.19","272.90","2.24M","0.68%"
"09/16/2022","277.06","282.55","282.83","275.21","5.73M","-1.72%"
"09/15/2022","281.91","288.50","291.17","281.16","3.22M","0.06%"
"09/14/2022","281.73","282.29","287.46","279.08","2.97M","-0.02%"
"09/13/2022","281.78","287.39","289.40","281.05","1.90M","-4.00%"
"09/12/2022","293.51","290.82","294.60","289.33","1.76M","1.06%"
"09/09/2022","290.42","287.44","291.58","286.93","2.16M","0.81%"
"09/08/2022","288.10","276.21","288.93","275.11","3.35M","3.83%"
"09/07/2022","277.47","271.76","278.68","270.76","1.69M","1.83%"
"09/06/2022","272.48","270.45","275.09","269.09","2.03M","1.14%"
"09/02/2022","269.42","276.00","276.87","268.43","1.53M","-1.62%"
"09/01/2022","273.86","270.23","273.92","266.94","1.94M","1.46%"
"08/31/2022","269.91","273.57","275.36","268.52","3.12M","-1.27%"
"08/30/2022","273.37","277.25","278.60","272.43","1.60M","-1.20%"
"08/29/2022","276.69","278.19","279.30","275.62","1.56M","-1.30%"
"08/26/2022","280.33","290.41","291.77","280.09","1.67M","-3.66%"
"08/25/2022","290.97","287.14","291.23","285.01","1.38M","2.12%"
"08/24/2022","284.94","285.03","286.23","283.08","1.60M","0.32%"
"08/23/2022","284.04","283.93","285.52","281.86","1.39M","-0.68%"
"08/22/2022","285.98","288.56","290.29","285.40","1.54M","-2.21%"
"08/19/2022","292.44","294.27","294.62","291.56","1.60M","-0.62%"
"08/18/2022","294.27","296.77","296.83","289.45","1.88M","-1.01%"
"08/17/2022","297.27","298.86","300.72","295.86","2.15M","-1.07%"
"08/16/2022","300.48","299.99","302.11","299.06","1.99M","-0.62%"
"08/15/2022","302.35","297.04","303.82","296.71","2.12M","1.54%"
"08/12/2022","297.75","292.20","298.05","291.12","2.36M","2.26%"
"08/11/2022","291.18","292.92","295.32","291.06","1.62M","0.01%"
"08/10/2022","291.14","288.78","291.20","286.19","1.53M","2.07%"
"08/09/2022","285.24","287.20","287.99","284.13","1.36M","-0.61%"
"08/08/2022","286.99","291.00","291.09","286.21","1.40M","-1.04%"
"08/05/2022","290.00","286.25","290.37","285.77","1.32M","0.36%"
"08/04/2022","288.95","288.53","289.09","286.11","2.06M","0.15%"
"08/03/2022","288.53","288.56","289.59","285.73","1.50M","1.05%"
"08/02/2022","285.53","285.57","291.49","284.93","1.91M","-0.82%"
"08/01/2022","287.90","289.99","291.76","287.62","1.64M","-1.22%"
"07/29/2022","291.47","288.95","292.64","287.99","2.97M","0.85%"
"07/28/2022","289.01","282.00","290.07","278.13","2.48M","3.20%"
"07/27/2022","280.05","276.57","281.31","275.25","1.88M","1.28%"
"07/26/2022","276.50","273.58","276.71","272.44","2.13M","1.14%"
"07/25/2022","273.38","273.28","273.69","269.44","2.22M","-0.17%"
"07/22/2022","273.84","277.44","279.15","272.30","2.81M","-1.93%"
"07/21/2022","279.23","275.00","279.55","271.46","4.18M","9.07%"
"07/20/2022","256.00","257.00","260.90","254.82","2.83M","0.10%"
"07/19/2022","255.75","250.84","256.63","249.76","2.06M","3.52%"
"07/18/2022","247.06","254.93","255.73","246.09","1.98M","-3.41%"
"07/15/2022","255.78","254.13","257.12","250.66","4.10M","3.11%"
"07/14/2022","248.06","248.08","249.69","242.85","2.37M","-1.21%"
"07/13/2022","251.09","249.94","253.79","248.27","1.97M","-0.64%"
"07/12/2022","252.70","264.30","265.70","252.13","2.20M","-4.75%"
"07/11/2022","265.30","261.47","265.69","261.36","1.69M","0.58%"
"07/08/2022","263.76","261.39","265.27","261.22","1.13M","0.12%"
"07/07/2022","263.45","259.65","265.69","259.16","1.79M","1.31%"
"07/06/2022","260.04","255.25","261.73","253.97","1.92M","1.77%"
