"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","115.21","117.16","118.42","113.84","2.05M","-3.93%"
"02/02/2023","119.92","117.77","122.43","117.57","2.96M","3.25%"
"02/01/2023","116.15","114.50","116.86","112.31","2.31M","1.33%"
"01/31/2023","114.62","110.75","114.82","110.75","4.89M","3.23%"
"01/30/2023","111.03","110.07","112.20","110.01","2.07M","-0.25%"
"01/27/2023","111.31","109.24","111.87","109.00","1.66M","1.83%"
"01/26/2023","109.31","107.92","109.36","107.68","1.36M","1.98%"
"01/25/2023","107.19","106.33","107.38","104.34","1.64M","0.18%"
"01/24/2023","107.00","106.43","109.05","106.27","1.67M","-0.21%"
"01/23/2023","107.22","106.66","108.25","106.05","1.20M","0.45%"
"01/20/2023","106.74","105.06","107.29","103.40","1.64M","1.70%"
"01/19/2023","104.96","105.11","106.39","104.11","1.86M","-0.46%"
"01/18/2023","105.44","106.85","107.41","104.62","1.83M","-1.32%"
"01/17/2023","106.85","106.08","107.47","105.03","1.80M","0.80%"
"01/13/2023","106.00","105.78","107.05","105.13","1.06M","-1.19%"
"01/12/2023","107.28","105.72","107.49","103.85","1.55M","2.14%"
"01/11/2023","105.03","103.14","105.45","102.96","1.84M","2.65%"
"01/10/2023","102.32","100.96","102.39","100.02","1.43M","1.17%"
"01/09/2023","101.14","101.42","102.61","100.54","2.86M","-0.24%"
"01/06/2023","101.38","98.46","102.02","97.05","2.02M","3.36%"
"01/05/2023","98.08","102.30","102.30","97.91","2.20M","-5.37%"
"01/04/2023","103.65","100.60","105.77","99.72","2.49M","0.80%"
"01/03/2023","102.83","101.50","103.34","100.71","2.36M","2.55%"
"12/30/2022","100.27","100.37","101.22","98.90","1.20M","-1.02%"
"12/29/2022","101.30","100.19","102.14","99.40","1.15M","1.91%"
"12/28/2022","99.40","100.77","101.25","99.13","2.20M","-0.95%"
"12/27/2022","100.35","100.75","101.04","98.72","1.11M","-0.52%"
"12/23/2022","100.87","99.22","101.33","98.69","833.62K","1.01%"
"12/22/2022","99.86","99.44","100.67","98.08","1.96M","-0.59%"
"12/21/2022","100.45","98.78","102.03","98.70","1.62M","1.73%"
"12/20/2022","98.74","98.67","100.25","97.83","2.17M","-0.65%"
"12/19/2022","99.39","101.00","101.30","98.73","2.02M","-2.12%"
"12/16/2022","101.54","102.48","102.82","99.01","5.08M","-2.63%"
"12/15/2022","104.28","103.16","105.03","102.80","2.62M","-0.34%"
"12/14/2022","104.64","107.18","109.30","104.50","4.60M","-5.81%"
"12/13/2022","111.09","112.47","113.48","109.16","2.21M","2.55%"
"12/12/2022","108.33","107.07","108.38","106.52","1.92M","1.28%"
"12/09/2022","106.96","106.74","108.85","106.13","1.29M","-0.34%"
"12/08/2022","107.32","109.00","110.66","106.84","2.19M","-1.36%"
"12/07/2022","108.80","107.79","109.99","107.52","1.35M","0.69%"
"12/06/2022","108.05","109.51","109.65","107.48","1.20M","-1.02%"
"12/05/2022","109.16","110.13","110.88","108.55","1.42M","-1.52%"
"12/02/2022","110.85","110.09","111.25","108.77","1.61M","-0.76%"
"12/01/2022","111.70","113.23","114.86","110.93","1.56M","-0.68%"
"11/30/2022","112.46","108.24","112.70","107.51","2.60M","3.41%"
"11/29/2022","108.75","107.64","109.00","107.31","1.42M","1.18%"
"11/28/2022","107.48","110.00","110.90","107.09","1.82M","-3.41%"
"11/25/2022","111.27","111.37","112.27","110.59","431.76K","0.25%"
"11/23/2022","110.99","109.22","111.07","109.19","1.21M","1.36%"
"11/22/2022","109.50","110.81","110.81","108.31","1.80M","-0.99%"
"11/21/2022","110.59","109.90","110.85","108.65","1.57M","0.12%"
"11/18/2022","110.46","111.01","111.36","109.29","1.25M","1.07%"
"11/17/2022","109.29","107.92","109.81","107.84","1.98M","-0.51%"
"11/16/2022","109.85","111.59","112.12","109.84","1.70M","-1.81%"
"11/15/2022","111.87","109.34","112.07","109.11","2.04M","4.14%"
"11/14/2022","107.42","110.86","110.86","107.29","1.72M","-3.73%"
"11/11/2022","111.58","108.47","113.26","108.39","2.80M","2.75%"
"11/10/2022","108.59","101.33","108.97","101.20","2.89M","11.84%"
"11/09/2022","97.09","98.37","98.99","96.90","1.61M","-1.38%"
"11/08/2022","98.45","97.58","100.04","97.02","1.96M","1.27%"
"11/07/2022","97.22","97.38","97.97","96.57","1.48M","0.47%"
"11/04/2022","96.77","95.93","97.35","94.82","1.85M","1.92%"
"11/03/2022","94.95","92.96","95.71","92.31","2.50M","0.76%"
"11/02/2022","94.23","96.54","98.25","94.17","3.51M","-2.73%"
"11/01/2022","96.87","101.80","102.36","96.57","3.88M","-3.37%"
"10/31/2022","100.25","100.21","100.99","99.53","2.40M","-1.12%"
"10/28/2022","101.39","99.40","101.57","98.85","1.78M","1.48%"
"10/27/2022","99.91","101.91","101.91","98.55","3.09M","-0.36%"
"10/26/2022","100.27","101.00","102.23","99.94","2.59M","-1.26%"
"10/25/2022","101.55","98.26","101.83","98.02","2.80M","4.22%"
"10/24/2022","97.44","97.76","98.92","95.99","2.60M","0.60%"
"10/21/2022","96.86","95.06","96.87","93.65","1.76M","1.87%"
"10/20/2022","95.08","95.45","97.19","94.84","2.08M","-0.14%"
"10/19/2022","95.21","95.08","96.50","94.01","3.13M","-1.68%"
"10/18/2022","96.84","96.50","98.37","95.71","2.92M","1.78%"
"10/17/2022","95.15","92.92","95.48","92.23","2.99M","4.74%"
"10/14/2022","90.84","93.12","94.14","90.34","2.65M","-1.37%"
"10/13/2022","92.10","86.75","93.12","85.76","3.06M","3.23%"
"10/12/2022","89.22","89.73","91.25","89.03","2.38M","-0.92%"
"10/11/2022","90.05","89.36","91.69","88.54","3.02M","0.41%"
"10/10/2022","89.68","92.92","93.51","89.44","1.78M","-3.00%"
"10/07/2022","92.45","93.31","94.79","92.06","2.57M","-2.07%"
"10/06/2022","94.40","98.56","99.01","93.56","3.14M","-4.65%"
"10/05/2022","99.00","100.59","101.26","98.24","2.07M","-3.14%"
"10/04/2022","102.21","101.47","103.38","101.02","2.01M","1.75%"
"10/03/2022","100.45","100.31","101.35","98.84","2.26M","1.28%"
"09/30/2022","99.18","98.22","99.58","97.01","3.05M","2.34%"
"09/29/2022","96.91","98.32","98.89","96.08","2.39M","-2.87%"
"09/28/2022","99.77","98.21","100.12","96.50","2.42M","2.09%"
"09/27/2022","97.73","102.58","103.59","97.53","2.32M","-3.98%"
"09/26/2022","101.78","102.85","103.67","100.32","2.16M","-1.51%"
"09/23/2022","103.34","105.65","106.10","102.18","3.35M","-3.79%"
"09/22/2022","107.41","107.80","108.26","106.15","3.00M","-1.27%"
"09/21/2022","108.79","110.27","111.89","108.75","2.20M","-0.87%"
"09/20/2022","109.75","110.21","111.43","108.97","2.50M","-1.26%"
"09/19/2022","111.15","111.06","111.85","109.79","2.44M","-0.83%"
"09/16/2022","112.08","112.62","112.62","111.00","3.75M","0.17%"
"09/15/2022","111.89","115.96","116.26","111.89","1.97M","-3.61%"
"09/14/2022","116.08","117.69","118.38","115.40","1.42M","-3.40%"
"09/13/2022","120.17","124.00","124.47","119.75","1.68M","-5.19%"
"09/12/2022","126.75","124.71","126.96","124.70","1.35M","1.85%"
"09/09/2022","124.45","122.93","124.88","122.28","1.02M","1.46%"
"09/08/2022","122.66","121.35","123.24","121.16","1.03M","0.59%"
"09/07/2022","121.94","119.80","122.24","119.35","1.15M","2.21%"
"09/06/2022","119.30","118.53","119.97","117.56","1.37M","0.86%"
"09/02/2022","118.28","123.20","124.01","118.02","1.57M","-3.05%"
"09/01/2022","122.00","122.75","123.16","120.58","1.21M","-1.32%"
"08/31/2022","123.63","124.85","126.21","123.57","1.81M","-0.15%"
"08/30/2022","123.81","124.00","125.03","122.95","1.00M","-0.13%"
"08/29/2022","123.97","124.87","125.54","123.51","801.54K","-1.04%"
"08/26/2022","125.27","128.67","129.00","125.17","1.21M","-2.51%"
"08/25/2022","128.49","126.59","128.56","125.72","938.02K","2.27%"
"08/24/2022","125.64","124.99","127.59","124.58","1.21M","0.35%"
"08/23/2022","125.20","126.30","126.30","123.36","1.73M","-1.12%"
"08/22/2022","126.62","129.79","130.40","126.52","1.18M","-2.86%"
"08/19/2022","130.35","131.26","131.94","129.51","1.06M","-0.53%"
"08/18/2022","131.05","132.19","132.35","129.74","1.13M","-0.88%"
"08/17/2022","132.21","133.51","134.19","132.07","1.27M","-1.72%"
"08/16/2022","134.53","132.11","135.20","131.62","933.78K","1.07%"
"08/15/2022","133.10","131.25","134.04","131.24","1.06M","1.28%"
"08/12/2022","131.42","130.06","131.62","129.66","1.20M","1.85%"
"08/11/2022","129.03","133.23","133.24","128.71","951.89K","-2.62%"
"08/10/2022","132.50","132.05","133.13","131.14","1.67M","1.78%"
"08/09/2022","130.18","130.92","131.53","129.73","1.27M","-0.61%"
"08/08/2022","130.98","130.98","132.65","130.19","1.47M","1.17%"
"08/05/2022","129.47","128.32","129.64","127.54","1.12M","0.02%"
"08/04/2022","129.44","129.65","129.93","128.56","1.42M","0.05%"
"08/03/2022","129.38","130.00","131.17","129.18","1.72M","0.09%"
"08/02/2022","129.27","130.36","132.94","129.16","2.30M","-0.97%"
"08/01/2022","130.54","131.79","132.24","130.02","1.30M","-1.44%"
"07/29/2022","132.45","136.90","136.90","131.28","3.41M","-3.27%"
"07/28/2022","136.93","130.91","138.09","130.12","2.22M","5.97%"
"07/27/2022","129.21","127.51","129.53","127.35","2.01M","1.33%"
"07/26/2022","127.51","127.20","128.86","126.67","1.18M","0.31%"
"07/25/2022","127.12","126.99","129.46","125.85","1.69M","-0.24%"
"07/22/2022","127.42","126.01","127.84","125.24","1.38M","1.85%"
"07/21/2022","125.10","123.50","125.30","122.51","1.71M","1.44%"
"07/20/2022","123.32","123.59","125.74","122.92","1.20M","-0.25%"
"07/19/2022","123.63","121.04","123.68","119.96","1.96M","3.03%"
"07/18/2022","119.99","121.46","121.64","119.63","1.26M","-0.82%"
"07/15/2022","120.98","122.67","123.16","120.22","1.38M","-0.04%"
"07/14/2022","121.03","120.99","122.37","120.65","1.18M","-1.49%"
"07/13/2022","122.86","122.35","124.49","121.81","958.92K","-1.20%"
"07/12/2022","124.35","126.35","126.83","123.54","920.26K","-1.87%"
"07/11/2022","126.72","125.63","127.18","124.34","813.77K","0.31%"
"07/08/2022","126.33","127.51","127.96","125.87","953.80K","-1.64%"
"07/07/2022","128.43","128.31","129.47","127.63","857.24K","0.02%"
"07/06/2022","128.40","129.56","131.26","128.12","1.12M","-0.12%"
"07/05/2022","128.56","130.26","130.32","125.41","2.17M","-2.30%"
"07/01/2022","131.58","129.83","133.46","129.47","1.51M","1.35%"
"06/30/2022","129.83","129.15","132.30","128.18","3.31M","1.91%"
"06/29/2022","127.40","131.69","131.87","124.00","4.16M","-5.32%"
"06/28/2022","134.56","137.49","138.11","134.10","978.58K","-1.96%"
"06/27/2022","137.25","138.03","139.14","137.11","997.47K","-1.12%"
"06/24/2022","138.80","137.27","138.98","135.89","1.32M","1.58%"
"06/23/2022","136.64","133.29","136.83","133.04","1.57M","3.29%"
"06/22/2022","132.29","127.31","133.90","127.14","1.80M","3.24%"
