"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","149.91","156.42","156.66","149.49","4.29M","-4.53%"
"02/02/2023","157.02","153.63","157.95","152.63","3.40M","2.27%"
"02/01/2023","153.54","150.00","154.15","149.36","1.32M","2.24%"
"01/31/2023","150.18","149.04","150.23","147.76","1.66M","0.89%"
"01/30/2023","148.85","150.37","150.89","148.58","2.16M","-1.01%"
"01/27/2023","150.37","150.48","150.78","149.56","1.40M","-0.05%"
"01/26/2023","150.45","150.61","151.85","149.65","1.61M","0.60%"
"01/25/2023","149.56","145.48","149.65","143.12","2.51M","2.07%"
"01/24/2023","146.52","153.80","154.01","144.61","3.94M","-2.96%"
"01/23/2023","150.99","148.27","151.51","147.79","2.85M","2.17%"
"01/20/2023","147.79","142.06","148.49","141.56","2.86M","3.49%"
"01/19/2023","142.81","142.37","144.34","140.69","3.24M","-1.07%"
"01/18/2023","144.35","147.97","148.55","144.25","1.66M","-2.29%"
"01/17/2023","147.73","146.86","147.85","145.92","1.49M","0.32%"
"01/13/2023","147.26","146.47","147.95","146.07","1.24M","0.44%"
"01/12/2023","146.62","147.94","148.27","144.87","1.59M","-0.89%"
"01/11/2023","147.94","146.64","148.58","146.29","1.97M","1.41%"
"01/10/2023","145.88","143.97","146.30","142.28","1.73M","1.33%"
"01/09/2023","143.97","145.83","146.68","143.87","2.35M","-1.28%"
"01/06/2023","145.83","143.65","146.79","143.65","1.85M","2.29%"
"01/05/2023","142.56","140.14","143.25","138.55","1.67M","1.45%"
"01/04/2023","140.52","140.55","141.77","137.95","1.33M","0.19%"
"01/03/2023","140.26","141.62","143.06","139.76","2.14M","-0.83%"
"12/30/2022","141.44","142.56","142.98","140.36","1.06M","-1.08%"
"12/29/2022","142.99","142.18","143.95","141.74","856.06K","1.02%"
"12/28/2022","141.54","142.41","143.75","141.45","1.34M","-0.44%"
"12/27/2022","142.17","142.35","142.74","141.48","1.31M","0.18%"
"12/23/2022","141.91","140.15","142.33","139.23","1.02M","1.33%"
"12/22/2022","140.05","139.80","140.77","137.77","1.62M","-0.09%"
"12/21/2022","140.18","140.66","141.01","137.34","2.06M","0.70%"
"12/20/2022","139.21","139.12","139.87","137.40","1.97M","-0.15%"
"12/19/2022","139.42","142.89","143.00","139.13","2.18M","-2.26%"
"12/16/2022","142.65","143.87","144.69","142.01","3.59M","-1.70%"
"12/15/2022","145.11","145.54","146.71","143.73","2.29M","-0.95%"
"12/14/2022","146.50","145.07","148.41","144.71","1.81M","1.34%"
"12/13/2022","144.56","147.91","147.91","143.62","2.20M","0.24%"
"12/12/2022","144.22","143.41","144.28","141.11","1.47M","1.34%"
"12/09/2022","142.31","143.51","143.87","141.60","2.24M","-1.52%"
"12/08/2022","144.50","144.84","145.54","142.79","2.31M","-0.34%"
"12/07/2022","144.99","144.44","145.85","143.33","1.95M","-0.07%"
"12/06/2022","145.09","147.28","148.98","144.55","1.60M","-1.86%"
"12/05/2022","147.84","150.70","150.78","147.82","2.22M","-2.22%"
"12/02/2022","151.20","149.05","151.24","148.72","1.81M","0.99%"
"12/01/2022","149.72","148.58","150.07","146.35","3.06M","-0.38%"
"11/30/2022","150.29","146.22","150.82","145.52","3.96M","2.59%"
"11/29/2022","146.50","147.81","148.03","143.86","3.20M","-0.88%"
"11/28/2022","147.80","150.87","151.10","147.68","3.81M","-2.33%"
"11/25/2022","151.33","150.75","151.78","148.53","1.55M","0.79%"
"11/23/2022","150.14","151.60","152.41","149.19","2.75M","-1.46%"
"11/22/2022","152.37","154.39","156.18","147.11","7.40M","-7.79%"
"11/21/2022","165.24","164.32","166.15","159.36","3.45M","1.15%"
"11/18/2022","163.36","164.33","165.76","159.67","1.97M","-0.21%"
"11/17/2022","163.70","165.43","165.43","161.24","2.62M","-1.56%"
"11/16/2022","166.30","163.88","167.96","162.26","3.00M","-1.50%"
"11/15/2022","168.84","167.76","170.36","166.51","2.29M","2.64%"
"11/14/2022","164.50","165.94","169.43","164.40","1.85M","-0.67%"
"11/11/2022","165.61","164.06","166.43","161.05","1.73M","1.53%"
"11/10/2022","163.12","160.00","163.67","157.38","2.97M","5.32%"
"11/09/2022","154.88","160.35","161.30","154.03","2.10M","-3.85%"
"11/08/2022","161.09","161.67","164.12","159.56","1.21M","0.66%"
"11/07/2022","160.03","156.67","161.54","156.67","2.82M","2.32%"
"11/04/2022","156.40","156.44","157.82","154.65","1.17M","0.26%"
"11/03/2022","156.00","152.70","157.50","151.97","1.47M","1.83%"
"11/02/2022","153.20","158.40","158.40","153.06","2.32M","-3.11%"
"11/01/2022","158.12","159.02","159.94","157.20","1.56M","-0.24%"
"10/31/2022","158.50","157.76","159.33","157.06","1.96M","-0.03%"
"10/28/2022","158.55","155.91","159.42","155.34","1.77M","1.50%"
"10/27/2022","156.21","154.08","157.29","153.88","2.92M","1.64%"
"10/26/2022","153.69","154.83","156.53","153.39","2.07M","-0.14%"
"10/25/2022","153.90","149.50","155.10","149.03","2.61M","3.29%"
"10/24/2022","149.00","144.75","149.99","144.44","3.18M","3.75%"
"10/21/2022","143.61","139.12","143.74","138.37","2.03M","3.29%"
"10/20/2022","139.03","140.90","140.93","137.00","1.82M","-0.67%"
"10/19/2022","139.97","139.66","141.59","139.04","1.41M","0.14%"
"10/18/2022","139.78","139.40","141.18","138.18","1.72M","1.90%"
"10/17/2022","137.17","137.98","138.59","136.77","3.60M","0.80%"
"10/14/2022","136.08","140.73","141.65","135.70","1.77M","-3.16%"
"10/13/2022","140.52","136.94","142.66","135.41","1.78M","1.30%"
"10/12/2022","138.71","142.06","143.35","138.65","2.20M","-2.10%"
"10/11/2022","141.69","141.91","144.21","141.21","1.51M","0.16%"
"10/10/2022","141.46","142.18","142.31","139.55","964.01K","-0.35%"
"10/07/2022","141.95","142.10","142.87","139.98","3.12M","-0.13%"
"10/06/2022","142.13","143.12","144.52","141.42","1.63M","-0.44%"
"10/05/2022","142.76","141.81","143.46","140.35","1.24M","0.43%"
"10/04/2022","142.15","142.47","143.91","140.69","2.53M","0.35%"
"10/03/2022","141.65","137.51","142.53","136.38","2.26M","4.08%"
"09/30/2022","136.10","137.07","137.80","134.30","2.79M","-0.54%"
"09/29/2022","136.84","136.21","137.04","134.57","2.23M","-0.82%"
"09/28/2022","137.97","136.94","138.89","135.75","1.64M","1.42%"
"09/27/2022","136.04","139.30","140.35","135.73","2.73M","-1.58%"
"09/26/2022","138.23","141.95","143.37","138.18","3.35M","-2.17%"
"09/23/2022","141.29","138.40","142.02","138.26","2.32M","1.41%"
"09/22/2022","139.33","141.95","142.08","138.42","1.82M","-1.79%"
"09/21/2022","141.87","143.39","145.18","141.32","2.43M","-0.53%"
"09/20/2022","142.62","142.30","143.42","140.65","2.37M","-0.20%"
"09/19/2022","142.91","141.43","144.72","141.25","2.63M","0.70%"
"09/16/2022","141.92","138.03","142.30","137.72","5.63M","2.89%"
"09/15/2022","137.94","138.32","139.89","136.52","1.83M","-0.05%"
"09/14/2022","138.01","138.93","139.44","136.69","3.39M","-0.35%"
"09/13/2022","138.50","142.18","144.20","137.77","2.80M","-4.97%"
"09/12/2022","145.75","144.23","146.17","144.22","2.42M","0.90%"
"09/09/2022","144.45","142.84","144.86","142.01","2.04M","2.04%"
"09/08/2022","141.56","142.27","144.22","140.64","2.44M","-1.09%"
"09/07/2022","143.12","138.46","144.00","138.46","2.57M","3.48%"
"09/06/2022","138.31","138.40","138.70","135.35","3.47M","1.27%"
"09/02/2022","136.58","137.38","138.35","135.10","2.89M","-0.58%"
"09/01/2022","137.38","134.86","137.85","134.33","2.82M","1.25%"
"08/31/2022","135.68","137.14","137.83","135.41","3.03M","-1.67%"
"08/30/2022","137.98","137.20","139.71","135.13","3.78M","0.42%"
"08/29/2022","137.40","136.06","141.05","134.74","4.64M","-0.94%"
"08/26/2022","138.70","149.21","149.48","137.85","7.14M","-6.92%"
"08/25/2022","149.01","149.03","153.17","144.31","12.37M","-10.22%"
"08/24/2022","165.98","166.62","166.96","163.77","2.76M","-0.08%"
"08/23/2022","166.11","167.00","168.77","165.33","2.70M","-0.78%"
"08/22/2022","167.42","168.15","168.49","166.74","2.14M","-0.16%"
"08/19/2022","167.68","166.51","168.74","166.37","1.69M","-0.22%"
"08/18/2022","168.05","168.13","168.90","166.15","1.16M","-0.08%"
"08/17/2022","168.18","167.15","169.79","166.20","1.48M","-0.02%"
"08/16/2022","168.22","167.66","169.16","166.34","2.07M","1.38%"
"08/15/2022","165.93","165.34","167.43","163.57","1.69M","-0.50%"
"08/12/2022","166.76","165.23","166.79","164.00","968.21K","0.84%"
"08/11/2022","165.37","167.31","168.72","164.52","1.58M","-0.36%"
"08/10/2022","165.97","170.14","171.39","165.73","1.71M","-1.76%"
"08/09/2022","168.95","166.49","169.02","165.55","1.29M","1.60%"
"08/08/2022","166.29","165.90","169.68","165.80","1.58M","0.80%"
"08/05/2022","164.97","161.78","165.24","161.00","1.10M","1.73%"
"08/04/2022","162.16","165.35","165.48","161.89","995.81K","-1.77%"
"08/03/2022","165.09","166.21","167.63","163.58","1.10M","0.21%"
"08/02/2022","164.75","166.99","166.99","164.20","892.04K","-1.16%"
"08/01/2022","166.69","166.53","170.80","165.71","1.72M","0.80%"
"07/29/2022","165.36","162.16","165.46","162.16","2.24M","1.24%"
"07/28/2022","163.34","160.27","164.93","159.01","2.50M","1.37%"
"07/27/2022","161.13","157.86","162.00","155.15","2.25M","2.10%"
"07/26/2022","157.82","162.68","164.65","157.11","3.23M","-6.29%"
"07/25/2022","168.42","171.31","171.35","167.40","1.93M","-2.09%"
"07/22/2022","172.01","172.45","175.68","170.49","1.80M","0.19%"
"07/21/2022","171.68","172.80","174.00","164.80","3.26M","-0.95%"
"07/20/2022","173.32","170.59","173.68","169.88","2.28M","1.83%"
"07/19/2022","170.21","170.00","171.03","168.12","1.58M","0.42%"
"07/18/2022","169.50","168.56","171.24","168.31","1.72M","0.92%"
"07/15/2022","167.96","170.29","171.70","167.19","2.15M","-0.47%"
"07/14/2022","168.76","163.83","169.25","163.83","2.49M","1.70%"
"07/13/2022","165.94","163.82","167.07","162.37","1.75M","1.10%"
"07/12/2022","164.13","165.57","168.43","163.13","1.37M","-1.23%"
"07/11/2022","166.17","166.54","167.55","164.58","1.48M","-0.71%"
"07/08/2022","167.36","169.48","169.76","166.39","1.37M","-0.85%"
"07/07/2022","168.79","165.84","170.19","165.38","1.77M","1.81%"
"07/06/2022","165.79","164.30","166.91","163.59","1.54M","0.58%"
"07/05/2022","164.84","157.09","165.07","156.71","3.34M","5.48%"
"07/01/2022","156.27","154.00","156.50","152.30","1.57M","0.27%"
"06/30/2022","155.85","154.63","157.07","152.54","1.92M","-0.25%"
"06/29/2022","156.24","154.42","156.59","153.20","1.62M","1.74%"
"06/28/2022","153.57","156.90","160.24","152.74","1.65M","-2.27%"
"06/27/2022","157.13","157.39","159.58","156.08","1.64M","-0.05%"
"06/24/2022","157.21","156.29","157.92","154.45","3.45M","1.09%"
"06/23/2022","155.51","156.17","156.20","152.23","2.30M","0.31%"
"06/22/2022","155.03","154.19","155.99","154.19","2.02M","-0.86%"
"06/21/2022","156.38","152.26","156.49","150.00","2.78M","4.19%"
