"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","60.00","59.60","60.24","59.41","3.96M","0.08%"
"02/02/2023","59.95","60.07","60.42","59.54","4.72M","-0.45%"
"02/01/2023","60.22","59.28","60.72","58.80","5.64M","1.47%"
"01/31/2023","59.35","58.07","59.45","57.82","5.74M","2.42%"
"01/30/2023","57.95","58.63","59.24","57.80","4.82M","-1.73%"
"01/27/2023","58.97","58.04","59.33","57.81","6.77M","1.46%"
"01/26/2023","58.12","56.66","58.57","55.83","8.00M","0.40%"
"01/25/2023","57.89","57.36","57.97","56.85","5.49M","-0.53%"
"01/24/2023","58.20","57.71","58.46","57.17","5.26M","0.28%"
"01/23/2023","58.04","57.43","58.40","57.22","5.21M","1.04%"
"01/20/2023","57.44","56.73","57.56","56.32","6.71M","1.48%"
"01/19/2023","56.60","56.57","56.99","55.85","5.00M","-0.42%"
"01/18/2023","56.84","58.02","58.35","56.77","5.64M","-0.98%"
"01/17/2023","57.40","58.31","58.48","57.26","5.95M","-2.18%"
"01/13/2023","58.68","58.00","58.78","57.79","4.04M","0.27%"
"01/12/2023","58.52","57.96","58.80","57.50","7.31M","1.63%"
"01/11/2023","57.58","57.31","57.89","57.02","8.93M","1.97%"
"01/10/2023","56.47","55.41","56.58","55.30","6.60M","2.15%"
"01/09/2023","55.28","55.04","56.19","54.82","6.47M","0.47%"
"01/06/2023","55.02","53.64","55.24","53.32","6.10M","3.99%"
"01/05/2023","52.91","52.02","52.98","51.52","4.78M","1.11%"
"01/04/2023","52.33","51.66","52.51","51.40","4.53M","2.53%"
"01/03/2023","51.04","50.60","51.15","50.31","3.96M","1.29%"
"12/30/2022","50.39","50.26","50.53","49.98","2.70M","-0.51%"
"12/29/2022","50.65","50.07","50.80","50.00","2.74M","1.32%"
"12/28/2022","49.99","51.17","51.35","49.90","3.32M","-2.34%"
"12/27/2022","51.19","50.91","51.22","50.75","3.07M","0.65%"
"12/23/2022","50.86","50.20","50.91","49.95","2.63M","1.38%"
"12/22/2022","50.17","50.16","50.25","49.15","3.34M","-0.99%"
"12/21/2022","50.67","50.16","50.93","50.07","3.84M","2.03%"
"12/20/2022","49.66","49.35","50.01","49.35","4.00M","0.67%"
"12/19/2022","49.33","49.81","50.31","48.76","4.54M","-0.94%"
"12/16/2022","49.80","49.22","49.97","48.88","8.97M","0.55%"
"12/15/2022","49.53","50.46","50.56","49.36","6.19M","-3.56%"
"12/14/2022","51.36","51.50","52.05","50.97","4.06M","-0.39%"
"12/13/2022","51.56","52.50","52.83","51.29","4.87M","0.88%"
"12/12/2022","51.11","50.32","51.13","49.84","5.15M","1.81%"
"12/09/2022","50.20","50.51","51.40","50.12","3.81M","-0.71%"
"12/08/2022","50.56","51.18","51.43","50.31","3.81M","-0.28%"
"12/07/2022","50.70","50.82","51.34","50.26","4.25M","-0.69%"
"12/06/2022","51.05","51.45","51.87","50.57","4.37M","-0.39%"
"12/05/2022","51.25","51.46","51.94","50.99","5.11M","-0.58%"
"12/02/2022","51.55","50.47","51.70","50.43","4.86M","0.94%"
"12/01/2022","51.07","51.25","51.51","50.80","4.76M","0.20%"
"11/30/2022","50.97","50.52","50.97","49.38","7.19M","0.63%"
"11/29/2022","50.65","50.25","50.83","49.88","4.91M","0.90%"
"11/28/2022","50.20","50.85","51.15","49.94","5.66M","-2.64%"
"11/25/2022","51.56","51.50","51.82","51.42","1.65M","0.02%"
"11/23/2022","51.55","51.29","51.74","51.14","3.35M","-0.04%"
"11/22/2022","51.57","50.99","51.78","50.87","4.50M","2.79%"
"11/21/2022","50.17","49.44","50.67","48.58","5.72M","0.20%"
"11/18/2022","50.07","50.49","50.52","49.36","3.75M","-0.12%"
"11/17/2022","50.13","49.65","50.15","49.19","3.62M","-0.75%"
"11/16/2022","50.51","51.15","51.22","50.22","4.29M","-2.11%"
"11/15/2022","51.60","52.41","52.70","51.14","4.45M","-0.67%"
"11/14/2022","51.95","52.47","52.90","51.86","5.48M","-2.24%"
"11/11/2022","53.14","51.00","53.44","50.90","9.01M","6.37%"
"11/10/2022","49.96","49.45","50.02","49.12","6.59M","4.78%"
"11/09/2022","47.68","49.35","49.39","47.57","5.09M","-3.97%"
"11/08/2022","49.65","49.89","50.35","49.45","4.74M","0.30%"
"11/07/2022","49.50","48.99","49.53","48.31","5.85M","0.96%"
"11/04/2022","49.03","48.27","49.88","48.13","10.59M","5.46%"
"11/03/2022","46.49","46.27","46.97","45.97","5.12M","-0.94%"
"11/02/2022","46.93","46.86","48.62","46.78","7.31M","0.00%"
"11/01/2022","46.93","47.42","47.57","46.75","4.89M","0.41%"
"10/31/2022","46.74","47.48","47.82","46.63","6.43M","-1.56%"
"10/28/2022","47.48","47.20","47.77","46.81","6.94M","-0.29%"
"10/27/2022","47.62","48.12","48.49","47.47","4.52M","-0.77%"
"10/26/2022","47.99","48.00","48.55","47.89","6.02M","0.29%"
"10/25/2022","47.85","46.71","47.94","46.53","5.20M","1.72%"
"10/24/2022","47.04","46.89","47.31","46.33","5.65M","0.36%"
"10/21/2022","46.87","45.02","46.92","44.95","7.48M","4.32%"
"10/20/2022","44.93","45.39","47.63","44.90","9.26M","-0.44%"
"10/19/2022","45.13","46.24","46.60","45.09","8.37M","-2.70%"
"10/18/2022","46.38","46.28","46.94","45.38","8.01M","2.47%"
"10/17/2022","45.26","45.91","46.07","44.99","6.20M","0.31%"
"10/14/2022","45.12","46.29","46.40","44.74","5.89M","-1.74%"
"10/13/2022","45.92","43.00","46.50","42.91","8.30M","4.82%"
"10/12/2022","43.81","43.94","44.23","43.54","4.98M","-0.32%"
"10/11/2022","43.95","44.28","44.79","43.42","5.22M","-2.07%"
"10/10/2022","44.88","44.98","45.44","44.56","4.69M","1.06%"
"10/07/2022","44.41","45.05","45.44","44.20","5.27M","-2.44%"
"10/06/2022","45.52","45.70","46.10","45.31","5.43M","-1.17%"
"10/05/2022","46.06","45.92","46.44","45.51","5.56M","-1.20%"
"10/04/2022","46.62","45.80","46.73","45.63","6.96M","2.96%"
"10/03/2022","45.28","44.94","45.74","44.45","6.87M","3.07%"
"09/30/2022","43.93","44.17","44.84","43.80","5.87M","-0.52%"
"09/29/2022","44.16","44.50","44.69","43.49","4.91M","-1.98%"
"09/28/2022","45.05","44.08","45.51","43.91","8.32M","2.88%"
"09/27/2022","43.79","43.94","44.17","43.27","5.44M","0.92%"
"09/26/2022","43.39","43.52","44.26","43.16","5.50M","-1.16%"
"09/23/2022","43.90","44.00","44.20","43.04","6.73M","-1.94%"
"09/22/2022","44.77","45.28","45.55","44.75","4.65M","-0.47%"
"09/21/2022","44.98","46.42","46.59","44.97","5.82M","-2.41%"
"09/20/2022","46.09","45.95","46.28","45.37","5.00M","-1.39%"
"09/19/2022","46.74","45.64","46.88","45.47","4.90M","0.69%"
