"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","359.62","357.16","363.24","355.06","392.91K","-0.24%"
"02/02/2023","360.47","365.10","369.97","356.31","688.31K","0.19%"
"02/01/2023","359.79","351.35","363.18","350.24","754.98K","1.92%"
"01/31/2023","353.00","346.24","353.62","343.37","630.13K","1.29%"
"01/30/2023","348.49","354.47","357.22","347.80","457.57K","-1.88%"
"01/27/2023","355.17","354.25","358.24","352.69","463.48K","0.32%"
"01/26/2023","354.04","353.41","360.73","351.11","755.42K","0.97%"
"01/25/2023","350.64","336.00","351.00","335.74","605.60K","3.33%"
"01/24/2023","339.34","342.79","343.53","334.39","574.16K","-1.77%"
"01/23/2023","345.45","345.40","347.49","337.65","610.92K","-0.74%"
"01/20/2023","348.04","350.91","350.91","342.10","577.18K","-0.23%"
"01/19/2023","348.85","345.77","354.49","345.74","829.82K","0.68%"
"01/18/2023","346.48","347.61","350.92","344.33","720.43K","0.67%"
"01/17/2023","344.19","345.00","350.87","342.03","684.07K","2.00%"
"01/13/2023","337.44","331.99","337.83","323.22","1.10M","-0.05%"
"01/12/2023","337.62","350.72","351.01","336.83","759.96K","-3.50%"
"01/11/2023","349.85","342.61","349.97","341.83","679.53K","2.98%"
"01/10/2023","339.73","331.85","340.84","330.67","648.05K","1.75%"
"01/09/2023","333.88","345.00","349.78","333.02","629.17K","-2.55%"
"01/06/2023","342.62","338.77","343.16","334.75","499.02K","1.12%"
"01/05/2023","338.83","341.00","341.00","335.02","475.73K","-1.61%"
"01/04/2023","344.39","343.09","345.55","339.51","568.23K","1.51%"
"01/03/2023","339.27","350.88","350.88","333.62","571.31K","-2.06%"
"12/30/2022","346.40","346.84","346.84","341.55","288.10K","-0.97%"
"12/29/2022","349.80","346.40","353.21","345.02","273.83K","1.56%"
"12/28/2022","344.41","354.32","355.74","344.38","306.41K","-2.82%"
"12/27/2022","354.40","352.05","354.94","347.48","302.35K","0.39%"
"12/23/2022","353.02","351.35","354.34","347.00","325.52K","0.23%"
"12/22/2022","352.21","355.84","355.84","343.92","350.54K","-1.71%"
"12/21/2022","358.33","355.11","360.29","355.05","391.52K","1.30%"
"12/20/2022","353.73","355.97","355.99","349.81","354.25K","-0.73%"
"12/19/2022","356.33","358.25","360.72","354.81","392.57K","-0.25%"
"12/16/2022","357.23","354.09","361.69","351.24","854.41K","0.07%"
"12/15/2022","356.99","365.05","365.05","351.48","649.47K","-2.66%"
"12/14/2022","366.74","360.00","369.17","358.19","640.92K","1.35%"
"12/13/2022","361.87","371.63","374.11","361.64","681.38K","-0.41%"
"12/12/2022","363.35","363.30","364.59","358.57","536.89K","0.19%"
"12/09/2022","362.65","372.74","378.64","362.51","562.39K","-3.28%"
"12/08/2022","374.94","373.46","375.55","368.63","449.77K","0.75%"
"12/07/2022","372.14","368.64","373.59","366.67","359.50K","0.75%"
"12/06/2022","369.36","378.74","379.00","363.73","624.09K","-3.12%"
"12/05/2022","381.26","387.45","387.60","378.15","530.66K","-0.39%"
"12/02/2022","382.76","381.10","385.04","379.38","393.75K","-0.73%"
"12/01/2022","385.58","391.22","392.04","384.85","371.07K","-0.81%"
"11/30/2022","388.73","383.05","391.00","377.08","833.16K","1.48%"
"11/29/2022","383.06","381.41","384.49","378.46","385.39K","0.20%"
"11/28/2022","382.29","388.94","391.53","381.77","375.54K","-1.74%"
"11/25/2022","389.06","392.56","395.00","387.31","184.94K","-0.68%"
"11/23/2022","391.74","378.86","392.00","378.53","486.60K","4.17%"
"11/22/2022","376.07","375.84","377.83","372.50","349.62K","-0.47%"
"11/21/2022","377.83","368.58","379.57","368.58","690.90K","2.70%"
"11/18/2022","367.89","374.19","381.80","365.06","791.72K","0.32%"
"11/17/2022","366.73","359.85","366.81","355.73","429.17K","0.62%"
"11/16/2022","364.47","368.64","376.59","361.92","467.31K","-0.62%"
"11/15/2022","366.74","372.43","375.53","365.73","597.26K","-0.94%"
"11/14/2022","370.23","365.71","378.04","363.91","772.94K","1.01%"
"11/11/2022","366.52","357.40","370.72","356.67","698.32K","2.43%"
"11/10/2022","357.82","347.79","358.51","342.57","833.44K","5.70%"
"11/09/2022","338.54","336.83","339.90","332.75","530.74K","0.31%"
"11/08/2022","337.49","347.96","351.35","335.00","572.54K","-3.00%"
"11/07/2022","347.93","359.95","360.38","347.49","804.40K","-3.26%"
"11/04/2022","359.65","354.42","360.07","347.92","894.05K","2.15%"
"11/03/2022","352.07","335.04","353.15","335.04","894.36K","3.85%"
"11/02/2022","339.03","334.48","349.00","333.56","1.06M","1.68%"
"11/01/2022","333.44","334.15","334.85","330.11","664.99K","0.36%"
"10/31/2022","332.24","334.99","339.20","331.58","546.73K","-0.76%"
"10/28/2022","334.80","328.94","335.06","327.80","481.64K","1.00%"
"10/27/2022","331.50","326.91","337.92","326.91","896.57K","2.94%"
"10/26/2022","322.02","329.77","331.15","321.57","821.53K","-2.09%"
"10/25/2022","328.88","324.97","332.79","324.82","610.52K","1.77%"
"10/24/2022","323.16","322.98","323.59","315.69","612.95K","0.50%"
"10/21/2022","321.56","320.42","322.74","314.12","753.85K","0.64%"
"10/20/2022","319.50","322.22","327.71","318.91","664.20K","-1.21%"
"10/19/2022","323.40","327.59","331.97","321.43","720.82K","-1.67%"
"10/18/2022","328.90","323.46","331.33","322.04","1.11M","2.41%"
"10/17/2022","321.16","322.99","326.99","318.14","982.96K","1.20%"
"10/14/2022","317.34","334.00","334.13","316.93","1.36M","-4.78%"
"10/13/2022","333.26","318.00","335.92","313.08","2.91M","10.44%"
"10/12/2022","301.76","303.30","305.24","299.41","766.20K","-0.57%"
"10/11/2022","303.50","310.52","312.04","302.35","974.21K","-1.99%"
"10/10/2022","309.67","315.70","316.01","304.42","993.35K","-1.54%"
"10/07/2022","314.52","320.43","321.04","312.86","709.42K","-2.99%"
"10/06/2022","324.22","336.28","336.75","320.89","713.19K","-3.26%"
"10/05/2022","335.13","328.00","336.65","324.53","661.59K","1.37%"
"10/04/2022","330.61","328.94","333.84","327.33","1.03M","4.48%"
"10/03/2022","316.44","311.15","318.33","300.63","843.71K","2.01%"
"09/30/2022","310.20","315.29","319.67","310.07","587.29K","-1.94%"
"09/29/2022","316.35","318.64","323.32","310.99","754.69K","-1.50%"
"09/28/2022","321.18","318.14","323.38","313.18","597.85K","2.22%"
"09/27/2022","314.19","326.84","328.92","313.22","854.54K","-3.25%"
"09/26/2022","324.74","329.54","329.54","321.46","764.34K","-1.59%"
"09/23/2022","330.00","324.00","336.52","322.01","1.38M","3.08%"
"09/22/2022","320.14","330.11","331.67","319.62","1.02M","-3.92%"
"09/21/2022","333.20","334.40","341.23","330.56","900.94K","0.26%"
"09/20/2022","332.35","329.79","336.21","326.82","1.15M","-0.19%"
"09/19/2022","332.98","341.21","342.73","330.04","904.84K","-2.91%"
"09/16/2022","342.97","348.26","350.95","338.83","920.90K","-1.87%"
"09/15/2022","349.51","339.62","351.15","339.44","832.76K","2.71%"
"09/14/2022","340.28","350.39","350.59","337.85","1.25M","-2.88%"
"09/13/2022","350.38","357.30","357.30","349.80","787.19K","-3.86%"
"09/12/2022","364.44","373.10","378.36","363.69","584.52K","-0.73%"
"09/09/2022","367.12","363.72","368.61","360.54","765.90K","1.41%"
"09/08/2022","362.00","359.57","363.82","357.34","710.25K","-0.17%"
"09/07/2022","362.61","363.88","366.85","359.93","772.58K","-0.04%"
"09/06/2022","362.77","365.84","365.84","356.02","659.27K","-0.83%"
"09/02/2022","365.80","374.61","374.61","364.51","473.12K","-1.57%"
"09/01/2022","371.62","370.16","372.74","367.26","453.39K","-0.06%"
"08/31/2022","371.86","381.09","381.69","370.90","526.48K","-2.24%"
"08/30/2022","380.37","379.56","385.30","377.55","429.29K","0.49%"
"08/29/2022","378.51","387.18","387.30","378.46","592.86K","-3.02%"
"08/26/2022","390.28","407.27","407.48","390.24","450.79K","-4.10%"
"08/25/2022","406.97","399.31","408.39","396.12","342.02K","2.52%"
"08/24/2022","396.96","393.32","397.36","390.02","376.28K","1.15%"
"08/23/2022","392.46","401.89","402.60","391.65","451.44K","-2.18%"
"08/22/2022","401.21","400.42","403.30","397.54","517.73K","-0.98%"
"08/19/2022","405.20","416.29","416.71","403.63","489.81K","-2.82%"
"08/18/2022","416.95","412.22","417.23","410.61","443.24K","1.20%"
"08/17/2022","411.99","408.74","415.82","406.89","573.18K","0.26%"
"08/16/2022","410.93","409.96","415.60","408.98","494.68K","0.02%"
"08/15/2022","410.86","411.99","414.51","408.79","430.59K","-0.33%"
"08/12/2022","412.24","406.21","415.50","406.09","508.35K","2.01%"
"08/11/2022","404.13","409.00","410.67","403.30","517.14K","-0.40%"
"08/10/2022","405.75","398.20","409.00","396.94","770.16K","3.36%"
"08/09/2022","392.56","395.11","396.11","390.85","556.52K","-0.59%"
"08/08/2022","394.89","390.76","397.16","389.77","543.82K","1.79%"
"08/05/2022","387.93","390.00","391.98","386.98","413.63K","-0.87%"
"08/04/2022","391.34","390.41","394.34","387.78","595.98K","0.11%"
"08/03/2022","390.91","394.02","394.02","388.30","562.20K","-0.04%"
"08/02/2022","391.07","388.74","395.74","386.39","432.36K","0.24%"
