"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","112.76","113.72","114.08","110.73","1.42M","-1.70%"
"02/02/2023","114.71","116.37","117.19","114.53","1.71M","-1.27%"
"02/01/2023","116.19","115.66","116.87","115.03","1.49M","-0.15%"
"01/31/2023","116.37","115.10","116.38","114.00","1.17M","1.78%"
"01/30/2023","114.33","113.36","115.26","113.14","888.67K","0.65%"
"01/27/2023","113.59","113.14","114.01","112.47","891.12K","0.21%"
"01/26/2023","113.35","112.97","113.78","112.51","723.38K","-0.05%"
"01/25/2023","113.41","112.84","113.44","112.31","884.25K","-0.02%"
"01/24/2023","113.43","114.32","114.32","112.30","743.50K","-0.30%"
"01/23/2023","113.77","114.06","114.85","113.11","1.03M","-0.18%"
"01/20/2023","113.97","112.46","114.06","110.45","1.57M","1.25%"
"01/19/2023","112.56","113.88","113.94","112.26","823.73K","-1.18%"
"01/18/2023","113.90","117.79","117.79","113.77","1.31M","-2.91%"
"01/17/2023","117.31","118.21","118.90","116.97","1.19M","-0.53%"
"01/13/2023","117.93","118.73","118.94","117.13","870.69K","-1.22%"
"01/12/2023","119.39","120.95","121.25","119.10","930.88K","-1.10%"
"01/11/2023","120.72","119.84","121.32","119.84","656.85K","0.58%"
"01/10/2023","120.02","120.10","120.19","119.02","641.90K","-0.37%"
"01/09/2023","120.46","119.17","121.22","119.17","899.73K","0.85%"
"01/06/2023","119.44","117.76","119.84","117.15","817.45K","2.45%"
"01/05/2023","116.58","118.74","119.41","116.40","838.94K","-2.49%"
"01/04/2023","119.56","118.40","120.39","118.25","970.84K","1.44%"
"01/03/2023","117.86","117.75","118.34","116.21","810.85K","0.28%"
"12/30/2022","117.53","119.07","119.15","116.51","550.54K","-1.38%"
"12/29/2022","119.18","118.67","119.76","118.60","530.51K","0.81%"
"12/28/2022","118.22","119.39","120.16","118.06","601.96K","-0.85%"
"12/27/2022","119.23","118.90","119.60","118.31","578.56K","0.58%"
"12/23/2022","118.54","116.34","118.57","116.34","710.80K","1.53%"
"12/22/2022","116.75","117.33","117.33","114.75","1.27M","-0.58%"
"12/21/2022","117.43","116.09","117.45","115.85","1.01M","1.70%"
"12/20/2022","115.47","115.10","116.05","114.25","1.34M","0.25%"
"12/19/2022","115.18","115.67","116.46","114.66","885.44K","-0.55%"
"12/16/2022","115.82","116.82","117.16","114.64","3.12M","-2.76%"
"12/15/2022","119.11","120.19","120.68","118.36","1.42M","-1.24%"
"12/14/2022","120.60","120.92","122.18","119.76","2.15M","0.12%"
"12/13/2022","120.46","121.73","122.40","119.07","1.59M","0.26%"
"12/12/2022","120.15","118.14","120.19","117.48","1.06M","2.53%"
"12/09/2022","117.19","117.30","118.22","116.88","1.46M","-0.40%"
"12/08/2022","117.66","115.85","117.91","115.16","1.53M","2.84%"
"12/07/2022","114.41","115.71","116.72","114.15","981.41K","-1.26%"
"12/06/2022","115.87","113.99","115.98","113.77","1.32M","1.59%"
"12/05/2022","114.06","114.20","115.20","113.80","1.80M","-0.87%"
"12/02/2022","115.06","115.00","115.30","114.18","1.32M","-0.91%"
"12/01/2022","116.12","117.08","118.25","116.07","1.97M","0.09%"
"11/30/2022","116.01","113.70","116.50","113.41","3.53M","1.65%"
"11/29/2022","114.13","114.76","115.29","113.46","1.21M","-1.01%"
"11/28/2022","115.30","113.91","115.72","113.88","1.97M","0.45%"
"11/25/2022","114.78","114.91","115.42","114.60","386.97K","0.25%"
"11/23/2022","114.49","112.83","114.53","112.66","965.98K","0.72%"
"11/22/2022","113.67","113.68","114.90","113.10","1.43M","0.59%"
"11/21/2022","113.00","114.89","114.89","112.00","2.97M","-1.40%"
"11/18/2022","114.60","114.50","116.50","114.39","2.30M","1.20%"
"11/17/2022","113.24","114.02","114.41","112.80","1.46M","-1.68%"
"11/16/2022","115.18","114.48","115.99","114.43","1.62M","0.61%"
"11/15/2022","114.48","114.20","115.22","113.05","1.26M","1.26%"
"11/14/2022","113.05","114.57","115.63","112.88","1.86M","-1.06%"
"11/11/2022","114.26","116.10","116.64","113.18","1.43M","-1.11%"
"11/10/2022","115.54","113.60","115.77","111.38","1.87M","4.31%"
"11/09/2022","110.77","111.25","111.57","110.51","1.25M","-0.43%"
