"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","85.48","85.50","85.92","84.58","448.08K","-0.40%"
"02/02/2023","85.82","84.39","87.03","84.39","826.79K","1.19%"
"02/01/2023","84.81","82.39","85.26","82.11","740.63K","2.94%"
"01/31/2023","82.39","81.18","82.41","80.53","546.11K","1.84%"
"01/30/2023","80.90","81.05","82.32","80.88","596.37K","-0.31%"
"01/27/2023","81.15","79.58","81.36","78.87","499.03K","1.93%"
"01/26/2023","79.61","77.72","79.82","77.67","554.96K","2.75%"
"01/25/2023","77.48","76.85","78.33","76.63","592.33K","0.22%"
"01/24/2023","77.31","79.78","80.04","77.12","614.25K","-3.48%"
"01/23/2023","80.10","80.32","81.85","80.04","458.23K","-0.27%"
"01/20/2023","80.32","79.80","80.47","79.50","414.45K","0.99%"
"01/19/2023","79.53","79.19","80.08","78.08","468.86K","0.14%"
"01/18/2023","79.42","79.25","81.30","79.15","495.08K","0.44%"
"01/17/2023","79.07","79.02","79.39","78.16","442.47K","0.05%"
"01/13/2023","79.03","77.91","79.40","77.91","437.41K","1.04%"
"01/12/2023","78.22","80.24","80.24","77.54","738.28K","-1.93%"
"01/11/2023","79.76","80.10","80.10","78.37","615.68K","-0.03%"
"01/10/2023","79.78","78.87","79.82","78.51","571.58K","1.36%"
"01/09/2023","78.71","80.95","81.17","78.67","552.64K","-2.89%"
"01/06/2023","81.05","79.49","81.87","78.72","687.46K","3.25%"
"01/05/2023","78.50","77.01","78.55","76.29","1.08M","1.75%"
"01/04/2023","77.15","75.40","77.31","75.20","931.26K","3.09%"
"01/03/2023","74.84","74.94","75.72","74.12","558.91K","0.23%"
"12/30/2022","74.67","74.69","75.11","73.90","478.92K","-0.72%"
"12/29/2022","75.21","73.19","75.29","73.19","482.51K","3.31%"
"12/28/2022","72.80","74.07","74.61","72.75","288.59K","-1.49%"
"12/27/2022","73.90","73.75","74.27","73.38","505.43K","0.19%"
"12/23/2022","73.76","73.16","74.00","73.16","354.01K","0.45%"
"12/22/2022","73.43","73.06","73.46","71.92","507.80K","0.33%"
"12/21/2022","73.19","71.28","73.26","71.19","854.65K","3.35%"
"12/20/2022","70.82","72.02","72.69","70.80","1.02M","-2.01%"
"12/19/2022","72.27","72.34","73.14","71.69","918.53K","-0.19%"
"12/16/2022","72.41","72.32","72.99","70.84","1.96M","-0.79%"
"12/15/2022","72.99","73.83","73.83","72.62","856.50K","-2.30%"
"12/14/2022","74.71","74.92","75.32","73.41","793.53K","-0.45%"
"12/13/2022","75.05","76.09","76.63","74.27","562.13K","0.24%"
"12/12/2022","74.87","74.55","75.43","74.01","436.38K","0.71%"
"12/09/2022","74.34","74.66","75.45","74.30","318.88K","-0.76%"
"12/08/2022","74.91","75.08","75.88","74.46","512.37K","0.11%"
"12/07/2022","74.83","74.09","75.25","74.09","587.35K","1.35%"
"12/06/2022","73.83","73.14","74.11","72.15","698.00K","0.52%"
"12/05/2022","73.45","73.63","74.09","73.07","401.10K","-1.20%"
"12/02/2022","74.34","72.85","74.65","72.81","463.25K","1.52%"
"12/01/2022","73.23","74.35","75.46","72.88","585.05K","-0.68%"
"11/30/2022","73.73","71.55","73.76","69.55","1.59M","2.90%"
"11/29/2022","71.65","72.30","73.17","71.64","521.23K","-0.60%"
"11/28/2022","72.08","73.44","73.91","71.82","601.52K","-2.49%"
"11/25/2022","73.92","72.72","73.99","72.54","360.01K","2.25%"
"11/23/2022","72.29","71.55","72.29","71.16","486.34K","0.89%"
"11/22/2022","71.65","71.49","72.11","70.66","560.91K","0.77%"
"11/21/2022","71.10","70.33","71.48","70.01","592.88K","0.64%"
"11/18/2022","70.65","70.23","70.99","69.45","572.09K","1.51%"
"11/17/2022","69.60","69.04","69.83","67.88","482.52K","0.37%"
"11/16/2022","69.34","70.00","70.36","68.84","521.08K","-1.21%"
"11/15/2022","70.19","72.41","73.24","69.74","1.08M","-2.65%"
"11/14/2022","72.10","72.24","72.98","71.24","933.27K","0.28%"
"11/11/2022","71.90","68.37","72.00","68.27","950.00K","5.04%"
"11/10/2022","68.45","66.80","70.13","66.67","1.15M","4.63%"
"11/09/2022","65.42","67.45","67.75","65.28","956.85K","-3.64%"
"11/08/2022","67.89","70.52","70.52","67.50","1.49M","-4.35%"
"11/07/2022","70.98","69.82","71.43","69.82","737.34K","0.85%"
"11/04/2022","70.38","68.92","70.42","67.51","969.54K","2.68%"
"11/03/2022","68.54","69.76","69.76","68.24","1.39M","-1.75%"
"11/02/2022","69.76","71.11","72.89","69.74","1.47M","-0.16%"
"11/01/2022","69.87","73.04","73.72","69.10","1.88M","-4.30%"
"10/31/2022","73.01","69.65","74.29","69.00","3.36M","3.50%"
"10/28/2022","70.54","77.20","77.50","69.26","5.45M","-27.09%"
"10/27/2022","96.75","99.35","99.90","96.74","1.43M","-2.58%"
"10/26/2022","99.31","96.12","99.35","96.12","770.04K","4.05%"
"10/25/2022","95.44","92.58","95.76","92.58","631.21K","2.94%"
"10/24/2022","92.71","90.50","92.86","90.50","552.65K","3.02%"
"10/21/2022","89.99","90.36","90.36","85.38","771.22K","-1.03%"
"10/20/2022","90.93","90.97","91.63","90.43","560.59K","0.29%"
"10/19/2022","90.67","90.00","91.68","89.56","529.05K","0.74%"
"10/18/2022","90.00","91.28","92.23","89.76","522.09K","0.13%"
"10/17/2022","89.88","90.44","90.88","89.73","367.62K","0.55%"
"10/14/2022","89.39","90.08","91.77","88.67","411.50K","-0.12%"
"10/13/2022","89.50","86.32","89.99","85.78","428.77K","2.36%"
"10/12/2022","87.44","88.15","88.43","87.09","444.70K","-0.57%"
"10/11/2022","87.94","87.43","88.57","86.28","594.58K","0.66%"
"10/10/2022","87.36","87.18","88.00","86.59","444.50K","0.22%"
"10/07/2022","87.17","87.97","88.04","86.62","646.13K","-1.97%"
"10/06/2022","88.92","89.16","89.67","88.48","614.67K","-0.38%"
"10/05/2022","89.26","88.55","89.76","87.32","559.26K","-0.12%"
"10/04/2022","89.37","87.07","89.98","86.77","550.44K","3.43%"
"10/03/2022","86.41","83.02","86.67","82.94","546.08K","4.40%"
"09/30/2022","82.77","84.31","85.37","82.70","502.50K","-1.42%"
"09/29/2022","83.96","84.46","84.65","82.56","391.19K","-1.37%"
"09/28/2022","85.13","83.84","85.55","83.18","469.84K","2.84%"
"09/27/2022","82.78","84.88","85.28","82.56","512.45K","-1.92%"
"09/26/2022","84.40","86.11","86.55","83.90","509.59K","-2.21%"
"09/23/2022","86.31","86.42","86.74","84.33","968.21K","-1.35%"
"09/22/2022","87.49","88.96","89.24","86.06","694.59K","-2.44%"
"09/21/2022","89.68","92.32","93.11","89.68","591.63K","-1.90%"
"09/20/2022","91.42","92.77","93.26","90.53","621.01K","-1.71%"
"09/19/2022","93.01","92.02","93.15","91.36","558.01K","0.20%"
"09/16/2022","92.82","92.46","93.50","91.34","1.69M","0.04%"
"09/15/2022","92.78","91.40","93.52","90.96","597.48K","2.11%"
"09/14/2022","90.86","92.55","92.87","89.63","740.75K","-1.51%"
"09/13/2022","92.25","94.00","94.26","92.14","669.54K","-3.17%"
"09/12/2022","95.27","93.23","96.37","92.72","1.07M","2.86%"
"09/09/2022","92.62","91.80","93.68","91.80","519.13K","1.48%"
"09/08/2022","91.27","90.01","91.65","89.71","512.34K","0.91%"
"09/07/2022","90.45","88.29","90.70","87.91","654.66K","2.48%"
"09/06/2022","88.26","87.53","89.35","87.53","755.77K","0.52%"
"09/02/2022","87.80","87.49","89.16","86.51","701.70K","1.00%"
"09/01/2022","86.93","85.00","87.07","83.43","985.17K","1.92%"
"08/31/2022","85.29","87.18","87.92","85.27","892.72K","-2.07%"
"08/30/2022","87.09","89.43","89.43","86.93","450.58K","-2.09%"
"08/29/2022","88.95","87.86","89.43","86.70","370.31K","0.34%"
"08/26/2022","88.65","92.38","92.51","88.64","583.89K","-3.81%"
"08/25/2022","92.16","91.37","92.41","90.96","443.81K","1.02%"
"08/24/2022","91.23","91.79","92.18","90.57","492.11K","-1.15%"
"08/23/2022","92.29","92.39","93.03","92.09","567.61K","-0.11%"
"08/22/2022","92.39","92.76","93.06","92.04","494.60K","-0.88%"
"08/19/2022","93.21","91.40","94.55","91.40","1.04M","3.98%"
"08/18/2022","89.64","89.70","90.04","88.30","367.81K","0.07%"
"08/17/2022","89.58","91.91","92.24","89.16","568.53K","-3.59%"
"08/16/2022","92.92","92.20","93.61","92.18","679.64K","0.63%"
"08/15/2022","92.34","92.32","93.12","91.08","498.58K","-0.15%"
"08/12/2022","92.48","92.00","92.75","91.43","489.01K","0.97%"
"08/11/2022","91.59","91.43","94.06","91.15","720.87K","0.43%"
"08/10/2022","91.20","90.27","91.61","89.87","633.04K","2.15%"
"08/09/2022","89.28","88.80","91.06","88.56","973.97K","0.92%"
"08/08/2022","88.47","86.02","89.09","86.02","1.01M","3.26%"
"08/05/2022","85.68","85.40","86.38","84.37","629.76K","0.43%"
"08/04/2022","85.31","84.95","86.50","84.62","647.06K","0.60%"
"08/03/2022","84.80","85.88","86.23","83.00","913.57K","-1.91%"
"08/02/2022","86.45","86.86","88.58","84.92","1.66M","1.89%"
"08/01/2022","84.85","84.10","85.57","83.69","1.26M","0.82%"
"07/29/2022","84.16","83.51","84.28","82.74","1.32M","0.90%"
"07/28/2022","83.41","84.36","84.99","80.86","1.77M","-4.04%"
"07/27/2022","86.92","85.48","87.23","85.00","713.11K","1.58%"
"07/26/2022","85.57","85.92","86.84","85.25","693.37K","-0.37%"
"07/25/2022","85.89","87.18","88.30","85.36","694.75K","-1.39%"
"07/22/2022","87.10","89.31","89.89","86.44","730.64K","1.08%"
"07/21/2022","86.17","85.83","86.18","84.74","655.16K","0.00%"
"07/20/2022","86.17","87.74","87.90","85.83","592.41K","-1.71%"
"07/19/2022","87.67","85.66","87.93","85.16","531.60K","3.19%"
"07/18/2022","84.96","85.72","86.48","84.88","610.66K","-0.60%"
"07/15/2022","85.47","84.04","85.85","83.48","724.91K","3.44%"
"07/14/2022","82.63","83.01","83.66","81.58","633.59K","-1.61%"
"07/13/2022","83.98","84.16","85.25","83.42","666.16K","-0.62%"
"07/12/2022","84.50","81.58","85.09","81.58","742.36K","3.10%"
"07/11/2022","81.96","82.38","83.01","81.44","671.50K","-1.40%"
"07/08/2022","83.12","83.93","85.72","83.07","907.59K","-0.72%"
"07/07/2022","83.72","80.63","83.83","80.63","856.79K","4.34%"
"07/06/2022","80.24","81.54","82.46","79.59","1.14M","-2.23%"
"07/05/2022","82.07","81.86","82.67","80.25","692.69K","-1.25%"
"07/01/2022","83.11","80.07","83.40","78.41","929.83K","3.94%"
"06/30/2022","79.96","80.66","80.87","79.07","844.97K","-1.84%"
"06/29/2022","81.46","81.36","82.19","78.92","760.11K","0.20%"
"06/28/2022","81.30","81.50","83.27","80.92","1.30M","2.34%"
"06/27/2022","79.44","77.71","79.63","76.80","806.57K","2.50%"
"06/24/2022","77.50","78.57","80.24","76.60","1.94M","-0.55%"
"06/23/2022","77.93","80.00","80.56","76.37","1.85M","-3.29%"
"06/22/2022","80.58","75.15","80.78","75.00","3.18M","5.96%"
"06/21/2022","76.05","90.36","91.62","74.97","6.01M","-15.01%"
"06/17/2022","89.48","88.09","90.43","88.09","1.54M","1.75%"
"06/16/2022","87.94","88.79","89.11","87.19","1.02M","-2.45%"
