"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","60.85","61.00","62.53","60.76","6.56M","-0.16%"
"02/02/2023","60.95","62.06","62.06","60.00","8.74M","-1.52%"
"02/01/2023","61.89","62.56","62.80","60.74","9.59M","-2.13%"
"01/31/2023","63.24","62.40","63.74","61.96","7.47M","1.44%"
"01/30/2023","62.34","64.60","64.94","62.29","7.99M","-4.49%"
"01/27/2023","65.27","65.72","66.96","65.25","7.21M","-0.68%"
"01/26/2023","65.72","65.13","65.73","63.69","6.33M","2.42%"
"01/25/2023","64.17","63.40","64.18","62.41","5.80M","0.31%"
"01/24/2023","63.97","65.75","66.12","63.81","7.02M","-2.72%"
"01/23/2023","65.76","65.33","66.26","65.04","6.24M","1.56%"
"01/20/2023","64.75","64.31","64.95","63.39","7.09M","1.05%"
"01/19/2023","64.08","62.18","64.20","62.04","7.31M","2.33%"
"01/18/2023","62.62","64.04","65.41","62.59","8.31M","-1.37%"
"01/17/2023","63.49","63.77","64.39","63.19","5.37M","-0.16%"
"01/13/2023","63.59","63.91","64.15","62.88","5.47M","-0.69%"
"01/12/2023","64.03","63.44","64.78","63.27","7.21M","1.88%"
"01/11/2023","62.85","63.94","64.11","62.26","7.55M","-0.44%"
"01/10/2023","63.13","62.80","63.16","61.47","5.88M","1.50%"
"01/09/2023","62.20","62.69","63.49","61.94","7.56M","1.58%"
"01/06/2023","61.23","61.17","62.26","60.80","7.33M","1.76%"
"01/05/2023","60.17","58.86","60.50","58.57","8.80M","2.16%"
"01/04/2023","58.90","56.88","59.26","56.41","9.66M","1.34%"
"01/03/2023","58.12","60.73","61.26","57.22","10.60M","-5.51%"
"12/30/2022","61.51","60.95","61.57","60.52","6.69M","0.77%"
"12/29/2022","61.04","60.35","61.53","60.14","6.33M","0.25%"
"12/28/2022","60.89","62.85","62.87","60.64","6.51M","-3.72%"
"12/27/2022","63.24","63.02","63.63","62.63","6.72M","1.17%"
"12/23/2022","62.51","60.93","62.52","60.44","6.10M","3.99%"
"12/22/2022","60.11","61.56","61.76","58.59","8.05M","-2.67%"
"12/21/2022","61.76","60.88","61.90","60.22","7.98M","4.04%"
"12/20/2022","59.36","58.95","59.90","58.56","7.57M","0.17%"
"12/19/2022","59.26","60.45","60.92","58.72","7.00M","-1.36%"
"12/16/2022","60.08","60.00","60.76","59.06","14.38M","-2.44%"
"12/15/2022","61.58","61.13","61.77","60.26","7.96M","-0.55%"
"12/14/2022","61.92","62.63","63.09","60.83","9.06M","-0.10%"
"12/13/2022","61.98","62.64","63.09","61.00","10.86M","1.47%"
"12/12/2022","61.08","59.99","61.49","59.57","10.57M","2.45%"
"12/09/2022","59.62","61.95","62.38","59.54","13.15M","-6.11%"
"12/08/2022","63.50","65.90","66.38","63.05","13.34M","-1.17%"
"12/07/2022","64.25","64.57","65.46","63.40","10.45M","0.19%"
"12/06/2022","64.13","66.00","67.26","63.64","10.25M","-3.64%"
"12/05/2022","66.55","69.75","70.42","65.85","11.17M","-2.79%"
"12/02/2022","68.46","68.00","69.48","68.00","8.25M","0.26%"
"12/01/2022","68.28","69.55","70.13","68.14","7.64M","-0.35%"
"11/30/2022","68.52","68.70","68.88","66.91","13.84M","1.51%"
"11/29/2022","67.50","67.70","68.16","66.53","10.03M","1.46%"
"11/28/2022","66.53","66.04","67.85","65.18","9.72M","-2.66%"
"11/25/2022","68.35","68.45","69.10","67.96","3.52M","0.81%"
"11/23/2022","67.80","67.50","68.33","66.71","9.89M","-1.12%"
"11/22/2022","68.57","68.13","70.43","67.58","14.04M","2.05%"
"11/21/2022","67.19","67.60","68.05","65.02","15.27M","-3.49%"
