"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","28.89","29.03","29.68","28.82","2.17M","-2.37%"
"02/02/2023","29.59","29.24","30.27","28.56","3.96M","2.60%"
"02/01/2023","28.84","28.73","28.93","28.06","3.07M","0.38%"
"01/31/2023","28.73","28.09","28.73","27.84","1.54M","2.21%"
"01/30/2023","28.11","27.89","28.47","27.88","916.55K","-0.57%"
"01/27/2023","28.27","28.37","28.76","28.24","1.12M","-1.02%"
"01/26/2023","28.56","28.14","28.59","27.85","823.59K","2.44%"
"01/25/2023","27.88","27.69","27.97","27.60","1.06M","-0.46%"
"01/24/2023","28.01","28.76","28.93","28.00","1.45M","-3.88%"
"01/23/2023","29.14","28.51","29.42","28.39","1.36M","2.61%"
"01/20/2023","28.40","28.38","28.75","28.20","1.15M","0.82%"
"01/19/2023","28.17","28.14","28.74","28.05","1.45M","-2.73%"
"01/18/2023","28.96","29.17","29.73","28.94","1.80M","-0.48%"
"01/17/2023","29.10","28.82","29.30","28.66","1.18M","1.01%"
"01/13/2023","28.81","28.58","28.85","28.37","960.44K","-0.03%"
"01/12/2023","28.82","28.48","28.91","28.42","1.06M","1.84%"
"01/11/2023","28.30","28.46","28.48","27.76","1.61M","-0.63%"
"01/10/2023","28.48","28.22","28.55","28.14","1.04M","0.74%"
"01/09/2023","28.27","28.37","28.75","28.21","1.55M","0.35%"
"01/06/2023","28.17","27.88","28.40","27.58","1.49M","1.84%"
"01/05/2023","27.66","27.88","28.13","27.58","1.74M","-1.85%"
"01/04/2023","28.18","28.05","28.37","27.64","1.47M","1.84%"
"01/03/2023","27.67","26.72","27.75","26.65","1.89M","4.42%"
"12/30/2022","26.50","26.45","26.58","26.03","1.53M","-0.90%"
"12/29/2022","26.74","26.12","26.90","25.96","1.32M","2.93%"
"12/28/2022","25.98","26.61","26.84","25.95","897.48K","-2.66%"
"12/27/2022","26.69","26.52","26.78","26.40","702.21K","0.60%"
"12/23/2022","26.53","26.23","26.59","26.14","955.14K","1.18%"
"12/22/2022","26.22","26.50","26.50","25.75","1.02M","-2.13%"
"12/21/2022","26.79","26.42","26.84","26.39","1.06M","2.41%"
"12/20/2022","26.16","25.89","26.41","25.83","1.14M","0.73%"
"12/19/2022","25.97","26.30","26.46","25.85","1.71M","-1.25%"
"12/16/2022","26.30","26.75","26.93","26.01","4.28M","-2.59%"
"12/15/2022","27.00","27.13","27.24","26.55","1.95M","-1.06%"
"12/14/2022","27.29","27.20","27.64","26.98","1.26M","0.15%"
"12/13/2022","27.25","28.15","28.39","27.06","1.71M","-0.18%"
"12/12/2022","27.30","26.21","27.30","26.15","1.65M","3.72%"
"12/09/2022","26.32","26.44","26.86","26.28","1.28M","-1.53%"
"12/08/2022","26.73","26.84","26.97","26.55","1.49M","0.41%"
"12/07/2022","26.62","27.65","27.65","26.58","1.51M","-4.28%"
