"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","108.43","107.18","109.98","106.21","2.97M","0.37%"
"02/02/2023","108.03","109.17","110.50","106.59","3.31M","0.30%"
"02/01/2023","107.71","107.16","108.57","104.44","2.88M","0.58%"
"01/31/2023","107.09","106.06","107.56","105.74","2.09M","1.52%"
"01/30/2023","105.49","106.12","106.94","105.08","1.69M","-1.15%"
"01/27/2023","106.72","106.36","107.74","105.04","1.43M","0.07%"
"01/26/2023","106.65","105.44","107.03","104.13","2.27M","2.55%"
"01/25/2023","104.00","103.75","105.05","102.50","3.80M","-1.91%"
"01/24/2023","106.03","105.24","106.51","103.72","1.68M","-0.35%"
"01/23/2023","106.40","107.86","108.86","106.00","2.82M","-1.35%"
"01/20/2023","107.86","106.20","108.00","104.99","2.39M","1.56%"
"01/19/2023","106.20","106.00","107.67","105.96","2.70M","-0.40%"
"01/18/2023","106.63","109.95","110.26","106.54","2.00M","-2.63%"
"01/17/2023","109.51","107.17","109.63","106.05","1.58M","0.96%"
"01/13/2023","108.47","106.16","108.60","105.19","2.33M","1.24%"
"01/12/2023","107.14","105.44","108.48","103.67","2.87M","0.92%"
"01/11/2023","106.16","112.41","112.69","105.04","4.41M","-4.26%"
"01/10/2023","110.88","108.79","111.94","107.84","2.38M","0.75%"
"01/09/2023","110.06","112.46","113.69","107.46","4.99M","-4.97%"
"01/06/2023","115.82","113.03","117.01","110.78","2.41M","3.70%"
"01/05/2023","111.69","113.26","114.28","110.87","2.35M","-2.31%"
"01/04/2023","114.33","116.79","117.54","113.39","2.19M","-0.35%"
"01/03/2023","114.73","114.30","116.16","112.61","2.06M","1.32%"
"12/30/2022","113.24","110.93","113.33","109.46","1.40M","1.04%"
"12/29/2022","112.07","110.92","113.36","109.72","1.27M","2.10%"
"12/28/2022","109.77","110.48","111.96","109.46","1.17M","-0.10%"
"12/27/2022","109.88","111.45","111.60","108.68","1.73M","-1.40%"
"12/23/2022","111.44","114.47","114.47","111.04","1.08M","-1.97%"
"12/22/2022","113.68","113.78","114.76","111.60","1.71M","-0.94%"
"12/21/2022","114.76","113.87","116.13","112.06","1.93M","1.42%"
"12/20/2022","113.15","111.99","114.43","110.21","2.23M","0.82%"
"12/19/2022","112.23","114.14","114.29","110.63","2.09M","-2.09%"
"12/16/2022","114.63","114.11","115.41","113.40","6.26M","-1.39%"
"12/15/2022","116.24","119.57","119.90","115.78","2.65M","-4.32%"
"12/14/2022","121.49","119.72","124.11","118.85","3.24M","1.61%"
"12/13/2022","119.56","120.50","121.54","118.81","2.91M","2.38%"
"12/12/2022","116.78","118.00","118.38","115.17","2.61M","0.27%"
"12/09/2022","116.46","121.65","122.33","116.01","3.27M","-5.06%"
"12/08/2022","122.67","123.70","125.55","119.16","5.62M","4.04%"
"12/07/2022","117.91","116.31","119.19","116.31","2.16M","0.92%"
"12/06/2022","116.83","115.82","119.13","115.08","2.45M","0.23%"
"12/05/2022","116.56","117.60","119.88","115.50","2.38M","-1.31%"
"12/02/2022","118.11","116.28","118.51","115.31","1.88M","0.07%"
"12/01/2022","118.03","116.39","119.98","116.25","2.05M","1.50%"
"11/30/2022","116.28","110.67","116.36","110.29","4.06M","5.34%"
"11/29/2022","110.39","112.30","113.71","110.13","2.66M","-1.94%"
"11/28/2022","112.57","111.62","114.75","111.62","3.23M","0.51%"
"11/25/2022","112.00","112.91","113.02","110.65","1.18M","-0.81%"
"11/23/2022","112.92","111.67","113.33","110.60","3.53M","1.72%"
"11/22/2022","111.01","113.67","113.88","110.31","2.65M","-1.46%"
"11/21/2022","112.66","112.62","113.55","112.12","1.89M","-0.93%"
"11/18/2022","113.72","114.60","115.36","112.61","1.81M","0.96%"
"11/17/2022","112.64","112.67","114.76","111.73","2.16M","-1.96%"
"11/16/2022","114.89","116.84","117.00","114.43","1.54M","-1.22%"
