"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","113.92","115.15","115.54","113.78","4.39M","-1.78%"
"02/02/2023","115.99","117.50","117.52","114.10","6.32M","-0.66%"
"02/01/2023","116.76","116.78","117.22","112.58","14.40M","-9.26%"
"01/31/2023","128.68","129.19","129.99","128.38","3.07M","-0.24%"
"01/30/2023","128.99","128.92","129.47","128.11","2.45M","0.09%"
"01/27/2023","128.87","129.14","130.57","128.79","1.79M","-0.21%"
"01/26/2023","129.14","128.31","129.45","128.19","1.20M","1.24%"
"01/25/2023","127.56","126.59","127.65","126.27","1.10M","0.05%"
"01/24/2023","127.49","127.71","128.07","126.37","1.30M","0.06%"
"01/23/2023","127.41","125.79","127.53","125.32","2.02M","1.13%"
"01/20/2023","125.99","124.43","126.20","123.77","2.73M","1.83%"
"01/19/2023","123.72","123.71","124.14","122.77","1.72M","0.01%"
"01/18/2023","123.71","123.77","124.65","122.53","1.83M","0.01%"
"01/17/2023","123.70","124.65","125.13","123.32","2.00M","-1.40%"
"01/13/2023","125.46","126.23","126.79","124.85","1.47M","-0.76%"
"01/12/2023","126.42","125.81","126.50","123.62","2.00M","0.25%"
"01/11/2023","126.11","124.93","127.38","123.67","2.73M","1.69%"
"01/10/2023","124.02","124.18","124.87","122.30","1.82M","-0.12%"
"01/09/2023","124.17","123.89","126.02","123.42","1.69M","0.23%"
"01/06/2023","123.89","125.17","125.85","123.01","2.78M","-0.63%"
"01/05/2023","124.68","124.56","125.33","124.04","929.54K","-0.26%"
"01/04/2023","125.01","123.40","126.20","123.40","1.50M","1.80%"
"01/03/2023","122.80","123.59","124.70","122.32","1.68M","0.51%"
"12/30/2022","122.18","121.78","122.33","120.79","1.16M","-0.01%"
"12/29/2022","122.19","120.12","122.90","119.42","1.20M","2.22%"
"12/28/2022","119.54","120.90","121.37","119.47","894.21K","-1.06%"
"12/27/2022","120.82","121.32","121.37","120.34","823.50K","-0.57%"
"12/23/2022","121.51","121.02","121.93","120.58","844.67K","0.07%"
"12/22/2022","121.42","121.81","122.20","120.26","1.34M","-0.88%"
"12/21/2022","122.50","121.16","122.79","120.17","1.62M","1.73%"
