"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","50.66","50.31","51.31","50.11","3.81M","-1.94%"
"02/02/2023","51.66","50.75","52.23","50.69","6.38M","2.50%"
"02/01/2023","50.40","49.26","50.74","48.69","4.55M","1.82%"
"01/31/2023","49.50","48.91","49.55","48.79","4.33M","1.25%"
"01/30/2023","48.89","48.32","49.88","48.31","4.06M","-0.22%"
"01/27/2023","49.00","48.97","49.70","48.88","3.90M","-0.33%"
"01/26/2023","49.16","49.46","49.47","48.16","4.15M","0.47%"
"01/25/2023","48.93","46.47","49.07","46.32","5.95M","4.80%"
"01/24/2023","46.69","47.28","47.42","46.51","4.76M","-2.04%"
"01/23/2023","47.66","46.94","47.83","46.57","3.22M","2.14%"
"01/20/2023","46.66","45.76","46.73","45.54","3.44M","2.46%"
"01/19/2023","45.54","45.65","45.93","44.94","5.09M","-0.96%"
"01/18/2023","45.98","47.00","47.40","45.96","3.43M","-1.69%"
"01/17/2023","46.77","46.23","47.11","46.05","5.21M","1.10%"
"01/13/2023","46.26","45.72","46.30","45.44","3.13M","-0.37%"
"01/12/2023","46.43","46.73","46.80","45.82","3.81M","-0.39%"
"01/11/2023","46.61","45.69","46.69","45.51","5.46M","3.37%"
"01/10/2023","45.09","43.32","45.13","43.32","4.43M","3.61%"
"01/09/2023","43.52","44.76","45.44","43.44","7.09M","-3.52%"
"01/06/2023","45.11","43.62","45.45","43.06","5.29M","4.66%"
"01/05/2023","43.10","43.01","43.36","42.53","3.75M","0.02%"
"01/04/2023","43.09","42.79","43.34","42.28","3.74M","2.23%"
"01/03/2023","42.15","42.08","42.66","41.54","4.49M","1.64%"
"12/30/2022","41.47","41.24","41.49","40.98","4.43M","-0.84%"
"12/29/2022","41.82","40.27","41.92","40.07","6.39M","4.76%"
"12/28/2022","39.92","40.06","40.40","39.76","3.55M","-0.40%"
"12/27/2022","40.08","40.11","40.37","39.70","3.95M","-0.22%"
"12/23/2022","40.17","39.86","40.33","39.53","2.42M","0.12%"
"12/22/2022","40.12","40.63","40.72","39.48","3.93M","-2.81%"
"12/21/2022","41.28","41.27","41.50","41.01","4.02M","0.76%"
"12/20/2022","40.97","41.44","41.47","40.65","4.17M","-0.90%"
"12/19/2022","41.34","41.08","41.41","40.63","7.81M","0.83%"
"12/16/2022","41.00","42.04","42.15","40.62","14.56M","-3.05%"
"12/15/2022","42.29","43.06","43.15","42.01","5.13M","-3.34%"
"12/14/2022","43.75","43.61","44.28","42.90","5.66M","0.07%"
"12/13/2022","43.72","45.36","45.86","43.32","5.65M","0.00%"
"12/12/2022","43.72","43.70","43.73","43.09","4.22M","0.18%"
"12/09/2022","43.64","43.53","44.05","43.31","4.08M","-0.55%"
"12/08/2022","43.88","43.50","44.16","43.26","3.85M","1.67%"
"12/07/2022","43.16","43.10","43.92","42.96","5.49M","-0.44%"
"12/06/2022","43.35","43.73","43.82","42.74","7.79M","-1.34%"
"12/05/2022","43.94","44.85","44.92","43.82","4.17M","-2.79%"
"12/02/2022","45.20","44.81","45.45","44.38","4.34M","0.09%"
"12/01/2022","45.16","45.36","46.09","45.05","4.79M","-0.62%"
"11/30/2022","45.44","43.84","45.63","43.53","8.88M","3.82%"
"11/29/2022","43.77","44.60","44.66","43.62","4.42M","-1.26%"
"11/28/2022","44.33","45.00","45.39","44.25","5.88M","-1.58%"
"11/25/2022","45.04","44.67","45.21","44.56","2.33M","-0.42%"
"11/23/2022","45.23","45.35","45.78","45.11","4.98M","0.22%"
"11/22/2022","45.13","44.88","45.16","44.40","3.82M","0.89%"
"11/21/2022","44.73","45.36","45.60","44.54","4.10M","-2.08%"
"11/18/2022","45.68","46.12","46.15","45.24","3.79M","0.46%"
"11/17/2022","45.47","44.66","45.65","44.57","3.62M","-0.04%"
"11/16/2022","45.49","46.28","46.46","45.31","5.26M","-3.25%"
"11/15/2022","47.02","47.07","47.13","46.03","5.47M","2.42%"
"11/14/2022","45.91","46.34","46.88","45.85","6.19M","-1.29%"
"11/11/2022","46.51","45.00","46.99","44.74","7.30M","4.14%"
"11/10/2022","44.66","42.49","44.79","42.26","9.21M","10.08%"
"11/09/2022","40.57","41.35","41.46","40.49","5.21M","-2.48%"
"11/08/2022","41.60","40.58","42.24","40.22","7.89M","2.51%"
"11/07/2022","40.58","40.37","40.66","39.37","5.26M","1.27%"
"11/04/2022","40.07","39.47","40.78","39.03","7.33M","3.22%"
"11/03/2022","38.82","39.91","40.93","38.41","14.05M","2.00%"
"11/02/2022","38.06","39.92","40.00","38.01","8.54M","-4.40%"
"11/01/2022","39.81","40.52","40.84","39.29","4.96M","-0.08%"
"10/31/2022","39.84","40.35","40.61","39.42","6.86M","-1.19%"
"10/28/2022","40.32","38.80","40.41","38.48","7.75M","1.18%"
"10/27/2022","39.85","39.70","40.63","39.62","6.13M","0.71%"
"10/26/2022","39.57","38.99","40.56","38.92","5.86M","1.54%"
"10/25/2022","38.97","38.61","39.12","38.14","6.54M","0.75%"
"10/24/2022","38.68","38.41","38.81","37.60","5.90M","0.70%"
"10/21/2022","38.41","37.41","38.45","37.08","4.45M","2.10%"
"10/20/2022","37.62","37.70","38.66","37.48","5.11M","-0.50%"
"10/19/2022","37.81","38.28","38.64","37.28","5.10M","-1.79%"
"10/18/2022","38.50","38.99","39.32","38.16","5.33M","1.72%"
"10/17/2022","37.85","38.01","38.45","37.79","5.98M","2.08%"
"10/14/2022","37.08","38.30","38.46","37.01","5.72M","-2.32%"
"10/13/2022","37.96","36.21","38.34","35.92","7.87M","2.24%"
"10/12/2022","37.13","36.99","37.24","36.61","6.32M","0.49%"
"10/11/2022","36.95","37.21","37.80","36.62","6.22M","-1.62%"
"10/10/2022","37.56","37.91","38.09","37.29","5.19M","0.03%"
"10/07/2022","37.55","38.51","38.58","37.42","6.73M","-3.45%"
"10/06/2022","38.89","38.95","39.63","38.83","6.47M","-0.59%"
"10/05/2022","39.12","38.25","39.49","38.18","7.29M","1.16%"
"10/04/2022","38.67","38.11","39.18","38.09","8.19M","3.90%"
"10/03/2022","37.22","36.94","37.62","36.18","8.93M","1.11%"
"09/30/2022","36.81","37.41","37.96","36.76","5.95M","-2.33%"
"09/29/2022","37.69","37.96","38.06","37.28","4.21M","-2.38%"
"09/28/2022","38.61","37.60","38.81","37.55","4.45M","2.77%"
"09/27/2022","37.57","38.52","38.59","37.26","5.30M","-1.47%"
"09/26/2022","38.13","38.16","39.10","38.10","5.57M","-0.16%"
"09/23/2022","38.19","38.03","38.22","37.50","5.16M","-0.29%"
"09/22/2022","38.30","38.85","38.93","38.01","5.49M","-1.62%"
"09/21/2022","38.93","40.04","40.31","38.80","6.35M","-2.43%"
"09/20/2022","39.90","41.04","41.04","39.71","7.59M","-3.51%"
"09/19/2022","41.35","41.76","41.87","41.08","6.71M","-1.55%"
"09/16/2022","42.00","41.85","42.13","41.14","9.31M","-1.55%"
"09/15/2022","42.66","42.49","43.83","42.43","6.82M","0.21%"
"09/14/2022","42.57","42.88","42.92","41.88","7.18M","-0.51%"
"09/13/2022","42.79","44.15","44.39","42.60","6.33M","-6.00%"
"09/12/2022","45.52","45.37","45.85","45.11","4.74M","0.93%"
"09/09/2022","45.10","44.38","45.15","44.27","4.26M","1.92%"
"09/08/2022","44.25","44.36","44.52","43.56","5.95M","-0.92%"
"09/07/2022","44.66","43.15","44.87","43.09","4.81M","3.76%"
"09/06/2022","43.04","44.22","44.29","42.93","6.22M","-2.43%"
"09/02/2022","44.11","45.19","45.46","43.83","4.20M","-1.47%"
"09/01/2022","44.77","43.99","44.80","43.63","4.66M","1.45%"
"08/31/2022","44.13","44.69","44.81","43.90","7.29M","-0.72%"
"08/30/2022","44.45","44.87","45.06","44.08","4.28M","-0.02%"
"08/29/2022","44.46","44.26","44.85","43.90","4.54M","-0.16%"
"08/26/2022","44.53","47.03","47.21","44.51","3.98M","-4.42%"
"08/25/2022","46.59","45.73","46.62","45.56","3.23M","2.33%"
"08/24/2022","45.53","45.23","46.26","45.17","4.21M","0.22%"
"08/23/2022","45.43","45.32","46.36","45.16","4.31M","0.09%"
"08/22/2022","45.39","46.70","46.70","45.33","4.32M","-3.57%"
"08/19/2022","47.07","47.85","48.08","46.54","4.38M","-3.03%"
"08/18/2022","48.54","48.39","48.72","47.82","3.53M","-0.06%"
"08/17/2022","48.57","48.89","49.03","48.24","3.83M","-1.88%"
"08/16/2022","49.50","48.69","50.17","48.58","5.31M","1.68%"
"08/15/2022","48.68","49.17","49.24","48.19","3.71M","-1.54%"
"08/12/2022","49.44","48.95","49.48","48.68","2.89M","1.79%"
"08/11/2022","48.57","48.87","49.52","48.13","4.58M","0.14%"
"08/10/2022","48.50","48.86","49.29","48.47","4.85M","1.04%"
"08/09/2022","48.00","47.57","48.02","47.02","6.08M","0.82%"
"08/08/2022","47.61","47.63","49.00","47.20","4.79M","0.70%"
"08/05/2022","47.28","47.33","47.66","46.69","5.49M","-1.23%"
"08/04/2022","47.87","50.10","50.19","46.66","10.60M","-5.17%"
"08/03/2022","50.48","49.00","50.82","49.00","8.75M","4.23%"
"08/02/2022","48.43","48.69","48.84","47.75","5.25M","-1.04%"
"08/01/2022","48.94","47.85","49.34","47.65","4.81M","0.64%"
"07/29/2022","48.63","49.13","49.72","48.38","7.24M","0.87%"
"07/28/2022","48.21","47.37","48.24","46.48","4.91M","2.18%"
"07/27/2022","47.18","45.95","47.52","45.83","4.12M","3.33%"
"07/26/2022","45.66","45.39","45.79","45.24","3.83M","-1.93%"
"07/25/2022","46.56","46.68","47.04","46.14","4.04M","-0.26%"
"07/22/2022","46.68","46.59","47.37","46.36","4.91M","0.06%"
"07/21/2022","46.65","46.08","46.67","45.85","2.96M","1.00%"
"07/20/2022","46.19","45.59","46.47","45.42","4.07M","1.78%"
