"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","153.29","156.40","157.66","152.86","1.13M","-3.78%"
"02/02/2023","159.32","156.90","159.57","156.07","1.65M","2.31%"
"02/01/2023","155.73","153.76","156.94","152.83","833.64K","0.58%"
"01/31/2023","154.83","151.06","154.90","150.57","1.32M","2.90%"
"01/30/2023","150.46","152.04","152.84","150.29","758.31K","-1.23%"
"01/27/2023","152.33","150.88","152.80","150.59","764.14K","0.32%"
"01/26/2023","151.85","151.24","152.52","150.24","961.70K","-0.36%"
"01/25/2023","152.40","151.58","152.88","150.32","750.25K","-0.83%"
"01/24/2023","153.67","153.70","154.80","152.11","698.38K","-0.40%"
"01/23/2023","154.29","153.00","155.17","151.24","1.17M","0.92%"
"01/20/2023","152.88","148.94","152.96","147.74","1.28M","2.88%"
"01/19/2023","148.60","149.16","149.37","147.02","1.13M","-1.16%"
"01/18/2023","150.35","154.01","154.56","150.21","1.05M","-1.86%"
"01/17/2023","153.20","154.89","155.01","151.29","1.75M","-0.80%"
"01/13/2023","154.43","151.61","154.71","151.53","728.15K","0.68%"
"01/12/2023","153.38","155.00","155.12","152.85","854.28K","-0.56%"
"01/11/2023","154.25","153.93","154.85","152.71","1.03M","1.35%"
"01/10/2023","152.20","150.35","152.29","148.82","1.05M","1.32%"
"01/09/2023","150.22","147.97","153.33","147.80","1.03M","0.51%"
"01/06/2023","149.46","146.64","149.56","145.35","1.02M","3.20%"
"01/05/2023","144.83","147.81","148.24","144.29","975.35K","-3.29%"
"01/04/2023","149.76","149.50","150.44","148.36","883.89K","1.73%"
"01/03/2023","147.21","147.05","147.93","145.29","1.06M","1.13%"
"12/30/2022","145.56","146.67","147.23","143.95","828.13K","-1.46%"
"12/29/2022","147.71","145.01","148.11","144.03","896.35K","2.72%"
"12/28/2022","143.80","145.93","147.20","143.46","712.76K","-1.13%"
"12/27/2022","145.45","144.69","146.71","143.58","787.40K","0.63%"
"12/23/2022","144.54","142.65","144.77","142.19","1.03M","1.04%"
"12/22/2022","143.05","142.86","143.24","140.61","1.02M","-0.87%"
"12/21/2022","144.30","144.33","145.22","143.14","1.04M","1.02%"
"12/20/2022","142.84","141.27","143.13","140.13","1.33M","1.15%"
"12/19/2022","141.21","142.70","143.70","140.47","1.14M","-1.97%"
"12/16/2022","144.05","143.50","144.88","141.59","2.27M","-0.89%"
"12/15/2022","145.34","147.75","148.12","144.96","1.38M","-3.39%"
"12/14/2022","150.44","151.39","153.32","149.00","1.15M","-1.49%"
"12/13/2022","152.72","155.98","157.18","151.45","1.07M","1.47%"
"12/12/2022","150.51","150.80","151.10","148.93","1.49M","0.11%"
"12/09/2022","150.35","151.73","152.76","150.30","1.28M","0.79%"
"12/08/2022","149.17","148.55","150.05","148.12","1.06M","0.81%"
"12/07/2022","147.97","147.92","149.50","147.49","1.21M","-0.31%"
"12/06/2022","148.43","150.99","151.25","147.31","1.27M","-1.34%"
"12/05/2022","150.45","149.23","151.58","149.05","1.08M","-0.60%"
"12/02/2022","151.36","148.25","152.22","147.48","1.70M","-0.38%"
"12/01/2022","151.94","151.68","153.53","150.28","1.59M","1.41%"
"11/30/2022","149.83","145.05","150.61","143.48","4.36M","3.40%"
"11/29/2022","144.91","144.99","146.09","144.34","1.06M","-0.39%"
"11/28/2022","145.48","147.99","148.77","145.38","1.20M","-2.33%"
"11/25/2022","148.95","149.70","150.10","148.69","553.35K","-0.74%"
"11/23/2022","150.06","149.10","150.06","148.47","1.27M","0.77%"
"11/22/2022","148.92","148.83","149.09","145.76","2.04M","0.40%"
"11/21/2022","148.32","147.15","149.59","147.03","1.42M","0.14%"
"11/18/2022","148.11","150.40","151.07","147.17","1.13M","0.14%"
"11/17/2022","147.90","148.29","148.29","146.21","1.20M","-1.27%"
"11/16/2022","149.80","152.22","152.75","149.47","1.37M","-1.94%"
"11/15/2022","152.77","154.52","156.17","150.48","1.14M","-0.08%"
"11/14/2022","152.89","154.83","155.58","152.82","1.16M","-1.79%"
"11/11/2022","155.68","152.29","156.40","151.65","1.32M","2.67%"
"11/10/2022","151.63","147.39","152.35","146.15","1.86M","7.81%"
"11/09/2022","140.65","140.72","142.21","139.90","1.84M","-0.59%"
"11/08/2022","141.49","139.42","143.37","138.55","1.71M","2.29%"
"11/07/2022","138.32","136.20","138.37","135.29","1.82M","2.65%"
"11/04/2022","134.75","134.18","134.99","131.36","2.67M","2.59%"
"11/03/2022","131.35","134.41","135.10","131.04","3.10M","-4.28%"
"11/02/2022","137.23","141.67","143.86","137.12","2.59M","-4.02%"
"11/01/2022","142.98","149.78","150.49","142.30","3.67M","-8.97%"
"10/31/2022","157.07","156.86","159.09","156.79","2.11M","-0.44%"
"10/28/2022","157.77","153.66","158.06","153.04","1.08M","3.01%"
"10/27/2022","153.16","152.92","156.07","152.62","982.77K","0.62%"
"10/26/2022","152.21","153.76","154.88","151.84","769.50K","-0.51%"
"10/25/2022","152.99","149.24","153.42","149.24","1.05M","3.07%"
"10/24/2022","148.43","147.58","150.23","146.83","1.22M","1.73%"
"10/21/2022","145.91","142.00","145.98","141.27","2.34M","2.76%"
"10/20/2022","141.99","145.38","146.50","141.07","1.32M","-2.57%"
"10/19/2022","145.73","146.91","147.96","144.61","1.31M","-1.59%"
"10/18/2022","148.08","148.22","150.22","146.75","1.31M","2.34%"
"10/17/2022","144.70","142.74","145.76","142.68","1.51M","3.71%"
"10/14/2022","139.53","145.61","145.75","139.40","1.24M","-3.25%"
"10/13/2022","144.22","138.00","145.10","136.93","1.41M","2.63%"
"10/12/2022","140.53","142.70","143.45","140.32","1.34M","-1.52%"
"10/11/2022","142.70","140.27","144.05","139.19","1.37M","0.86%"
"10/10/2022","141.49","144.12","144.36","140.51","1.14M","-1.41%"
"10/07/2022","143.51","146.79","147.00","142.76","803.31K","-3.47%"
"10/06/2022","148.67","149.99","152.28","148.40","923.76K","-1.75%"
"10/05/2022","151.32","151.22","152.65","148.32","1.16M","-1.45%"
"10/04/2022","153.55","151.31","154.68","151.31","1.39M","2.96%"
"10/03/2022","149.13","146.59","150.37","145.06","1.61M","3.26%"
"09/30/2022","144.42","146.26","147.92","144.22","1.31M","-1.03%"
"09/29/2022","145.92","146.86","147.75","144.01","1.13M","-1.89%"
"09/28/2022","148.73","145.15","149.42","143.80","1.53M","3.26%"
"09/27/2022","144.03","148.38","148.50","143.34","1.15M","-1.58%"
"09/26/2022","146.34","148.75","149.32","145.44","1.14M","-1.96%"
"09/23/2022","149.26","148.27","149.79","147.11","1.11M","-0.14%"
"09/22/2022","149.47","151.44","152.28","149.43","1.02M","-1.53%"
"09/21/2022","151.80","157.31","158.63","151.70","1.40M","-3.02%"
"09/20/2022","156.52","157.75","157.75","155.19","789.45K","-2.05%"
"09/19/2022","159.80","156.31","159.86","156.05","705.86K","1.37%"
"09/16/2022","157.64","159.65","159.65","155.93","1.73M","-2.58%"
"09/15/2022","161.81","164.22","166.06","161.77","842.56K","-1.72%"
"09/14/2022","164.64","166.80","166.80","162.96","964.67K","-1.00%"
"09/13/2022","166.30","170.16","170.66","166.00","1.52M","-4.92%"
"09/12/2022","174.90","173.90","175.00","172.54","1.50M","1.31%"
"09/09/2022","172.64","171.60","173.24","170.71","1.55M","1.01%"
"09/08/2022","170.92","169.30","171.31","168.05","1.23M","0.00%"
"09/07/2022","170.92","163.00","171.16","162.97","1.85M","4.84%"
"09/06/2022","163.03","168.15","168.15","162.41","2.44M","0.86%"
"09/02/2022","161.64","164.00","165.75","160.79","892.42K","-0.47%"
"09/01/2022","162.40","162.88","163.12","159.81","884.85K","-0.87%"
"08/31/2022","163.83","166.63","166.88","163.68","1.17M","-0.94%"
"08/30/2022","165.39","166.35","167.55","164.07","934.74K","0.28%"
