"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","92.93","94.90","94.97","91.89","1.74M","-2.34%"
"02/02/2023","95.16","95.31","96.16","94.50","1.63M","-0.30%"
"02/01/2023","95.45","94.90","96.00","94.51","1.56M","0.15%"
"01/31/2023","95.31","95.31","95.48","93.94","3.66M","0.27%"
"01/30/2023","95.05","94.91","96.00","94.73","1.16M","0.15%"
"01/27/2023","94.91","94.79","95.37","94.23","952.27K","0.03%"
"01/26/2023","94.88","94.22","94.91","93.84","1.28M","0.46%"
"01/25/2023","94.45","93.47","94.47","92.90","1.19M","0.43%"
"01/24/2023","94.05","93.50","94.39","92.73","1.18M","0.53%"
"01/23/2023","93.55","93.63","94.61","92.95","1.44M","-0.26%"
"01/20/2023","93.79","92.56","93.84","91.40","2.51M","1.42%"
"01/19/2023","92.48","93.40","93.49","92.17","1.40M","-0.92%"
"01/18/2023","93.34","95.66","95.95","93.06","1.80M","-2.25%"
"01/17/2023","95.49","96.57","96.87","95.29","2.38M","-1.04%"
"01/13/2023","96.49","96.94","96.98","96.10","1.24M","-1.07%"
"01/12/2023","97.53","98.79","98.94","97.40","1.24M","-1.10%"
"01/11/2023","98.61","98.14","99.06","98.07","1.61M","0.53%"
"01/10/2023","98.09","97.99","98.30","97.07","1.26M","0.38%"
"01/09/2023","97.72","96.81","98.65","96.29","1.47M","-0.11%"
"01/06/2023","97.83","96.27","98.07","96.02","1.41M","2.67%"
"01/05/2023","95.29","95.89","96.38","94.43","1.89M","-1.35%"
"01/04/2023","96.59","96.24","97.43","95.94","1.88M","0.87%"
"01/03/2023","95.76","95.46","96.37","93.93","2.10M","0.47%"
"12/30/2022","95.31","96.62","96.75","94.54","1.22M","-1.22%"
"12/29/2022","96.49","96.48","97.26","96.11","1.19M","0.54%"
"12/28/2022","95.97","96.81","97.02","95.82","1.32M","-0.60%"
"12/27/2022","96.55","96.04","96.84","95.78","1.35M","0.73%"
"12/23/2022","95.85","95.08","96.01","95.08","1.28M","0.73%"
"12/22/2022","95.16","95.63","95.63","93.77","1.05M","-0.59%"
"12/21/2022","95.72","95.00","95.74","94.65","1.52M","1.19%"
"12/20/2022","94.59","94.83","95.52","94.07","1.85M","-0.27%"
"12/19/2022","94.85","95.11","96.33","94.37","1.35M","-0.34%"
"12/16/2022","95.17","96.02","96.66","94.24","3.95M","-1.87%"
"12/15/2022","96.98","97.91","98.45","96.56","1.87M","-1.48%"
"12/14/2022","98.44","98.53","99.97","97.75","1.98M","-0.07%"
"12/13/2022","98.51","99.49","99.78","97.43","1.39M","0.16%"
"12/12/2022","98.35","97.18","98.36","96.55","1.23M","1.89%"
"12/09/2022","96.53","97.01","97.61","96.44","1.49M","-1.09%"
"12/08/2022","97.59","96.51","97.64","96.31","1.01M","1.04%"
"12/07/2022","96.59","97.34","98.39","96.41","1.36M","-0.99%"
"12/06/2022","97.56","97.44","97.99","96.56","1.60M","0.20%"
"12/05/2022","97.37","96.53","97.65","96.40","1.52M","0.02%"
"12/02/2022","97.35","97.26","97.71","96.70","1.72M","-0.51%"
"12/01/2022","97.85","98.60","99.59","97.61","1.85M","-0.19%"
"11/30/2022","98.04","96.19","98.53","95.78","4.30M","1.81%"
"11/29/2022","96.30","96.11","96.39","95.42","1.34M","-0.25%"
"11/28/2022","96.54","97.01","97.50","95.92","1.60M","-0.98%"
"11/25/2022","97.50","97.03","97.64","96.67","830.01K","0.86%"
"11/23/2022","96.67","95.06","96.84","94.75","1.96M","1.52%"
"11/22/2022","95.22","94.52","95.81","94.34","2.23M","1.14%"
"11/21/2022","94.15","93.73","94.80","93.53","1.17M","0.66%"
"11/18/2022","93.53","91.66","93.57","91.66","1.96M","3.00%"
"11/17/2022","90.81","90.59","91.24","90.14","1.75M","-0.58%"
"11/16/2022","91.34","90.00","92.53","90.00","3.05M","1.83%"
"11/15/2022","89.70","88.99","89.93","88.83","2.20M","0.41%"
"11/14/2022","89.33","89.42","91.03","89.33","1.85M","0.24%"
"11/11/2022","89.12","90.82","91.01","88.15","2.56M","-2.01%"
"11/10/2022","90.95","89.79","91.17","88.47","1.71M","3.74%"
"11/09/2022","87.67","88.27","89.10","87.43","1.62M","-0.70%"
"11/08/2022","88.29","88.15","89.13","87.76","1.28M","0.73%"
"11/07/2022","87.65","89.95","90.03","86.99","1.60M","-2.65%"
"11/04/2022","90.04","88.53","90.13","87.71","1.97M","1.48%"
"11/03/2022","88.73","87.82","89.34","86.95","1.58M","0.59%"
"11/02/2022","88.21","87.86","90.00","87.81","1.69M","0.22%"
"11/01/2022","88.02","88.02","88.33","86.96","1.26M","0.07%"
"10/31/2022","87.96","88.45","88.90","87.63","2.38M","-0.55%"
"10/28/2022","88.45","86.76","88.49","86.76","1.61M","2.35%"
"10/27/2022","86.42","86.35","87.60","86.05","1.59M","0.79%"
"10/26/2022","85.74","86.38","86.88","85.49","1.94M","-0.13%"
"10/25/2022","85.85","84.72","86.11","84.52","1.54M","1.37%"
"10/24/2022","84.69","85.47","86.12","84.33","1.60M","-0.21%"
"10/21/2022","84.87","83.77","85.41","82.71","2.42M","1.74%"
"10/20/2022","83.42","84.35","84.46","83.02","2.38M","-1.32%"
"10/19/2022","84.54","83.97","84.79","83.30","1.46M","-0.54%"
