"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","477.71","481.19","487.24","476.44","1.17M","-0.56%"
"02/02/2023","480.41","491.83","493.67","472.95","1.70M","-3.68%"
"02/01/2023","498.77","499.01","503.70","493.33","1.24M","-0.24%"
"01/31/2023","499.99","492.00","508.78","490.50","1.29M","2.23%"
"01/30/2023","489.08","491.81","496.68","488.62","816.14K","-0.70%"
"01/27/2023","492.53","503.18","504.49","489.13","1.15M","-1.92%"
"01/26/2023","502.19","499.87","504.78","490.08","1.27M","1.33%"
"01/25/2023","495.59","483.00","499.88","480.45","2.06M","3.57%"
"01/24/2023","478.52","479.90","482.00","474.75","1.25M","0.12%"
"01/23/2023","477.94","480.89","484.25","476.67","920.36K","-0.32%"
"01/20/2023","479.49","480.60","482.00","472.68","987.62K","-0.15%"
"01/19/2023","480.22","475.36","482.00","473.61","941.01K","1.80%"
"01/18/2023","471.71","481.98","486.32","471.10","1.00M","-1.92%"
"01/17/2023","480.96","484.25","488.00","479.36","967.05K","-0.42%"
"01/13/2023","483.00","473.17","489.62","471.45","1.01M","1.24%"
"01/12/2023","477.08","478.11","483.91","474.57","1.39M","-0.72%"
"01/11/2023","480.54","470.67","483.52","470.67","1.24M","2.09%"
"01/10/2023","470.68","472.23","473.96","467.98","854.89K","-0.01%"
"01/09/2023","470.71","476.96","482.79","469.69","1.25M","-1.00%"
"01/06/2023","475.48","474.73","477.93","464.64","2.33M","0.52%"
"01/05/2023","473.00","484.99","484.99","471.03","1.84M","-2.56%"
"01/04/2023","485.44","502.33","505.00","483.70","1.63M","-3.34%"
"01/03/2023","502.20","508.68","511.97","493.53","1.08M","-2.10%"
"12/30/2022","512.97","512.95","514.06","508.46","468.24K","0.02%"
"12/29/2022","512.88","515.58","515.58","511.29","298.04K","0.04%"
"12/28/2022","512.68","516.92","521.86","511.45","575.06K","-0.30%"
"12/27/2022","514.21","516.80","520.00","513.57","610.52K","-0.02%"
"12/23/2022","514.29","510.00","514.93","506.26","710.99K","0.83%"
"12/22/2022","510.06","511.96","514.10","504.83","647.95K","-0.15%"
"12/21/2022","510.84","507.97","511.28","495.26","720.81K","1.23%"
"12/20/2022","504.65","505.14","506.12","499.83","670.51K","0.35%"
"12/19/2022","502.89","501.72","507.53","499.16","748.73K","0.17%"
"12/16/2022","502.05","504.46","506.56","491.50","2.90M","-1.36%"
"12/15/2022","508.98","516.14","516.17","505.90","1.24M","-2.15%"
"12/14/2022","520.15","521.16","523.11","514.74","874.36K","0.16%"
"12/13/2022","519.32","539.98","544.01","517.82","1.06M","-2.78%"
"12/12/2022","534.18","526.79","534.50","525.52","769.50K","1.76%"
"12/09/2022","524.92","529.11","532.08","524.00","873.25K","-0.79%"
"12/08/2022","529.12","531.86","533.71","528.04","604.50K","-0.15%"
"12/07/2022","529.90","528.60","534.82","528.21","1.57M","0.28%"
"12/06/2022","528.40","523.45","530.26","523.34","1.28M","1.16%"
"12/05/2022","522.34","517.25","525.59","517.05","712.29K","-0.24%"
"12/02/2022","523.60","522.28","527.73","521.77","630.29K","-0.31%"
"12/01/2022","525.25","535.47","537.08","524.12","900.74K","-1.44%"
"11/30/2022","532.92","516.83","533.23","514.26","2.59M","3.41%"
"11/29/2022","515.36","513.86","517.55","511.10","894.34K","0.50%"
"11/28/2022","512.78","510.97","516.58","510.67","722.45K","-0.21%"
"11/25/2022","513.86","509.67","514.73","508.36","464.05K","1.32%"
"11/23/2022","507.16","506.22","511.83","506.06","656.50K","0.42%"
"11/22/2022","505.06","504.30","508.67","504.26","955.55K","1.03%"
"11/21/2022","499.91","494.79","502.67","494.03","1.46M","0.93%"
"11/18/2022","495.32","483.49","497.24","481.19","1.59M","3.84%"
"11/17/2022","477.01","474.56","485.63","474.25","1.87M","0.18%"
"11/16/2022","476.14","481.60","488.58","474.50","1.86M","-0.60%"
"11/15/2022","479.01","493.58","494.35","477.92","1.92M","-2.40%"
"11/14/2022","490.80","494.82","499.51","490.31","1.34M","-0.11%"
"11/11/2022","491.36","518.93","519.45","480.65","2.41M","-5.85%"
"11/10/2022","521.88","530.56","533.00","509.88","969.48K","0.36%"
"11/09/2022","520.00","527.38","532.11","519.48","873.52K","-1.94%"
"11/08/2022","530.31","532.32","537.37","524.57","1.26M","0.35%"
"11/07/2022","528.46","517.57","531.23","517.48","1.04M","0.34%"
"11/04/2022","526.66","532.66","536.96","519.61","1.11M","-1.35%"
"11/03/2022","533.86","536.57","540.27","532.06","735.01K","-0.79%"
"11/02/2022","538.12","542.34","547.74","537.86","1.05M","-1.18%"
"11/01/2022","544.53","545.00","548.04","538.16","918.53K","-0.41%"
"10/31/2022","546.77","539.53","549.52","538.90","1.13M","0.57%"
"10/28/2022","543.65","536.17","545.18","529.68","777.23K","2.26%"
"10/27/2022","531.62","534.06","536.34","528.87","904.62K","-0.37%"
"10/26/2022","533.57","528.63","540.34","527.04","1.28M","1.84%"
"10/25/2022","523.95","524.31","529.25","518.25","1.41M","-0.48%"
"10/24/2022","526.50","515.24","528.99","514.58","1.50M","3.03%"
"10/21/2022","511.04","503.23","522.28","502.88","1.58M","1.76%"
"10/20/2022","502.22","490.99","509.33","489.32","1.95M","2.95%"
"10/19/2022","487.81","487.39","493.50","477.49","1.42M","1.99%"
"10/18/2022","478.27","485.56","485.56","474.63","1.29M","0.25%"
"10/17/2022","477.08","474.89","479.79","472.16","868.68K","1.34%"
"10/14/2022","470.77","478.00","482.00","469.66","872.43K","-0.71%"
"10/13/2022","474.14","457.46","477.97","455.67","1.09M","1.92%"
"10/12/2022","465.23","471.13","474.88","465.02","706.88K","-1.17%"
"10/11/2022","470.73","466.25","477.54","464.02","751.39K","0.77%"
"10/10/2022","467.15","468.80","470.69","460.87","784.81K","0.02%"
"10/07/2022","467.06","474.00","474.00","464.76","708.08K","-2.28%"
"10/06/2022","477.95","478.26","481.36","476.08","822.10K","-0.18%"
"10/05/2022","478.80","478.59","481.15","472.02","855.76K","-0.09%"
"10/04/2022","479.23","472.34","481.56","469.75","946.19K","1.95%"
"10/03/2022","470.06","455.10","471.34","453.90","908.40K","3.48%"
"09/30/2022","454.24","456.76","470.61","454.24","1.12M","-0.56%"
"09/29/2022","456.79","453.83","458.79","448.18","1.07M","0.81%"
"09/28/2022","453.10","449.73","455.84","440.02","1.12M","1.60%"
"09/27/2022","445.98","453.16","455.56","443.85","902.77K","-0.48%"
"09/26/2022","448.14","447.37","453.20","441.52","827.70K","-1.26%"
"09/23/2022","453.85","458.01","458.01","446.00","850.51K","-1.95%"
"09/22/2022","462.88","462.31","465.92","457.45","873.25K","-0.61%"
"09/21/2022","465.74","479.10","483.96","465.44","725.99K","-2.05%"
"09/20/2022","475.47","478.39","478.39","469.14","794.01K","-0.94%"
"09/19/2022","479.99","477.89","482.00","470.78","648.58K","-0.05%"
"09/16/2022","480.23","482.18","484.90","473.45","1.11M","-1.05%"
"09/15/2022","485.33","475.50","488.37","473.02","736.48K","3.24%"
"09/14/2022","470.11","482.00","482.47","467.56","1.15M","-2.17%"
"09/13/2022","480.56","487.68","489.39","478.91","864.78K","-2.65%"
"09/12/2022","493.66","493.32","498.42","490.25","883.45K","0.01%"
"09/09/2022","493.60","496.91","499.39","492.52","958.50K","0.87%"
"09/08/2022","489.35","482.54","489.63","482.54","521.98K","0.89%"
"09/07/2022","485.02","476.91","486.97","474.54","795.81K","1.68%"
"09/06/2022","477.00","481.15","487.29","476.06","1.01M","-1.04%"
"09/02/2022","481.99","492.89","494.57","479.67","741.11K","-1.67%"
"09/01/2022","490.17","487.85","494.90","483.87","712.26K","1.04%"
"08/31/2022","485.11","484.83","492.62","484.83","1.35M","-0.36%"
"08/30/2022","486.85","488.27","492.15","483.92","984.26K","-0.34%"
