"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","90.20","90.60","91.09","89.86","1.22M","-1.40%"
"02/02/2023","91.48","90.15","92.21","89.55","1.02M","2.02%"
"02/01/2023","89.67","87.78","90.64","87.61","1.12M","1.70%"
"01/31/2023","88.17","86.76","88.44","86.00","3.18M","2.12%"
"01/30/2023","86.34","84.75","87.77","84.57","1.36M","-0.55%"
"01/27/2023","86.82","88.00","90.83","85.83","2.51M","-5.37%"
"01/26/2023","91.75","90.61","92.10","89.92","1.47M","1.05%"
"01/25/2023","90.80","89.20","91.07","88.82","1.02M","0.21%"
"01/24/2023","90.61","90.10","91.52","89.71","1.32M","-0.29%"
"01/23/2023","90.87","89.83","91.65","89.58","1.48M","1.17%"
"01/20/2023","89.82","87.69","90.14","86.74","1.46M","3.22%"
"01/19/2023","87.02","87.50","87.65","85.35","683.16K","-1.42%"
"01/18/2023","88.27","89.75","90.61","88.22","817.20K","-1.32%"
"01/17/2023","89.45","90.96","91.46","89.42","798.36K","-2.11%"
"01/13/2023","91.38","90.43","91.87","90.15","647.03K","0.13%"
"01/12/2023","91.26","91.84","91.84","90.53","682.35K","-0.25%"
"01/11/2023","91.49","91.90","91.96","90.36","797.07K","2.08%"
"01/10/2023","89.63","88.20","89.75","87.90","656.67K","1.21%"
"01/09/2023","88.56","89.25","90.29","88.50","797.29K","-0.17%"
"01/06/2023","88.71","86.66","89.06","86.57","820.47K","3.52%"
"01/05/2023","85.69","85.00","85.79","84.01","1.17M","-0.38%"
"01/04/2023","86.02","83.67","86.26","83.12","1.16M","4.74%"
"01/03/2023","82.13","81.36","82.59","81.17","899.79K","0.85%"
"12/30/2022","81.44","81.35","81.78","80.52","584.31K","-0.91%"
"12/29/2022","82.19","80.54","82.70","80.54","552.19K","2.55%"
"12/28/2022","80.15","82.77","82.98","79.90","716.23K","-2.91%"
"12/27/2022","82.55","82.01","82.75","81.63","519.25K","0.45%"
"12/23/2022","82.18","81.39","82.28","80.88","418.47K","0.97%"
"12/22/2022","81.39","80.84","81.40","79.87","818.24K","-0.45%"
"12/21/2022","81.76","81.79","82.32","81.55","624.72K","1.04%"
"12/20/2022","80.92","80.63","81.44","80.44","695.26K","0.26%"
"12/19/2022","80.71","82.40","83.24","80.38","933.54K","-1.97%"
"12/16/2022","82.33","81.23","82.76","80.88","2.10M","-0.01%"
"12/15/2022","82.34","84.61","84.87","82.20","1.08M","-4.62%"
"12/14/2022","86.33","86.45","88.05","85.95","1.15M","-2.01%"
"12/13/2022","88.10","89.33","89.67","87.28","977.71K","1.87%"
"12/12/2022","86.48","85.13","86.56","84.69","780.66K","1.54%"
"12/09/2022","85.17","85.35","86.21","84.97","600.78K","-0.11%"
"12/08/2022","85.26","85.54","86.45","84.92","812.23K","0.60%"
"12/07/2022","84.75","84.71","85.68","84.32","1.09M","-0.42%"
"12/06/2022","85.11","86.21","86.56","84.04","903.01K","-1.13%"
"12/05/2022","86.08","86.54","87.09","85.45","734.59K","-1.65%"
"12/02/2022","87.52","85.24","88.02","85.01","942.08K","1.27%"
"12/01/2022","86.42","87.40","87.89","86.00","1.03M","-0.23%"
"11/30/2022","86.62","85.33","86.62","83.27","1.56M","1.61%"
"11/29/2022","85.25","84.99","86.19","84.52","924.05K","0.92%"
"11/28/2022","84.47","85.88","86.02","83.98","848.09K","-2.89%"
"11/25/2022","86.98","86.67","87.15","86.25","259.95K","0.12%"
"11/23/2022","86.88","86.62","87.43","85.85","530.18K","0.00%"
"11/22/2022","86.88","85.54","86.96","85.14","569.50K","2.63%"
"11/21/2022","84.65","83.36","85.13","82.41","717.88K","0.47%"
"11/18/2022","84.25","84.47","84.65","83.00","756.57K","1.21%"
"11/17/2022","83.24","83.07","83.44","82.13","1.12M","-1.75%"
"11/16/2022","84.72","86.17","86.50","84.50","755.01K","-2.47%"
"11/15/2022","86.87","89.03","89.66","86.75","952.63K","-0.79%"
"11/14/2022","87.56","88.38","89.58","87.53","1.08M","-2.16%"
"11/11/2022","89.49","85.91","90.00","85.64","1.46M","5.12%"
"11/10/2022","85.13","82.97","85.16","82.09","1.17M","7.49%"
"11/09/2022","79.20","81.31","81.74","79.14","851.52K","-3.68%"
"11/08/2022","82.23","81.50","83.06","81.19","1.33M","2.04%"
"11/07/2022","80.59","80.94","81.00","79.07","986.82K","0.42%"
"11/04/2022","80.25","78.04","80.76","77.98","1.36M","5.33%"
"11/03/2022","76.19","74.75","76.99","74.48","1.02M","0.28%"
"11/02/2022","75.98","78.54","79.66","75.96","1.53M","-3.68%"
"11/01/2022","78.88","77.96","79.48","77.29","1.75M","2.69%"
"10/31/2022","76.81","75.78","78.38","75.78","1.72M","0.81%"
"10/28/2022","76.19","75.86","77.11","74.00","1.88M","0.83%"
"10/27/2022","75.56","75.88","76.92","75.20","976.42K","-0.26%"
"10/26/2022","75.76","75.60","76.82","75.08","797.83K","0.41%"
"10/25/2022","75.45","73.52","75.67","72.58","1.05M","1.99%"
"10/24/2022","73.98","74.96","75.04","73.49","707.99K","-0.44%"
"10/21/2022","74.31","72.49","74.52","72.37","1.14M","2.69%"
"10/20/2022","72.36","73.38","75.46","72.28","712.03K","-1.07%"
"10/19/2022","73.14","74.57","75.07","72.89","671.06K","-2.91%"
"10/18/2022","75.33","76.07","76.72","74.49","688.91K","1.88%"
"10/17/2022","73.94","74.15","75.10","73.30","717.42K","2.34%"
"10/14/2022","72.25","74.51","75.19","72.08","935.48K","-2.29%"
"10/13/2022","73.94","70.54","75.01","70.09","969.84K","3.24%"
"10/12/2022","71.62","72.25","72.53","71.38","621.73K","-0.76%"
"10/11/2022","72.17","71.01","73.24","70.69","1.56M","0.54%"
"10/10/2022","71.78","72.89","73.04","71.26","891.01K","-0.84%"
"10/07/2022","72.39","73.94","74.35","71.82","960.68K","-3.26%"
"10/06/2022","74.83","75.59","76.77","74.40","897.12K","-2.29%"
"10/05/2022","76.58","75.90","77.16","75.14","1.05M","-1.03%"
"10/04/2022","77.38","75.56","77.52","75.44","1.12M","3.91%"
"10/03/2022","74.47","72.40","75.11","72.02","1.87M","4.81%"
"09/30/2022","71.05","70.88","72.55","70.49","1.18M","0.34%"
"09/29/2022","70.81","71.65","71.89","69.91","1.48M","-2.52%"
"09/28/2022","72.64","71.36","73.09","71.22","1.87M","2.51%"
"09/27/2022","70.86","72.37","72.59","70.63","1.38M","-0.76%"
"09/26/2022","71.40","72.44","73.40","71.31","1.11M","-1.77%"
"09/23/2022","72.69","73.19","73.19","70.64","1.71M","-2.74%"
"09/22/2022","74.74","76.13","76.69","74.65","1.19M","-1.15%"
"09/21/2022","75.61","78.24","78.51","75.56","1.04M","-2.22%"
"09/20/2022","77.33","78.26","78.68","76.48","1.37M","-2.97%"
"09/19/2022","79.70","78.24","80.31","78.01","1.51M","0.72%"
"09/16/2022","79.13","79.82","80.12","77.74","3.82M","-2.67%"
"09/15/2022","81.30","81.83","83.31","81.02","1.92M","-1.00%"
"09/14/2022","82.12","82.12","83.24","79.51","3.84M","-2.37%"
"09/13/2022","84.11","90.00","91.46","84.03","2.39M","-11.34%"
"09/12/2022","94.87","94.74","96.19","94.26","1.01M","1.30%"
"09/09/2022","93.65","93.12","94.20","92.59","873.30K","1.96%"
"09/08/2022","91.85","90.50","92.05","89.01","1.64M","0.45%"
"09/07/2022","91.44","89.46","91.58","89.10","941.38K","1.96%"
"09/06/2022","89.68","90.23","90.96","89.15","1.09M","0.18%"
"09/02/2022","89.52","92.29","92.90","88.88","831.26K","-0.97%"
"09/01/2022","90.40","89.95","90.46","88.11","877.66K","-0.66%"
"08/31/2022","91.00","93.63","93.99","90.92","988.50K","-2.58%"
"08/30/2022","93.41","95.37","95.75","92.64","602.36K","-1.70%"
"08/29/2022","95.03","93.98","95.75","93.51","499.45K","-0.01%"
"08/26/2022","95.04","99.19","99.56","94.97","454.65K","-4.00%"
"08/25/2022","99.00","97.29","99.04","97.08","556.45K","2.46%"
"08/24/2022","96.62","97.29","97.46","95.95","557.44K","-0.36%"
"08/23/2022","96.97","95.26","97.24","95.26","645.96K","2.12%"
"08/22/2022","94.96","96.82","96.82","94.77","683.68K","-3.70%"
"08/19/2022","98.61","99.85","99.85","98.00","640.91K","-1.76%"
"08/18/2022","100.38","99.97","100.78","99.62","450.85K","0.65%"
"08/17/2022","99.73","100.56","101.25","99.65","953.48K","-2.14%"
"08/16/2022","101.91","101.00","102.18","100.42","573.67K","0.86%"
"08/15/2022","101.04","100.12","101.51","99.65","763.89K","-0.13%"
"08/12/2022","101.17","99.95","101.19","99.67","581.56K","2.01%"
"08/11/2022","99.18","99.00","100.64","98.97","875.02K","1.28%"
"08/10/2022","97.93","97.21","98.71","97.06","703.96K","2.87%"
"08/09/2022","95.20","95.91","96.04","94.49","671.89K","-0.71%"
"08/08/2022","95.88","96.30","97.45","95.85","1.03M","0.79%"
"08/05/2022","95.13","93.00","95.58","92.81","1.05M","1.42%"
"08/04/2022","93.80","93.59","94.73","92.64","935.52K","0.46%"
"08/03/2022","93.37","93.90","94.11","92.59","1.12M","0.16%"
"08/02/2022","93.22","93.38","95.08","93.13","927.41K","-0.89%"
"08/01/2022","94.06","94.31","94.74","92.34","998.83K","-1.95%"
"07/29/2022","95.93","94.62","96.35","93.47","2.31M","0.81%"
"07/28/2022","95.16","95.80","96.38","94.43","1.42M","0.18%"
"07/27/2022","94.99","92.89","95.32","92.38","905.93K","2.33%"
"07/26/2022","92.83","93.56","94.89","92.62","908.78K","-1.48%"
"07/25/2022","94.22","93.89","94.40","92.73","873.18K","1.24%"
"07/22/2022","93.07","94.07","94.44","92.54","575.46K","-0.05%"
"07/21/2022","93.12","91.62","93.23","90.97","729.39K","0.82%"
"07/20/2022","92.36","91.81","93.03","90.84","717.25K","0.21%"
"07/19/2022","92.17","90.30","92.64","90.22","798.49K","3.57%"
"07/18/2022","88.99","90.02","90.70","88.43","732.51K","0.36%"
"07/15/2022","88.67","88.29","88.95","87.00","810.77K","2.46%"
"07/14/2022","86.54","86.42","87.10","85.19","758.23K","-2.30%"
"07/13/2022","88.58","88.96","89.37","87.55","730.71K","-2.35%"
"07/12/2022","90.71","89.10","92.05","88.91","595.83K","1.16%"
"07/11/2022","89.67","89.34","90.43","88.54","665.58K","-0.58%"
"07/08/2022","90.19","91.38","91.59","89.29","748.05K","-0.65%"
"07/07/2022","90.78","90.13","91.57","89.18","763.76K","2.31%"
"07/06/2022","88.73","88.31","89.33","86.83","873.09K","0.42%"
"07/05/2022","88.36","86.63","88.42","84.95","1.24M","-0.66%"
"07/01/2022","88.95","88.96","90.35","86.18","1.35M","-0.91%"
"06/30/2022","89.77","89.47","91.03","88.21","1.18M","-1.58%"
"06/29/2022","91.21","91.72","92.06","89.22","1.53M","-0.49%"
"06/28/2022","91.66","93.02","93.87","91.05","1.81M","-0.75%"
"06/27/2022","92.35","92.86","93.06","91.71","1.11M","-0.11%"
"06/24/2022","92.45","86.97","92.54","86.95","1.79M","7.00%"
"06/23/2022","86.40","88.57","89.81","86.09","1.69M","-2.96%"
"06/22/2022","89.04","87.68","89.93","87.68","1.49M","-1.40%"
"06/21/2022","90.30","89.93","90.53","87.93","1.46M","3.00%"
"06/17/2022","87.67","87.07","88.93","85.94","2.21M","0.25%"
"06/16/2022","87.45","91.83","91.95","86.92","2.32M","-8.00%"
"06/15/2022","95.05","97.28","97.71","93.47","1.24M","-1.24%"
"06/14/2022","96.24","96.82","97.84","95.22","959.59K","-1.60%"
"06/13/2022","97.80","99.52","100.38","97.23","1.30M","-4.30%"
"06/10/2022","102.19","105.68","106.40","102.10","1.34M","-5.82%"
"06/09/2022","108.51","109.01","111.18","108.37","1.06M","-0.69%"
"06/08/2022","109.26","111.13","111.97","108.86","888.85K","-2.70%"
"06/07/2022","112.29","110.56","112.51","110.05","664.33K","0.82%"
"06/06/2022","111.38","110.59","112.78","109.95","752.53K","1.05%"
"06/03/2022","110.22","110.40","111.11","109.40","655.10K","-1.07%"
"06/02/2022","111.41","110.09","111.55","109.47","769.76K","1.61%"
"06/01/2022","109.64","111.01","111.54","108.14","1.13M","-0.47%"
"05/31/2022","110.16","109.30","111.11","108.51","1.62M","0.48%"
"05/27/2022","109.63","108.48","109.84","108.36","815.96K","1.54%"
"05/26/2022","107.97","105.62","108.47","105.58","690.14K","3.09%"
"05/25/2022","104.73","103.44","105.51","103.25","641.96K","1.02%"
"05/24/2022","103.67","103.00","103.84","100.61","799.88K","0.39%"
"05/23/2022","103.27","103.29","103.77","102.00","786.14K","1.28%"
"05/20/2022","101.96","104.23","104.60","99.70","1.04M","-1.19%"
"05/19/2022","103.19","102.80","104.78","102.48","754.24K","-0.99%"
"05/18/2022","104.22","106.19","106.76","103.64","1.16M","-2.51%"
"05/17/2022","106.90","105.47","107.74","104.56","999.02K","3.43%"
"05/16/2022","103.35","102.80","104.17","101.44","790.98K","0.29%"
"05/13/2022","103.05","101.74","104.12","101.61","731.81K","2.00%"
"05/12/2022","101.03","101.39","102.41","99.14","938.54K","-0.81%"
"05/11/2022","101.86","102.78","104.64","101.73","827.03K","-0.27%"
"05/10/2022","102.14","104.76","105.03","100.19","923.18K","-1.24%"
"05/09/2022","103.42","104.01","105.52","103.01","1.06M","-2.33%"
"05/06/2022","105.89","105.62","106.60","104.12","1.31M","0.21%"
"05/05/2022","105.67","106.67","107.98","104.32","881.81K","-2.20%"
"05/04/2022","108.05","104.95","108.34","104.00","943.76K","2.95%"
"05/03/2022","104.95","102.26","105.55","102.01","1.06M","3.03%"
"05/02/2022","101.86","103.68","104.61","99.66","1.20M","-0.79%"
"04/29/2022","102.67","107.01","108.49","102.47","1.77M","-4.40%"
"04/28/2022","107.39","106.12","107.47","103.92","1.42M","2.15%"
"04/27/2022","105.13","105.04","106.06","104.05","665.84K","1.13%"
"04/26/2022","103.96","105.55","106.83","103.93","890.43K","-1.79%"
"04/25/2022","105.86","105.42","106.33","103.05","1.04M","-0.53%"
"04/22/2022","106.42","109.17","109.99","106.21","1.01M","-3.66%"
"04/21/2022","110.46","112.40","113.34","110.36","1.01M","-0.49%"
"04/20/2022","111.00","110.20","112.40","109.85","1.25M","1.31%"
"04/19/2022","109.57","106.62","110.60","106.24","1.25M","0.69%"
"04/18/2022","108.82","107.96","109.77","107.81","910.36K","0.84%"
"04/14/2022","107.91","108.80","109.96","107.85","896.72K","-0.44%"
"04/13/2022","108.39","106.94","108.70","106.88","880.72K","0.84%"
"04/12/2022","107.49","107.96","109.87","107.19","1.14M","-0.02%"
"04/11/2022","107.51","107.40","110.32","107.16","810.58K","-0.63%"
"04/08/2022","108.19","107.53","109.62","107.08","1.01M","1.15%"
"04/07/2022","106.96","108.15","108.71","105.14","1.36M","-1.21%"
"04/06/2022","108.27","109.50","109.90","108.09","1.21M","-1.55%"
"04/05/2022","109.98","111.04","112.01","109.97","1.53M","-1.46%"
