"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","91.39","90.99","91.85","90.57","3.27M","-0.10%"
"02/02/2023","91.48","91.16","91.67","90.55","4.92M","-0.15%"
"02/01/2023","91.62","89.52","92.29","89.38","3.70M","1.55%"
"01/31/2023","90.22","90.00","90.43","89.02","3.70M","0.59%"
"01/30/2023","89.69","88.58","90.28","88.34","2.78M","0.29%"
"01/27/2023","89.43","90.54","90.59","89.33","3.66M","-1.31%"
"01/26/2023","90.62","89.94","90.64","88.58","3.28M","1.73%"
"01/25/2023","89.08","88.18","89.35","88.04","3.45M","-0.45%"
"01/24/2023","89.48","89.41","90.00","87.78","2.80M","0.54%"
"01/23/2023","89.00","88.24","89.90","88.07","5.34M","1.89%"
"01/20/2023","87.35","87.35","87.66","86.62","6.21M","0.53%"
"01/19/2023","86.89","88.58","88.80","86.82","4.78M","-2.60%"
"01/18/2023","89.21","90.97","91.31","89.12","6.03M","-2.22%"
"01/17/2023","91.24","95.45","95.45","90.43","8.78M","-6.82%"
"01/13/2023","97.92","97.48","98.04","97.05","2.23M","-0.13%"
"01/12/2023","98.05","99.00","99.28","98.02","2.52M","-0.15%"
"01/11/2023","98.20","98.34","98.34","97.27","2.72M","0.39%"
"01/10/2023","97.82","97.32","97.94","96.84","2.93M","0.58%"
"01/09/2023","97.26","98.42","99.65","97.19","3.15M","-0.70%"
"01/06/2023","97.95","96.31","98.45","95.90","2.61M","3.09%"
"01/05/2023","95.01","94.80","95.49","93.98","2.41M","-0.43%"
"01/04/2023","95.42","95.78","95.78","93.86","3.87M","-0.72%"
"01/03/2023","96.11","96.60","96.99","94.95","2.39M","0.05%"
"12/30/2022","96.06","95.95","96.25","95.14","1.42M","-0.31%"
"12/29/2022","96.36","95.84","96.68","95.81","1.83M","1.15%"
"12/28/2022","95.26","96.74","97.23","95.13","2.22M","-1.45%"
"12/27/2022","96.66","95.85","96.73","95.54","3.14M","1.17%"
"12/23/2022","95.54","94.75","96.04","94.59","2.98M","0.48%"
"12/22/2022","95.08","96.02","96.72","93.83","4.53M","-1.76%"
"12/21/2022","96.78","95.73","97.27","95.57","3.54M","1.83%"
"12/20/2022","95.04","94.59","95.85","94.59","3.68M","0.49%"
