"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","222.93","220.00","227.90","219.43","2.51M","-2.09%"
"02/02/2023","227.70","232.70","235.90","222.20","4.41M","0.25%"
"02/01/2023","227.14","221.26","229.64","216.91","4.11M","2.60%"
"01/31/2023","221.38","212.17","221.58","212.15","4.15M","4.32%"
"01/30/2023","212.22","208.43","217.99","206.25","4.02M","1.01%"
"01/27/2023","210.09","206.65","213.59","204.67","3.73M","1.00%"
"01/26/2023","208.02","213.90","214.49","203.61","3.46M","-1.09%"
"01/25/2023","210.32","207.17","211.71","201.68","6.63M","-4.17%"
"01/24/2023","219.47","222.50","223.95","215.28","5.94M","-3.93%"
"01/23/2023","228.44","223.58","234.32","217.97","4.81M","2.65%"
"01/20/2023","222.54","224.75","227.90","219.83","6.10M","-0.19%"
"01/19/2023","222.97","245.90","249.25","222.91","6.20M","-10.92%"
"01/18/2023","250.31","255.00","260.00","245.40","3.63M","-0.30%"
"01/17/2023","251.06","249.08","260.98","245.17","4.41M","2.13%"
"01/13/2023","245.83","238.41","251.65","238.41","3.97M","1.70%"
"01/12/2023","241.72","240.86","243.22","230.55","3.70M","1.21%"
"01/11/2023","238.82","229.22","242.00","229.01","5.29M","3.91%"
"01/10/2023","229.83","227.36","233.45","224.45","3.65M","0.83%"
"01/09/2023","227.94","236.36","243.17","227.14","4.65M","-2.44%"
"01/06/2023","233.65","240.82","241.74","230.10","5.40M","-2.80%"
"01/05/2023","240.37","248.55","251.85","239.41","4.10M","-4.48%"
"01/04/2023","251.64","252.45","256.22","246.76","3.57M","-0.66%"
"01/03/2023","253.31","269.17","271.72","250.51","3.08M","-4.40%"
"12/30/2022","264.96","260.95","265.72","258.47","2.35M","-0.20%"
"12/29/2022","265.49","271.92","274.44","264.14","3.30M","-0.71%"
"12/28/2022","267.38","272.16","273.09","262.52","2.89M","-2.61%"
"12/27/2022","274.54","292.42","293.03","273.77","3.26M","-6.60%"
"12/23/2022","293.95","302.57","303.00","288.27","2.34M","-1.65%"
"12/22/2022","298.87","312.62","316.00","291.87","3.07M","-5.75%"
"12/21/2022","317.10","302.45","317.83","290.06","3.87M","4.98%"
"12/20/2022","302.07","302.52","310.09","293.20","2.25M","-0.96%"
"12/19/2022","305.01","308.11","312.91","301.00","2.35M","0.53%"
"12/16/2022","303.39","309.95","313.00","299.01","4.64M","-3.40%"
"12/15/2022","314.06","324.90","334.84","312.14","3.44M","-5.63%"
"12/14/2022","332.80","325.99","338.10","324.80","2.67M","2.09%"
"12/13/2022","325.99","331.01","333.64","320.86","2.54M","1.60%"
"12/12/2022","320.86","315.46","323.32","312.55","2.47M","0.41%"
"12/09/2022","319.55","314.50","326.48","312.54","2.40M","-0.10%"
"12/08/2022","319.87","319.75","324.88","315.07","2.33M","0.89%"
"12/07/2022","317.05","309.22","317.44","300.34","3.77M","2.36%"
"12/06/2022","309.73","332.99","335.00","304.45","5.61M","-7.77%"
"12/05/2022","335.82","334.01","339.92","326.31","3.88M","-0.05%"
"12/02/2022","336.00","310.62","338.16","309.61","5.54M","7.01%"
"12/01/2022","314.00","322.11","322.33","312.50","2.22M","-2.06%"
"11/30/2022","320.59","306.65","320.97","305.31","4.05M","5.67%"
"11/29/2022","303.39","312.71","315.74","303.06","2.39M","-2.83%"
"11/28/2022","312.21","316.58","323.79","309.92","2.66M","-2.26%"
"11/25/2022","319.42","315.05","323.44","310.75","1.54M","1.15%"
"11/23/2022","315.78","318.93","324.46","314.72","2.64M","-1.45%"
"11/22/2022","320.44","309.02","321.09","303.02","2.85M","4.01%"
"11/21/2022","308.10","308.30","310.50","297.05","2.82M","-1.23%"
"11/18/2022","311.94","315.37","322.65","307.76","10.46M","-0.33%"
"11/17/2022","312.96","299.00","314.78","294.00","3.54M","2.55%"
"11/16/2022","305.18","299.62","312.79","297.50","3.43M","1.48%"
"11/15/2022","300.73","309.52","313.39","299.84","3.08M","0.94%"
"11/14/2022","297.94","299.07","306.47","285.01","4.28M","2.03%"
"11/11/2022","292.01","308.25","319.49","291.29","5.07M","-5.57%"
"11/10/2022","309.25","295.68","312.29","288.14","4.40M","8.60%"
"11/09/2022","284.75","278.89","295.90","278.07","3.33M","1.67%"
"11/08/2022","280.07","274.60","282.71","271.10","2.75M","4.18%"
"11/07/2022","268.83","282.31","283.38","262.60","3.80M","-4.82%"
"11/04/2022","282.44","303.99","305.30","271.70","4.12M","-4.62%"
"11/03/2022","296.11","287.08","302.35","286.13","2.53M","2.28%"
"11/02/2022","289.50","300.00","306.78","289.31","3.53M","-3.33%"
"11/01/2022","299.48","314.55","316.87","299.12","3.01M","-2.45%"
"10/31/2022","307.00","301.11","308.28","296.86","2.65M","0.57%"
"10/28/2022","305.25","308.82","309.56","296.60","4.08M","-0.27%"
"10/27/2022","306.08","295.56","312.77","292.62","5.45M","4.87%"
"10/26/2022","291.87","290.92","303.97","279.01","9.59M","9.89%"
"10/25/2022","265.59","256.57","268.89","256.22","4.70M","4.85%"
"10/24/2022","253.30","253.10","253.98","243.01","3.32M","0.52%"
"10/21/2022","252.00","243.20","254.19","237.57","4.68M","3.16%"
"10/20/2022","244.29","242.49","247.68","234.00","3.45M","0.45%"
"10/19/2022","243.19","247.50","247.60","238.86","3.17M","-3.27%"
"10/18/2022","251.42","250.63","254.00","245.26","3.10M","3.77%"
"10/17/2022","242.29","244.90","250.24","238.88","2.90M","1.86%"
"10/14/2022","237.87","249.00","254.21","237.26","2.90M","-4.35%"
"10/13/2022","248.70","237.11","250.91","234.58","3.65M","0.23%"
"10/12/2022","248.13","256.91","259.40","246.92","3.46M","-3.00%"
"10/11/2022","255.80","254.02","259.39","247.86","3.81M","-0.92%"
"10/10/2022","258.18","252.54","260.00","246.38","3.52M","1.19%"
"10/07/2022","255.15","253.90","263.74","252.26","4.87M","-0.89%"
"10/06/2022","257.45","260.00","269.33","254.61","4.47M","-1.59%"
"10/05/2022","261.60","284.74","285.38","248.13","12.13M","-9.25%"
"10/04/2022","288.25","296.00","297.71","286.38","3.63M","0.57%"
"10/03/2022","286.61","279.54","289.43","278.50","3.07M","3.29%"
"09/30/2022","277.47","276.65","286.73","273.40","3.14M","-0.13%"
"09/29/2022","277.84","287.58","290.98","273.62","3.57M","-4.95%"
"09/28/2022","292.31","282.00","294.39","279.20","2.74M","2.63%"
"09/27/2022","284.81","285.10","294.80","282.04","3.68M","3.60%"
"09/26/2022","274.92","277.86","288.95","273.67","3.36M","-1.64%"
"09/23/2022","279.49","279.03","281.50","270.57","3.94M","-1.46%"
"09/22/2022","283.63","301.90","306.00","280.98","4.70M","-6.87%"
"09/21/2022","304.56","306.75","318.49","297.34","4.18M","-0.05%"
"09/20/2022","304.71","314.91","317.28","304.50","2.62M","-3.64%"
"09/19/2022","316.23","313.00","319.65","309.88","3.01M","-0.56%"
"09/16/2022","318.01","306.93","318.32","301.84","4.84M","1.87%"
"09/15/2022","312.18","316.31","322.95","307.67","3.81M","-2.63%"
"09/14/2022","320.62","306.04","320.97","298.62","4.21M","4.95%"
"09/13/2022","305.50","297.29","311.49","293.04","4.44M","-1.11%"
"09/12/2022","308.93","304.27","309.79","297.11","3.53M","1.06%"
"09/09/2022","305.70","312.00","314.50","294.20","5.65M","-3.69%"
"09/08/2022","317.41","315.00","324.84","311.20","4.49M","0.35%"
"09/07/2022","316.31","291.22","318.22","291.12","7.14M","8.02%"
"09/06/2022","292.82","282.91","297.99","278.92","4.05M","4.93%"
"09/02/2022","279.07","284.50","287.69","274.31","2.53M","-0.99%"
"09/01/2022","281.86","280.29","285.54","271.75","2.68M","-1.60%"
"08/31/2022","286.44","291.14","293.80","280.53","2.70M","0.23%"
"08/30/2022","285.77","288.45","296.82","276.70","3.44M","0.33%"
