"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","124.62","125.00","127.82","124.37","4.21M","-0.10%"
"02/02/2023","124.75","126.80","127.11","123.09","3.93M","-2.00%"
"02/01/2023","127.29","131.23","131.74","125.39","4.98M","-3.75%"
"01/31/2023","132.25","132.00","133.73","131.55","4.04M","0.11%"
"01/30/2023","132.10","133.18","133.52","131.42","2.93M","-1.90%"
"01/27/2023","134.66","136.00","137.95","134.44","3.04M","-0.93%"
"01/26/2023","135.93","134.40","136.00","132.68","2.62M","2.59%"
"01/25/2023","132.50","132.09","132.80","130.78","2.57M","-0.20%"
"01/24/2023","132.76","134.00","134.86","132.38","2.31M","-1.06%"
"01/23/2023","134.18","133.50","135.03","133.26","2.69M","1.08%"
"01/20/2023","132.75","131.35","133.45","130.68","2.48M","1.11%"
"01/19/2023","131.29","128.97","131.91","127.63","2.45M","1.94%"
"01/18/2023","128.79","131.41","133.82","128.30","3.74M","-0.98%"
"01/17/2023","130.06","129.83","130.97","128.66","3.13M","0.46%"
"01/13/2023","129.46","129.87","130.20","127.93","2.11M","-0.76%"
"01/12/2023","130.45","127.91","132.10","127.60","4.00M","2.84%"
"01/11/2023","126.85","129.17","129.67","125.68","2.77M","-0.60%"
"01/10/2023","127.61","128.61","128.69","126.09","2.57M","-0.11%"
"01/09/2023","127.75","129.63","130.20","127.06","3.16M","0.22%"
"01/06/2023","127.47","126.17","129.15","125.61","2.60M","2.48%"
"01/05/2023","124.38","124.15","125.74","123.83","3.56M","0.02%"
"01/04/2023","124.36","121.93","125.54","121.34","2.47M","-0.07%"
"01/03/2023","124.45","128.00","129.27","122.89","2.99M","-3.91%"
"12/30/2022","129.52","128.25","129.69","127.95","2.18M","0.69%"
"12/29/2022","128.63","126.72","129.20","126.50","1.74M","0.97%"
"12/28/2022","127.40","131.51","131.83","126.86","2.48M","-3.54%"
"12/27/2022","132.08","131.42","132.34","130.30","2.25M","1.13%"
"12/23/2022","130.61","127.48","130.71","127.48","1.68M","3.41%"
"12/22/2022","126.30","130.14","130.67","123.31","3.01M","-2.85%"
"12/21/2022","130.01","129.41","130.44","127.31","2.68M","2.78%"
"12/20/2022","126.49","125.31","128.12","125.00","2.35M","0.76%"
"12/19/2022","125.53","126.84","127.85","124.48","2.41M","-0.19%"
"12/16/2022","125.77","125.00","126.61","122.41","13.52M","-0.68%"
"12/15/2022","126.63","123.59","126.70","123.59","3.56M","0.56%"
"12/14/2022","125.93","127.50","129.21","124.77","3.72M","-1.20%"
"12/13/2022","127.46","127.85","128.99","126.31","4.35M","2.74%"
"12/12/2022","124.06","122.76","125.22","122.27","4.30M","1.96%"
"12/09/2022","121.67","125.11","126.36","121.41","4.15M","-2.33%"
"12/08/2022","124.57","129.18","129.88","123.31","4.76M","-1.26%"
"12/07/2022","126.16","128.13","129.73","125.19","4.48M","-1.28%"
"12/06/2022","127.79","133.03","135.25","126.96","5.03M","-4.73%"
"12/05/2022","134.14","141.92","142.49","132.40","3.80M","-3.48%"
"12/02/2022","138.97","139.39","141.88","137.71","3.93M","-1.12%"
"12/01/2022","140.54","143.51","144.82","140.28","2.96M","-0.98%"
"11/30/2022","141.93","142.88","144.39","140.28","4.62M","0.45%"
"11/29/2022","141.29","139.03","141.62","138.24","3.97M","3.40%"
"11/28/2022","136.65","138.21","139.94","136.56","3.58M","-4.20%"
"11/25/2022","142.64","142.92","144.91","142.44","1.43M","-0.01%"
"11/23/2022","142.65","141.61","143.50","140.50","2.34M","-1.16%"
"11/22/2022","144.32","142.00","144.60","140.58","3.39M","3.19%"
"11/21/2022","139.86","137.56","141.27","134.41","4.73M","-0.82%"
"11/18/2022","141.02","140.86","141.24","138.41","3.57M","-2.40%"
"11/17/2022","144.49","141.56","144.63","140.05","2.75M","0.72%"
"11/16/2022","143.45","145.66","146.85","142.93","2.51M","-2.61%"
"11/15/2022","147.30","146.85","147.51","145.09","2.79M","0.77%"
"11/14/2022","146.18","146.73","150.05","146.05","2.98M","-0.63%"
"11/11/2022","147.11","145.31","148.14","144.49","3.07M","3.37%"
"11/10/2022","142.31","143.36","143.36","139.06","2.99M","1.93%"
"11/09/2022","139.62","145.76","146.42","139.41","5.02M","-5.83%"
"11/08/2022","148.26","145.00","149.22","144.51","3.98M","1.59%"
"11/07/2022","145.94","142.78","146.29","141.33","4.49M","2.61%"
"11/04/2022","142.23","143.22","150.88","139.98","8.06M","2.78%"
"11/03/2022","138.38","134.62","138.98","134.02","5.37M","2.06%"
"11/02/2022","135.59","135.41","138.71","134.36","5.64M","-0.53%"
"11/01/2022","136.31","138.59","138.91","135.25","3.89M","-0.15%"
"10/31/2022","136.52","132.50","138.92","132.36","4.14M","2.12%"
"10/28/2022","133.69","136.33","136.73","131.32","3.02M","-0.51%"
"10/27/2022","134.37","136.00","137.00","134.07","3.30M","0.05%"
"10/26/2022","134.30","133.16","135.56","132.15","3.85M","1.74%"
"10/25/2022","132.00","133.86","134.27","131.84","4.17M","-1.98%"
"10/24/2022","134.66","134.82","136.45","134.41","4.00M","-0.25%"
"10/21/2022","135.00","132.50","135.87","131.62","4.24M","2.59%"
"10/20/2022","131.59","131.06","134.31","130.74","3.90M","1.17%"
"10/19/2022","130.07","125.00","130.93","124.31","4.72M","4.90%"
"10/18/2022","123.99","124.02","125.42","121.38","4.02M","2.56%"
"10/17/2022","120.90","122.66","123.93","120.65","3.56M","0.27%"
"10/14/2022","120.57","124.93","127.29","120.50","3.23M","-5.32%"
"10/13/2022","127.34","121.52","128.32","121.52","2.80M","3.14%"
"10/12/2022","123.46","121.70","124.76","120.20","2.54M","0.62%"
"10/11/2022","122.70","121.28","125.33","120.57","3.02M","-0.81%"
"10/10/2022","123.70","127.45","129.24","123.35","2.67M","-2.94%"
"10/07/2022","127.45","128.07","130.32","126.28","3.66M","-0.06%"
