"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","375.85","367.81","385.96","367.05","878.45K","-0.92%"
"02/02/2023","379.34","362.18","380.24","360.29","627.06K","7.53%"
"02/01/2023","352.77","333.80","353.90","332.54","379.54K","6.05%"
"01/31/2023","332.65","335.72","338.29","330.73","352.99K","-0.67%"
"01/30/2023","334.89","336.02","339.36","331.47","190.55K","-1.92%"
"01/27/2023","341.43","339.38","345.24","335.87","337.63K","-0.80%"
"01/26/2023","344.17","338.32","346.88","335.00","267.45K","4.60%"
"01/25/2023","329.04","323.21","329.91","316.42","467.26K","-0.88%"
"01/24/2023","331.95","347.92","348.60","331.26","338.54K","-4.80%"
"01/23/2023","348.70","346.94","349.99","340.45","615.75K","1.07%"
"01/20/2023","345.02","338.55","345.04","338.55","565.13K","2.68%"
"01/19/2023","336.00","347.40","350.91","335.80","423.06K","-4.79%"
"01/18/2023","352.90","363.44","371.10","352.40","310.30K","-1.32%"
"01/17/2023","357.63","344.87","358.66","342.50","370.80K","3.42%"
"01/13/2023","345.82","336.21","346.52","336.21","205.10K","1.42%"
"01/12/2023","340.99","340.00","341.36","331.59","212.26K","1.29%"
"01/11/2023","336.64","331.49","336.98","331.17","197.08K","2.99%"
"01/10/2023","326.88","323.23","327.51","319.35","183.52K","0.58%"
"01/09/2023","324.98","322.81","331.87","320.38","337.11K","2.62%"
"01/06/2023","316.67","315.20","320.00","310.18","273.52K","1.02%"
"01/05/2023","313.48","325.83","327.95","301.37","729.92K","-6.49%"
"01/04/2023","335.22","336.81","341.45","331.20","255.44K","1.15%"
"01/03/2023","331.42","334.78","337.52","325.01","271.07K","1.12%"
"12/30/2022","327.74","323.70","329.05","320.00","218.33K","-0.91%"
"12/29/2022","330.74","321.46","333.75","321.11","264.59K","4.45%"
"12/28/2022","316.65","315.98","320.48","313.86","267.79K","-0.46%"
"12/27/2022","318.12","319.47","320.76","315.37","239.35K","-1.71%"
"12/23/2022","323.66","319.79","325.11","318.74","230.79K","0.13%"
"12/22/2022","323.24","331.90","332.65","317.65","235.82K","-4.65%"
"12/21/2022","338.99","333.39","339.99","333.19","232.23K","2.19%"
"12/20/2022","331.72","327.80","334.19","325.01","210.63K","0.96%"
"12/19/2022","328.57","331.30","332.39","325.76","228.77K","-1.42%"
"12/16/2022","333.30","334.26","335.98","329.42","688.51K","-0.84%"
"12/15/2022","336.11","350.53","351.72","324.30","619.41K","-5.28%"
"12/14/2022","354.83","362.54","366.69","350.80","332.06K","-2.63%"
"12/13/2022","364.42","365.98","373.28","360.00","450.26K","5.35%"
"12/12/2022","345.90","343.57","349.48","341.43","231.78K","0.59%"
"12/09/2022","343.88","345.32","348.08","342.19","210.81K","-0.63%"
"12/08/2022","346.05","337.66","347.15","336.02","206.01K","2.09%"
"12/07/2022","338.98","339.34","345.00","333.99","269.82K","-0.34%"
