"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","80.35","82.93","83.18","79.52","1.74M","-3.66%"
"02/02/2023","83.40","83.06","84.00","82.23","2.12M","0.83%"
"02/01/2023","82.71","81.90","83.30","81.49","1.69M","0.46%"
"01/31/2023","82.33","81.66","82.34","80.52","1.95M","1.18%"
"01/30/2023","81.37","80.78","81.99","80.62","1.59M","0.53%"
"01/27/2023","80.94","80.08","81.23","79.56","1.56M","0.77%"
"01/26/2023","80.32","79.49","80.75","79.31","1.26M","0.77%"
"01/25/2023","79.71","79.60","79.98","78.89","1.93M","-0.67%"
"01/24/2023","80.25","80.53","80.63","79.11","1.16M","0.45%"
"01/23/2023","79.89","79.67","80.66","79.34","1.60M","0.19%"
"01/20/2023","79.74","79.79","80.10","77.39","2.32M","-0.05%"
"01/19/2023","79.78","81.18","81.30","79.73","1.44M","-1.76%"
"01/18/2023","81.21","84.04","84.20","80.77","1.75M","-3.01%"
"01/17/2023","83.73","84.20","85.08","83.63","1.48M","-0.35%"
"01/13/2023","84.02","84.69","84.79","83.06","1.73M","-1.30%"
"01/12/2023","85.13","86.07","86.23","84.87","1.33M","-0.79%"
"01/11/2023","85.81","86.05","86.44","84.99","1.38M","0.14%"
"01/10/2023","85.69","85.38","85.79","84.91","1.07M","-0.02%"
"01/09/2023","85.71","85.29","86.84","85.18","1.18M","-0.10%"
"01/06/2023","85.80","84.93","86.26","84.39","912.45K","2.45%"
"01/05/2023","83.75","84.58","85.09","83.02","1.21M","-1.85%"
"01/04/2023","85.33","84.88","85.84","84.58","1.50M","1.32%"
"01/03/2023","84.22","84.51","84.72","83.05","1.25M","0.45%"
"12/30/2022","83.84","85.10","85.32","83.11","1.05M","-1.46%"
"12/29/2022","85.08","84.71","85.47","84.39","605.75K","0.95%"
"12/28/2022","84.28","85.17","85.58","84.09","959.88K","-0.81%"
"12/27/2022","84.97","84.55","85.26","84.00","715.08K","0.88%"
"12/23/2022","84.23","82.95","84.34","82.61","892.62K","1.31%"
"12/22/2022","83.14","83.71","84.00","81.86","1.16M","-1.00%"
