"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","230.34","232.32","232.32","227.43","732.07K","-2.78%"
"02/02/2023","236.93","230.00","238.43","230.00","533.21K","4.28%"
"02/01/2023","227.21","225.00","229.41","223.73","580.74K","0.50%"
"01/31/2023","226.07","219.66","226.07","218.84","1.98M","2.97%"
"01/30/2023","219.54","221.19","223.43","219.23","437.20K","-1.74%"
"01/27/2023","223.42","217.47","223.90","217.47","431.51K","2.68%"
"01/26/2023","217.59","218.13","220.60","216.43","362.29K","0.44%"
"01/25/2023","216.64","217.67","218.34","215.75","406.43K","-0.88%"
"01/24/2023","218.57","217.00","220.17","216.73","453.59K","0.78%"
"01/23/2023","216.87","215.64","217.30","214.55","357.79K","0.31%"
"01/20/2023","216.19","215.25","216.34","212.61","406.65K","-0.01%"
"01/19/2023","216.21","214.34","218.55","214.34","426.83K","0.40%"
"01/18/2023","215.34","220.64","220.96","215.22","406.05K","-2.15%"
"01/17/2023","220.08","221.04","223.07","219.33","386.57K","0.70%"
"01/13/2023","218.54","218.24","221.32","217.50","293.21K","-0.89%"
"01/12/2023","220.50","223.79","223.79","217.38","399.79K","-0.89%"
"01/11/2023","222.47","215.13","222.71","215.13","376.69K","3.93%"
"01/10/2023","214.06","211.14","214.44","211.14","338.38K","0.70%"
"01/09/2023","212.57","214.13","218.23","212.35","677.33K","-0.99%"
"01/06/2023","214.70","207.59","215.66","207.03","611.79K","4.28%"
"01/05/2023","205.88","212.29","212.29","205.63","543.38K","-4.35%"
"01/04/2023","215.25","213.49","216.61","212.24","513.71K","1.86%"
"01/03/2023","211.31","211.76","213.95","209.01","493.57K","-0.29%"
"12/30/2022","211.92","211.10","212.51","209.37","410.86K","-1.10%"
"12/29/2022","214.27","210.79","214.94","210.00","405.78K","2.41%"
"12/28/2022","209.23","211.61","213.45","209.23","507.80K","-0.81%"
"12/27/2022","210.94","211.24","211.74","209.41","293.91K","-0.34%"
"12/23/2022","211.65","208.24","211.65","207.59","291.23K","1.30%"
"12/22/2022","208.93","206.91","209.96","206.20","688.76K","0.04%"
"12/21/2022","208.85","209.00","210.90","207.15","470.35K","0.65%"
"12/20/2022","207.50","206.77","208.25","205.24","351.60K","-0.51%"
"12/19/2022","208.57","211.26","211.86","206.74","372.11K","-1.67%"
"12/16/2022","212.12","213.27","214.66","210.43","999.12K","-2.81%"
"12/15/2022","218.26","219.10","220.68","217.07","573.44K","-1.21%"
"12/14/2022","220.94","222.91","226.88","219.86","720.94K","-1.02%"
"12/13/2022","223.21","223.93","225.25","219.44","866.83K","2.10%"
"12/12/2022","218.61","214.99","218.84","212.56","523.97K","1.78%"
"12/09/2022","214.79","213.45","216.55","213.45","309.39K","0.42%"
"12/08/2022","213.89","213.84","217.43","213.42","293.88K","0.47%"
"12/07/2022","212.90","210.57","214.51","210.50","530.92K","0.86%"
"12/06/2022","211.08","215.79","216.19","210.76","519.92K","-1.54%"
"12/05/2022","214.38","215.43","217.01","214.02","407.69K","-1.53%"
"12/02/2022","217.72","218.44","219.67","217.29","374.22K","-1.00%"
"12/01/2022","219.91","224.01","224.01","217.36","492.43K","-0.21%"
"11/30/2022","220.38","212.97","220.48","210.60","793.56K","2.75%"
"11/29/2022","214.49","209.29","214.50","209.29","503.11K","1.91%"
"11/28/2022","210.46","212.29","213.56","209.80","582.68K","-1.01%"
"11/25/2022","212.61","213.12","213.72","211.82","132.89K","0.35%"
"11/23/2022","211.86","212.72","213.84","209.88","284.00K","-0.88%"
"11/22/2022","213.74","213.54","214.17","211.86","301.29K","0.10%"
"11/21/2022","213.52","210.99","214.29","210.02","503.10K","0.91%"
"11/18/2022","211.59","211.05","211.59","207.93","934.19K","1.96%"
"11/17/2022","207.52","206.85","208.60","205.76","541.42K","-1.19%"
"11/16/2022","210.02","210.87","214.17","208.58","588.34K","-1.02%"
"11/15/2022","212.18","214.01","214.27","208.84","944.46K","0.81%"
"11/14/2022","210.47","213.79","215.16","210.28","865.82K","-2.24%"
"11/11/2022","215.30","217.67","219.04","211.58","852.88K","-1.49%"
"11/10/2022","218.56","214.99","219.04","213.75","1.30M","5.41%"
"11/09/2022","207.34","208.10","209.27","205.83","657.82K","-0.29%"
"11/08/2022","207.95","209.71","210.92","206.64","686.06K","-0.73%"
"11/07/2022","209.48","214.24","215.54","208.63","710.96K","-2.22%"
"11/04/2022","214.24","214.85","217.79","208.71","559.22K","0.12%"
"11/03/2022","213.99","213.02","216.39","210.66","792.83K","-1.08%"
"11/02/2022","216.32","219.76","224.99","216.19","467.97K","-2.29%"
"11/01/2022","221.39","224.43","224.43","220.85","563.85K","-0.38%"
"10/31/2022","222.24","221.12","224.30","219.99","1.07M","0.00%"
"10/28/2022","222.24","220.11","222.60","218.38","958.44K","0.30%"
"10/27/2022","221.57","224.49","228.94","219.58","1.17M","-2.93%"
"10/26/2022","228.26","235.28","237.71","227.58","721.56K","-3.46%"
"10/25/2022","236.45","228.67","236.61","228.67","380.68K","3.87%"
"10/24/2022","227.64","230.49","230.85","225.86","376.34K","-0.06%"
"10/21/2022","227.78","227.47","230.77","223.90","515.34K","0.47%"
"10/20/2022","226.72","227.91","231.05","225.66","498.83K","-0.18%"
"10/19/2022","227.12","230.40","231.99","226.38","274.71K","-2.64%"
"10/18/2022","233.28","234.28","237.31","231.16","318.06K","0.87%"
"10/17/2022","231.27","227.34","232.29","225.08","321.70K","3.89%"
"10/14/2022","222.62","232.57","232.79","221.93","505.77K","-2.87%"
"10/13/2022","229.20","219.85","230.65","218.83","550.35K","2.31%"
"10/12/2022","224.02","226.51","226.59","223.06","551.07K","-1.25%"
"10/11/2022","226.85","222.13","228.08","220.47","555.08K","2.44%"
"10/10/2022","221.44","222.00","223.52","219.16","689.64K","0.10%"
"10/07/2022","221.21","226.83","228.23","220.25","537.43K","-3.27%"
"10/06/2022","228.69","236.00","237.27","228.64","506.75K","-3.24%"
"10/05/2022","236.35","242.66","242.66","234.56","453.42K","-3.73%"
"10/04/2022","245.52","248.13","249.66","242.63","715.85K","-0.52%"
"10/03/2022","246.80","245.97","248.20","242.26","422.30K","1.89%"
"09/30/2022","242.23","241.18","244.14","238.53","770.51K","1.50%"
"09/29/2022","238.66","240.30","241.72","236.01","494.54K","-2.47%"
"09/28/2022","244.70","240.86","246.22","238.17","746.17K","2.66%"
"09/27/2022","238.35","242.24","244.52","238.24","351.51K","-1.09%"
"09/26/2022","240.98","247.13","247.13","237.89","395.73K","-2.86%"
"09/23/2022","248.08","245.93","252.41","244.63","391.67K","0.01%"
"09/22/2022","248.06","246.59","249.47","244.36","330.03K","0.17%"
"09/21/2022","247.63","253.57","254.11","247.61","353.63K","-1.38%"
"09/20/2022","251.10","255.99","255.99","248.72","583.74K","-2.49%"
"09/19/2022","257.52","257.36","258.49","252.94","538.86K","-1.36%"
"09/16/2022","261.06","261.13","261.32","256.43","705.84K","0.05%"
"09/15/2022","260.93","263.67","265.42","260.70","367.76K","-1.38%"
"09/14/2022","264.59","266.89","267.09","261.79","444.47K","-1.32%"
"09/13/2022","268.12","273.74","274.61","266.98","465.94K","-3.69%"
"09/12/2022","278.38","278.93","279.96","277.33","289.43K","0.04%"
"09/09/2022","278.26","275.39","280.52","273.49","257.52K","1.08%"
"09/08/2022","275.28","273.03","276.06","271.10","175.86K","0.32%"
"09/07/2022","274.40","270.45","274.44","269.79","222.46K","1.71%"
"09/06/2022","269.78","267.14","270.54","266.69","226.24K","1.43%"
"09/02/2022","265.98","269.37","270.88","265.65","276.74K","-0.75%"
"09/01/2022","268.00","263.73","268.20","261.27","356.55K","1.11%"
"08/31/2022","265.06","268.54","269.37","264.47","408.19K","-0.48%"
"08/30/2022","266.33","270.44","271.33","265.76","336.19K","-1.51%"
"08/29/2022","270.41","273.16","273.96","270.34","276.32K","-1.60%"
"08/26/2022","274.80","283.62","284.20","274.78","383.96K","-3.08%"
"08/25/2022","283.54","280.29","283.54","279.29","318.10K","1.16%"
"08/24/2022","280.28","278.40","280.67","276.96","396.09K","0.93%"
"08/23/2022","277.69","283.41","283.99","276.53","327.16K","-2.37%"
"08/22/2022","284.44","286.84","287.95","279.65","335.52K","-1.92%"
"08/19/2022","290.01","292.14","292.34","288.83","490.94K","-1.12%"
"08/18/2022","293.29","297.88","298.08","291.84","365.89K","-1.43%"
"08/17/2022","297.53","296.19","299.20","295.48","243.19K","-0.31%"
"08/16/2022","298.47","295.28","300.33","294.33","244.34K","0.50%"
"08/15/2022","296.99","297.12","298.97","295.00","248.32K","-0.05%"
"08/12/2022","297.13","295.00","297.47","293.70","232.36K","1.50%"
"08/11/2022","292.75","292.73","295.41","291.20","392.35K","0.53%"
"08/10/2022","291.20","290.00","291.62","286.43","399.74K","1.77%"
"08/09/2022","286.14","281.05","286.31","281.05","359.63K","1.89%"
"08/08/2022","280.83","281.62","283.61","280.51","295.22K","0.75%"
"08/05/2022","278.75","276.47","278.99","275.00","235.85K","0.25%"
"08/04/2022","278.05","277.83","278.20","273.60","471.61K","0.94%"
"08/03/2022","275.47","277.87","281.64","274.49","325.69K","-0.51%"
"08/02/2022","276.87","279.66","281.82","275.83","538.49K","-1.08%"
"08/01/2022","279.89","284.58","285.60","279.55","298.19K","-2.32%"
"07/29/2022","286.53","285.37","287.50","282.91","976.64K","0.61%"
