"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","147.50","143.11","149.89","142.48","2.69M","-0.47%"
"02/02/2023","148.20","143.00","148.23","142.14","3.77M","6.18%"
"02/01/2023","139.58","137.58","140.46","134.12","3.15M","1.45%"
"01/31/2023","137.58","135.60","139.08","135.60","2.14M","2.14%"
"01/30/2023","134.70","136.44","139.83","134.24","2.36M","-2.25%"
"01/27/2023","137.80","131.43","139.09","129.30","3.04M","2.42%"
"01/26/2023","134.54","138.91","140.46","134.29","2.39M","-0.97%"
"01/25/2023","135.86","133.06","136.49","131.93","1.92M","-0.60%"
"01/24/2023","136.68","138.02","139.31","135.50","3.04M","-1.75%"
"01/23/2023","139.12","132.75","140.00","132.11","2.78M","5.54%"
"01/20/2023","131.82","129.58","132.26","127.53","2.48M","2.21%"
"01/19/2023","128.97","130.47","132.89","127.83","1.68M","-1.88%"
"01/18/2023","131.44","135.06","136.17","130.74","2.46M","-0.81%"
"01/17/2023","132.51","134.50","136.91","132.50","2.89M","-1.60%"
"01/13/2023","134.67","130.40","136.15","130.17","3.92M","2.31%"
"01/12/2023","131.63","133.44","134.44","128.15","3.31M","-2.27%"
"01/11/2023","134.69","128.41","135.28","127.99","4.91M","6.11%"
"01/10/2023","126.93","120.79","127.34","120.32","2.92M","4.91%"
"01/09/2023","120.99","122.73","124.27","120.62","2.24M","0.33%"
"01/06/2023","120.59","119.23","121.97","115.77","2.11M","0.86%"
"01/05/2023","119.56","116.29","120.52","114.95","2.74M","2.09%"
"01/04/2023","117.11","116.78","119.00","113.56","3.55M","3.13%"
"01/03/2023","113.56","121.51","122.41","111.83","3.41M","-5.19%"
"12/30/2022","119.78","119.23","120.91","117.86","2.15M","-2.36%"
"12/29/2022","122.68","122.01","124.12","120.12","1.66M","1.89%"
"12/28/2022","120.40","120.40","121.78","118.92","1.82M","-0.77%"
"12/27/2022","121.34","126.03","126.49","121.23","1.84M","-4.41%"
"12/23/2022","126.94","126.80","127.73","124.01","1.35M","-0.32%"
"12/22/2022","127.35","132.29","132.50","123.55","2.37M","-5.20%"
"12/21/2022","134.33","130.20","135.05","129.94","3.37M","5.69%"
"12/20/2022","127.10","125.24","127.63","123.19","1.85M","0.95%"
"12/19/2022","125.91","126.41","129.12","124.96","2.15M","-0.32%"
"12/16/2022","126.32","124.73","127.20","124.18","4.30M","0.28%"
"12/15/2022","125.97","128.64","128.99","124.28","2.77M","-4.59%"
"12/14/2022","132.03","132.16","135.48","131.11","2.70M","0.33%"
"12/13/2022","131.60","138.44","138.95","130.13","2.77M","1.61%"
"12/12/2022","129.52","125.75","129.58","124.17","2.19M","2.16%"
"12/09/2022","126.78","130.79","134.50","126.57","3.03M","-5.74%"
"12/08/2022","134.50","131.78","135.68","129.65","2.18M","3.36%"
"12/07/2022","130.13","134.10","136.00","127.81","2.89M","-3.61%"
"12/06/2022","135.01","137.56","139.05","132.96","2.71M","-1.60%"
"12/05/2022","137.21","139.28","142.53","135.89","3.23M","-2.33%"
"12/02/2022","140.49","136.16","141.96","135.42","2.83M","0.79%"
"12/01/2022","139.39","132.86","139.97","132.15","4.49M","5.53%"
"11/30/2022","132.09","123.00","132.60","121.67","4.85M","8.38%"
"11/29/2022","121.88","120.87","122.42","119.28","2.61M","2.01%"
"11/28/2022","119.48","120.20","123.37","118.55","2.59M","-0.69%"
"11/25/2022","120.31","118.39","120.61","117.49","785.03K","0.27%"
"11/23/2022","119.99","120.06","122.14","117.47","1.88M","0.59%"
"11/22/2022","119.29","115.64","119.48","114.00","3.16M","3.78%"
"11/21/2022","114.94","112.20","119.35","111.37","3.74M","0.90%"
"11/18/2022","113.92","116.62","116.85","112.09","2.23M","-0.39%"
"11/17/2022","114.37","116.91","117.35","112.07","3.10M","-4.47%"
"11/16/2022","119.72","120.09","122.22","118.27","4.08M","-4.46%"
"11/15/2022","125.31","124.76","127.28","121.25","4.54M","4.65%"
"11/14/2022","119.74","114.31","123.68","113.99","5.62M","3.55%"
"11/11/2022","115.64","109.39","116.60","109.04","3.72M","4.93%"
"11/10/2022","110.21","101.00","110.36","101.00","4.27M","16.06%"
"11/09/2022","94.96","100.26","100.98","94.88","2.38M","-6.70%"
"11/08/2022","101.78","100.27","103.28","97.87","3.13M","2.61%"
"11/07/2022","99.19","100.19","100.92","96.01","3.36M","0.85%"
"11/04/2022","98.35","101.58","103.06","93.87","6.30M","-1.68%"
"11/03/2022","100.03","91.33","101.82","90.43","12.89M","14.27%"
"11/02/2022","87.54","91.98","92.47","87.24","5.30M","-4.25%"
"11/01/2022","91.43","96.10","97.35","90.95","3.04M","-2.64%"
"10/31/2022","93.91","98.00","100.00","93.17","3.15M","-4.09%"
"10/28/2022","97.91","95.97","100.00","94.35","4.40M","-2.97%"
"10/27/2022","100.91","102.75","103.75","100.00","3.10M","-0.48%"
"10/26/2022","101.40","101.38","106.20","100.02","2.71M","-1.78%"
"10/25/2022","103.24","102.09","104.47","100.31","3.23M","1.15%"
"10/24/2022","102.07","100.33","102.46","96.78","2.03M","1.15%"
"10/21/2022","100.91","96.58","101.17","94.40","2.84M","3.56%"
"10/20/2022","97.44","93.89","99.75","93.79","2.97M","3.30%"
"10/19/2022","94.33","99.22","99.29","93.61","3.19M","-6.12%"
"10/18/2022","100.48","102.75","104.28","100.04","3.70M","2.41%"
"10/17/2022","98.12","95.22","98.81","94.36","3.11M","6.13%"
"10/14/2022","92.45","98.57","101.52","92.11","3.63M","-4.02%"
"10/13/2022","96.32","99.28","99.81","91.70","9.55M","-9.27%"
"10/12/2022","106.16","106.77","108.25","102.89","2.41M","0.53%"
"10/11/2022","105.60","107.87","109.63","101.51","3.38M","-3.09%"
"10/10/2022","108.97","111.21","111.79","106.71","3.20M","-1.33%"
"10/07/2022","110.44","111.48","112.79","109.57","1.98M","-4.06%"
"10/06/2022","115.11","112.89","116.80","112.75","2.58M","2.47%"
"10/05/2022","112.33","108.77","113.57","107.64","2.71M","1.93%"
"10/04/2022","110.20","108.57","110.77","107.37","3.18M","4.96%"
"10/03/2022","104.99","100.81","106.00","100.66","3.06M","4.85%"
"09/30/2022","100.13","100.00","104.03","99.10","2.85M","-1.37%"
"09/29/2022","101.52","99.07","102.16","99.00","2.95M","-0.62%"
"09/28/2022","102.15","96.40","102.96","96.40","2.17M","5.60%"
"09/27/2022","96.73","96.90","98.50","94.48","2.66M","2.58%"
"09/26/2022","94.30","96.07","98.77","94.16","2.48M","-2.25%"
"09/23/2022","96.47","95.93","97.83","94.40","3.33M","-1.05%"
"09/22/2022","97.49","102.87","104.00","96.85","3.10M","-6.32%"
"09/21/2022","104.07","104.65","109.07","102.68","2.07M","0.10%"
"09/20/2022","103.97","110.15","110.71","103.83","2.88M","-6.99%"
"09/19/2022","111.78","106.86","111.92","106.81","2.87M","3.47%"
"09/16/2022","108.03","109.25","111.15","106.37","4.21M","-3.85%"
"09/15/2022","112.35","110.86","114.08","110.23","2.38M","1.01%"
"09/14/2022","111.23","107.98","111.36","105.53","2.77M","3.90%"
"09/13/2022","107.06","108.01","108.43","105.83","2.57M","-6.15%"
"09/12/2022","114.08","111.04","114.80","110.84","2.46M","3.31%"
"09/09/2022","110.42","108.95","111.73","108.65","2.40M","1.96%"
"09/08/2022","108.30","105.06","108.87","104.67","1.83M","0.88%"
"09/07/2022","107.36","104.44","107.94","102.75","2.32M","3.37%"
"09/06/2022","103.86","105.65","106.09","100.91","2.40M","-1.76%"
"09/02/2022","105.72","109.19","109.34","104.15","2.64M","-0.39%"
"09/01/2022","106.13","103.07","107.19","100.86","2.77M","0.49%"
"08/31/2022","105.61","106.35","108.59","104.86","2.06M","-0.16%"
"08/30/2022","105.78","106.48","109.00","102.74","2.35M","1.21%"
"08/29/2022","104.52","101.58","106.86","101.23","1.85M","0.26%"
"08/26/2022","104.25","109.57","111.24","103.52","2.61M","-3.76%"
"08/25/2022","108.32","107.12","108.65","105.31","1.62M","2.29%"
"08/24/2022","105.90","105.26","107.81","104.23","2.04M","2.08%"
"08/23/2022","103.74","103.50","105.84","102.56","1.80M","0.00%"
"08/22/2022","103.74","104.46","106.37","102.52","2.75M","-3.06%"
"08/19/2022","107.01","111.80","112.49","105.28","3.81M","-6.50%"
"08/18/2022","114.45","116.80","116.84","112.97","2.51M","-2.10%"
"08/17/2022","116.91","118.62","119.00","115.81","2.66M","-3.27%"
"08/16/2022","120.86","117.96","123.03","116.21","3.35M","2.76%"
"08/15/2022","117.61","118.00","119.66","116.50","2.55M","-1.92%"
"08/12/2022","119.91","116.80","120.19","115.81","2.97M","4.56%"
"08/11/2022","114.68","119.57","120.69","113.49","4.17M","-1.90%"
"08/10/2022","116.90","114.00","116.94","112.96","3.93M","7.38%"
"08/09/2022","108.87","109.50","111.10","107.51","3.22M","-2.78%"
"08/08/2022","111.98","109.33","117.06","109.33","3.23M","2.38%"
"08/05/2022","109.38","105.73","111.98","104.82","2.51M","0.05%"
"08/04/2022","109.33","109.16","110.69","107.36","2.61M","0.76%"
"08/03/2022","108.50","106.25","109.73","104.56","3.40M","3.89%"
"08/02/2022","104.44","101.78","105.15","101.34","2.84M","0.80%"
"08/01/2022","103.61","101.85","106.88","101.12","3.30M","-0.11%"
"07/29/2022","103.72","104.11","107.39","102.04","4.49M","-1.14%"
"07/28/2022","104.92","100.67","106.66","100.30","9.96M","9.86%"
"07/27/2022","95.50","96.67","98.12","93.51","7.68M","2.36%"
"07/26/2022","93.30","91.05","94.27","90.17","4.82M","-3.29%"
"07/25/2022","96.47","96.21","97.92","93.62","4.61M","-0.66%"
"07/22/2022","97.11","96.24","102.12","95.94","6.95M","0.25%"
"07/21/2022","96.87","92.59","97.03","91.23","4.72M","4.54%"
"07/20/2022","92.66","87.88","93.06","86.92","4.27M","5.97%"
"07/19/2022","87.44","86.17","88.14","83.93","2.41M","3.21%"
"07/18/2022","84.72","84.25","88.11","83.79","4.29M","2.69%"
"07/15/2022","82.50","80.19","83.21","78.33","4.15M","3.47%"
"07/14/2022","79.73","83.29","83.59","78.24","4.34M","-4.18%"
"07/13/2022","83.21","83.22","85.78","81.58","4.76M","-2.78%"
"07/12/2022","85.59","87.76","89.67","84.56","3.04M","-0.56%"
"07/11/2022","86.07","87.10","87.80","84.15","2.60M","-3.02%"
"07/08/2022","88.75","87.57","90.67","86.38","3.05M","-1.00%"
"07/07/2022","89.65","85.09","90.21","84.30","4.03M","4.32%"
"07/06/2022","85.94","88.10","91.58","85.21","4.29M","-2.61%"
"07/05/2022","88.24","79.09","88.37","77.59","6.09M","10.56%"
"07/01/2022","79.81","74.73","80.75","74.70","5.65M","9.02%"
"06/30/2022","73.21","74.58","74.78","70.46","3.71M","-2.13%"
"06/29/2022","74.80","73.08","75.40","71.30","2.68M","1.03%"
"06/28/2022","74.04","79.11","80.50","73.95","3.94M","-8.20%"
"06/27/2022","80.65","82.08","84.13","78.65","4.92M","-3.55%"
"06/24/2022","83.62","80.00","83.65","79.61","3.22M","6.21%"
"06/23/2022","78.73","74.50","79.61","74.47","3.36M","6.26%"
"06/22/2022","74.09","70.77","75.29","70.57","2.79M","3.18%"
"06/21/2022","71.81","73.33","75.88","71.45","3.27M","-0.42%"
"06/17/2022","72.11","69.50","74.32","69.43","7.38M","4.51%"
"06/16/2022","69.00","71.61","71.86","67.01","6.02M","-9.27%"
"06/15/2022","76.05","72.57","77.33","72.07","3.88M","6.20%"
"06/14/2022","71.61","71.57","73.84","70.11","3.43M","0.34%"
"06/13/2022","71.37","72.16","74.40","69.74","4.63M","-5.89%"
"06/10/2022","75.84","79.96","81.67","75.29","4.33M","-8.70%"
"06/09/2022","83.07","83.95","85.94","82.23","2.59M","-2.13%"
"06/08/2022","84.88","82.32","87.02","81.79","4.14M","4.17%"
"06/07/2022","81.48","80.98","82.58","78.75","3.79M","-2.80%"
"06/06/2022","83.83","82.19","84.99","81.02","2.83M","3.52%"
"06/03/2022","80.98","84.49","84.94","80.39","3.93M","-7.23%"
"06/02/2022","87.29","81.44","87.94","80.81","3.78M","7.85%"
"06/01/2022","80.94","83.38","84.79","79.52","4.08M","-0.22%"
"05/31/2022","81.12","82.95","84.85","80.02","6.31M","-1.25%"
"05/27/2022","82.15","79.10","82.24","79.00","3.30M","4.98%"
"05/26/2022","78.25","72.26","78.71","71.25","4.77M","9.30%"
"05/25/2022","71.59","70.36","74.47","69.67","5.60M","1.97%"
"05/24/2022","70.21","73.71","74.24","68.40","5.99M","-7.70%"
"05/23/2022","76.07","77.87","78.00","72.66","4.66M","-2.90%"
"05/20/2022","78.34","81.17","81.27","74.66","4.88M","-1.14%"
"05/19/2022","79.24","78.39","82.36","76.00","7.34M","0.51%"
"05/18/2022","78.84","85.05","85.05","77.10","6.03M","-10.47%"
"05/17/2022","88.06","89.19","91.12","84.18","4.48M","1.66%"
"05/16/2022","86.62","91.00","92.40","86.25","4.38M","-5.93%"
"05/13/2022","92.08","90.00","94.58","88.54","5.78M","4.80%"
"05/12/2022","87.86","77.36","89.88","75.61","10.58M","12.92%"
"05/11/2022","77.81","83.73","86.49","77.04","8.27M","-7.44%"
"05/10/2022","84.06","89.31","92.67","81.57","6.10M","-2.71%"
"05/09/2022","86.40","85.08","88.96","82.41","8.28M","0.02%"
"05/06/2022","86.38","89.67","90.88","81.11","9.28M","-5.00%"
"05/05/2022","90.93","94.26","95.30","88.88","15.39M","-16.83%"
"05/04/2022","109.33","100.00","110.95","96.10","8.69M","8.75%"
"05/03/2022","100.53","96.74","103.47","95.09","5.62M","3.56%"
"05/02/2022","97.07","92.32","97.22","90.63","5.64M","4.16%"
"04/29/2022","93.19","97.00","102.26","92.86","7.09M","-8.53%"
"04/28/2022","101.88","100.63","103.37","94.39","5.49M","4.44%"
"04/27/2022","97.55","98.99","102.25","95.77","4.28M","-2.56%"
"04/26/2022","100.11","101.04","102.65","97.10","4.30M","-1.91%"
"04/25/2022","102.06","96.85","103.20","96.59","3.98M","3.71%"
"04/22/2022","98.41","102.43","103.52","97.46","3.62M","-3.32%"
"04/21/2022","101.79","109.99","109.99","100.32","4.07M","-5.23%"
"04/20/2022","107.41","114.29","114.29","104.71","4.83M","-6.83%"
"04/19/2022","115.29","110.22","118.74","109.23","4.07M","4.36%"
"04/18/2022","110.47","115.33","115.50","105.80","4.53M","-4.59%"
"04/14/2022","115.79","115.82","117.24","112.74","3.78M","-1.43%"
"04/13/2022","117.47","112.25","118.71","111.21","2.45M","4.00%"
"04/12/2022","112.95","120.18","122.46","111.76","3.01M","-3.64%"
"04/11/2022","117.22","115.13","119.70","113.03","2.93M","0.55%"
"04/08/2022","116.58","120.18","120.78","114.57","3.67M","-3.61%"
"04/07/2022","120.95","124.68","128.87","118.91","4.82M","-3.60%"
