"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","82.12","83.52","84.14","81.39","4.74M","-2.83%"
"02/02/2023","84.51","82.06","84.85","81.75","5.57M","3.72%"
"02/01/2023","81.48","79.11","81.54","77.76","7.43M","6.23%"
"01/31/2023","76.70","74.97","76.85","74.96","6.28M","0.84%"
"01/30/2023","76.06","76.48","77.61","75.89","3.29M","-2.66%"
"01/27/2023","78.14","78.38","78.84","77.81","2.62M","-0.09%"
"01/26/2023","78.21","78.50","78.55","77.29","2.36M","0.67%"
"01/25/2023","77.69","76.13","77.74","75.56","2.59M","0.75%"
"01/24/2023","77.11","79.47","80.11","77.03","2.43M","-3.68%"
"01/23/2023","80.06","79.34","80.78","78.99","2.35M","0.97%"
"01/20/2023","79.29","78.91","79.44","77.69","2.89M","1.04%"
"01/19/2023","78.47","77.87","78.93","77.31","2.98M","0.20%"
"01/18/2023","78.31","79.00","79.45","78.15","2.93M","-0.70%"
"01/17/2023","78.86","78.00","78.99","77.50","3.69M","0.70%"
"01/13/2023","78.31","77.44","78.42","77.44","2.03M","0.72%"
"01/12/2023","77.75","78.17","78.49","76.78","2.82M","0.05%"
"01/11/2023","77.71","78.11","78.50","76.69","4.23M","0.90%"
"01/10/2023","77.02","76.34","77.55","76.09","3.27M","0.88%"
"01/09/2023","76.35","77.50","78.26","76.33","3.32M","-0.86%"
"01/06/2023","77.01","75.87","77.13","74.25","3.61M","2.43%"
"01/05/2023","75.18","76.10","76.48","75.03","2.53M","-1.69%"
"01/04/2023","76.47","75.13","76.55","74.52","3.07M","2.96%"
"01/03/2023","74.27","76.01","76.94","73.95","3.20M","-0.46%"
"12/30/2022","74.61","74.58","74.93","73.47","2.38M","-0.80%"
"12/29/2022","75.21","73.86","75.43","73.48","1.80M","2.87%"
"12/28/2022","73.11","73.95","74.52","73.09","1.54M","-0.65%"
"12/27/2022","73.59","73.71","74.37","72.61","1.80M","-0.81%"
"12/23/2022","74.19","74.00","74.68","73.51","2.30M","-0.35%"
"12/22/2022","74.45","74.37","74.71","72.92","3.68M","-0.41%"
"12/21/2022","74.76","73.74","75.19","73.51","3.41M","1.83%"
"12/20/2022","73.42","73.02","74.49","72.95","3.86M","-0.01%"
"12/19/2022","73.43","72.80","74.12","72.25","3.57M","0.58%"
"12/16/2022","73.01","73.41","73.63","72.57","9.06M","-0.73%"
"12/15/2022","73.55","74.80","75.46","73.36","4.93M","-2.99%"
"12/14/2022","75.82","75.95","77.58","75.39","5.06M","-0.18%"
"12/13/2022","75.96","76.90","77.66","74.80","4.04M","0.85%"
"12/12/2022","75.32","74.32","75.96","74.00","4.78M","1.77%"
"12/09/2022","74.01","72.22","74.51","72.03","6.14M","2.11%"
"12/08/2022","72.48","73.65","73.81","71.02","7.25M","-0.14%"
"12/07/2022","72.58","72.23","73.05","72.04","7.27M","0.43%"
"12/06/2022","72.27","72.35","72.92","71.75","5.97M","-2.14%"
"12/05/2022","73.85","75.72","76.14","73.78","11.58M","-3.53%"
"12/02/2022","76.55","76.42","76.98","75.02","3.16M","-1.30%"
"12/01/2022","77.56","78.00","78.54","77.04","4.40M","0.40%"
"11/30/2022","77.25","75.36","77.25","74.38","7.01M","3.21%"
"11/29/2022","74.85","76.03","76.61","74.66","6.38M","-1.23%"
"11/28/2022","75.78","75.71","76.66","75.29","3.64M","-0.76%"
"11/25/2022","76.36","75.95","76.47","75.57","1.57M","0.59%"
"11/23/2022","75.91","74.61","76.19","74.55","3.47M","2.15%"
"11/22/2022","74.31","74.00","74.60","72.92","3.98M","0.28%"
"11/21/2022","74.10","74.18","74.77","73.90","6.16M","-1.25%"
"11/18/2022","75.04","74.91","75.50","74.45","3.52M","1.79%"
"11/17/2022","73.72","74.15","74.40","73.43","3.41M","-1.75%"
"11/16/2022","75.03","76.10","76.81","74.88","5.15M","-1.22%"
"11/15/2022","75.96","74.18","76.45","74.18","7.60M","3.33%"
"11/14/2022","73.51","74.39","75.56","73.39","4.62M","-1.53%"
"11/11/2022","74.65","73.39","75.80","73.20","4.98M","2.89%"
"11/10/2022","72.55","72.71","73.66","71.08","4.03M","3.66%"
"11/09/2022","69.99","69.55","71.48","69.24","10.84M","0.43%"
"11/08/2022","69.69","68.46","69.96","67.13","12.59M","1.34%"
"11/07/2022","68.77","69.03","70.12","68.23","5.79M","0.34%"
"11/04/2022","68.54","69.86","69.98","67.37","6.17M","-0.17%"
"11/03/2022","68.66","69.51","69.80","68.03","12.90M","-2.35%"
"11/02/2022","70.31","72.59","73.87","70.30","11.86M","-3.14%"
"11/01/2022","72.59","73.36","74.05","70.85","7.69M","0.22%"
"10/31/2022","72.43","70.50","73.04","70.20","8.02M","2.20%"
"10/28/2022","70.87","72.61","74.00","69.70","18.72M","-17.88%"
"10/27/2022","86.30","87.13","87.32","84.57","4.34M","-0.53%"
"10/26/2022","86.76","86.34","89.17","85.91","4.50M","1.24%"
"10/25/2022","85.70","85.05","86.56","85.00","6.21M","0.93%"
"10/24/2022","84.91","85.71","86.21","84.61","3.57M","0.12%"
"10/21/2022","84.81","83.82","85.08","82.14","4.24M","1.35%"
"10/20/2022","83.68","85.72","86.06","83.40","3.84M","-2.64%"
"10/19/2022","85.95","85.52","86.77","85.00","2.00M","-0.36%"
"10/18/2022","86.26","87.56","88.49","85.70","2.98M","0.90%"
"10/17/2022","85.49","83.79","85.76","83.18","3.22M","3.72%"
"10/14/2022","82.42","84.77","85.80","81.85","2.35M","-2.14%"
"10/13/2022","84.22","80.83","85.00","80.69","2.56M","1.90%"
"10/12/2022","82.65","83.07","84.15","82.16","2.49M","0.61%"
"10/11/2022","82.15","82.12","83.09","80.90","2.32M","-0.73%"
"10/10/2022","82.75","84.90","85.00","82.40","1.67M","-1.76%"
"10/07/2022","84.23","85.57","85.73","83.66","2.29M","-2.60%"
"10/06/2022","86.48","86.86","88.09","86.30","2.17M","-1.10%"
"10/05/2022","87.44","85.91","87.89","85.64","2.97M","0.30%"
"10/04/2022","87.18","86.95","88.40","86.58","2.39M","2.01%"
"10/03/2022","85.46","83.65","86.01","83.15","2.18M","3.42%"
"09/30/2022","82.63","84.00","85.84","82.50","2.73M","-1.43%"
"09/29/2022","83.83","83.47","84.43","82.79","2.66M","-0.49%"
"09/28/2022","84.24","82.71","84.65","82.02","2.87M","2.27%"
"09/27/2022","82.37","84.34","84.60","81.87","3.11M","-1.46%"
"09/26/2022","83.59","84.09","85.12","83.31","2.03M","-1.36%"
"09/23/2022","84.74","83.83","84.86","82.92","3.32M","0.68%"
"09/22/2022","84.17","84.85","85.38","83.42","2.75M","-1.23%"
"09/21/2022","85.22","87.33","88.68","85.18","2.17M","-2.26%"
"09/20/2022","87.19","88.00","88.58","86.18","3.73M","-1.85%"
"09/19/2022","88.83","92.43","92.65","88.00","4.47M","-4.84%"
"09/16/2022","93.35","94.10","94.10","91.95","3.34M","-1.61%"
"09/15/2022","94.88","94.68","98.35","94.40","2.57M","0.81%"
"09/14/2022","94.12","94.30","94.90","93.20","1.63M","-0.17%"
"09/13/2022","94.28","94.93","95.58","94.04","2.18M","-3.16%"
"09/12/2022","97.36","97.54","98.09","96.86","2.72M","0.11%"
"09/09/2022","97.25","95.74","97.74","95.00","2.87M","1.81%"
"09/08/2022","95.52","90.94","95.56","90.89","4.01M","3.85%"
"09/07/2022","91.98","88.88","92.29","88.88","3.12M","3.28%"
"09/06/2022","89.06","89.00","89.78","88.24","2.17M","0.42%"
"09/02/2022","88.69","91.24","91.34","88.11","1.92M","-1.59%"
"09/01/2022","90.12","89.40","90.22","87.94","4.04M","0.02%"
"08/31/2022","90.10","91.46","92.15","90.06","2.79M","-0.36%"
"08/30/2022","90.43","91.36","91.93","89.78","2.90M","0.08%"
"08/29/2022","90.36","90.27","90.76","89.43","2.61M","-0.96%"
"08/26/2022","91.24","95.99","96.34","91.08","2.21M","-5.60%"
"08/25/2022","96.65","95.98","96.67","95.13","1.75M","1.78%"
"08/24/2022","94.96","94.82","95.59","93.50","2.55M","0.86%"
"08/23/2022","94.15","95.30","95.30","93.57","2.29M","-1.79%"
"08/22/2022","95.87","97.16","98.22","95.51","2.07M","-2.72%"
"08/19/2022","98.55","99.22","99.40","97.62","2.61M","-0.96%"
"08/18/2022","99.51","100.42","100.57","98.31","2.32M","-1.01%"
"08/17/2022","100.53","101.45","102.12","100.23","2.79M","-1.71%"
"08/16/2022","102.28","104.07","104.13","101.89","2.97M","-2.35%"
"08/15/2022","104.74","104.52","105.45","103.34","2.18M","-0.06%"
"08/12/2022","104.80","104.16","104.93","103.12","1.61M","0.85%"
"08/11/2022","103.92","104.54","105.79","103.57","1.80M","0.06%"
"08/10/2022","103.86","103.55","103.98","102.40","1.98M","2.39%"
"08/09/2022","101.44","105.01","105.27","101.24","2.80M","-3.81%"
"08/08/2022","105.46","106.81","107.18","104.90","1.91M","-0.62%"
"08/05/2022","106.12","103.66","106.26","103.47","2.03M","1.21%"
"08/04/2022","104.85","103.68","104.88","102.95","1.85M","1.35%"
"08/03/2022","103.45","102.21","104.06","101.22","1.90M","1.20%"
"08/02/2022","102.22","99.00","103.45","98.90","2.41M","2.79%"
