"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","40.90","41.52","41.60","40.09","6.98M","-2.36%"
"02/02/2023","41.89","42.19","42.95","41.79","9.35M","-0.97%"
"02/01/2023","42.30","41.91","42.60","41.63","6.34M","0.26%"
"01/31/2023","42.19","41.85","42.25","41.61","5.13M","1.05%"
"01/30/2023","41.75","41.58","42.28","41.49","3.81M","0.14%"
"01/27/2023","41.69","41.51","41.81","41.28","4.77M","0.22%"
"01/26/2023","41.60","41.36","41.69","41.19","3.70M","0.43%"
"01/25/2023","41.42","41.22","41.56","40.95","5.45M","-0.22%"
"01/24/2023","41.51","41.86","41.96","41.24","3.87M","-0.74%"
"01/23/2023","41.82","42.09","42.39","41.74","4.67M","-1.23%"
"01/20/2023","42.34","42.00","42.39","41.46","5.21M","0.71%"
"01/19/2023","42.04","42.18","42.24","41.68","5.57M","-0.45%"
"01/18/2023","42.23","43.16","43.25","42.12","4.59M","-2.15%"
"01/17/2023","43.16","43.24","43.48","42.98","4.60M","-0.51%"
"01/13/2023","43.38","43.13","43.53","42.89","5.78M","0.00%"
"01/12/2023","43.38","44.01","44.10","43.29","6.93M","-1.72%"
"01/11/2023","44.14","43.68","44.24","43.57","5.14M","1.03%"
"01/10/2023","43.69","43.86","44.06","43.17","4.50M","-1.04%"
"01/09/2023","44.15","43.58","44.37","43.33","9.54M","1.10%"
"01/06/2023","43.67","43.24","43.92","43.14","6.97M","2.08%"
"01/05/2023","42.78","43.41","43.48","42.29","8.06M","-2.17%"
"01/04/2023","43.73","43.39","43.96","43.22","4.32M","1.32%"
"01/03/2023","43.16","43.25","43.35","42.42","5.01M","-0.16%"
"12/30/2022","43.23","43.14","43.31","42.85","6.19M","0.23%"
"12/29/2022","43.13","43.17","43.46","43.04","3.21M","0.44%"
"12/28/2022","42.94","43.25","43.49","42.85","3.85M","-0.49%"
"12/27/2022","43.15","43.17","43.27","42.86","6.08M","0.26%"
"12/23/2022","43.04","42.48","43.08","42.38","3.32M","1.22%"
"12/22/2022","42.52","42.40","42.55","41.85","6.05M","-0.26%"
"12/21/2022","42.63","42.36","42.72","42.20","4.72M","1.36%"
"12/20/2022","42.06","41.78","42.33","41.43","7.41M","0.69%"
"12/19/2022","41.77","41.82","42.32","41.58","6.26M","-0.38%"
"12/16/2022","41.93","41.85","42.02","40.84","18.68M","-1.06%"
"12/15/2022","42.38","42.70","42.79","41.99","6.09M","-1.03%"
