"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","118.70","118.71","120.99","117.56","1.96M","-2.26%"
"02/02/2023","121.45","119.95","124.95","119.09","3.41M","3.01%"
"02/01/2023","117.90","113.95","118.23","113.23","1.82M","3.15%"
"01/31/2023","114.30","115.08","115.36","113.47","1.73M","-1.09%"
"01/30/2023","115.56","114.72","116.58","113.77","2.41M","-0.53%"
"01/27/2023","116.18","116.27","117.99","115.65","1.74M","-0.47%"
"01/26/2023","116.73","117.72","118.63","115.42","1.80M","0.25%"
"01/25/2023","116.44","113.49","116.50","112.31","2.46M","1.10%"
"01/24/2023","115.17","115.32","116.93","114.92","2.02M","-0.48%"
"01/23/2023","115.73","111.28","115.99","111.10","2.50M","3.98%"
"01/20/2023","111.30","107.75","111.44","106.77","2.89M","3.95%"
"01/19/2023","107.07","102.90","108.05","102.47","2.73M","3.08%"
"01/18/2023","103.87","108.14","109.43","103.78","2.82M","-2.52%"
"01/17/2023","106.55","106.23","107.79","104.80","2.47M","0.43%"
"01/13/2023","106.09","102.86","107.04","102.18","2.66M","2.95%"
"01/12/2023","103.06","100.48","103.75","99.13","2.67M","3.84%"
"01/11/2023","99.24","97.97","100.25","96.86","2.92M","4.86%"
"01/10/2023","94.64","93.73","94.64","92.47","1.93M","0.93%"
"01/09/2023","93.77","94.32","95.44","93.46","1.91M","-0.36%"
"01/06/2023","94.11","94.39","94.64","93.15","2.81M","1.19%"
"01/05/2023","93.00","90.14","93.74","90.00","2.68M","2.21%"
"01/04/2023","90.99","88.60","91.53","88.60","1.88M","3.78%"
"01/03/2023","87.68","88.63","89.39","86.31","1.42M","0.09%"
"12/30/2022","87.60","85.78","87.74","85.78","2.08M","0.54%"
"12/29/2022","87.13","84.37","87.32","84.20","2.39M","4.11%"
"12/28/2022","83.69","86.60","87.35","83.29","2.77M","-3.32%"
"12/27/2022","86.56","86.80","87.00","84.88","2.68M","0.15%"
"12/23/2022","86.43","84.10","86.48","83.84","2.11M","2.26%"
"12/22/2022","84.52","85.34","85.76","82.39","2.54M","-2.28%"
"12/21/2022","86.49","86.72","88.46","85.97","2.35M","1.03%"
"12/20/2022","85.61","84.47","86.50","84.00","2.81M","0.41%"
"12/19/2022","85.26","87.96","88.32","84.72","2.61M","-3.30%"
"12/16/2022","88.17","89.11","89.83","86.88","3.49M","-2.25%"
"12/15/2022","90.20","91.00","91.71","89.21","2.34M","-2.79%"
"12/14/2022","92.79","94.24","95.87","91.50","2.57M","-1.70%"
"12/13/2022","94.39","99.98","100.13","93.26","2.42M","-1.27%"
"12/12/2022","95.60","93.70","95.79","93.22","2.03M","1.59%"
"12/09/2022","94.10","92.82","95.46","92.05","2.36M","0.56%"
"12/08/2022","93.58","92.18","94.08","91.35","2.24M","3.07%"
"12/07/2022","90.79","93.04","93.78","89.80","4.04M","-6.32%"
"12/06/2022","96.91","100.42","100.98","95.15","2.16M","-3.73%"
"12/05/2022","100.66","102.32","103.56","100.36","1.73M","-2.92%"
"12/02/2022","103.69","103.55","104.63","101.92","1.77M","-2.11%"
"12/01/2022","105.93","107.02","109.50","105.62","1.90M","-0.85%"
"11/30/2022","106.84","103.10","106.93","101.56","2.47M","4.29%"
"11/29/2022","102.45","99.70","103.07","99.70","2.05M","2.81%"
"11/28/2022","99.65","100.49","101.79","99.36","2.06M","-1.82%"
"11/25/2022","101.50","100.34","103.56","100.10","966.75K","0.61%"
"11/23/2022","100.88","100.79","101.86","99.48","1.51M","0.60%"
"11/22/2022","100.28","98.09","100.34","96.59","1.63M","3.31%"
"11/21/2022","97.07","97.07","99.17","96.55","2.21M","-1.26%"
