"Date";"apa_corp";"baker_hugues";"conocophilips";"coterra_energy";"chevron";"devon_energy";"eog_resources";"diamondback";"halliburton";"hess";"kinder_morgan";"marathon_oil";"oneok";"occidental";"phillips_66";"pioneer_natural";"schlumberger";"valero_energy";"williams";"exxon_mobil"
2023-01-20;45,09;31,07;121,8;25,62;77,03;64,75;132,75;147,55;40,69;154,8;18,64;27,88;69,71;66,91;106,96;239,4;57,35;142,73;31,46;113,35
2023-01-19;45,16;30,49;119,64;25,3;76,32;64,08;131,29;146,43;40,19;153,83;18,75;27,39;69,6;65,67;104,38;238,38;57,38;138,47;31,93;111,32
2023-01-18;44,06;30,69;118,55;24,68;81,38;62,62;128,79;144,1;40,6;150,76;18,36;26,88;68,65;64,42;102,71;233,97;57,13;135,52;31,68;110,61
2023-01-17;45,14;31,48;120,24;25,34;83,49;63,49;130,06;145,73;42,53;151,65;18,82;26,8;70,12;64,72;102,51;237,9;58,46;137,61;32,78;112,93
2023-01-13;45,34;31,63;121,47;25,1;82,98;63,59;129,46;145,24;42,66;152,21;18,85;27,08;70,83;65,31;103,03;238,99;58,28;136,13;32,81;113,15
2023-01-12;45,35;31,5;120,16;25,39;83,48;64,03;130,45;145,33;42,17;150,73;18,89;27,38;70,93;65,74;102,86;239,18;58;135,32;32,96;113,22
2023-01-11;43,82;30,83;118,24;24,69;83,42;62,85;126,85;142,24;40,99;145,25;18,78;27,05;70,09;64,09;101,42;231,6;56,32;133,6;32,43;111,37
2023-01-10;43,24;30,87;118,08;25,08;85,62;63,13;127,61;141,95;40,94;143,62;18,74;27,01;69,31;64,15;101,57;231,16;55,96;132,01;32,14;110,09
2023-01-09;43,37;30,54;117,36;24,79;85,43;62,2;127,75;141,49;40,44;144,22;18,71;27,03;67,69;64,08;102,01;230,16;55,64;128,58;32,63;108,47
2023-01-06;42,89;29,96;118,23;24,26;84,54;61,23;127,47;138,14;40,21;143,7;18,58;26,6;66,57;63,75;105,7;233,46;54,5;127,56;32,56;110,53
2023-01-05;41,76;28,8;116,77;23,67;83,11;60,17;124,38;134,04;38,95;140,78;18,21;25,87;64,83;62,22;103,02;227,13;52,67;126,59;32,02;109,21
2023-01-04;42,15;27,89;113,34;23,98;83,35;58,9;124,36;130,62;38,43;136,57;18,23;25,32;64,44;61,11;100,68;223,05;51,7;119,62;32,35;106,82
2023-01-03;43,62;28,75;113,12;23,21;81,94;58,12;124,45;131,38;37,66;134,52;18,01;25,64;63,94;61,05;101,03;220,25;51,5;120,04;32,15;106,51
