"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","13.23","13.05","13.61","12.78","165.50M","-7.61%"
"02/02/2023","14.32","14.17","14.60","14.03","95.96M","3.84%"
"02/01/2023","13.79","13.52","13.99","13.49","69.62M","2.07%"
"01/31/2023","13.51","13.39","13.57","13.25","83.09M","4.81%"
"01/30/2023","12.89","13.01","13.20","12.86","64.36M","-2.86%"
"01/27/2023","13.27","12.88","13.36","12.87","62.11M","2.71%"
"01/26/2023","12.92","12.99","13.06","12.71","49.02M","1.02%"
"01/25/2023","12.79","12.60","12.85","12.48","37.46M","0.39%"
"01/24/2023","12.74","12.68","12.90","12.62","41.39M","-0.47%"
"01/23/2023","12.80","12.48","12.91","12.43","49.35M","3.23%"
"01/20/2023","12.40","12.21","12.42","12.08","44.35M","1.81%"
"01/19/2023","12.18","12.29","12.36","12.04","52.79M","-1.85%"
"01/18/2023","12.41","12.79","12.85","12.40","48.51M","-2.05%"
"01/17/2023","12.67","12.71","12.85","12.43","60.22M","-0.39%"
"01/13/2023","12.72","12.63","12.82","12.47","96.44M","-5.29%"
"01/12/2023","13.43","13.27","13.53","13.11","57.91M","1.59%"
"01/11/2023","13.22","12.93","13.26","12.89","51.68M","2.96%"
"01/10/2023","12.84","12.68","12.87","12.50","46.35M","1.18%"
"01/09/2023","12.69","12.74","12.93","12.55","50.23M","0.87%"
"01/06/2023","12.58","12.12","12.59","12.10","53.09M","2.69%"
"01/05/2023","12.25","12.11","12.38","11.88","50.60M","2.00%"
"01/04/2023","12.01","11.88","12.08","11.73","53.09M","2.83%"
"01/03/2023","11.68","11.82","11.92","11.57","45.66M","0.43%"
"12/30/2022","11.63","11.40","11.64","11.39","39.23M","0.78%"
"12/29/2022","11.54","11.08","11.55","11.05","53.21M","5.39%"
"12/28/2022","10.95","11.18","11.25","10.90","49.22M","-2.23%"
"12/27/2022","11.20","11.28","11.39","11.13","42.01M","-1.41%"
"12/23/2022","11.36","11.27","11.40","11.22","38.20M","0.44%"
"12/22/2022","11.31","11.53","11.54","11.10","74.72M","-3.99%"
"12/21/2022","11.78","11.61","11.79","11.55","48.66M","2.70%"
"12/20/2022","11.47","11.65","11.68","11.12","81.52M","-1.88%"
"12/19/2022","11.69","12.12","12.17","11.54","87.89M","-3.55%"
"12/16/2022","12.12","12.77","12.82","12.08","118.35M","-6.98%"
"12/15/2022","13.03","13.23","13.26","12.95","55.40M","-3.34%"
"12/14/2022","13.48","13.57","13.77","13.36","51.20M","-0.66%"
"12/13/2022","13.57","13.78","13.92","13.37","57.54M","0.82%"
"12/12/2022","13.46","13.20","13.47","13.10","34.92M","2.12%"
"12/09/2022","13.18","13.04","13.36","13.04","41.55M","0.46%"
"12/08/2022","13.12","13.20","13.26","13.07","31.99M","0.15%"
"12/07/2022","13.10","13.20","13.42","13.09","35.70M","-1.36%"
"12/06/2022","13.28","13.42","13.56","13.06","39.91M","-0.75%"
"12/05/2022","13.38","13.75","13.77","13.37","39.42M","-3.46%"
"12/02/2022","13.86","13.84","13.97","13.75","42.42M","-1.56%"
"12/01/2022","14.08","14.09","14.36","14.00","45.34M","1.29%"
"11/30/2022","13.90","13.78","13.95","13.45","61.54M","1.09%"
"11/29/2022","13.75","13.85","13.90","13.71","28.38M","0.15%"
"11/28/2022","13.73","13.94","13.96","13.70","35.30M","-2.49%"
"11/25/2022","14.08","13.96","14.11","13.90","12.98M","0.36%"
"11/23/2022","14.03","14.00","14.06","13.85","25.97M","-0.28%"
"11/22/2022","14.07","14.05","14.15","13.98","28.74M","0.86%"
"11/21/2022","13.95","13.86","14.04","13.66","34.09M","-0.29%"
"11/18/2022","13.99","14.08","14.13","13.82","37.10M","0.58%"
"11/17/2022","13.91","13.66","13.91","13.55","54.32M","0.07%"
"11/16/2022","13.90","14.10","14.16","13.84","47.48M","-2.80%"
"11/15/2022","14.30","14.29","14.58","14.20","61.84M","1.71%"
