"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","54.20","54.56","54.84","53.78","4.04M","-1.97%"
"02/02/2023","55.29","52.33","55.34","52.19","7.14M","6.53%"
"02/01/2023","51.90","50.06","52.26","50.04","3.55M","2.67%"
"01/31/2023","50.55","49.45","50.59","49.42","4.77M","2.27%"
"01/30/2023","49.43","49.85","50.36","49.33","2.79M","-1.63%"
"01/27/2023","50.25","49.53","50.53","49.46","2.52M","1.29%"
"01/26/2023","49.61","49.81","50.06","49.16","2.76M","0.28%"
"01/25/2023","49.47","49.45","49.51","48.53","2.47M","-0.22%"
"01/24/2023","49.58","48.98","49.65","48.37","4.44M","1.20%"
"01/23/2023","48.99","49.10","49.44","48.71","3.39M","-0.02%"
"01/20/2023","49.00","47.06","49.14","46.59","6.14M","4.70%"
"01/19/2023","46.80","47.45","48.58","45.70","8.40M","-1.56%"
"01/18/2023","47.54","48.22","48.81","47.50","5.29M","-1.41%"
"01/17/2023","48.22","48.87","49.08","48.07","4.01M","-1.23%"
"01/13/2023","48.82","48.64","48.88","48.14","2.34M","-0.41%"
"01/12/2023","49.02","49.10","49.42","48.25","3.64M","-0.16%"
"01/11/2023","49.10","48.81","49.30","48.58","3.56M","1.24%"
"01/10/2023","48.50","47.77","48.53","47.67","1.92M","1.15%"
"01/09/2023","47.95","47.71","48.92","47.55","3.68M","0.71%"
"01/06/2023","47.61","46.77","47.76","46.55","3.60M","2.83%"
"01/05/2023","46.30","47.70","47.75","45.76","4.17M","-3.48%"
"01/04/2023","47.97","47.99","48.41","47.51","2.50M","1.20%"
"01/03/2023","47.40","47.62","47.69","46.86","3.38M","0.17%"
"12/30/2022","47.32","47.30","47.47","46.85","2.15M","-0.50%"
"12/29/2022","47.56","47.25","47.81","47.08","2.58M","1.54%"
"12/28/2022","46.84","47.70","47.83","46.83","2.38M","-1.37%"
"12/27/2022","47.49","47.79","47.93","47.35","1.95M","-0.57%"
"12/23/2022","47.76","47.65","48.04","47.43","1.55M","0.15%"
"12/22/2022","47.69","47.60","47.72","46.68","3.22M","-0.52%"
"12/21/2022","47.94","47.75","48.04","47.48","2.11M","0.61%"
"12/20/2022","47.65","47.65","47.94","47.40","2.71M","-0.21%"
"12/19/2022","47.75","48.05","48.48","47.32","3.13M","-0.25%"
"12/16/2022","47.87","47.41","48.01","47.22","7.07M","-0.21%"
"12/15/2022","47.97","49.23","49.35","47.47","5.09M","-3.25%"
"12/14/2022","49.58","50.32","50.53","49.16","4.64M","-1.12%"
"12/13/2022","50.14","53.28","53.49","49.55","6.74M","-2.96%"
"12/12/2022","51.67","51.26","51.67","51.01","2.44M","1.39%"
"12/09/2022","50.96","51.13","51.50","50.85","2.78M","-0.41%"
"12/08/2022","51.17","50.47","51.30","50.34","2.74M","1.83%"
"12/07/2022","50.25","49.98","50.87","49.87","2.37M","0.22%"
"12/06/2022","50.14","50.98","51.22","49.71","3.90M","-1.47%"
"12/05/2022","50.89","51.05","51.09","50.13","3.23M","-1.05%"
