"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","66.23","66.50","66.79","65.65","1.08M","-1.37%"
"02/02/2023","67.15","66.00","67.71","66.00","1.56M","1.59%"
"02/01/2023","66.10","64.08","66.69","63.71","926.61K","2.46%"
"01/31/2023","64.51","61.72","64.53","61.55","1.13M","5.29%"
"01/30/2023","61.27","61.45","62.60","61.23","1.14M","-2.84%"
"01/27/2023","63.06","62.84","63.38","62.56","813.31K","0.46%"
"01/26/2023","62.77","63.12","63.37","62.01","820.50K","0.06%"
"01/25/2023","62.73","61.48","62.76","61.48","493.07K","-0.19%"
"01/24/2023","62.85","62.70","63.67","62.46","799.42K","-0.35%"
"01/23/2023","63.07","61.57","63.08","61.36","1.04M","1.74%"
"01/20/2023","61.99","60.58","62.01","59.53","715.30K","3.56%"
"01/19/2023","59.86","61.58","61.75","59.30","963.53K","-3.00%"
"01/18/2023","61.71","63.15","63.95","61.69","1.13M","-1.22%"
"01/17/2023","62.47","63.03","63.42","62.14","957.87K","-1.33%"
"01/13/2023","63.31","60.94","63.51","60.94","1.37M","1.02%"
"01/12/2023","62.67","63.00","63.19","60.98","1.18M","1.13%"
"01/11/2023","61.97","60.29","62.11","59.98","1.39M","1.11%"
"01/10/2023","61.29","60.84","61.40","60.34","948.65K","0.18%"
"01/09/2023","61.18","61.81","62.43","60.70","1.07M","0.51%"
"01/06/2023","60.87","60.14","61.60","59.53","1.13M","2.65%"
"01/05/2023","59.30","59.73","59.73","58.42","1.21M","-1.87%"
"01/04/2023","60.43","58.68","60.74","58.57","1.34M","4.23%"
"01/03/2023","57.98","58.17","58.79","57.02","1.11M","1.52%"
"12/30/2022","57.11","56.94","57.40","56.61","988.35K","-0.87%"
"12/29/2022","57.61","56.23","58.07","55.76","924.39K","3.21%"
"12/28/2022","55.82","56.85","57.24","55.80","847.68K","-1.66%"
"12/27/2022","56.76","56.59","57.35","56.03","766.22K","-0.12%"
"12/23/2022","56.83","56.55","57.05","56.18","898.84K","0.58%"
"12/22/2022","56.50","55.46","56.54","54.97","947.88K","0.11%"
"12/21/2022","56.44","55.81","56.75","55.71","1.37M","2.01%"
"12/20/2022","55.33","55.00","56.17","54.65","2.53M","0.33%"
"12/19/2022","55.15","56.15","56.61","55.10","2.53M","-3.47%"
"12/16/2022","57.13","57.51","59.10","55.70","28.49M","-0.85%"
"12/15/2022","57.62","51.05","57.69","49.51","3.47M","8.92%"
"12/14/2022","52.90","53.88","54.71","52.28","2.26M","-2.09%"
"12/13/2022","54.03","55.32","55.97","53.56","2.69M","2.12%"
"12/12/2022","52.91","51.75","53.25","51.25","1.78M","2.62%"
