"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","427.56","426.30","432.32","422.27","213.90K","-1.32%"
"02/02/2023","433.30","427.78","436.54","427.78","174.10K","1.58%"
"02/01/2023","426.55","420.34","430.43","417.91","281.89K","0.85%"
"01/31/2023","422.94","422.35","430.26","416.09","330.18K","0.55%"
"01/30/2023","420.62","423.38","426.39","419.88","147.23K","-1.13%"
"01/27/2023","425.44","418.18","427.37","418.18","169.24K","1.18%"
"01/26/2023","420.49","416.27","420.79","414.49","176.79K","1.61%"
"01/25/2023","413.84","415.63","417.16","410.04","206.63K","-1.38%"
"01/24/2023","419.64","423.15","423.28","417.87","141.96K","-1.07%"
"01/23/2023","424.17","424.53","428.80","422.92","113.79K","0.10%"
"01/20/2023","423.76","421.56","426.82","416.97","198.22K","0.55%"
"01/19/2023","421.45","426.45","427.33","420.19","185.10K","-1.86%"
"01/18/2023","429.42","429.52","437.19","429.22","390.75K","0.17%"
"01/17/2023","428.70","422.51","431.26","420.41","359.27K","1.74%"
"01/13/2023","421.36","410.63","421.89","410.63","226.40K","1.81%"
"01/12/2023","413.88","417.54","417.54","408.45","274.51K","0.26%"
"01/11/2023","412.82","409.33","414.33","407.46","185.86K","0.86%"
"01/10/2023","409.28","403.24","409.61","400.24","206.29K","1.15%"
"01/09/2023","404.62","407.42","412.87","402.82","174.74K","0.04%"
"01/06/2023","404.46","397.30","404.59","393.53","221.04K","2.77%"
"01/05/2023","393.55","404.63","404.63","393.29","304.77K","-3.49%"
"01/04/2023","407.79","409.54","412.85","403.95","256.77K","0.45%"
"01/03/2023","405.96","402.32","407.10","400.76","249.88K","1.18%"
"12/30/2022","401.21","403.33","403.59","398.12","163.53K","-1.30%"
"12/29/2022","406.50","397.39","406.67","395.09","213.64K","3.04%"
"12/28/2022","394.52","396.55","399.11","392.63","166.35K","-0.26%"
"12/27/2022","395.55","397.47","397.76","392.83","179.37K","-0.63%"
"12/23/2022","398.04","397.46","399.04","393.65","161.72K","-0.12%"
"12/22/2022","398.50","401.90","401.90","390.37","235.97K","-1.48%"
"12/21/2022","404.50","400.02","406.61","393.00","327.53K","1.82%"
"12/20/2022","397.28","418.00","420.02","396.49","652.94K","-5.39%"
"12/19/2022","419.90","426.27","430.85","417.31","419.96K","-1.98%"
"12/16/2022","428.38","427.61","433.13","425.63","518.79K","-0.62%"
"12/15/2022","431.06","444.88","444.88","430.28","395.32K","-4.06%"
"12/14/2022","449.30","457.55","462.19","446.67","243.24K","-1.68%"
"12/13/2022","456.96","460.81","462.35","449.88","237.53K","1.57%"
"12/12/2022","449.89","449.89","456.11","447.29","195.71K","0.03%"
"12/09/2022","449.74","450.08","453.01","446.98","163.86K","-0.35%"
"12/08/2022","451.30","450.41","454.69","448.37","214.67K","0.22%"
"12/07/2022","450.29","455.25","457.45","449.42","213.23K","-0.85%"
"12/06/2022","454.15","459.80","460.89","451.25","243.43K","-1.08%"
"12/05/2022","459.09","467.53","467.53","458.05","219.05K","-2.56%"
"12/02/2022","471.15","467.38","474.13","465.02","181.95K","-0.21%"
"12/01/2022","472.16","463.67","473.86","463.04","246.78K","2.36%"
"11/30/2022","461.29","449.83","461.29","445.01","629.15K","2.71%"
"11/29/2022","449.12","450.93","455.77","445.90","287.91K","-0.71%"
"11/28/2022","452.35","453.18","457.18","450.39","185.55K","-0.71%"
"11/25/2022","455.58","452.47","455.67","452.47","75.22K","0.41%"
"11/23/2022","453.74","451.65","456.35","449.44","169.21K","0.42%"
"11/22/2022","451.86","446.88","453.58","445.34","196.39K","1.18%"
"11/21/2022","446.61","435.81","449.07","434.33","220.13K","2.02%"
"11/18/2022","437.77","442.14","443.22","432.89","170.74K","0.25%"
"11/17/2022","436.70","438.17","438.99","431.48","168.28K","-1.08%"
"11/16/2022","441.48","432.19","444.44","431.76","223.85K","1.98%"
"11/15/2022","432.92","430.00","435.49","425.73","222.14K","1.96%"
