"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","39.52","41.03","41.09","39.30","6.98M","-3.61%"
"02/02/2023","41.00","41.14","41.76","40.90","5.95M","-0.34%"
"02/01/2023","41.14","40.74","41.31","40.43","4.13M","0.46%"
"01/31/2023","40.95","41.34","41.34","40.60","5.72M","-0.85%"
"01/30/2023","41.30","41.10","41.51","41.06","2.51M","0.17%"
"01/27/2023","41.23","41.36","41.58","41.13","1.57M","-0.39%"
"01/26/2023","41.39","40.92","41.40","40.79","2.09M","0.95%"
"01/25/2023","41.00","40.92","41.07","40.60","4.92M","-0.44%"
"01/24/2023","41.18","41.20","41.60","40.91","5.11M","0.10%"
"01/23/2023","41.14","41.46","41.94","41.06","5.87M","-2.51%"
"01/20/2023","42.20","41.99","42.23","41.00","6.14M","0.72%"
"01/19/2023","41.90","42.07","42.21","41.53","4.48M","-0.52%"
"01/18/2023","42.12","43.11","43.11","41.94","7.52M","-2.02%"
"01/17/2023","42.99","42.89","43.31","42.75","5.01M","0.61%"
"01/13/2023","42.73","43.14","43.14","42.57","4.15M","-0.84%"
"01/12/2023","43.09","42.92","43.18","42.73","3.26M","0.54%"
"01/11/2023","42.86","42.50","42.92","42.38","3.09M","0.63%"
"01/10/2023","42.59","42.26","42.67","41.78","4.36M","0.45%"
"01/09/2023","42.40","42.28","42.56","41.99","3.17M","0.07%"
"01/06/2023","42.37","42.08","42.39","41.94","2.35M","1.66%"
"01/05/2023","41.68","42.10","42.14","41.44","4.75M","-1.56%"
"01/04/2023","42.34","42.15","42.54","41.94","3.14M","0.74%"
"01/03/2023","42.03","41.97","42.11","41.41","2.66M","0.21%"
"12/30/2022","41.94","42.20","42.31","41.59","1.67M","-0.73%"
"12/29/2022","42.25","42.28","42.41","42.10","1.17M","0.43%"
"12/28/2022","42.07","42.39","42.54","41.96","1.53M","-0.45%"
"12/27/2022","42.26","42.04","42.31","41.87","1.05M","0.62%"
"12/23/2022","42.00","41.40","42.00","41.37","1.49M","1.45%"
"12/22/2022","41.40","41.69","41.69","40.83","1.90M","-0.77%"
"12/21/2022","41.72","41.37","41.73","41.26","2.63M","1.14%"
"12/20/2022","41.25","41.06","41.42","40.79","2.45M","0.59%"
"12/19/2022","41.01","40.99","41.40","40.70","2.19M","0.20%"
"12/16/2022","40.93","41.32","41.50","40.19","10.73M","-2.55%"
"12/15/2022","42.00","42.19","42.30","41.80","3.12M","-0.80%"
"12/14/2022","42.34","42.35","42.84","42.04","3.57M","0.24%"
"12/13/2022","42.24","42.89","42.96","41.76","2.75M","0.00%"
"12/12/2022","42.24","41.92","42.26","41.49","2.86M","1.83%"
"12/09/2022","41.48","41.64","41.98","41.35","3.21M","-0.53%"
"12/08/2022","41.70","41.70","41.99","41.52","2.71M","0.00%"
"12/07/2022","41.70","41.48","41.96","41.30","3.03M","0.31%"
"12/06/2022","41.57","41.29","41.67","40.99","2.79M","0.58%"
"12/05/2022","41.33","41.19","41.53","41.11","2.61M","-0.46%"
"12/02/2022","41.52","40.95","41.57","40.79","3.14M","0.34%"
"12/01/2022","41.38","41.66","41.96","41.15","4.64M","0.34%"
"11/30/2022","41.24","39.59","41.31","39.36","4.63M","3.62%"
"11/29/2022","39.80","39.36","39.85","39.19","2.40M","0.43%"
"11/28/2022","39.63","39.54","39.73","39.35","2.44M","-0.58%"
"11/25/2022","39.86","39.60","39.87","39.60","669.66K","0.89%"
"11/23/2022","39.51","38.84","39.51","38.84","1.64M","1.36%"
"11/22/2022","38.98","38.88","39.13","38.53","1.62M","0.96%"
"11/21/2022","38.61","38.47","38.87","38.40","2.86M","0.34%"
"11/18/2022","38.48","37.96","38.50","37.78","3.83M","2.20%"
"11/17/2022","37.65","37.66","37.80","37.18","2.49M","-1.05%"
"11/16/2022","38.05","38.08","38.55","37.98","2.80M","-0.26%"
"11/15/2022","38.15","37.59","38.37","37.57","5.94M","2.55%"
"11/14/2022","37.20","38.01","38.01","37.20","4.16M","-2.00%"
"11/11/2022","37.96","39.01","39.02","37.76","3.30M","-2.64%"
"11/10/2022","38.99","38.14","39.05","37.67","2.30M","4.87%"
"11/09/2022","37.18","37.31","37.61","36.94","2.42M","-1.27%"
"11/08/2022","37.66","37.46","37.86","37.23","3.90M","0.78%"
"11/07/2022","37.37","37.93","37.93","36.69","4.33M","-1.40%"
"11/04/2022","37.90","38.06","38.15","37.11","3.06M","-0.81%"
"11/03/2022","38.21","37.56","38.54","37.28","2.44M","0.61%"
"11/02/2022","37.98","38.34","39.16","37.98","3.35M","-1.15%"
"11/01/2022","38.42","37.94","38.45","37.81","3.73M","1.88%"
"10/31/2022","37.71","38.01","38.07","37.46","6.06M","-0.97%"
"10/28/2022","38.08","37.40","38.15","37.27","3.69M","2.23%"
"10/27/2022","37.25","36.75","37.63","36.69","4.53M","2.39%"
"10/26/2022","36.38","37.84","37.89","36.19","5.79M","-3.19%"
"10/25/2022","37.58","36.88","37.71","36.84","4.04M","1.90%"
"10/24/2022","36.88","36.75","37.02","36.42","2.68M","1.29%"
"10/21/2022","36.41","36.05","36.64","35.77","5.00M","0.91%"
"10/20/2022","36.08","36.86","36.88","35.81","2.68M","-2.28%"
"10/19/2022","36.92","36.84","37.37","36.65","3.15M","-1.05%"
"10/18/2022","37.31","37.36","37.66","36.92","2.74M","1.06%"
"10/17/2022","36.92","36.58","37.18","36.45","3.05M","2.07%"
"10/14/2022","36.17","37.46","37.82","36.13","6.50M","-2.56%"
"10/13/2022","37.12","35.75","37.28","35.60","5.69M","2.68%"
"10/12/2022","36.15","36.74","36.74","36.00","4.03M","-1.55%"
"10/11/2022","36.72","36.75","37.42","36.54","5.95M","-0.22%"
"10/10/2022","36.80","36.30","36.99","36.24","5.72M","1.94%"
"10/07/2022","36.10","36.85","36.91","35.85","4.13M","-2.04%"
"10/06/2022","36.85","37.59","37.67","36.68","4.22M","-2.44%"
"10/05/2022","37.77","38.40","38.42","37.30","3.62M","-3.03%"
