"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","152.40","154.63","155.04","151.28","547.01K","-2.74%"
"02/02/2023","156.69","151.49","159.95","151.42","1.21M","4.22%"
"02/01/2023","150.35","147.51","151.02","146.58","772.63K","1.82%"
"01/31/2023","147.66","145.10","148.56","143.27","496.47K","1.35%"
"01/30/2023","145.69","146.66","146.87","144.88","541.85K","-1.41%"
"01/27/2023","147.77","147.30","149.48","146.96","392.20K","-0.03%"
"01/26/2023","147.81","146.14","148.15","144.86","537.12K","1.59%"
"01/25/2023","145.49","138.67","146.86","138.50","1.31M","-0.67%"
"01/24/2023","146.47","146.05","148.17","145.18","863.53K","-0.88%"
"01/23/2023","147.77","145.66","148.26","144.52","693.10K","2.16%"
"01/20/2023","144.65","140.95","145.13","139.55","636.15K","2.63%"
"01/19/2023","140.95","143.47","144.08","140.88","551.24K","-1.91%"
"01/18/2023","143.70","148.14","149.70","143.63","611.04K","-2.31%"
"01/17/2023","147.10","146.57","148.19","145.44","780.32K","0.36%"
"01/13/2023","146.57","145.98","147.22","145.75","502.05K","-0.48%"
"01/12/2023","147.28","148.11","148.27","144.55","484.88K","-0.18%"
"01/11/2023","147.54","144.89","147.57","143.50","533.85K","2.50%"
"01/10/2023","143.94","143.00","144.75","143.00","227.15K","0.38%"
"01/09/2023","143.40","142.34","146.65","142.34","499.36K","1.24%"
"01/06/2023","141.64","141.66","142.59","139.80","541.81K","1.14%"
"01/05/2023","140.05","143.84","144.42","139.26","542.06K","-3.60%"
"01/04/2023","145.28","145.93","147.61","143.90","552.90K","0.30%"
"01/03/2023","144.85","144.21","146.18","143.65","414.34K","0.93%"
"12/30/2022","143.51","141.48","143.75","140.78","271.59K","0.25%"
"12/29/2022","143.15","139.81","146.45","139.42","314.61K","3.10%"
"12/28/2022","138.84","140.68","142.39","138.51","173.10K","-1.66%"
"12/27/2022","141.19","140.80","142.39","139.71","251.82K","0.13%"
