"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","106.60","105.46","107.08","105.10","3.45M","-0.93%"
"02/02/2023","107.60","108.78","110.02","107.21","3.90M","-0.52%"
"02/01/2023","108.16","105.94","108.64","105.65","2.91M","1.39%"
"01/31/2023","106.68","106.17","106.69","105.81","2.43M","0.88%"
"01/30/2023","105.75","105.62","106.76","105.23","2.98M","-0.69%"
"01/27/2023","106.49","106.04","107.15","105.93","2.09M","0.22%"
"01/26/2023","106.26","105.17","106.30","104.41","2.03M","1.78%"
"01/25/2023","104.40","102.57","104.51","101.72","1.75M","0.67%"
"01/24/2023","103.71","105.79","105.87","103.56","3.22M","-1.74%"
"01/23/2023","105.55","104.33","106.30","104.08","2.35M","1.44%"
"01/20/2023","104.05","102.07","104.16","101.58","2.44M","1.83%"
"01/19/2023","102.18","102.90","103.57","101.91","2.67M","-1.02%"
"01/18/2023","103.23","104.23","105.10","103.20","3.27M","-0.75%"
"01/17/2023","104.01","102.96","104.11","102.83","3.70M","1.41%"
"01/13/2023","102.56","102.19","102.83","101.29","3.88M","0.14%"
"01/12/2023","102.42","101.20","102.60","101.10","2.68M","0.88%"
"01/11/2023","101.53","101.26","101.59","100.17","2.36M","0.48%"
"01/10/2023","101.04","101.79","102.18","100.14","2.40M","-1.01%"
"01/09/2023","102.07","100.20","102.63","100.20","2.81M","-0.11%"
"01/06/2023","102.18","100.03","102.75","99.85","3.04M","2.80%"
"01/05/2023","99.40","101.26","101.26","98.81","4.28M","-2.61%"
"01/04/2023","102.06","102.11","103.02","101.00","3.44M","0.84%"
"01/03/2023","101.21","101.72","102.70","100.40","2.27M","0.14%"
"12/30/2022","101.07","100.69","101.10","99.75","1.96M","-0.42%"
"12/29/2022","101.50","100.50","102.02","100.05","1.94M","1.59%"
"12/28/2022","99.91","100.99","101.82","99.88","1.91M","-0.90%"
"12/27/2022","100.82","100.50","101.19","100.07","1.56M","0.36%"
"12/23/2022","100.46","99.38","100.67","98.82","1.45M","0.92%"
"12/22/2022","99.54","100.38","101.07","97.80","2.19M","-1.58%"
"12/21/2022","101.14","100.04","101.96","99.90","2.91M","1.59%"
"12/20/2022","99.56","98.54","100.07","98.32","2.94M","0.90%"
"12/19/2022","98.67","98.98","100.23","98.26","3.91M","0.09%"
"12/16/2022","98.58","97.90","99.21","97.25","8.25M","0.11%"
"12/15/2022","98.47","100.43","101.16","98.14","3.20M","-3.38%"
"12/14/2022","101.91","101.90","103.88","100.98","3.46M","0.34%"
"12/13/2022","101.56","106.22","106.23","100.55","3.59M","-0.89%"
"12/12/2022","102.47","101.43","102.72","100.56","2.19M","1.82%"
"12/09/2022","100.64","101.04","101.86","100.57","1.76M","-0.81%"
"12/08/2022","101.46","100.98","102.07","100.51","2.04M","0.97%"
"12/07/2022","100.49","100.61","101.15","99.56","2.29M","0.14%"
"12/06/2022","100.35","102.54","102.61","99.91","2.34M","-1.80%"
"12/05/2022","102.19","104.75","104.75","101.63","3.38M","-3.10%"
"12/02/2022","105.46","103.37","105.85","103.37","2.88M","0.41%"
"12/01/2022","105.03","104.36","105.50","103.98","3.09M","0.64%"
"11/30/2022","104.36","100.72","104.99","100.72","5.57M","2.80%"
"11/29/2022","101.52","101.74","102.75","101.21","3.19M","-0.24%"
"11/28/2022","101.76","102.15","102.89","101.47","2.87M","-0.71%"
"11/25/2022","102.49","102.08","103.48","101.87","1.45M","0.40%"
"11/23/2022","102.08","100.99","102.43","100.77","2.26M","1.08%"
"11/22/2022","100.99","99.85","101.11","98.95","2.89M","1.62%"
"11/21/2022","99.38","99.67","100.58","99.01","2.72M","-0.48%"
"11/18/2022","99.86","99.77","100.87","98.39","3.37M","1.29%"
