"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","37.64","37.42","38.03","37.42","4.97M","-0.55%"
"02/02/2023","37.85","37.06","38.06","36.85","6.81M","2.91%"
"02/01/2023","36.78","35.80","37.05","35.73","5.55M","1.35%"
"01/31/2023","36.29","35.88","36.32","35.66","11.32M","1.37%"
"01/30/2023","35.80","35.79","36.16","35.74","3.92M","-0.83%"
"01/27/2023","36.10","35.98","36.31","35.86","3.64M","0.22%"
"01/26/2023","36.02","36.00","36.27","35.65","5.49M","0.73%"
"01/25/2023","35.76","34.94","35.83","34.86","5.33M","1.74%"
"01/24/2023","35.15","35.50","35.73","35.15","5.98M","-1.01%"
"01/23/2023","35.51","34.75","35.65","34.68","5.92M","2.60%"
"01/20/2023","34.61","33.63","34.69","33.63","6.92M","2.88%"
"01/19/2023","33.64","32.36","33.96","31.84","10.23M","2.81%"
"01/18/2023","32.72","33.78","33.80","32.69","8.84M","-4.08%"
"01/17/2023","34.11","34.62","34.65","34.02","4.68M","-1.53%"
"01/13/2023","34.64","34.33","34.72","33.60","4.62M","-0.74%"
"01/12/2023","34.90","34.46","35.08","34.33","4.21M","1.69%"
"01/11/2023","34.32","34.74","34.74","34.30","5.00M","-0.41%"
"01/10/2023","34.46","34.28","34.46","33.89","2.77M","0.70%"
"01/09/2023","34.22","34.63","34.72","34.15","3.61M","-0.73%"
"01/06/2023","34.47","33.44","34.59","33.22","7.19M","4.04%"
"01/05/2023","33.13","33.34","33.43","32.83","5.00M","-0.99%"
"01/04/2023","33.46","33.04","33.60","32.92","5.73M","2.51%"
"01/03/2023","32.64","33.19","33.40","32.50","5.34M","-0.52%"
"12/30/2022","32.81","32.66","32.99","32.53","4.62M","0.00%"
"12/29/2022","32.81","32.67","32.92","32.40","3.01M","0.28%"
"12/28/2022","32.72","32.94","33.01","32.53","4.18M","-0.24%"
"12/27/2022","32.80","32.46","32.82","32.24","3.66M","1.20%"
"12/23/2022","32.41","32.33","32.51","32.10","3.29M","0.87%"
"12/22/2022","32.13","31.66","32.14","31.35","3.83M","0.44%"
"12/21/2022","31.99","32.05","32.29","31.93","3.38M","0.95%"
"12/20/2022","31.69","31.71","31.97","31.59","3.74M","0.13%"
"12/19/2022","31.65","31.60","32.08","31.27","4.01M","0.16%"
"12/16/2022","31.60","31.56","32.00","31.27","7.31M","-1.03%"
"12/15/2022","31.93","31.79","32.17","31.42","6.41M","-1.11%"
"12/14/2022","32.29","33.03","33.16","32.01","5.74M","-1.97%"
"12/13/2022","32.94","33.96","34.17","32.79","8.32M","-0.99%"
"12/12/2022","33.27","32.88","33.38","32.44","6.04M","1.16%"
"12/09/2022","32.89","33.03","33.14","32.62","4.62M","0.21%"
"12/08/2022","32.82","33.12","33.23","32.56","4.51M","-0.45%"
"12/07/2022","32.97","32.38","33.36","32.15","6.53M","2.26%"
"12/06/2022","32.24","32.89","33.12","32.14","6.17M","-2.15%"
"12/05/2022","32.95","35.03","35.03","32.74","5.82M","-6.52%"
"12/02/2022","35.25","35.21","35.56","35.08","4.72M","-1.45%"
"12/01/2022","35.77","36.36","36.52","35.23","4.55M","-1.62%"
"11/30/2022","36.36","35.77","36.45","34.88","5.60M","1.00%"
"11/29/2022","36.00","35.68","36.13","35.47","2.76M","1.15%"
"11/28/2022","35.59","36.15","36.23","35.51","3.19M","-2.44%"
"11/25/2022","36.48","36.54","36.67","36.38","1.02M","0.41%"
"11/23/2022","36.33","36.10","36.41","35.99","2.84M","0.00%"
"11/22/2022","36.33","36.07","36.36","35.98","3.02M","1.45%"
"11/21/2022","35.81","35.54","35.92","35.51","2.10M","0.51%"
"11/18/2022","35.63","35.99","36.08","35.12","3.22M","0.85%"
"11/17/2022","35.33","35.22","35.36","34.84","3.46M","-1.29%"
"11/16/2022","35.79","36.45","36.57","35.61","3.83M","-1.81%"
"11/15/2022","36.45","36.81","37.14","35.95","5.36M","1.11%"
"11/14/2022","36.05","36.76","36.98","36.04","5.50M","-2.17%"
"11/11/2022","36.85","36.38","37.20","36.38","7.38M","1.54%"
"11/10/2022","36.29","35.64","36.43","35.64","7.30M","5.25%"
"11/09/2022","34.48","34.60","34.90","34.25","3.82M","-1.79%"
"11/08/2022","35.11","34.99","35.33","34.73","4.37M","0.20%"
"11/07/2022","35.04","35.30","35.51","34.73","3.28M","-0.26%"
"11/04/2022","35.13","34.41","35.22","34.27","5.84M","3.51%"
"11/03/2022","33.94","34.30","34.34","33.44","4.58M","-2.22%"
"11/02/2022","34.71","35.74","36.10","34.66","4.69M","-3.04%"
"11/01/2022","35.80","35.93","36.12","35.65","2.58M","0.31%"
"10/31/2022","35.69","35.81","36.01","35.60","3.58M","-0.81%"
"10/28/2022","35.98","35.69","36.01","35.35","2.99M","1.78%"
"10/27/2022","35.35","35.98","36.17","35.27","3.99M","-0.45%"
"10/26/2022","35.51","35.36","35.76","35.10","3.49M","0.45%"
"10/25/2022","35.35","34.23","35.42","34.07","4.48M","2.85%"
"10/24/2022","34.37","33.23","34.53","33.04","4.77M","4.09%"
"10/21/2022","33.02","31.13","33.03","30.92","8.26M","6.00%"
"10/20/2022","31.15","32.88","33.01","30.98","9.70M","-6.34%"
"10/19/2022","33.26","34.59","34.90","32.92","10.51M","-4.59%"
"10/18/2022","34.86","35.51","36.03","34.49","5.39M","0.37%"
"10/17/2022","34.73","34.78","35.24","34.44","5.60M","2.27%"
"10/14/2022","33.96","34.71","35.44","33.84","5.50M","-1.14%"
"10/13/2022","34.35","31.79","34.65","31.38","7.99M","6.61%"
"10/12/2022","32.22","32.33","32.72","32.04","3.80M","-0.62%"
"10/11/2022","32.42","32.79","32.88","32.18","3.73M","-1.70%"
"10/10/2022","32.98","33.37","33.72","32.75","3.54M","-0.36%"
"10/07/2022","33.10","33.21","33.27","32.35","3.89M","-1.28%"
"10/06/2022","33.53","33.80","34.16","33.33","6.10M","-1.67%"
"10/05/2022","34.10","33.60","34.24","33.48","2.85M","-0.58%"
"10/04/2022","34.30","33.30","34.31","33.28","4.37M","4.48%"
"10/03/2022","32.83","32.50","33.13","31.79","4.74M","2.72%"
"09/30/2022","31.96","32.00","32.82","31.84","6.17M","-0.28%"
"09/29/2022","32.05","31.74","32.29","31.18","5.30M","-1.51%"
"09/28/2022","32.54","31.75","32.72","31.55","4.10M","3.07%"
"09/27/2022","31.57","32.30","32.59","31.26","5.27M","-1.62%"
"09/26/2022","32.09","32.37","32.95","31.96","5.72M","-2.16%"
"09/23/2022","32.80","32.79","32.94","32.16","4.19M","-1.23%"
"09/22/2022","33.21","34.35","34.49","33.01","4.04M","-3.06%"
"09/21/2022","34.26","35.31","35.72","34.25","4.90M","-2.50%"
"09/20/2022","35.14","35.12","35.31","34.76","3.83M","-0.85%"
"09/19/2022","35.44","34.51","35.57","34.51","3.56M","1.17%"
"09/16/2022","35.03","35.51","35.51","34.66","8.22M","-2.10%"
"09/15/2022","35.78","35.04","36.34","35.03","3.55M","2.29%"
"09/14/2022","34.98","34.98","35.38","34.34","5.35M","0.00%"
"09/13/2022","34.98","35.61","36.06","34.81","4.10M","-4.22%"
"09/12/2022","36.52","36.00","36.60","35.84","3.73M","2.18%"
"09/09/2022","35.74","35.60","35.95","35.47","4.27M","1.19%"
"09/08/2022","35.32","33.77","35.33","33.59","3.54M","3.76%"
"09/07/2022","34.04","33.17","34.20","32.96","2.66M","2.31%"
"09/06/2022","33.27","33.88","33.94","32.85","3.16M","-1.19%"
"09/02/2022","33.67","34.27","34.65","33.49","4.02M","-0.50%"
"09/01/2022","33.84","34.10","34.14","33.32","3.91M","-0.91%"
"08/31/2022","34.15","34.43","34.59","34.02","4.95M","-0.64%"
"08/30/2022","34.37","34.57","34.74","33.99","3.30M","-0.17%"
