"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","127.39","128.55","129.07","127.04","1.06M","-1.03%"
"02/02/2023","128.72","131.10","131.57","125.78","1.41M","-2.80%"
"02/01/2023","132.43","132.79","133.35","131.10","747.02K","-0.53%"
"01/31/2023","133.13","130.35","133.20","129.99","560.75K","2.18%"
"01/30/2023","130.29","132.00","133.37","129.28","673.54K","-1.46%"
"01/27/2023","132.22","130.61","132.94","130.59","769.24K","1.01%"
"01/26/2023","130.90","129.06","131.35","129.06","589.96K","1.57%"
"01/25/2023","128.88","127.89","129.61","126.53","363.28K","-0.26%"
"01/24/2023","129.22","126.60","129.39","125.00","317.14K","1.36%"
"01/23/2023","127.48","128.39","128.81","126.56","499.15K","-0.56%"
"01/20/2023","128.20","127.02","129.22","126.27","662.79K","1.29%"
"01/19/2023","126.57","126.42","127.32","125.77","399.76K","-0.04%"
"01/18/2023","126.62","129.63","129.95","126.59","740.38K","-1.56%"
"01/17/2023","128.63","130.32","131.72","128.28","876.33K","-1.03%"
"01/13/2023","129.97","128.66","130.06","127.79","550.05K","0.46%"
"01/12/2023","129.38","131.57","131.65","129.04","547.79K","-1.63%"
"01/11/2023","131.52","130.30","131.57","128.82","877.24K","2.19%"
"01/10/2023","128.70","129.50","130.30","127.77","651.50K","-0.21%"
"01/09/2023","128.97","126.60","129.45","125.60","1.04M","2.80%"
"01/06/2023","125.46","123.25","125.69","122.63","739.54K","3.09%"
"01/05/2023","121.70","122.16","123.31","120.17","993.19K","-1.01%"
"01/04/2023","122.94","124.91","126.00","122.35","977.39K","-1.59%"
"01/03/2023","124.92","124.87","125.74","123.75","735.73K","0.10%"
"12/30/2022","124.80","124.56","125.40","123.59","591.56K","-0.11%"
"12/29/2022","124.94","124.57","126.05","124.57","430.60K","0.22%"
"12/28/2022","124.66","126.25","126.92","124.56","421.25K","-1.49%"
"12/27/2022","126.54","127.21","127.49","125.99","436.79K","0.16%"
"12/23/2022","126.34","124.58","126.51","123.82","575.84K","1.34%"
"12/22/2022","124.67","124.87","125.14","122.59","500.81K","-0.34%"
"12/21/2022","125.09","124.72","125.71","123.59","530.66K","0.74%"
"12/20/2022","124.17","123.15","124.56","122.36","785.39K","1.15%"
"12/19/2022","122.76","124.50","125.42","122.39","636.52K","-1.24%"
"12/16/2022","124.30","124.05","125.52","123.27","2.18M","-0.70%"
"12/15/2022","125.17","125.68","125.82","124.02","774.29K","-1.28%"
"12/14/2022","126.79","127.88","129.22","126.37","467.31K","-0.63%"
"12/13/2022","127.60","128.62","129.21","127.02","816.44K","1.04%"
"12/12/2022","126.29","126.79","127.20","125.16","808.25K","-0.24%"
"12/09/2022","126.60","127.99","129.00","126.58","527.08K","-1.09%"
"12/08/2022","127.99","129.13","129.37","127.82","600.97K","0.05%"
"12/07/2022","127.92","127.86","128.79","126.96","694.54K","-0.02%"
"12/06/2022","127.94","131.03","131.34","126.77","983.93K","-2.13%"
"12/05/2022","130.73","133.49","134.29","130.06","731.08K","-2.70%"
"12/02/2022","134.36","129.49","134.38","128.12","1.06M","3.33%"
"12/01/2022","130.03","131.00","132.50","129.99","658.05K","-0.47%"
"11/30/2022","130.64","128.06","130.72","126.71","1.20M","2.29%"
"11/29/2022","127.71","127.67","128.57","126.53","542.99K","0.53%"
"11/28/2022","127.04","128.10","128.75","126.70","646.28K","-1.66%"
"11/25/2022","129.18","128.16","129.56","128.01","172.15K","0.73%"
"11/23/2022","128.25","128.39","128.99","127.10","579.58K","0.09%"
"11/22/2022","128.13","128.52","129.00","127.10","638.45K","0.68%"
