"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","32.30","32.41","32.67","32.23","1.82M","-1.25%"
"02/02/2023","32.71","32.01","32.94","31.98","708.99K","2.19%"
"02/01/2023","32.01","31.44","32.17","31.23","827.51K","0.98%"
"01/31/2023","31.70","31.54","31.70","31.28","590.50K","0.92%"
"01/30/2023","31.41","31.37","31.62","31.25","1.14M","-0.66%"
"01/27/2023","31.62","31.58","31.80","31.45","470.47K","-0.32%"
"01/26/2023","31.72","31.41","31.79","31.30","622.81K","1.24%"
"01/25/2023","31.33","30.82","31.77","30.51","1.15M","2.29%"
"01/24/2023","30.63","30.54","30.77","30.41","695.90K","-0.20%"
"01/23/2023","30.69","29.74","30.76","29.68","774.68K","3.30%"
"01/20/2023","29.71","29.53","29.71","29.27","1.34M","1.02%"
"01/19/2023","29.41","29.33","29.47","28.95","998.95K","-0.37%"
"01/18/2023","29.52","29.90","30.15","29.50","567.67K","-1.20%"
"01/17/2023","29.88","30.39","30.49","29.81","2.23M","-1.42%"
"01/13/2023","30.31","30.03","30.42","29.95","861.28K","0.20%"
"01/12/2023","30.25","30.14","30.39","29.80","694.97K","0.53%"
"01/11/2023","30.09","30.14","30.21","29.63","807.71K","0.37%"
"01/10/2023","29.98","29.36","30.03","29.30","3.47M","1.97%"
"01/09/2023","29.40","29.80","30.03","29.38","2.98M","-1.34%"
"01/06/2023","29.80","29.21","29.87","29.08","1.13M","2.94%"
"01/05/2023","28.95","29.25","29.33","28.79","793.33K","-1.43%"
"01/04/2023","29.37","28.56","29.42","28.22","894.70K","3.63%"
"01/03/2023","28.34","28.44","28.70","28.15","1.20M","-0.39%"
"12/30/2022","28.45","28.38","28.47","28.06","903.59K","-0.45%"
"12/29/2022","28.58","28.30","28.87","28.24","721.99K","1.53%"
"12/28/2022","28.15","28.71","28.71","28.15","329.04K","-1.78%"
"12/27/2022","28.66","28.75","28.81","28.36","536.27K","-0.66%"
"12/23/2022","28.85","28.54","28.89","28.54","574.96K","1.09%"
"12/22/2022","28.54","28.16","28.63","28.08","796.05K","0.53%"
"12/21/2022","28.39","28.22","28.57","28.15","600.37K","1.03%"
"12/20/2022","28.10","27.61","28.14","27.53","1.15M","1.70%"
"12/19/2022","27.63","28.57","28.62","27.46","1.60M","-3.66%"
"12/16/2022","28.68","28.57","28.93","28.47","3.51M","-0.21%"
"12/15/2022","28.74","29.32","29.62","28.73","1.55M","-3.46%"
"12/14/2022","29.77","29.91","30.37","29.61","1.23M","-0.90%"
"12/13/2022","30.04","30.11","30.79","29.88","1.60M","1.28%"
"12/12/2022","29.66","29.31","29.67","29.17","784.91K","0.85%"
"12/09/2022","29.41","29.26","29.68","29.07","1.47M","0.51%"
"12/08/2022","29.26","29.02","29.73","28.86","3.30M","1.18%"
"12/07/2022","28.92","29.24","29.24","28.55","841.71K","-1.06%"
"12/06/2022","29.23","30.23","30.37","29.08","1.43M","-3.05%"
"12/05/2022","30.15","30.43","30.72","30.09","674.41K","-1.50%"
"12/02/2022","30.61","30.00","30.63","29.86","1.22M","1.09%"
"12/01/2022","30.28","30.62","30.87","29.95","984.62K","-0.79%"
"11/30/2022","30.52","29.86","30.58","29.51","1.42M","1.94%"
"11/29/2022","29.94","29.19","29.95","29.03","851.82K","2.36%"
"11/28/2022","29.25","29.35","29.57","29.04","1.09M","-0.68%"
"11/25/2022","29.45","29.19","29.49","29.17","469.68K","0.68%"
"11/23/2022","29.25","29.16","29.33","28.96","1.53M","0.45%"
"11/22/2022","29.12","28.90","29.24","28.88","1.38M","0.97%"
"11/21/2022","28.84","29.28","29.34","28.56","857.47K","-1.03%"
"11/18/2022","29.14","29.18","29.29","28.89","647.70K","1.04%"
"11/17/2022","28.84","28.45","29.00","28.45","994.74K","-0.07%"
"11/16/2022","28.86","29.08","29.08","28.28","1.65M","-0.45%"
"11/15/2022","28.99","29.00","29.56","28.72","1.08M","0.69%"
"11/14/2022","28.79","28.76","29.37","28.76","1.27M","0.10%"
"11/11/2022","28.76","27.91","28.91","27.76","1.04M","3.83%"
"11/10/2022","27.70","27.57","28.01","27.36","1.91M","3.90%"
"11/09/2022","26.66","27.08","27.15","26.35","1.58M","-3.48%"
"11/08/2022","27.62","27.57","28.04","27.24","1.15M","0.66%"
