"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","34.60","34.52","35.02","34.49","2.13M","-1.09%"
"02/02/2023","34.98","34.45","35.27","34.20","1.89M","1.95%"
"02/01/2023","34.31","33.73","34.53","33.50","2.38M","1.09%"
"01/31/2023","33.94","33.66","33.98","33.51","2.03M","0.83%"
"01/30/2023","33.66","33.58","33.87","33.49","1.95M","-0.56%"
"01/27/2023","33.85","33.93","34.08","33.67","1.52M","-0.32%"
"01/26/2023","33.96","33.54","34.05","33.42","2.24M","1.40%"
"01/25/2023","33.49","33.26","34.14","33.04","5.07M","2.51%"
"01/24/2023","32.67","32.49","32.85","32.37","1.73M","0.00%"
"01/23/2023","32.67","31.60","32.74","31.60","1.77M","3.52%"
"01/20/2023","31.56","31.47","31.64","31.23","1.96M","0.80%"
"01/19/2023","31.31","31.36","31.46","30.82","2.82M","-0.54%"
"01/18/2023","31.48","31.77","32.08","31.43","2.38M","-0.91%"
"01/17/2023","31.77","32.16","32.39","31.67","1.76M","-1.73%"
"01/13/2023","32.33","31.98","32.35","31.83","1.72M","0.37%"
"01/12/2023","32.21","32.19","32.31","31.78","2.23M","0.44%"
"01/11/2023","32.07","31.99","32.13","31.49","2.46M","0.56%"
"01/10/2023","31.89","31.23","31.91","31.12","2.06M","1.98%"
"01/09/2023","31.27","31.77","31.98","31.22","4.11M","-1.51%"
"01/06/2023","31.75","31.05","31.78","30.95","2.06M","2.92%"
"01/05/2023","30.85","31.21","31.21","30.64","2.53M","-1.37%"
"01/04/2023","31.28","30.55","31.36","30.08","2.45M","3.34%"
"01/03/2023","30.27","30.32","30.63","30.01","2.75M","-0.33%"
"12/30/2022","30.37","30.30","30.46","29.92","2.62M","-0.62%"
"12/29/2022","30.56","30.34","30.85","30.20","1.27M","1.49%"
"12/28/2022","30.11","30.53","30.67","30.06","1.25M","-1.67%"
"12/27/2022","30.62","30.76","30.80","30.29","1.20M","-0.46%"
"12/23/2022","30.76","30.48","30.84","30.43","1.43M","0.85%"
"12/22/2022","30.50","30.10","30.55","30.01","1.70M","0.56%"
"12/21/2022","30.33","30.15","30.51","30.02","2.50M","1.27%"
"12/20/2022","29.95","29.49","30.00","29.36","2.55M","1.56%"
"12/19/2022","29.49","30.64","30.64","29.26","2.21M","-4.07%"
"12/16/2022","30.74","30.52","30.88","30.36","5.25M","0.13%"
"12/15/2022","30.70","31.56","31.64","30.67","2.37M","-3.46%"
"12/14/2022","31.80","31.80","32.37","31.59","2.09M","-0.72%"
"12/13/2022","32.03","32.40","32.76","31.80","2.32M","1.59%"
"12/12/2022","31.53","31.28","31.54","30.99","2.24M","0.70%"
