"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","144.50","144.82","146.74","143.18","1.60M","-1.70%"
"02/02/2023","147.00","145.00","147.68","143.48","1.76M","2.67%"
"02/01/2023","143.18","139.49","144.31","139.24","1.40M","1.63%"
"01/31/2023","140.88","139.48","140.90","138.41","1.40M","0.51%"
"01/30/2023","140.16","138.38","141.37","138.19","1.41M","-0.60%"
"01/27/2023","141.01","137.79","141.69","137.51","892.73K","1.61%"
"01/26/2023","138.77","139.50","140.89","138.03","1.53M","0.76%"
"01/25/2023","137.72","134.16","137.79","133.67","1.21M","1.11%"
"01/24/2023","136.21","136.81","137.66","135.40","1.23M","-1.15%"
"01/23/2023","137.80","136.36","137.97","135.75","1.27M","1.19%"
"01/20/2023","136.18","132.07","136.45","131.25","1.58M","3.96%"
"01/19/2023","130.99","129.98","132.14","129.63","2.03M","-0.53%"
"01/18/2023","131.69","131.51","134.19","129.71","2.46M","0.22%"
"01/17/2023","131.40","129.29","133.50","128.26","2.79M","2.03%"
"01/13/2023","128.78","125.00","131.21","121.75","3.18M","1.00%"
"01/12/2023","127.51","129.12","129.70","126.06","2.32M","-0.38%"
"01/11/2023","127.99","127.00","128.04","125.20","1.59M","0.99%"
"01/10/2023","126.73","123.67","126.75","122.41","1.15M","1.83%"
"01/09/2023","124.45","127.88","128.00","124.20","1.58M","-1.64%"
"01/06/2023","126.53","121.32","126.95","120.38","2.04M","5.04%"
"01/05/2023","120.46","124.39","124.41","120.39","1.48M","-2.69%"
"01/04/2023","123.79","123.23","125.04","122.03","1.21M","1.85%"
"01/03/2023","121.54","123.34","124.35","120.42","890.42K","-0.29%"
"12/30/2022","121.89","121.69","122.89","120.77","542.32K","-0.89%"
"12/29/2022","122.99","119.60","123.35","119.16","603.94K","3.55%"
"12/28/2022","118.77","119.69","120.25","118.00","797.40K","-0.76%"
"12/27/2022","119.68","119.35","120.75","117.59","789.63K","0.23%"
"12/23/2022","119.40","118.82","119.81","117.94","690.79K","0.18%"
"12/22/2022","119.18","120.18","121.18","116.17","1.38M","-1.85%"
"12/21/2022","121.43","120.23","121.74","120.00","760.89K","2.29%"
"12/20/2022","118.71","118.91","119.97","118.05","1.18M","-0.64%"
"12/19/2022","119.48","120.69","121.79","118.93","1.30M","-1.30%"
"12/16/2022","121.05","119.67","121.90","119.12","4.14M","0.74%"
"12/15/2022","120.16","119.87","123.21","119.53","1.75M","-2.29%"
"12/14/2022","122.98","123.58","127.26","122.49","2.26M","-0.78%"
"12/13/2022","123.95","124.65","128.93","120.45","2.42M","3.42%"
"12/12/2022","119.85","116.86","120.34","116.22","1.16M","2.45%"
"12/09/2022","116.98","116.54","117.83","116.36","1.24M","0.13%"
"12/08/2022","116.83","117.46","117.58","114.70","1.55M","-0.19%"
"12/07/2022","117.05","118.07","119.99","116.76","1.33M","-1.40%"
"12/06/2022","118.71","120.20","120.43","116.88","2.46M","-1.05%"
"12/05/2022","119.97","124.72","124.72","118.24","3.01M","-4.91%"
"12/02/2022","126.17","125.29","126.90","123.87","1.18M","-0.93%"
"12/01/2022","127.36","127.95","130.46","126.67","1.25M","-0.20%"
"11/30/2022","127.61","121.45","128.14","120.73","2.07M","4.97%"
"11/29/2022","121.57","120.97","121.87","120.08","802.84K","0.84%"
"11/28/2022","120.56","122.64","124.22","119.83","847.46K","-2.94%"
"11/25/2022","124.21","124.21","124.73","123.43","455.88K","0.07%"
"11/23/2022","124.12","121.30","125.09","121.25","863.51K","2.13%"
"11/22/2022","121.53","122.59","122.92","120.92","861.22K","-0.46%"
"11/21/2022","122.09","121.87","123.98","121.36","1.07M","0.11%"
"11/18/2022","121.95","124.99","124.99","120.49","877.25K","-0.30%"
"11/17/2022","122.32","123.02","124.50","120.97","1.35M","-2.67%"
"11/16/2022","125.67","129.86","130.46","125.32","1.50M","-3.75%"
"11/15/2022","130.56","126.74","131.62","125.77","1.88M","5.45%"
"11/14/2022","123.81","128.36","128.37","123.63","1.54M","-4.11%"
"11/11/2022","129.11","127.77","130.74","126.75","2.35M","2.07%"
"11/10/2022","126.49","116.00","126.57","116.00","2.76M","12.73%"
"11/09/2022","112.21","112.93","113.01","106.86","3.89M","-1.44%"
"11/08/2022","113.85","113.82","115.39","110.93","4.26M","1.72%"
"11/07/2022","111.93","115.50","116.35","111.06","3.68M","-2.33%"
"11/04/2022","114.60","115.01","115.96","112.72","3.43M","1.34%"
"11/03/2022","113.08","114.09","115.67","112.92","1.29M","-2.31%"
"11/02/2022","115.75","119.74","121.50","115.63","1.86M","-3.82%"
"11/01/2022","120.35","121.91","122.16","119.29","1.52M","0.21%"
"10/31/2022","120.10","119.95","120.83","119.44","1.24M","-0.16%"
"10/28/2022","120.29","116.89","120.74","116.89","1.37M","3.24%"
"10/27/2022","116.51","118.02","118.61","116.19","1.22M","-0.14%"
"10/26/2022","116.67","117.22","119.75","116.25","1.02M","-0.62%"
"10/25/2022","117.40","113.28","117.45","113.28","1.09M","3.10%"
"10/24/2022","113.87","113.38","114.38","111.59","1.35M","1.35%"
"10/21/2022","112.35","111.27","112.54","109.38","2.75M","0.79%"
"10/20/2022","111.47","111.50","113.83","110.19","2.39M","-0.29%"
"10/19/2022","111.79","115.52","117.58","111.53","1.92M","-4.62%"
"10/18/2022","117.21","122.84","123.60","116.80","2.38M","-1.76%"
"10/17/2022","119.31","114.41","119.36","114.41","3.45M","5.97%"
"10/14/2022","112.59","125.50","132.41","110.79","5.91M","-16.43%"
"10/13/2022","134.73","127.09","135.73","126.11","1.81M","4.01%"
"10/12/2022","129.54","130.22","131.35","128.92","868.23K","-0.73%"
"10/11/2022","130.49","133.47","133.72","129.91","1.06M","-2.77%"
"10/10/2022","134.21","138.35","138.35","133.41","813.69K","-2.06%"
"10/07/2022","137.03","137.20","137.79","135.51","1.39M","-1.51%"
"10/06/2022","139.13","139.78","141.09","138.30","658.41K","-1.05%"
"10/05/2022","140.61","140.36","141.46","139.03","830.36K","-1.22%"
"10/04/2022","142.35","136.90","142.43","136.90","1.23M","5.73%"
"10/03/2022","134.64","132.00","135.24","130.45","937.55K","3.13%"
"09/30/2022","130.55","132.41","134.48","130.35","899.26K","-1.61%"
"09/29/2022","132.68","133.50","134.43","131.44","1.13M","-2.34%"
"09/28/2022","135.86","133.67","136.67","132.95","911.29K","2.06%"
"09/27/2022","133.12","135.53","136.93","132.27","1.27M","-1.70%"
"09/26/2022","135.42","134.38","137.24","134.10","1.26M","0.17%"
"09/23/2022","135.19","133.76","135.33","132.64","1.49M","0.28%"
"09/22/2022","134.81","139.98","140.46","134.76","1.05M","-3.58%"
"09/21/2022","139.82","142.28","144.52","139.76","708.82K","-1.48%"
"09/20/2022","141.92","142.91","144.19","140.45","812.02K","-1.59%"
"09/19/2022","144.21","140.22","144.26","140.19","817.42K","1.74%"
"09/16/2022","141.74","144.73","144.97","140.94","2.31M","-3.32%"
"09/15/2022","146.61","146.98","150.63","146.50","1.23M","-0.60%"
"09/14/2022","147.49","151.51","151.51","146.26","1.32M","-2.49%"
"09/13/2022","151.25","154.02","154.71","151.17","1.06M","-4.41%"
"09/12/2022","158.23","157.03","158.53","156.46","954.57K","1.48%"
"09/09/2022","155.92","154.72","156.65","154.72","758.98K","1.35%"
"09/08/2022","153.84","150.64","154.30","149.54","577.17K","1.45%"
"09/07/2022","151.64","147.86","152.02","147.86","499.08K","2.35%"
"09/06/2022","148.16","149.99","150.20","145.53","689.55K","-0.72%"
"09/02/2022","149.24","153.28","154.12","148.52","818.15K","-1.38%"
"09/01/2022","151.33","151.20","151.47","149.01","684.37K","-0.33%"
"08/31/2022","151.83","153.92","154.63","151.42","1.24M","-0.83%"
"08/30/2022","153.10","154.36","154.60","151.30","578.18K","-0.29%"
"08/29/2022","153.54","154.50","154.88","152.37","574.91K","-1.35%"
"08/26/2022","155.64","162.98","163.30","155.57","662.33K","-4.10%"
"08/25/2022","162.29","160.43","162.31","159.93","413.55K","1.61%"
"08/24/2022","159.72","158.65","160.71","158.50","517.63K","0.32%"
"08/23/2022","159.21","160.42","161.20","159.20","482.41K","-0.69%"
"08/22/2022","160.31","160.93","161.30","159.39","550.49K","-1.98%"
"08/19/2022","163.54","164.33","164.80","162.94","742.85K","-1.49%"
"08/18/2022","166.02","166.92","166.92","164.93","976.19K","-0.54%"
"08/17/2022","166.92","168.09","168.40","165.64","738.71K","-1.88%"
"08/16/2022","170.12","168.61","171.09","168.40","594.47K","0.71%"
"08/15/2022","168.92","167.71","169.55","167.29","621.13K","0.01%"
"08/12/2022","168.90","167.07","169.00","166.54","588.71K","1.76%"
"08/11/2022","165.98","164.72","166.51","164.18","1.08M","1.93%"
"08/10/2022","162.83","164.14","164.53","162.28","1.48M","0.89%"
"08/09/2022","161.39","162.00","162.60","161.19","843.62K","-0.41%"
"08/08/2022","162.05","165.00","165.96","161.47","673.30K","-1.16%"
"08/05/2022","163.96","161.30","164.57","161.04","677.37K","0.94%"
"08/04/2022","162.44","162.10","163.23","161.64","711.20K","-0.31%"
"08/03/2022","162.94","160.51","163.37","159.72","817.76K","2.43%"
"08/02/2022","159.08","156.81","160.06","156.81","2.23M","-2.03%"
"08/01/2022","162.38","161.52","163.09","159.57","757.46K","-0.20%"
"07/29/2022","162.71","159.89","163.04","159.55","1.06M","1.84%"
"07/28/2022","159.77","158.01","159.85","156.30","563.54K","1.24%"
