"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","113.04","112.91","113.68","111.38","630.12K","-0.91%"
"02/02/2023","114.08","113.16","115.08","112.83","655.74K","1.82%"
"02/01/2023","112.04","111.30","112.56","109.09","809.30K","0.46%"
"01/31/2023","111.53","109.94","111.98","108.86","2.78M","1.42%"
"01/30/2023","109.97","111.37","111.48","109.86","468.72K","-1.27%"
"01/27/2023","111.38","110.24","111.82","110.17","660.25K","1.02%"
"01/26/2023","110.25","111.45","111.45","109.53","405.23K","-0.21%"
"01/25/2023","110.48","109.64","110.48","108.65","390.86K","0.18%"
"01/24/2023","110.28","109.36","110.50","109.04","364.58K","0.80%"
"01/23/2023","109.40","107.77","109.63","107.20","288.02K","1.63%"
"01/20/2023","107.65","106.58","107.74","105.45","650.02K","1.06%"
"01/19/2023","106.52","107.79","109.28","106.47","501.54K","-1.82%"
"01/18/2023","108.50","111.49","111.58","108.39","503.31K","-2.13%"
"01/17/2023","110.86","109.11","111.03","109.11","483.31K","1.57%"
"01/13/2023","109.15","108.34","109.49","107.59","382.37K","-0.40%"
"01/12/2023","109.59","107.55","109.89","106.85","630.18K","2.35%"
"01/11/2023","107.07","102.41","107.25","102.29","597.72K","5.15%"
"01/10/2023","101.83","102.32","102.37","100.14","443.91K","-1.04%"
"01/09/2023","102.90","104.40","104.99","102.87","324.00K","-1.29%"
"01/06/2023","104.24","103.78","104.87","103.51","363.91K","1.48%"
"01/05/2023","102.72","103.94","104.68","102.05","431.30K","-2.23%"
"01/04/2023","105.06","103.35","105.62","103.35","491.61K","2.34%"
"01/03/2023","102.66","101.75","102.90","100.60","635.83K","1.60%"
"12/30/2022","101.04","100.83","101.47","99.94","409.25K","-1.16%"
"12/29/2022","102.23","101.51","102.60","101.19","367.83K","1.55%"
"12/28/2022","100.67","102.68","102.89","100.66","346.35K","-1.80%"
"12/27/2022","102.52","102.38","102.85","101.79","233.48K","0.18%"
"12/23/2022","102.34","101.00","102.38","100.43","386.71K","1.08%"
"12/22/2022","101.25","101.16","101.41","99.03","412.87K","-0.50%"
"12/21/2022","101.76","101.81","103.23","101.40","306.80K","0.87%"
"12/20/2022","100.88","100.91","101.23","99.51","410.20K","-0.46%"
"12/19/2022","101.35","102.19","102.59","100.51","497.70K","-1.15%"
"12/16/2022","102.53","102.67","103.44","100.48","1.34M","-1.88%"
"12/15/2022","104.49","106.83","107.39","104.30","829.71K","-3.94%"
"12/14/2022","108.78","108.34","109.86","107.67","657.97K","0.21%"
"12/13/2022","108.55","111.19","111.19","107.30","699.06K","0.84%"
"12/12/2022","107.65","108.06","108.06","106.12","482.29K","0.00%"
"12/09/2022","107.65","107.65","107.98","106.78","333.58K","-0.06%"
"12/08/2022","107.71","107.52","108.62","106.73","372.68K","0.49%"
"12/07/2022","107.19","106.49","107.79","106.16","405.77K","0.43%"
"12/06/2022","106.73","107.35","107.81","106.15","446.82K","-0.26%"
"12/05/2022","107.01","108.87","108.98","106.19","490.11K","-2.22%"
"12/02/2022","109.44","107.88","109.94","107.53","902.73K","0.39%"
"12/01/2022","109.02","111.82","112.34","107.78","596.74K","-1.87%"
"11/30/2022","111.10","109.88","111.52","108.88","616.88K","0.94%"
"11/29/2022","110.06","107.89","110.32","107.67","409.08K","2.22%"
"11/28/2022","107.67","109.37","109.89","107.14","289.86K","-2.34%"
"11/25/2022","110.25","109.83","110.36","109.54","181.58K","0.66%"
"11/23/2022","109.53","109.74","110.31","109.10","256.27K","-0.48%"
"11/22/2022","110.06","108.84","110.13","108.23","330.95K","1.94%"
"11/21/2022","107.97","108.11","108.94","107.29","347.02K","-0.41%"
"11/18/2022","108.41","109.06","109.62","107.67","456.97K","0.76%"
"11/17/2022","107.59","104.64","107.67","104.45","467.05K","1.42%"
"11/16/2022","106.08","106.74","107.15","105.43","324.72K","-1.54%"
"11/15/2022","107.74","106.75","108.00","106.29","695.12K","2.14%"
"11/14/2022","105.48","107.00","107.71","105.48","523.05K","-2.12%"
"11/11/2022","107.77","107.28","107.96","105.72","644.39K","0.65%"
"11/10/2022","107.07","104.74","107.58","103.95","617.57K","6.06%"
"11/09/2022","100.95","102.94","103.56","100.83","631.94K","-2.47%"
"11/08/2022","103.51","104.20","104.90","103.06","520.93K","-0.39%"
"11/07/2022","103.92","106.68","107.01","103.13","672.62K","-1.11%"
"11/04/2022","105.09","103.99","106.67","101.25","988.50K","5.71%"
"11/03/2022","99.41","97.53","99.61","95.62","578.22K","0.24%"
"11/02/2022","99.17","100.42","101.76","98.78","742.23K","-1.62%"
"11/01/2022","100.80","99.46","101.48","98.81","614.77K","1.84%"
"10/31/2022","98.98","97.96","99.58","97.57","1.11M","0.11%"
"10/28/2022","98.87","96.83","99.16","96.41","409.83K","2.17%"
"10/27/2022","96.77","96.81","97.84","96.24","622.21K","1.08%"
"10/26/2022","95.74","96.96","97.59","95.55","445.90K","-0.94%"
"10/25/2022","96.65","93.28","96.88","93.28","612.48K","4.04%"
"10/24/2022","92.90","92.80","93.12","91.63","459.26K","0.68%"
"10/21/2022","92.27","90.62","92.27","89.71","424.70K","1.90%"
"10/20/2022","90.55","91.23","92.40","90.49","325.12K","-0.75%"
"10/19/2022","91.23","92.00","92.48","90.52","627.59K","-1.99%"
"10/18/2022","93.08","93.44","93.77","92.40","806.32K","1.43%"
"10/17/2022","91.77","90.95","92.19","90.57","1.04M","2.92%"
"10/14/2022","89.17","91.99","92.59","88.92","577.95K","-1.82%"
"10/13/2022","90.82","88.91","91.35","87.79","880.02K","0.46%"
"10/12/2022","90.40","90.76","90.86","89.63","864.11K","-0.40%"
"10/11/2022","90.76","89.28","91.78","88.72","1.03M","1.76%"
"10/10/2022","89.19","91.00","91.56","89.04","1.27M","-1.50%"
"10/07/2022","90.55","91.34","91.89","89.95","681.47K","-1.51%"
"10/06/2022","91.94","92.98","93.48","91.82","555.35K","-1.20%"
"10/05/2022","93.06","92.11","93.53","90.75","545.81K","-0.52%"
"10/04/2022","93.55","91.87","93.91","91.87","775.53K","2.70%"
"10/03/2022","91.09","92.21","92.47","90.18","805.47K","1.08%"
"09/30/2022","90.12","89.54","90.79","88.83","1.16M","1.50%"
"09/29/2022","88.79","89.96","90.08","86.92","844.27K","-2.24%"
"09/28/2022","90.82","89.15","91.14","88.12","612.73K","3.31%"
"09/27/2022","87.91","88.91","89.53","87.79","694.57K","-0.14%"
