"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","53.00","52.87","53.74","52.53","5.47M","-1.57%"
"02/02/2023","53.85","53.01","54.33","53.00","6.78M","1.42%"
"02/01/2023","53.09","52.15","53.58","51.42","9.16M","1.43%"
"01/31/2023","52.34","51.09","52.53","50.92","6.03M","2.53%"
"01/30/2023","51.05","52.34","52.40","50.92","5.25M","-3.13%"
"01/27/2023","52.70","51.90","53.13","51.71","5.26M","-0.96%"
"01/26/2023","53.21","53.33","54.57","51.94","6.41M","2.80%"
"01/25/2023","51.76","50.21","51.91","49.43","5.87M","1.31%"
"01/24/2023","51.09","50.47","51.45","50.10","4.68M","1.15%"
"01/23/2023","50.51","49.27","50.55","48.89","5.75M","2.52%"
"01/20/2023","49.27","48.55","49.35","48.50","5.37M","1.76%"
"01/19/2023","48.42","48.11","49.02","47.78","4.63M","0.08%"
"01/18/2023","48.38","50.68","51.52","48.31","4.89M","-3.43%"
"01/17/2023","50.10","48.76","50.45","48.43","5.43M","2.52%"
"01/13/2023","48.87","46.25","49.04","45.88","6.28M","0.97%"
"01/12/2023","48.40","48.13","48.63","47.19","4.93M","-0.82%"
"01/11/2023","48.80","48.84","49.06","48.15","4.11M","0.78%"
"01/10/2023","48.42","49.12","50.15","48.10","5.31M","-2.00%"
"01/09/2023","49.41","49.41","50.67","49.30","4.54M","1.48%"
"01/06/2023","48.69","48.32","48.86","47.08","5.22M","2.61%"
"01/05/2023","47.45","47.77","48.17","46.54","6.59M","-1.76%"
"01/04/2023","48.30","49.02","49.47","47.96","4.62M","-0.45%"
"01/03/2023","48.52","49.53","50.25","48.01","4.43M","-0.76%"
"12/30/2022","48.89","48.55","48.92","48.15","2.34M","-0.65%"
"12/29/2022","49.21","48.10","49.37","48.00","2.67M","2.82%"
"12/28/2022","47.86","48.49","49.03","47.79","2.63M","-1.42%"
"12/27/2022","48.55","48.44","49.23","47.90","2.78M","-0.37%"
"12/23/2022","48.73","48.97","49.22","48.29","2.96M","-0.85%"
"12/22/2022","49.15","49.64","49.99","48.45","4.82M","-1.72%"
"12/21/2022","50.01","50.30","50.30","47.04","6.67M","-0.91%"
"12/20/2022","50.47","49.52","50.73","49.26","4.31M","0.98%"
"12/19/2022","49.98","51.74","51.74","49.67","4.87M","-3.74%"
"12/16/2022","51.92","51.54","52.50","51.37","14.85M","-0.48%"
"12/15/2022","52.17","53.54","53.99","52.01","4.48M","-3.87%"
"12/14/2022","54.27","55.01","55.80","53.68","3.53M","-0.80%"
"12/13/2022","54.71","56.65","56.71","53.81","4.55M","1.99%"
"12/12/2022","53.64","52.46","54.06","52.30","3.69M","2.90%"
"12/09/2022","52.13","52.78","52.95","51.88","3.78M","-1.47%"
"12/08/2022","52.91","51.92","53.39","51.17","4.09M","2.54%"
"12/07/2022","51.60","50.74","51.77","50.37","3.16M","1.47%"
"12/06/2022","50.85","51.77","51.89","50.63","3.71M","-1.59%"
"12/05/2022","51.67","52.72","52.83","51.14","3.57M","-3.62%"
