"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","231.54","233.73","234.87","230.95","1.65M","0.06%"
"02/02/2023","231.41","228.31","232.56","227.56","1.53M","0.42%"
"02/01/2023","230.45","231.20","232.83","228.55","1.13M","-1.12%"
"01/31/2023","233.06","228.96","233.20","227.84","1.30M","2.19%"
"01/30/2023","228.07","228.65","230.10","226.37","1.13M","0.25%"
"01/27/2023","227.49","227.36","229.13","226.02","1.32M","-0.27%"
"01/26/2023","228.11","227.00","229.94","223.41","1.43M","0.54%"
"01/25/2023","226.88","224.86","229.13","220.33","2.73M","-3.64%"
"01/24/2023","235.45","232.00","235.72","230.49","1.40M","1.29%"
"01/23/2023","232.45","232.79","234.18","231.56","1.19M","-0.15%"
"01/20/2023","232.79","232.11","232.79","228.26","1.50M","0.54%"
"01/19/2023","231.55","235.82","236.98","231.48","1.17M","-2.30%"
"01/18/2023","237.00","241.20","242.00","236.76","1.67M","-1.72%"
"01/17/2023","241.14","240.85","242.82","239.90","1.34M","0.35%"
"01/13/2023","240.29","243.98","245.33","238.89","1.46M","-2.99%"
"01/12/2023","247.70","248.84","250.26","247.19","685.46K","-0.40%"
"01/11/2023","248.69","248.63","249.00","244.75","856.25K","0.46%"
"01/10/2023","247.54","246.24","248.92","245.72","1.21M","0.95%"
"01/09/2023","245.21","248.55","249.62","244.55","1.53M","-1.22%"
"01/06/2023","248.25","247.32","251.94","245.00","1.07M","1.48%"
"01/05/2023","244.62","244.55","246.47","243.79","908.72K","-0.24%"
"01/04/2023","245.22","247.49","248.76","242.96","1.03M","-1.36%"
"01/03/2023","248.60","247.85","249.41","246.32","744.07K","0.20%"
"12/30/2022","248.11","248.66","249.68","244.69","725.36K","-0.45%"
"12/29/2022","249.23","247.53","250.30","246.78","453.97K","0.92%"
"12/28/2022","246.97","249.24","250.00","246.92","382.21K","-0.71%"
"12/27/2022","248.74","249.24","249.79","247.84","579.43K","0.34%"
"12/23/2022","247.90","246.59","248.59","246.07","581.60K","0.53%"
"12/22/2022","246.59","248.50","250.00","242.54","612.45K","-1.35%"
"12/21/2022","249.97","248.14","250.48","246.93","700.92K","1.36%"
"12/20/2022","246.62","244.36","249.34","244.00","848.53K","0.95%"
"12/19/2022","244.30","246.00","249.88","243.64","1.10M","-0.75%"
"12/16/2022","246.14","244.38","247.28","242.68","2.12M","0.41%"
"12/15/2022","245.14","247.88","248.86","241.92","906.24K","-1.56%"
"12/14/2022","249.02","249.00","251.83","247.74","768.94K","0.12%"
"12/13/2022","248.73","253.00","253.94","247.50","976.21K","-0.36%"
"12/12/2022","249.62","247.86","249.66","246.37","741.43K","1.04%"
"12/09/2022","247.04","247.27","249.38","246.50","748.25K","-0.26%"
"12/08/2022","247.68","248.41","249.10","246.55","763.11K","0.60%"
