"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","21.30","23.11","23.21","21.10","8.02M","-9.63%"
"02/02/2023","23.57","23.56","23.74","23.25","4.03M","0.90%"
"02/01/2023","23.36","22.85","23.48","22.76","3.66M","1.52%"
"01/31/2023","23.01","22.71","23.04","22.54","4.54M","1.41%"
"01/30/2023","22.69","22.79","22.80","22.54","3.05M","-0.66%"
"01/27/2023","22.84","22.67","22.92","22.51","2.07M","0.57%"
"01/26/2023","22.71","22.73","22.89","22.52","2.96M","0.49%"
"01/25/2023","22.60","22.47","22.69","22.24","1.51M","-0.26%"
"01/24/2023","22.66","22.82","22.97","22.59","1.52M","-0.66%"
"01/23/2023","22.81","22.50","22.89","22.43","1.70M","1.69%"
"01/20/2023","22.43","21.89","22.47","21.79","3.58M","2.23%"
"01/19/2023","21.94","22.26","22.37","21.93","2.48M","-1.75%"
"01/18/2023","22.33","22.55","22.65","22.29","2.89M","-1.15%"
"01/17/2023","22.59","22.51","22.76","22.30","3.12M","0.98%"
"01/13/2023","22.37","21.78","22.44","21.72","2.17M","1.87%"
"01/12/2023","21.96","21.99","22.10","21.79","2.40M","-0.14%"
"01/11/2023","21.99","21.72","22.02","21.39","3.54M","1.81%"
"01/10/2023","21.60","21.54","21.71","21.34","2.75M","0.51%"
"01/09/2023","21.49","21.49","22.03","21.40","3.12M","-0.05%"
"01/06/2023","21.50","21.22","21.58","20.92","3.23M","1.90%"
"01/05/2023","21.10","21.53","21.56","20.93","3.31M","-3.52%"
"01/04/2023","21.87","21.73","21.94","21.49","2.59M","1.16%"
"01/03/2023","21.62","21.43","21.77","21.23","2.63M","0.89%"
"12/30/2022","21.43","21.16","21.45","21.00","1.76M","0.85%"
"12/29/2022","21.25","20.73","21.36","20.70","2.23M","1.77%"
"12/28/2022","20.88","21.45","21.57","20.87","2.23M","-2.57%"
"12/27/2022","21.43","21.30","21.50","21.21","1.91M","0.61%"
"12/23/2022","21.30","21.22","21.38","21.17","1.19M","-0.05%"
"12/22/2022","21.31","21.27","21.34","21.04","2.14M","-0.93%"
"12/21/2022","21.51","21.52","21.73","21.37","2.42M","0.09%"
"12/20/2022","21.49","21.50","21.63","21.30","3.11M","-0.42%"
"12/19/2022","21.58","21.72","21.81","21.34","4.49M","-0.14%"
"12/16/2022","21.61","21.83","21.84","21.39","10.51M","-1.46%"
"12/15/2022","21.93","22.89","22.93","21.84","3.29M","-4.61%"
"12/14/2022","22.99","23.18","23.29","22.80","2.28M","-0.09%"
"12/13/2022","23.01","23.41","23.62","22.87","3.03M","-0.52%"
"12/12/2022","23.13","22.55","23.15","22.53","2.24M","2.03%"
"12/09/2022","22.67","22.78","23.23","22.65","2.60M","-0.53%"
"12/08/2022","22.79","22.65","23.09","22.53","2.96M","0.62%"
"12/07/2022","22.65","23.12","23.37","22.59","3.19M","-2.08%"
"12/06/2022","23.13","23.70","23.72","23.02","3.03M","-1.99%"
"12/05/2022","23.60","23.70","23.72","23.43","3.12M","-0.84%"
"12/02/2022","23.80","23.39","23.92","23.31","3.28M","0.17%"
"12/01/2022","23.76","22.96","23.78","22.91","3.82M","3.48%"
"11/30/2022","22.96","22.45","23.12","21.75","20.25M","1.50%"
"11/29/2022","22.62","22.95","23.19","22.50","5.27M","-1.78%"
"11/28/2022","23.03","23.04","23.20","22.81","6.01M","-0.35%"
"11/25/2022","23.11","23.04","23.22","22.95","2.81M","0.35%"
"11/23/2022","23.03","22.44","23.37","22.44","2.72M","-0.35%"
