"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","84.50","84.65","86.97","83.62","12.85M","3.82%"
"02/02/2023","81.39","82.36","82.50","80.48","10.77M","-3.11%"
"02/01/2023","84.00","84.01","84.65","82.70","6.67M","0.07%"
"01/31/2023","83.94","83.52","84.21","83.22","9.62M","0.71%"
"01/30/2023","83.35","83.52","83.84","82.33","6.98M","-0.45%"
"01/27/2023","83.73","83.33","83.97","83.11","4.11M","0.13%"
"01/26/2023","83.62","83.76","83.81","82.61","3.67M","-0.54%"
"01/25/2023","84.07","84.15","84.55","83.56","3.89M","0.06%"
"01/24/2023","84.02","83.43","84.08","82.11","4.75M","0.95%"
"01/23/2023","83.23","82.76","84.38","82.42","5.67M","0.27%"
"01/20/2023","83.01","83.54","83.80","82.51","16.68M","-0.73%"
"01/19/2023","83.62","84.17","84.58","83.25","6.82M","-0.14%"
"01/18/2023","83.74","85.02","85.13","83.60","6.37M","-1.96%"
"01/17/2023","85.41","86.05","86.36","85.36","5.69M","-1.00%"
"01/13/2023","86.27","85.54","86.30","85.32","5.31M","0.64%"
"01/12/2023","85.72","86.50","86.59","85.08","6.01M","-1.69%"
"01/11/2023","87.19","87.12","87.20","86.02","5.88M","0.06%"
"01/10/2023","87.14","85.20","87.53","84.86","5.02M","2.40%"
"01/09/2023","85.10","87.77","87.90","84.95","5.43M","-3.38%"
"01/06/2023","88.08","86.61","88.29","86.22","5.94M","2.60%"
"01/05/2023","85.85","85.01","86.41","85.00","5.71M","0.41%"
"01/04/2023","85.50","86.20","86.50","84.94","5.71M","0.13%"
"01/03/2023","85.39","85.08","86.14","84.83","6.05M","-0.54%"
"12/30/2022","85.85","85.33","85.89","84.78","3.83M","0.69%"
"12/29/2022","85.26","84.91","85.57","84.61","3.46M","0.82%"
"12/28/2022","84.57","85.40","85.83","84.45","3.26M","-0.52%"
"12/27/2022","85.01","85.25","85.47","84.69","3.43M","0.31%"
"12/23/2022","84.75","85.22","85.25","84.28","3.96M","-0.62%"
"12/22/2022","85.28","85.25","85.47","84.37","4.70M","0.01%"
"12/21/2022","85.27","85.25","85.91","84.86","5.32M","0.59%"
"12/20/2022","84.77","83.64","85.26","81.81","10.84M","-1.91%"
"12/19/2022","86.42","86.00","86.62","85.43","5.82M","-0.39%"
"12/16/2022","86.76","86.34","87.12","85.80","28.31M","0.21%"
"12/15/2022","86.58","88.05","88.10","85.39","9.82M","-2.06%"
"12/14/2022","88.40","88.00","89.29","87.52","8.64M","-0.39%"
"12/13/2022","88.75","89.63","89.74","87.94","8.46M","0.24%"
"12/12/2022","88.54","87.85","88.56","87.43","5.57M","0.65%"
"12/09/2022","87.97","89.26","89.26","87.79","8.28M","-1.68%"
"12/08/2022","89.47","87.87","89.61","87.56","6.39M","1.91%"
"12/07/2022","87.79","88.03","88.55","87.36","8.82M","-0.19%"
"12/06/2022","87.96","87.99","88.67","87.14","6.74M","-0.02%"
"12/05/2022","87.98","87.84","89.10","87.47","6.75M","-1.18%"
"12/02/2022","89.03","86.70","89.07","86.55","6.73M","1.29%"
"12/01/2022","87.90","88.20","88.96","87.72","8.22M","0.08%"
"11/30/2022","87.83","85.75","88.15","85.01","14.66M","2.41%"
"11/29/2022","85.76","85.50","85.87","84.71","6.16M","0.65%"
"11/28/2022","85.21","86.92","88.20","85.08","9.25M","-1.22%"
"11/25/2022","86.26","85.04","86.41","84.76","4.03M","0.98%"
"11/23/2022","85.42","85.06","85.94","85.01","4.68M","0.22%"
"11/22/2022","85.23","84.65","86.15","84.54","7.36M","1.04%"
"11/21/2022","84.35","83.76","85.17","83.64","6.35M","0.87%"
"11/18/2022","83.62","83.63","84.06","82.99","7.28M","0.00%"
"11/17/2022","83.62","82.55","83.83","82.47","5.76M","0.89%"
"11/16/2022","82.88","82.68","83.44","82.54","6.28M","-0.14%"
"11/15/2022","83.00","83.14","83.64","81.98","7.12M","0.18%"
"11/14/2022","82.85","81.65","84.14","81.23","7.67M","1.26%"
"11/11/2022","81.82","81.41","81.98","80.07","11.41M","-0.94%"
"11/10/2022","82.60","83.50","83.80","81.56","9.40M","0.34%"
"11/09/2022","82.32","82.50","83.55","82.18","10.32M","0.11%"
"11/08/2022","82.23","80.60","83.80","80.08","9.34M","0.95%"
"11/07/2022","81.46","79.56","81.56","79.51","8.99M","1.39%"
"11/04/2022","80.34","79.14","81.32","78.39","9.10M","1.11%"
"11/03/2022","79.46","77.32","79.57","77.16","8.26M","2.03%"
"11/02/2022","77.88","78.18","80.00","77.81","9.79M","-1.84%"
"11/01/2022","79.34","78.26","79.55","77.66","10.55M","1.12%"
"10/31/2022","78.46","78.06","79.37","77.53","14.67M","-1.02%"
"10/28/2022","79.27","74.36","79.61","73.99","27.67M","12.92%"
"10/27/2022","70.20","70.85","71.25","70.14","8.88M","-0.88%"
"10/26/2022","70.82","70.00","71.41","69.88","8.76M","1.75%"
"10/25/2022","69.60","68.84","69.71","68.48","6.71M","0.87%"
"10/24/2022","69.00","68.11","69.37","68.09","7.13M","1.78%"
"10/21/2022","67.79","66.18","67.94","66.11","7.81M","2.46%"
"10/20/2022","66.16","66.16","66.54","65.70","6.38M","-0.05%"
"10/19/2022","66.19","66.85","66.97","65.85","7.06M","-1.02%"
"10/18/2022","66.87","66.54","67.07","66.44","6.80M","0.74%"
"10/17/2022","66.38","66.84","66.93","65.94","5.80M","0.32%"
"10/14/2022","66.17","66.63","67.00","66.02","7.89M","-0.44%"
"10/13/2022","66.46","64.46","66.95","64.10","7.69M","1.64%"
"10/12/2022","65.39","65.85","66.37","65.31","6.41M","-0.43%"
