"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","35.74","35.90","36.44","35.64","3.57M","-1.52%"
"02/02/2023","36.29","35.49","36.33","34.98","4.85M","2.86%"
"02/01/2023","35.28","34.52","35.59","34.22","6.85M","1.94%"
"01/31/2023","34.61","36.39","36.39","34.42","14.06M","-4.89%"
"01/30/2023","36.39","36.62","37.10","36.33","6.25M","-1.11%"
"01/27/2023","36.80","36.33","37.04","36.29","4.59M","1.02%"
"01/26/2023","36.43","35.72","36.44","35.72","4.74M","2.45%"
"01/25/2023","35.56","35.49","35.64","35.03","4.30M","-0.70%"
"01/24/2023","35.81","36.05","36.21","35.48","3.47M","-0.83%"
"01/23/2023","36.11","35.97","36.53","35.87","4.70M","0.75%"
"01/20/2023","35.84","35.78","36.00","35.04","5.98M","0.25%"
"01/19/2023","35.75","35.54","35.97","35.42","3.31M","-0.53%"
"01/18/2023","35.94","36.08","36.58","35.85","3.01M","-0.03%"
"01/17/2023","35.95","36.08","36.43","35.95","4.56M","-0.33%"
"01/13/2023","36.07","36.34","36.37","36.04","3.64M","-1.29%"
"01/12/2023","36.54","36.54","36.94","36.31","4.31M","0.36%"
"01/11/2023","36.41","36.00","36.42","35.75","3.59M","1.59%"
"01/10/2023","35.84","35.42","35.98","35.38","3.13M","1.19%"
"01/09/2023","35.42","35.57","35.76","35.28","6.84M","0.11%"
"01/06/2023","35.38","34.85","35.63","34.80","5.31M","2.88%"
"01/05/2023","34.39","33.88","34.51","33.65","5.26M","0.82%"
"01/04/2023","34.11","33.52","34.19","33.19","5.80M","4.82%"
"01/03/2023","32.54","32.14","32.55","31.94","3.55M","1.88%"
"12/30/2022","31.94","31.78","31.98","31.58","2.59M","-0.13%"
"12/29/2022","31.98","31.70","32.17","31.64","2.14M","1.78%"
"12/28/2022","31.42","31.82","32.03","31.37","1.92M","-1.50%"
"12/27/2022","31.90","31.80","31.98","31.65","1.53M","0.47%"
"12/23/2022","31.75","31.46","31.83","31.31","1.99M","0.57%"
"12/22/2022","31.57","31.71","31.78","30.93","3.02M","-1.44%"
"12/21/2022","32.03","31.75","32.16","31.66","2.78M","1.52%"
"12/20/2022","31.55","31.62","31.88","31.39","3.93M","-0.63%"
"12/19/2022","31.75","32.37","32.50","31.58","5.00M","-1.70%"
"12/16/2022","32.30","32.45","32.57","31.81","9.87M","-1.49%"
"12/15/2022","32.79","33.23","33.30","32.69","3.72M","-2.79%"
"12/14/2022","33.73","33.90","34.36","33.36","4.08M","-0.76%"
"12/13/2022","33.99","34.22","34.44","33.72","3.03M","1.49%"
"12/12/2022","33.49","32.88","33.56","32.81","3.98M","1.42%"
"12/09/2022","33.02","33.29","33.52","32.92","4.74M","-0.90%"
"12/08/2022","33.32","33.30","33.48","33.11","2.32M","0.60%"
"12/07/2022","33.12","33.12","33.42","32.99","2.18M","-0.48%"
"12/06/2022","33.28","33.49","33.51","32.94","2.98M","-0.66%"
"12/05/2022","33.50","33.73","33.78","33.39","3.18M","-1.47%"
"12/02/2022","34.00","33.80","34.01","33.60","3.12M","-0.70%"
"12/01/2022","34.24","34.34","34.74","34.12","4.39M","0.32%"
"11/30/2022","34.13","33.44","34.20","32.99","7.80M","2.16%"
"11/29/2022","33.41","33.21","33.52","32.88","3.19M","0.91%"
"11/28/2022","33.11","33.79","33.80","32.89","5.44M","-2.96%"
"11/25/2022","34.12","34.01","34.37","34.00","1.41M","0.59%"
"11/23/2022","33.92","33.99","34.23","33.51","3.66M","-0.18%"
"11/22/2022","33.98","33.82","34.25","33.80","3.40M","0.95%"
"11/21/2022","33.66","33.74","33.85","33.47","3.04M","-0.68%"
"11/18/2022","33.89","33.70","34.03","33.65","3.32M","1.80%"
"11/17/2022","33.29","32.66","33.31","32.65","2.86M","-0.57%"
"11/16/2022","33.48","34.20","34.20","33.17","4.38M","-2.56%"
"11/15/2022","34.36","34.48","34.81","33.72","4.64M","1.09%"
"11/14/2022","33.99","34.32","34.79","33.95","4.86M","-1.36%"
"11/11/2022","34.46","34.17","34.88","34.00","3.78M","1.65%"
"11/10/2022","33.90","33.90","33.96","33.17","5.41M","5.74%"
"11/09/2022","32.06","32.79","32.92","31.97","4.37M","-2.79%"
"11/08/2022","32.98","33.35","33.53","32.58","4.57M","-0.30%"
"11/07/2022","33.08","33.17","33.22","32.65","3.26M","0.58%"
"11/04/2022","32.89","32.56","33.01","32.37","3.74M","3.17%"
"11/03/2022","31.88","31.28","32.15","31.07","3.55M","0.41%"
"11/02/2022","31.75","32.46","32.93","31.74","3.87M","-2.49%"
"11/01/2022","32.56","32.56","32.67","31.97","4.01M","1.21%"
"10/31/2022","32.17","32.26","32.31","31.93","4.12M","-0.98%"
"10/28/2022","32.49","32.26","32.62","32.13","3.52M","1.18%"
"10/27/2022","32.11","32.64","32.93","31.97","4.85M","-0.86%"
"10/26/2022","32.39","31.43","32.61","31.33","7.36M","2.08%"
"10/25/2022","31.73","29.83","31.78","29.63","15.60M","-1.86%"
"10/24/2022","32.33","32.21","32.45","31.79","7.77M","0.43%"
"10/21/2022","32.19","30.97","32.30","30.82","14.46M","4.17%"
"10/20/2022","30.90","31.51","32.10","30.69","5.43M","-1.65%"
"10/19/2022","31.42","31.05","31.58","31.03","3.72M","-0.25%"
"10/18/2022","31.50","32.00","32.10","31.12","5.38M","0.77%"
"10/17/2022","31.26","30.85","31.51","30.82","5.79M","3.51%"
"10/14/2022","30.20","31.00","31.17","30.04","4.64M","-1.24%"
"10/13/2022","30.58","29.31","30.86","29.16","5.87M","1.66%"
"10/12/2022","30.08","29.93","30.36","29.77","3.60M","0.60%"
"10/11/2022","29.90","29.84","30.37","29.53","3.86M","-0.76%"
"10/10/2022","30.13","30.66","30.76","30.03","3.44M","-1.08%"
"10/07/2022","30.46","31.00","31.08","30.21","4.18M","-3.27%"
"10/06/2022","31.49","31.33","31.60","31.17","4.71M","0.54%"
"10/05/2022","31.32","31.10","31.49","30.82","3.97M","-0.67%"
"10/04/2022","31.53","30.58","31.58","30.46","6.73M","5.56%"
"10/03/2022","29.87","29.38","30.00","29.13","4.15M","2.93%"
"09/30/2022","29.02","29.50","29.92","28.98","4.34M","-2.03%"
"09/29/2022","29.62","29.55","29.78","29.22","4.57M","-1.04%"
"09/28/2022","29.93","29.57","30.00","29.37","6.08M","1.46%"
"09/27/2022","29.50","30.14","30.31","29.17","4.71M","-1.30%"
"09/26/2022","29.89","30.05","30.53","29.87","3.59M","-1.39%"
"09/23/2022","30.31","30.42","30.60","29.89","3.84M","-1.33%"
"09/22/2022","30.72","31.05","31.28","30.61","4.24M","-1.09%"
"09/21/2022","31.06","31.85","32.06","31.06","3.84M","-2.02%"
"09/20/2022","31.70","32.08","32.10","31.55","3.43M","-2.07%"
"09/19/2022","32.37","31.75","32.41","31.70","3.78M","0.97%"
"09/16/2022","32.06","32.24","32.33","31.85","9.53M","-1.69%"
"09/15/2022","32.61","32.79","33.06","32.36","5.70M","-0.94%"
"09/14/2022","32.92","32.86","33.03","32.43","5.31M","0.00%"
"09/13/2022","32.92","33.49","33.62","32.78","4.59M","-4.08%"
"09/12/2022","34.32","33.94","34.34","33.86","5.96M","2.02%"
"09/09/2022","33.64","33.50","33.75","33.14","3.78M","1.60%"
"09/08/2022","33.11","32.76","33.38","32.25","9.25M","0.36%"
"09/07/2022","32.99","32.95","33.48","32.83","6.93M","0.61%"
"09/06/2022","32.79","33.26","33.31","32.69","3.84M","-1.09%"
"09/02/2022","33.15","34.31","34.50","32.91","6.73M","-2.13%"
"09/01/2022","33.87","34.15","34.21","33.35","4.16M","-1.31%"
"08/31/2022","34.32","34.67","34.89","34.32","7.61M","-0.58%"
"08/30/2022","34.52","34.37","34.72","34.23","4.94M","0.47%"
"08/29/2022","34.36","34.29","34.74","34.17","3.69M","-0.81%"
"08/26/2022","34.64","35.82","35.90","34.57","4.84M","-3.38%"
"08/25/2022","35.85","35.25","35.87","35.18","2.81M","2.49%"
"08/24/2022","34.98","34.95","35.19","34.62","6.09M","-0.17%"
"08/23/2022","35.04","35.03","35.44","34.96","2.90M","-0.28%"
"08/22/2022","35.14","35.63","35.73","35.05","3.81M","-2.90%"
"08/19/2022","36.19","36.56","36.58","36.00","3.68M","-1.82%"
"08/18/2022","36.86","36.49","36.99","36.35","2.40M","1.32%"
"08/17/2022","36.38","36.93","36.96","35.74","6.21M","-2.68%"
"08/16/2022","37.38","36.99","37.67","36.91","2.33M","0.54%"
"08/15/2022","37.18","37.30","37.73","37.12","2.74M","-0.96%"
"08/12/2022","37.54","37.35","37.56","37.24","2.15M","1.08%"
"08/11/2022","37.14","37.00","37.71","37.00","3.94M","0.92%"
"08/10/2022","36.80","36.10","36.85","36.10","4.04M","4.01%"
"08/09/2022","35.38","35.75","35.90","35.29","3.93M","-1.45%"
"08/08/2022","35.90","36.04","36.28","35.82","2.27M","0.28%"
"08/05/2022","35.80","36.09","36.28","35.69","4.65M","-1.89%"
"08/04/2022","36.49","36.54","36.59","36.22","3.16M","-0.03%"
"08/03/2022","36.50","36.30","36.64","36.10","2.75M","1.08%"
"08/02/2022","36.11","36.25","36.53","36.01","3.62M","-0.77%"
"08/01/2022","36.39","36.33","36.88","36.23","3.56M","-1.01%"
"07/29/2022","36.76","36.35","36.93","36.15","5.56M","1.30%"
"07/28/2022","36.29","36.04","36.69","35.96","4.24M","0.95%"
"07/27/2022","35.95","35.01","36.51","34.80","6.20M","2.89%"
"07/26/2022","34.94","33.61","35.02","33.28","7.67M","1.30%"
"07/25/2022","34.49","34.50","34.90","34.06","9.17M","0.35%"
"07/22/2022","34.37","34.84","34.92","34.04","4.48M","-1.38%"
"07/21/2022","34.85","34.33","34.85","34.25","3.88M","1.25%"
"07/20/2022","34.42","34.06","34.47","33.97","3.14M","0.67%"
"07/19/2022","34.19","33.23","34.24","33.18","4.68M","4.33%"
"07/18/2022","32.77","33.41","33.76","32.64","4.80M","-1.30%"
"07/15/2022","33.20","32.48","33.29","32.24","4.13M","3.78%"
"07/14/2022","31.99","31.77","32.05","31.33","5.25M","-0.78%"
"07/13/2022","32.24","31.76","32.42","31.70","2.82M","-0.37%"
"07/12/2022","32.36","32.42","33.10","32.20","2.86M","-0.28%"
"07/11/2022","32.45","32.33","32.64","32.16","3.19M","-0.49%"
"07/08/2022","32.61","32.62","32.81","32.22","2.63M","-0.15%"
"07/07/2022","32.66","32.16","32.84","32.14","4.17M","2.35%"
"07/06/2022","31.91","31.69","32.19","31.51","3.30M","0.82%"
"07/05/2022","31.65","30.95","31.68","30.63","3.82M","-0.81%"
"07/01/2022","31.91","31.37","31.94","30.70","4.71M","1.27%"
"06/30/2022","31.51","31.82","32.00","31.27","7.29M","-2.69%"
"06/29/2022","32.38","32.58","32.75","31.97","3.99M","-0.37%"
"06/28/2022","32.50","33.47","33.78","32.47","3.74M","-2.37%"
"06/27/2022","33.29","33.01","33.76","32.53","5.22M","1.62%"
"06/24/2022","32.76","31.97","32.79","31.90","8.75M","3.64%"
"06/23/2022","31.61","31.64","31.72","31.24","4.41M","0.19%"
"06/22/2022","31.55","31.75","32.18","31.54","3.76M","-1.77%"
"06/21/2022","32.12","32.49","32.65","31.94","4.13M","0.75%"
"06/17/2022","31.88","31.47","32.37","31.02","11.79M","1.63%"
"06/16/2022","31.37","31.76","31.92","30.95","7.33M","-4.18%"
"06/15/2022","32.74","32.40","33.08","32.06","6.84M","1.99%"
"06/14/2022","32.10","32.08","32.65","31.86","6.16M","0.50%"
"06/13/2022","31.94","32.41","32.61","31.58","5.15M","-4.03%"
"06/10/2022","33.28","33.79","33.82","33.08","3.99M","-2.86%"
"06/09/2022","34.26","35.41","35.41","34.23","5.37M","-4.36%"
"06/08/2022","35.82","35.69","35.85","35.43","3.81M","-0.06%"
"06/07/2022","35.84","35.42","35.88","35.02","3.02M","-0.14%"
"06/06/2022","35.89","36.21","36.53","35.72","2.54M","0.14%"
"06/03/2022","35.84","36.14","36.37","35.65","3.50M","-1.84%"
"06/02/2022","36.51","35.50","36.53","35.25","3.84M","3.02%"
"06/01/2022","35.44","35.99","36.16","35.22","3.26M","-1.06%"
"05/31/2022","35.82","35.45","36.24","35.01","6.62M","0.48%"
"05/27/2022","35.65","35.29","35.69","35.01","4.26M","1.22%"
"05/26/2022","35.22","34.08","35.31","34.04","7.75M","4.51%"
"05/25/2022","33.70","33.01","33.83","32.94","5.13M","1.29%"
"05/24/2022","33.27","33.60","33.72","32.47","6.12M","-1.45%"
"05/23/2022","33.76","32.89","34.01","32.88","5.44M","1.90%"
"05/20/2022","33.13","34.02","34.05","32.24","6.05M","-1.16%"
"05/19/2022","33.52","33.73","34.15","33.19","5.56M","-1.59%"
"05/18/2022","34.06","35.83","35.83","33.81","7.81M","-6.14%"
"05/17/2022","36.29","35.75","36.33","35.67","4.12M","3.10%"
"05/16/2022","35.20","35.33","35.53","34.59","4.07M","-0.96%"
"05/13/2022","35.54","35.50","35.73","35.04","4.05M","0.94%"
"05/12/2022","35.21","34.71","35.24","34.49","5.02M","0.95%"
"05/11/2022","34.88","35.55","36.07","34.83","5.45M","-3.11%"
"05/10/2022","36.00","36.23","36.41","35.31","4.90M","0.67%"
"05/09/2022","35.76","36.26","36.72","35.61","5.16M","-2.98%"
"05/06/2022","36.86","36.39","37.02","35.83","4.86M","0.90%"
"05/05/2022","36.53","36.78","36.92","35.96","4.58M","-1.99%"
"05/04/2022","37.27","36.26","37.31","35.97","4.59M","3.16%"
"05/03/2022","36.13","36.04","36.43","35.81","3.99M","0.47%"
"05/02/2022","35.96","35.19","35.99","35.00","6.27M","2.19%"
"04/29/2022","35.19","36.13","36.67","35.11","5.10M","-3.32%"
"04/28/2022","36.40","36.50","36.70","35.72","5.69M","0.91%"
"04/27/2022","36.07","35.58","36.27","34.85","9.75M","1.61%"
"04/26/2022","35.50","36.20","36.75","35.23","11.68M","3.14%"
"04/25/2022","34.42","33.58","34.45","33.21","8.56M","1.83%"
"04/22/2022","33.80","34.48","34.60","33.69","6.40M","-2.42%"
"04/21/2022","34.64","35.20","35.38","34.50","4.53M","-0.09%"
"04/20/2022","34.67","35.00","35.30","34.60","4.96M","-0.12%"
"04/19/2022","34.71","33.99","34.77","33.95","5.41M","2.48%"
"04/18/2022","33.87","33.73","34.12","33.56","3.73M","0.53%"
"04/14/2022","33.69","33.94","34.06","33.61","4.15M","-0.53%"
"04/13/2022","33.87","33.52","33.90","33.52","3.28M","0.95%"
"04/12/2022","33.55","33.85","34.19","33.51","4.11M","-0.36%"
"04/11/2022","33.67","33.97","34.31","33.58","3.76M","-1.23%"
"04/08/2022","34.09","34.42","34.52","33.94","5.12M","-0.93%"
"04/07/2022","34.41","34.56","34.69","33.75","5.69M","-1.46%"
"04/06/2022","34.92","35.22","35.29","34.68","4.93M","-2.10%"
"04/05/2022","35.67","36.33","36.45","35.53","3.99M","-2.51%"
"04/04/2022","36.59","36.34","36.67","36.02","3.46M","0.63%"
"04/01/2022","36.36","37.27","37.27","35.92","3.55M","-1.49%"
"03/31/2022","36.91","37.32","37.46","36.90","5.09M","-1.78%"
"03/30/2022","37.58","38.16","38.28","37.26","6.19M","-1.93%"
"03/29/2022","38.32","38.35","38.52","38.11","3.80M","0.97%"
"03/28/2022","37.95","38.25","38.26","37.44","2.99M","-1.09%"
"03/25/2022","38.37","38.50","38.71","38.17","2.94M","0.05%"
"03/24/2022","38.35","37.76","38.52","37.58","5.61M","2.13%"
"03/23/2022","37.55","38.20","38.45","37.46","3.13M","-2.06%"
"03/22/2022","38.34","38.10","38.44","37.87","6.08M","1.43%"
