"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","41.13","40.65","41.99","40.31","18.57M","-0.89%"
"02/02/2023","41.50","40.28","42.05","39.92","28.54M","5.60%"
"02/01/2023","39.30","39.45","39.84","38.56","25.40M","-0.05%"
"01/31/2023","39.32","38.93","39.73","38.33","47.40M","8.35%"
"01/30/2023","36.29","36.75","37.28","36.22","23.14M","-4.37%"
"01/27/2023","37.95","36.58","38.24","36.44","22.00M","4.03%"
"01/26/2023","36.48","36.99","37.18","36.23","19.51M","0.44%"
"01/25/2023","36.32","35.99","36.55","35.38","13.64M","0.33%"
"01/24/2023","36.20","36.00","36.66","35.82","11.95M","-0.66%"
"01/23/2023","36.44","35.69","36.60","35.53","16.63M","3.08%"
"01/20/2023","35.35","35.68","36.01","35.28","17.19M","-1.06%"
"01/19/2023","35.73","35.65","36.02","35.13","11.28M","-1.95%"
"01/18/2023","36.44","37.06","37.53","36.42","11.25M","-0.46%"
"01/17/2023","36.61","36.50","37.14","36.21","13.32M","0.27%"
"01/13/2023","36.51","36.48","36.73","35.81","21.24M","-4.75%"
"01/12/2023","38.33","38.14","38.61","37.83","15.31M","1.35%"
"01/11/2023","37.82","37.35","38.11","37.15","15.18M","1.91%"
"01/10/2023","37.11","36.14","37.14","35.90","10.27M","3.31%"
"01/09/2023","35.92","36.53","36.84","35.85","11.60M","0.03%"
"01/06/2023","35.91","34.69","36.01","34.55","9.78M","2.60%"
"01/05/2023","35.00","34.20","35.44","34.12","11.93M","0.89%"
"01/04/2023","34.69","34.29","34.94","34.09","11.32M","2.57%"
"01/03/2023","33.82","34.01","34.34","33.40","11.65M","0.54%"
"12/30/2022","33.64","33.33","33.76","33.23","11.81M","-0.09%"
"12/29/2022","33.67","32.82","33.67","32.82","11.50M","3.50%"
"12/28/2022","32.53","33.32","33.50","32.51","9.50M","-2.37%"
"12/27/2022","33.32","33.52","33.75","33.02","9.86M","-1.51%"
"12/23/2022","33.83","33.68","33.88","33.18","10.62M","0.89%"
"12/22/2022","33.53","35.17","35.18","33.28","20.14M","-6.60%"
"12/21/2022","35.90","35.72","36.03","35.47","9.89M","1.99%"
"12/20/2022","35.20","35.26","35.58","34.78","10.93M","-0.62%"
"12/19/2022","35.42","36.28","36.40","35.36","12.23M","-2.02%"
"12/16/2022","36.15","37.03","37.20","35.87","27.53M","-3.91%"
"12/15/2022","37.62","37.79","37.80","37.19","11.18M","-1.93%"
"12/14/2022","38.36","38.74","39.09","37.96","11.96M","-1.06%"
"12/13/2022","38.77","39.66","40.01","38.53","12.14M","0.73%"
"12/12/2022","38.49","38.32","38.67","38.02","12.95M","0.55%"
"12/09/2022","38.28","37.85","38.56","37.78","8.87M","0.21%"
"12/08/2022","38.20","38.07","38.26","37.60","8.60M","0.63%"
"12/07/2022","37.96","37.67","38.33","37.56","11.36M","-0.16%"
"12/06/2022","38.02","38.93","39.09","37.35","12.77M","-1.99%"
"12/05/2022","38.79","39.47","39.62","38.69","7.53M","-2.78%"
"12/02/2022","39.90","39.86","40.14","39.55","9.22M","-1.31%"
"12/01/2022","40.43","40.77","41.38","40.42","12.34M","-0.32%"
"11/30/2022","40.56","39.98","40.56","39.23","14.81M","2.04%"
"11/29/2022","39.75","39.62","40.04","39.54","10.58M","0.94%"
"11/28/2022","39.38","39.92","40.37","39.31","19.40M","-2.67%"
"11/25/2022","40.46","39.81","40.47","39.81","4.62M","0.87%"
"11/23/2022","40.11","39.85","40.20","39.57","9.10M","0.35%"
"11/22/2022","39.97","39.89","40.27","39.63","8.39M","1.14%"
"11/21/2022","39.52","39.44","39.72","39.00","12.28M","-0.63%"
"11/18/2022","39.77","39.50","39.99","39.04","22.85M","2.92%"
"11/17/2022","38.64","38.03","39.60","37.47","26.01M","0.44%"
"11/16/2022","38.47","39.75","39.86","38.47","12.03M","-4.40%"
