"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","122.44","124.24","128.00","121.79","1.67M","-6.51%"
"02/02/2023","130.96","129.20","133.00","125.86","2.20M","3.49%"
"02/01/2023","126.54","120.10","127.05","118.77","1.91M","4.93%"
"01/31/2023","120.60","114.24","120.61","113.59","1.33M","6.59%"
"01/30/2023","113.14","115.17","115.64","112.46","1.25M","-3.87%"
"01/27/2023","117.70","112.75","118.86","112.40","1.06M","4.19%"
"01/26/2023","112.97","112.53","114.73","111.19","999.81K","1.58%"
"01/25/2023","111.21","111.20","111.52","107.14","1.25M","-2.78%"
"01/24/2023","114.39","114.50","116.24","112.00","924.78K","-1.43%"
"01/23/2023","116.05","110.03","116.21","108.10","1.28M","6.97%"
"01/20/2023","108.49","106.65","109.08","105.02","1.37M","3.01%"
"01/19/2023","105.32","112.00","112.49","104.68","1.80M","-7.54%"
"01/18/2023","113.91","115.73","117.00","113.20","967.64K","-0.52%"
"01/17/2023","114.50","113.34","115.18","111.85","1.14M","0.74%"
"01/13/2023","113.66","111.09","114.60","110.60","1.14M","0.10%"
"01/12/2023","113.55","112.50","113.56","108.05","1.29M","1.67%"
"01/11/2023","111.68","110.19","111.87","108.90","1.69M","1.94%"
"01/10/2023","109.56","104.00","109.61","103.97","1.68M","4.60%"
"01/09/2023","104.74","102.51","107.40","101.75","1.66M","3.96%"
"01/06/2023","100.75","99.60","101.57","96.58","1.40M","2.52%"
"01/05/2023","98.27","99.95","100.76","97.24","1.56M","-3.58%"
"01/04/2023","101.92","99.85","103.14","98.38","1.82M","4.31%"
"01/03/2023","97.71","102.69","103.33","96.60","1.70M","-2.93%"
"12/30/2022","100.66","99.33","100.83","97.34","1.87M","0.02%"
"12/29/2022","100.64","97.24","102.73","95.89","2.86M","4.57%"
"12/28/2022","96.24","93.55","96.62","92.43","3.37M","5.58%"
"12/27/2022","91.15","92.42","92.42","88.84","1.18M","-1.13%"
"12/23/2022","92.19","90.00","92.24","89.21","1.29M","2.67%"
"12/22/2022","89.79","90.85","91.27","86.29","2.09M","-2.49%"
"12/21/2022","92.08","91.63","92.13","88.05","2.12M","1.26%"
"12/20/2022","90.93","90.02","93.25","88.53","1.33M","-0.87%"
"12/19/2022","91.73","94.40","97.10","90.65","2.01M","-3.12%"
"12/16/2022","94.68","91.94","95.17","91.32","3.41M","1.94%"
"12/15/2022","92.88","98.31","99.30","91.93","2.53M","-8.18%"
"12/14/2022","101.15","98.50","104.54","98.50","2.02M","2.38%"
"12/13/2022","98.80","99.36","102.75","97.96","2.64M","2.92%"
"12/12/2022","96.00","91.95","96.38","91.59","1.56M","3.59%"
"12/09/2022","92.67","92.40","95.26","92.20","1.29M","-0.04%"
"12/08/2022","92.71","91.65","93.33","89.90","1.48M","2.17%"
"12/07/2022","90.74","93.62","94.73","89.90","1.65M","-3.76%"
"12/06/2022","94.29","97.65","97.99","92.78","2.20M","-2.39%"
"12/05/2022","96.60","99.72","100.72","96.60","2.20M","-4.07%"
"12/02/2022","100.70","101.00","105.39","100.55","1.49M","-2.32%"
"12/01/2022","103.09","105.20","106.00","101.00","1.83M","-2.30%"
"11/30/2022","105.52","101.70","105.52","99.78","2.38M","4.83%"
"11/29/2022","100.66","97.50","104.32","97.12","2.43M","-1.37%"
"11/28/2022","102.06","104.11","105.79","100.85","1.76M","-3.03%"
"11/25/2022","105.25","106.31","106.74","104.68","864.43K","-1.65%"
"11/23/2022","107.02","106.59","108.64","105.44","958.37K","0.56%"
"11/22/2022","106.42","102.69","106.61","102.37","1.22M","3.75%"
"11/21/2022","102.57","100.32","102.90","100.01","1.39M","-0.29%"
"11/18/2022","102.87","103.94","104.22","100.94","1.58M","1.45%"
"11/17/2022","101.40","101.10","101.76","99.23","1.67M","-2.31%"
"11/16/2022","103.80","106.02","107.08","102.18","1.74M","-3.62%"
"11/15/2022","107.70","110.81","114.39","107.14","2.15M","0.60%"
"11/14/2022","107.06","112.82","115.19","106.97","1.83M","-6.15%"
"11/11/2022","114.08","109.47","115.89","107.75","2.06M","3.80%"
"11/10/2022","109.90","103.50","110.02","103.50","3.17M","13.33%"
"11/09/2022","96.97","100.99","102.18","96.67","1.92M","-6.15%"
