"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","168.29","170.54","170.90","168.26","847.93K","-1.44%"
"02/02/2023","170.75","168.54","170.92","167.65","1.18M","1.29%"
"02/01/2023","168.57","167.17","169.20","165.73","857.57K","0.45%"
"01/31/2023","167.82","167.15","167.83","165.90","938.81K","0.73%"
"01/30/2023","166.61","165.88","167.75","165.84","661.99K","0.40%"
"01/27/2023","165.94","168.14","168.14","165.15","832.86K","-1.22%"
"01/26/2023","167.99","167.00","168.19","166.37","716.49K","0.91%"
"01/25/2023","166.47","164.65","166.63","163.93","653.21K","0.62%"
"01/24/2023","165.44","163.10","166.75","162.05","811.91K","1.68%"
"01/23/2023","162.70","162.69","163.93","161.30","761.27K","0.59%"
"01/20/2023","161.74","161.81","162.05","159.98","1.35M","0.23%"
"01/19/2023","161.37","165.79","165.79","161.27","1.02M","-2.91%"
"01/18/2023","166.20","169.03","170.00","165.89","834.70K","-1.39%"
"01/17/2023","168.54","170.17","170.66","168.07","793.22K","-0.60%"
"01/13/2023","169.56","168.22","170.10","168.10","1.08M","0.36%"
"01/12/2023","168.95","169.34","169.67","167.54","1.04M","-0.12%"
"01/11/2023","169.16","170.15","171.21","169.04","1.15M","-0.35%"
"01/10/2023","169.75","170.55","170.99","168.09","883.09K","-0.39%"
"01/09/2023","170.41","171.27","173.04","170.23","874.14K","-0.25%"
"01/06/2023","170.84","170.05","171.34","169.05","1.04M","1.35%"
"01/05/2023","168.57","171.58","171.70","167.40","987.91K","-1.96%"
"01/04/2023","171.94","169.71","172.35","169.52","1.13M","1.25%"
"01/03/2023","169.81","173.18","173.18","168.92","1.91M","-2.13%"
"12/30/2022","173.51","174.80","174.80","172.08","680.81K","-0.99%"
"12/29/2022","175.24","175.70","176.48","174.93","454.68K","0.03%"
"12/28/2022","175.19","177.29","178.36","175.11","426.30K","-1.18%"
"12/27/2022","177.29","177.30","178.25","176.60","538.78K","0.41%"
"12/23/2022","176.57","174.99","176.59","174.07","385.22K","0.90%"
"12/22/2022","174.99","176.73","176.89","173.45","615.62K","-1.67%"
"12/21/2022","177.96","176.60","178.58","175.90","494.30K","1.33%"
"12/20/2022","175.63","176.11","176.93","175.19","712.14K","-0.14%"
"12/19/2022","175.87","177.14","177.84","174.88","604.84K","-0.53%"
"12/16/2022","176.81","177.04","178.08","174.65","1.66M","-1.09%"
"12/15/2022","178.76","177.93","179.13","176.94","888.49K","-0.18%"
"12/14/2022","179.08","178.40","180.96","177.55","851.29K","0.58%"
"12/13/2022","178.05","184.80","184.80","177.15","1.39M","-2.18%"
"12/12/2022","182.02","178.43","182.02","177.29","1.10M","-0.13%"
"12/09/2022","182.26","184.55","185.74","181.94","910.39K","-1.82%"
"12/08/2022","185.63","183.73","186.30","183.52","968.12K","1.51%"
"12/07/2022","182.86","182.40","184.74","181.93","771.81K","0.11%"
"12/06/2022","182.66","184.87","186.50","180.88","951.88K","-1.22%"
"12/05/2022","184.92","185.65","185.68","183.20","978.68K","-1.26%"
"12/02/2022","187.28","184.14","187.73","182.83","864.50K","1.29%"
"12/01/2022","184.90","183.12","185.40","182.47","841.88K","0.86%"
"11/30/2022","183.33","180.04","183.33","178.64","1.68M","1.54%"
"11/29/2022","180.55","182.94","183.72","180.22","1.21M","-1.46%"
"11/28/2022","183.23","185.05","185.49","183.04","828.01K","-1.54%"
"11/25/2022","186.10","184.52","186.11","183.97","404.37K","1.19%"
"11/23/2022","183.92","183.96","185.00","183.70","575.51K","-0.04%"
"11/22/2022","183.99","183.56","184.88","182.64","722.32K","0.93%"
"11/21/2022","182.29","180.83","183.74","180.20","620.99K","0.89%"
"11/18/2022","180.68","181.30","181.88","179.02","785.98K","0.71%"
"11/17/2022","179.40","178.70","179.50","176.54","884.30K","-0.28%"
"11/16/2022","179.90","178.32","182.85","177.16","937.42K","-0.84%"
"11/15/2022","181.43","181.27","182.09","178.50","921.22K","0.92%"
"11/14/2022","179.77","177.77","182.15","177.41","884.64K","1.02%"
"11/11/2022","177.96","182.57","183.48","177.23","1.16M","-2.33%"
"11/10/2022","182.20","182.71","183.00","180.32","1.09M","2.14%"
"11/09/2022","178.38","180.07","181.35","177.79","978.12K","-1.21%"
"11/08/2022","180.57","180.65","182.23","178.69","692.81K","0.31%"
"11/07/2022","180.02","178.36","180.16","177.85","680.65K","1.02%"
"11/04/2022","178.20","179.04","179.74","176.03","599.65K","0.65%"
"11/03/2022","177.05","173.82","177.80","173.28","802.21K","1.13%"
"11/02/2022","175.07","178.70","179.07","175.07","1.10M","-2.33%"
"11/01/2022","179.25","178.42","179.97","176.46","822.49K","0.78%"
"10/31/2022","177.86","177.94","179.80","176.90","1.84M","-0.56%"
"10/28/2022","178.86","175.49","179.63","175.38","864.18K","2.22%"
"10/27/2022","174.98","172.50","175.20","172.50","1.04M","2.16%"
"10/26/2022","171.28","172.40","172.86","169.31","995.17K","-0.22%"
"10/25/2022","171.65","169.94","172.01","168.13","1.44M","0.64%"
"10/24/2022","170.55","163.58","170.61","163.58","1.33M","5.05%"
"10/21/2022","162.35","158.75","162.36","157.62","998.63K","2.84%"
"10/20/2022","157.87","161.75","161.75","154.69","1.36M","-0.69%"
"10/19/2022","158.97","159.98","160.89","157.85","868.35K","-1.03%"
"10/18/2022","160.63","161.15","162.35","158.60","854.57K","1.51%"
"10/17/2022","158.24","156.04","158.66","155.87","845.59K","2.43%"
"10/14/2022","154.49","157.47","157.97","154.41","907.24K","-1.31%"
"10/13/2022","156.54","152.73","157.69","151.64","714.03K","1.05%"
"10/12/2022","154.92","156.78","157.27","154.88","653.03K","-1.19%"
"10/11/2022","156.78","154.91","157.93","154.70","1.22M","1.48%"
"10/10/2022","154.50","154.74","155.46","153.31","560.72K","0.41%"
"10/07/2022","153.87","155.71","155.71","153.09","679.07K","-1.89%"
"10/06/2022","156.83","157.51","158.48","156.36","604.42K","-0.43%"
"10/05/2022","157.51","155.63","158.54","154.92","771.55K","0.66%"
"10/04/2022","156.47","154.65","156.69","154.44","784.19K","2.33%"
"10/03/2022","152.91","150.73","154.10","150.03","804.79K","2.40%"
"09/30/2022","149.32","150.01","151.54","148.34","905.03K","-0.25%"
"09/29/2022","149.70","151.11","151.15","148.99","861.92K","-1.95%"
"09/28/2022","152.67","149.65","153.79","148.76","828.09K","2.71%"
"09/27/2022","148.64","150.36","151.26","147.70","744.56K","-0.33%"
"09/26/2022","149.13","151.00","151.86","148.77","971.96K","-1.26%"
"09/23/2022","151.04","153.00","153.46","149.71","920.78K","-2.13%"
"09/22/2022","154.32","155.84","155.84","153.62","810.38K","-0.82%"
"09/21/2022","155.60","158.30","160.26","155.59","675.87K","-0.99%"
"09/20/2022","157.15","157.07","157.74","155.15","720.21K","-0.87%"
"09/19/2022","158.53","154.16","158.61","154.16","1.04M","2.49%"
"09/16/2022","154.68","153.27","155.78","152.68","2.07M","0.17%"
"09/15/2022","154.41","156.60","156.93","153.66","1.00M","-1.20%"
"09/14/2022","156.29","158.70","158.93","155.29","898.25K","-1.04%"
"09/13/2022","157.94","160.76","161.92","157.70","1.09M","-3.19%"
"09/12/2022","163.15","163.51","164.99","162.60","925.20K","0.21%"
"09/09/2022","162.80","162.34","163.50","162.18","971.49K","0.53%"
"09/08/2022","161.94","161.07","162.07","160.32","1.33M","-0.01%"
"09/07/2022","161.95","157.66","162.38","157.66","1.57M","2.90%"
"09/06/2022","157.39","157.30","158.15","155.10","1.11M","0.09%"
"09/02/2022","157.25","157.76","159.71","156.67","1.46M","0.30%"
"09/01/2022","156.78","154.71","156.82","154.38","822.50K","0.49%"
"08/31/2022","156.01","156.21","157.18","155.31","937.70K","-0.13%"
"08/30/2022","156.21","157.28","158.03","155.68","910.61K","-0.60%"
"08/29/2022","157.15","155.37","157.83","154.30","717.33K","0.47%"
"08/26/2022","156.42","160.06","160.42","156.35","716.36K","-2.07%"
"08/25/2022","159.72","157.62","159.90","157.16","693.97K","1.56%"
"08/24/2022","157.27","156.95","158.05","155.81","722.83K","-0.30%"
"08/23/2022","157.74","157.30","158.76","156.76","641.40K","0.50%"
"08/22/2022","156.95","158.39","159.18","155.53","866.03K","-1.81%"
"08/19/2022","159.85","159.43","161.04","158.76","1.76M","-0.08%"
"08/18/2022","159.97","160.56","161.45","159.26","610.89K","-0.39%"
"08/17/2022","160.59","158.31","161.34","157.59","648.36K","0.90%"
"08/16/2022","159.15","158.51","160.25","158.40","662.68K","0.42%"
"08/15/2022","158.48","157.40","159.46","157.02","530.38K","0.24%"
"08/12/2022","158.10","156.46","158.10","156.46","551.96K","0.95%"
"08/11/2022","156.61","156.00","157.54","155.58","1.03M","1.06%"
"08/10/2022","154.96","153.90","155.60","153.89","803.84K","1.90%"
"08/09/2022","152.07","151.91","152.98","151.20","925.23K","0.11%"
"08/08/2022","151.90","152.00","153.34","151.51","616.37K","0.61%"
"08/05/2022","150.98","148.98","151.26","148.54","684.38K","0.70%"
"08/04/2022","149.93","150.85","151.65","149.83","847.59K","-0.73%"
"08/03/2022","151.03","151.49","152.00","150.29","728.86K","0.18%"
"08/02/2022","150.76","152.93","152.93","150.22","843.79K","-1.42%"
"08/01/2022","152.93","151.94","154.13","151.66","960.76K","0.04%"
"07/29/2022","152.87","149.74","153.65","149.37","2.08M","2.18%"
"07/28/2022","149.61","146.50","150.24","146.03","1.11M","2.21%"
"07/27/2022","146.37","145.92","146.45","142.12","1.11M","2.55%"
"07/26/2022","142.73","143.03","144.18","141.90","901.75K","-1.25%"
"07/25/2022","144.53","145.00","145.30","144.02","737.61K","0.03%"
"07/22/2022","144.49","143.26","145.26","143.00","1.02M","1.36%"
"07/21/2022","142.55","142.00","142.65","140.62","650.47K","0.02%"
"07/20/2022","142.52","141.00","142.65","140.74","610.16K","0.51%"
"07/19/2022","141.79","139.64","141.97","138.94","716.57K","2.65%"
"07/18/2022","138.13","138.78","139.57","137.73","830.78K","-0.30%"
"07/15/2022","138.54","138.19","138.88","137.14","579.01K","1.35%"
"07/14/2022","136.69","135.17","137.01","134.59","638.79K","-0.44%"
"07/13/2022","137.30","136.19","138.19","135.47","871.11K","0.26%"
"07/12/2022","136.95","137.55","139.31","136.17","754.24K","-0.48%"
