"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","113.06","113.61","114.47","112.28","1.53M","-2.66%"
"02/02/2023","116.15","117.15","119.12","115.73","1.67M","0.58%"
"02/01/2023","115.48","112.64","116.25","112.08","1.36M","2.45%"
"01/31/2023","112.72","110.12","112.82","109.96","1.24M","2.20%"
"01/30/2023","110.29","111.49","111.94","110.11","1.32M","-2.15%"
"01/27/2023","112.71","112.32","113.34","111.53","1.27M","0.17%"
"01/26/2023","112.52","112.80","113.17","111.02","1.18M","0.75%"
"01/25/2023","111.68","110.35","111.92","108.80","1.23M","-0.54%"
"01/24/2023","112.29","113.45","114.73","111.98","1.02M","-1.01%"
"01/23/2023","113.43","112.18","114.21","111.15","1.43M","1.33%"
"01/20/2023","111.94","109.22","112.12","108.45","1.30M","3.04%"
"01/19/2023","108.64","107.54","109.36","107.08","1.38M","-0.52%"
"01/18/2023","109.21","112.56","113.44","109.18","1.96M","-2.02%"
"01/17/2023","111.46","110.76","111.96","108.70","2.48M","3.53%"
"01/13/2023","107.66","107.25","108.42","106.33","1.36M","-0.64%"
"01/12/2023","108.35","105.93","108.40","105.78","1.54M","2.60%"
"01/11/2023","105.60","105.85","106.30","104.64","1.14M","0.28%"
"01/10/2023","105.31","106.42","106.96","104.68","1.11M","-1.08%"
"01/09/2023","106.46","105.21","107.61","104.97","1.45M","1.23%"
"01/06/2023","105.17","103.47","106.00","102.97","2.00M","3.13%"
"01/05/2023","101.98","102.53","102.94","101.00","1.19M","-1.45%"
"01/04/2023","103.48","101.38","103.97","101.00","1.69M","3.27%"
"01/03/2023","100.20","100.71","102.03","99.03","1.58M","0.89%"
"12/30/2022","99.32","98.08","99.35","97.72","1.37M","0.12%"
"12/29/2022","99.20","97.14","99.83","96.71","1.31M","2.94%"
"12/28/2022","96.37","97.87","98.75","96.06","1.11M","-1.34%"
"12/27/2022","97.68","96.50","98.01","96.35","1.53M","0.99%"
"12/23/2022","96.72","94.26","97.03","94.06","1.45M","2.30%"
"12/22/2022","94.55","94.65","95.16","92.53","1.59M","-1.29%"
"12/21/2022","95.79","94.78","96.40","94.46","1.81M","1.90%"
"12/20/2022","94.00","92.35","94.27","92.32","3.03M","0.93%"
"12/19/2022","93.13","94.27","94.53","92.27","3.00M","-1.74%"
"12/16/2022","94.78","94.10","95.48","92.75","5.05M","-0.16%"
"12/15/2022","94.93","96.86","97.51","94.47","2.96M","-2.87%"
"12/14/2022","97.73","99.34","100.14","96.27","3.71M","-1.73%"
"12/13/2022","99.45","103.43","103.65","98.91","2.47M","-0.19%"
"12/12/2022","99.64","98.06","99.95","97.59","2.43M","1.86%"
"12/09/2022","97.82","97.84","98.96","97.35","2.09M","-1.12%"
"12/08/2022","98.93","99.75","101.04","98.29","1.68M","0.09%"
"12/07/2022","98.84","97.93","98.88","96.20","2.68M","1.22%"
"12/06/2022","97.65","101.31","101.44","96.83","2.30M","-3.73%"
"12/05/2022","101.43","101.82","102.83","100.81","1.66M","-1.60%"
"12/02/2022","103.08","101.89","103.41","101.41","2.40M","-0.43%"
"12/01/2022","103.53","103.74","105.34","103.08","2.06M","-0.24%"
"11/30/2022","103.78","99.19","104.53","98.68","3.01M","3.96%"
"11/29/2022","99.83","99.79","100.60","98.64","2.91M","0.06%"
"11/28/2022","99.77","100.32","101.56","99.45","1.84M","-1.90%"
"11/25/2022","101.70","100.29","102.42","100.23","967.84K","1.53%"
"11/23/2022","100.17","98.40","101.14","98.36","1.36M","1.00%"
"11/22/2022","99.18","96.53","99.56","95.65","2.00M","3.19%"
"11/21/2022","96.11","97.57","97.76","94.68","2.18M","-1.94%"
"11/18/2022","98.01","100.00","101.88","97.06","2.11M","0.36%"
"11/17/2022","97.66","97.30","97.84","96.41","2.63M","-1.67%"
"11/16/2022","99.32","101.86","101.91","99.07","3.25M","-2.89%"
"11/15/2022","102.28","105.52","106.02","101.11","2.41M","-0.92%"
"11/14/2022","103.23","102.08","104.74","102.08","2.43M","-1.10%"
"11/11/2022","104.38","102.58","105.22","102.13","3.41M","1.45%"
"11/10/2022","102.89","101.97","104.13","101.11","2.66M","6.26%"
"11/09/2022","96.83","99.03","99.05","96.24","2.43M","-3.11%"
"11/08/2022","99.94","100.02","101.97","99.03","1.94M","0.81%"
"11/07/2022","99.14","98.39","99.20","95.45","2.88M","1.73%"
"11/04/2022","97.45","95.50","97.88","94.04","4.76M","3.30%"
"11/03/2022","94.34","104.17","104.30","93.99","7.88M","-12.31%"
"11/02/2022","107.58","113.25","113.70","107.50","3.70M","-5.36%"
"11/01/2022","113.67","115.07","116.13","113.11","3.15M","-0.52%"
"10/31/2022","114.26","124.00","124.16","113.64","5.55M","-8.82%"
"10/28/2022","125.31","122.41","125.59","121.88","2.65M","2.82%"
"10/27/2022","121.87","120.65","121.90","119.15","2.54M","1.04%"
"10/26/2022","120.61","119.29","123.90","119.09","2.02M","2.06%"
"10/25/2022","118.18","115.97","118.52","115.89","1.60M","2.18%"
"10/24/2022","115.66","114.82","116.35","113.35","1.39M","1.23%"
"10/21/2022","114.25","112.01","114.60","110.84","1.62M","1.30%"
"10/20/2022","112.78","112.98","115.25","112.29","1.65M","0.10%"
"10/19/2022","112.67","112.00","114.25","111.81","1.43M","-0.88%"
"10/18/2022","113.67","115.00","115.47","112.45","2.03M","0.69%"
"10/17/2022","112.89","112.73","114.04","112.44","1.64M","2.57%"
"10/14/2022","110.06","111.77","113.59","109.79","1.96M","0.06%"
"10/13/2022","109.99","104.58","110.57","104.23","1.62M","2.62%"
"10/12/2022","107.18","107.74","108.31","106.37","1.64M","-0.58%"
"10/11/2022","107.81","109.24","109.36","105.93","1.63M","-1.77%"
"10/10/2022","109.75","112.19","112.40","108.44","1.37M","-2.22%"
"10/07/2022","112.24","111.77","112.42","110.38","1.75M","-0.94%"
"10/06/2022","113.30","116.77","116.88","113.20","3.14M","-3.34%"
"10/05/2022","117.21","114.18","117.79","114.13","1.19M","0.91%"
"10/04/2022","116.15","113.15","116.34","112.54","1.82M","4.89%"
"10/03/2022","110.74","109.37","111.21","108.27","2.00M","2.49%"
"09/30/2022","108.05","109.01","111.16","108.01","1.75M","-1.36%"
"09/29/2022","109.54","109.48","110.50","107.03","1.64M","-1.07%"
"09/28/2022","110.73","107.78","111.17","107.16","1.68M","2.54%"
"09/27/2022","107.99","112.69","113.15","107.52","2.43M","-3.42%"
"09/26/2022","111.81","114.68","116.15","111.29","3.01M","-2.81%"
"09/23/2022","115.04","114.47","115.13","111.87","2.74M","-0.90%"
"09/22/2022","116.09","120.13","120.85","115.14","3.15M","-3.84%"
"09/21/2022","120.73","125.23","125.97","120.61","2.65M","-2.76%"
"09/20/2022","124.16","125.61","126.39","123.20","2.76M","-2.21%"
"09/19/2022","126.97","129.31","130.04","125.77","2.78M","-2.84%"
"09/16/2022","130.68","129.61","131.05","127.96","3.74M","-0.57%"
"09/15/2022","131.43","131.66","135.39","130.76","3.00M","-0.78%"
"09/14/2022","132.46","131.92","135.59","131.46","3.13M","0.22%"
"09/13/2022","132.17","132.37","134.06","131.64","3.82M","-3.14%"
"09/12/2022","136.46","133.65","136.64","133.17","2.16M","2.89%"
"09/09/2022","132.63","133.05","133.22","131.14","1.80M","0.68%"
"09/08/2022","131.73","128.94","132.16","128.35","2.52M","1.53%"
"09/07/2022","129.74","126.23","130.39","126.21","3.26M","2.70%"
"09/06/2022","126.33","125.15","126.42","123.18","2.22M","1.84%"
"09/02/2022","124.05","126.34","127.07","123.32","1.63M","-0.64%"
"09/01/2022","124.85","123.67","124.90","121.45","1.94M","0.50%"
"08/31/2022","124.23","125.72","126.14","124.03","2.01M","-0.38%"
"08/30/2022","124.70","125.57","126.14","123.83","1.72M","-0.10%"
"08/29/2022","124.82","123.81","126.41","123.25","1.68M","-0.25%"
"08/26/2022","125.13","130.11","130.40","124.99","1.55M","-3.65%"
"08/25/2022","129.87","128.12","129.96","127.45","1.21M","1.46%"
"08/24/2022","128.00","129.03","129.44","127.57","1.25M","-0.57%"
"08/23/2022","128.74","129.32","131.08","128.64","1.16M","-0.94%"
"08/22/2022","129.96","130.52","131.79","129.48","1.18M","-2.15%"
"08/19/2022","132.81","133.36","134.02","132.10","1.51M","-1.07%"
"08/18/2022","134.24","133.38","134.60","132.66","1.42M","0.42%"
