"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","101.54","101.93","102.42","100.96","702.06K","-1.40%"
"02/02/2023","102.98","102.38","104.36","102.11","1.34M","1.85%"
"02/01/2023","101.11","98.83","101.46","98.56","886.97K","2.26%"
"01/31/2023","98.88","97.44","98.88","96.98","650.79K","1.56%"
"01/30/2023","97.36","97.84","98.92","97.28","536.46K","-1.35%"
"01/27/2023","98.69","98.27","99.15","97.85","753.56K","0.39%"
"01/26/2023","98.31","99.16","99.50","97.77","546.76K","-0.31%"
"01/25/2023","98.62","97.21","98.95","96.63","763.36K","0.47%"
"01/24/2023","98.16","98.24","98.53","96.80","1.11M","-0.36%"
"01/23/2023","98.51","96.84","98.81","96.23","1.07M","1.71%"
"01/20/2023","96.85","95.69","96.89","94.79","5.53M","1.58%"
"01/19/2023","95.34","95.68","96.31","94.71","1.20M","-1.33%"
"01/18/2023","96.63","98.21","99.09","96.54","992.86K","-1.18%"
"01/17/2023","97.78","97.96","98.95","97.70","1.07M","-0.44%"
"01/13/2023","98.21","97.04","98.51","96.89","1.14M","0.06%"
"01/12/2023","98.15","100.00","100.00","97.87","965.63K","-1.78%"
"01/11/2023","99.93","99.38","100.18","99.17","726.07K","1.02%"
"01/10/2023","98.92","98.06","99.25","97.79","770.31K","0.70%"
"01/09/2023","98.23","99.18","100.48","98.06","1.05M","0.10%"
"01/06/2023","98.13","96.36","98.82","95.89","819.38K","2.95%"
"01/05/2023","95.32","94.89","95.98","94.14","827.71K","-0.23%"
"01/04/2023","95.54","94.67","96.48","94.22","893.61K","2.11%"
"01/03/2023","93.57","93.00","94.12","92.50","950.81K","1.39%"
"12/30/2022","92.29","91.76","92.61","91.34","752.79K","-0.59%"
"12/29/2022","92.84","91.14","93.08","90.83","489.02K","2.87%"
"12/28/2022","90.25","91.74","92.36","90.12","541.89K","-1.67%"
"12/27/2022","91.78","90.72","92.01","90.40","474.10K","0.57%"
"12/23/2022","91.26","90.99","91.43","90.01","477.07K","0.26%"
"12/22/2022","91.02","91.40","91.65","89.25","675.42K","-1.13%"
"12/21/2022","92.06","91.27","92.44","90.94","704.20K","1.87%"
"12/20/2022","90.37","89.93","90.49","89.43","767.41K","0.08%"
"12/19/2022","90.30","90.70","91.16","89.78","700.13K","-0.98%"
"12/16/2022","91.19","91.65","92.19","90.90","1.96M","-1.65%"
"12/15/2022","92.72","94.65","94.66","92.54","849.05K","-3.20%"
"12/14/2022","95.79","96.03","97.35","94.84","876.47K","-1.10%"
"12/13/2022","96.86","99.09","99.33","95.94","949.31K","0.52%"
"12/12/2022","96.36","95.03","96.37","94.48","741.76K","1.40%"
"12/09/2022","95.03","95.30","96.08","95.00","797.87K","-0.61%"
"12/08/2022","95.61","94.42","95.72","94.19","723.25K","1.35%"
"12/07/2022","94.34","94.21","94.89","93.68","1.01M","-0.17%"
"12/06/2022","94.50","93.89","94.55","93.12","1.49M","0.64%"
"12/05/2022","93.90","93.70","94.80","93.36","781.13K","-0.45%"
"12/02/2022","94.32","93.13","94.45","93.13","644.18K","-0.04%"
"12/01/2022","94.36","93.54","94.73","93.10","1.48M","1.47%"
"11/30/2022","92.99","89.92","92.99","89.28","2.18M","3.54%"
"11/29/2022","89.81","89.42","90.38","89.00","738.92K","0.16%"
"11/28/2022","89.67","90.50","90.96","89.23","621.66K","-1.55%"
"11/25/2022","91.08","91.06","91.53","90.92","261.87K","0.47%"
"11/23/2022","90.65","90.11","91.29","90.06","640.17K","0.19%"
"11/22/2022","90.48","90.98","91.03","89.83","622.73K","0.03%"
"11/21/2022","90.45","90.37","91.31","89.96","864.35K","-0.64%"
"11/18/2022","91.03","91.93","92.22","90.72","854.03K","0.26%"
"11/17/2022","90.79","89.00","90.81","88.40","679.59K","0.49%"
"11/16/2022","90.35","91.59","91.83","90.00","1.17M","-2.36%"
"11/15/2022","92.53","92.41","92.99","91.35","747.01K","1.37%"
"11/14/2022","91.28","92.90","93.18","91.23","794.01K","-2.65%"
"11/11/2022","93.76","91.64","94.63","91.09","928.28K","2.68%"
"11/10/2022","91.31","89.10","91.51","88.90","1.00M","6.70%"
"11/09/2022","85.58","86.31","86.87","85.52","511.92K","-1.44%"
"11/08/2022","86.83","86.94","88.33","85.87","815.06K","0.29%"
"11/07/2022","86.58","87.01","87.07","85.48","628.21K","0.06%"
"11/04/2022","86.53","85.03","86.60","84.25","742.95K","2.99%"
"11/03/2022","84.02","83.63","84.42","82.57","652.69K","-0.60%"
"11/02/2022","84.53","87.09","87.86","84.51","910.75K","-3.47%"
"11/01/2022","87.57","89.17","89.17","87.37","795.36K","-0.53%"
"10/31/2022","88.04","87.75","88.43","87.37","885.77K","-0.51%"
"10/28/2022","88.49","85.76","88.62","85.51","976.77K","2.97%"
"10/27/2022","85.94","85.33","87.00","85.15","997.23K","1.20%"
"10/26/2022","84.92","86.38","87.14","84.06","1.71M","0.04%"
"10/25/2022","84.89","82.84","84.94","82.51","1.59M","2.70%"
"10/24/2022","82.66","83.57","83.57","81.75","1.33M","-0.13%"
"10/21/2022","82.77","80.58","83.04","80.04","3.35M","2.36%"
"10/20/2022","80.86","81.27","82.07","80.58","1.20M","-0.42%"
"10/19/2022","81.20","81.97","82.20","80.42","846.99K","-2.07%"
"10/18/2022","82.92","82.81","83.89","82.20","901.12K","1.39%"
"10/17/2022","81.78","80.96","82.33","80.58","1.01M","2.95%"
"10/14/2022","79.44","81.21","81.64","79.32","889.29K","-1.23%"
"10/13/2022","80.43","77.21","81.01","76.37","1.19M","2.50%"
"10/12/2022","78.47","78.63","79.00","78.03","680.11K","-0.04%"
"10/11/2022","78.50","79.32","79.69","78.11","925.83K","-1.36%"
"10/10/2022","79.58","79.90","80.21","78.56","904.65K","-0.15%"
"10/07/2022","79.70","81.31","81.43","79.62","1.08M","-3.36%"
"10/06/2022","82.47","83.00","83.83","82.32","930.15K","-0.82%"
"10/05/2022","83.15","82.23","83.76","82.03","705.60K","-0.42%"
"10/04/2022","83.50","83.58","84.35","82.76","1.20M","1.37%"
"10/03/2022","82.37","80.95","82.97","80.40","1.19M","2.57%"
"09/30/2022","80.31","81.59","82.66","80.22","957.15K","-1.79%"
"09/29/2022","81.77","82.90","82.90","81.46","799.05K","-2.54%"
"09/28/2022","83.90","82.21","84.44","82.09","1.48M","2.72%"
"09/27/2022","81.68","83.47","83.61","81.00","898.08K","-0.79%"
"09/26/2022","82.33","82.53","83.77","82.20","1.01M","-0.53%"
"09/23/2022","82.77","82.23","82.81","81.26","1.21M","-0.20%"
"09/22/2022","82.94","83.94","83.99","82.70","747.13K","-1.72%"
