"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","369.95","365.62","374.57","365.44","2.24M","0.13%"
"02/02/2023","369.47","368.00","372.89","364.55","2.61M","1.03%"
"02/01/2023","365.71","359.10","368.94","358.76","2.88M","-0.03%"
"01/31/2023","365.81","359.16","365.92","356.86","2.31M","2.34%"
"01/30/2023","357.46","353.29","362.33","352.40","3.13M","1.06%"
"01/27/2023","353.70","351.95","355.99","351.83","2.43M","-0.36%"
"01/26/2023","354.97","351.73","355.00","349.52","1.90M","1.53%"
"01/25/2023","349.63","344.75","349.95","343.90","1.98M","0.37%"
"01/24/2023","348.33","340.00","350.30","340.00","2.37M","-0.23%"
"01/23/2023","349.14","341.67","349.56","336.16","4.83M","2.14%"
"01/20/2023","341.84","349.87","352.25","338.21","11.25M","-2.54%"
"01/19/2023","350.75","346.03","352.16","345.52","3.08M","0.48%"
"01/18/2023","349.09","348.32","354.79","347.80","5.49M","-0.24%"
"01/17/2023","349.92","364.80","366.79","344.00","14.42M","-6.44%"
"01/13/2023","374.00","363.49","374.35","362.36","3.31M","1.10%"
"01/12/2023","369.94","366.24","370.10","362.57","2.09M","1.50%"
"01/11/2023","364.48","358.87","365.50","356.21","2.11M","1.99%"
"01/10/2023","357.36","352.64","357.50","350.50","1.59M","1.24%"
"01/09/2023","353.00","351.88","356.50","349.50","1.97M","1.41%"
"01/06/2023","348.08","347.30","349.00","340.95","3.10M","1.26%"
"01/05/2023","343.76","344.25","345.14","340.14","1.38M","-1.13%"
"01/04/2023","347.70","348.03","350.31","345.08","1.80M","0.43%"
"01/03/2023","346.22","345.50","348.60","342.80","1.58M","0.83%"
"12/30/2022","343.38","341.74","343.69","339.40","1.03M","-0.01%"
"12/29/2022","343.43","342.44","344.64","341.24","1.27M","0.75%"
"12/28/2022","340.87","340.50","342.85","339.30","1.11M","-0.32%"
"12/27/2022","341.97","346.51","347.75","341.79","1.03M","-1.02%"
"12/23/2022","345.51","344.84","347.76","343.11","1.06M","-0.02%"
"12/22/2022","345.58","347.16","348.05","339.88","1.33M","-1.31%"
"12/21/2022","350.16","348.26","350.88","346.89","1.51M","1.65%"
"12/20/2022","344.49","345.99","347.42","343.49","1.41M","-0.03%"
"12/19/2022","344.61","346.27","348.40","342.63","1.64M","-0.50%"
"12/16/2022","346.35","345.08","347.78","343.41","5.01M","-0.99%"
"12/15/2022","349.83","354.48","356.11","347.94","2.95M","-2.93%"
"12/14/2022","360.38","367.01","368.83","359.45","2.52M","-2.25%"
"12/13/2022","368.69","374.63","378.56","365.51","2.88M","1.52%"
"12/12/2022","363.18","358.57","364.01","356.34","1.52M","1.12%"
"12/09/2022","359.14","356.71","361.64","356.21","1.59M","0.30%"
"12/08/2022","358.08","362.03","362.59","356.05","1.96M","-0.51%"
"12/07/2022","359.92","362.49","365.30","358.15","2.12M","-0.82%"
"12/06/2022","362.91","369.48","370.37","360.33","3.06M","-2.32%"
"12/05/2022","371.54","378.55","378.87","369.31","1.93M","-2.38%"
"12/02/2022","380.58","381.52","382.52","378.40","1.93M","-0.84%"
"12/01/2022","383.81","386.50","386.50","380.45","1.71M","-0.61%"
"11/30/2022","386.15","382.50","386.15","375.10","2.96M","0.64%"
"11/29/2022","383.71","381.13","384.93","379.26","1.75M","0.35%"
"11/28/2022","382.36","385.43","388.39","380.89","2.23M","-1.67%"
"11/25/2022","388.86","385.76","389.44","385.18","1.13M","0.68%"
"11/23/2022","386.25","383.90","388.20","383.41","1.87M","0.62%"
"11/22/2022","383.87","381.40","385.83","381.40","2.02M","0.96%"
"11/21/2022","380.21","378.90","380.77","375.42","1.88M","0.27%"
"11/18/2022","379.20","381.28","382.83","377.39","2.38M","-0.15%"
"11/17/2022","379.78","377.15","381.72","375.01","2.30M","-0.67%"
"11/16/2022","382.33","383.21","385.39","380.01","2.30M","-0.14%"
"11/15/2022","382.88","385.98","389.58","380.65","3.19M","0.14%"
"11/14/2022","382.36","384.00","387.30","380.50","2.61M","-0.73%"
"11/11/2022","385.17","380.00","387.00","378.75","3.41M","1.81%"
"11/10/2022","378.31","370.00","380.43","369.74","3.79M","4.51%"
"11/09/2022","362.00","362.95","367.15","360.88","3.05M","-0.55%"
"11/08/2022","364.02","362.30","367.19","361.46","3.50M","0.40%"
"11/07/2022","362.56","360.01","362.96","358.52","2.53M","1.30%"
"11/04/2022","357.91","354.00","358.38","351.23","3.17M","2.59%"
"11/03/2022","348.87","347.50","350.67","342.59","2.52M","-0.26%"
