"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","675.81","672.08","685.22","662.76","465.69K","0.04%"
"02/02/2023","675.57","638.08","676.12","628.18","988.29K","12.96%"
"02/01/2023","598.05","584.63","604.48","584.63","502.29K","1.45%"
"01/31/2023","589.48","577.33","590.45","573.71","470.14K","2.46%"
"01/30/2023","575.32","569.97","585.87","569.95","401.46K","0.62%"
"01/27/2023","571.79","565.22","573.72","565.22","158.76K","1.21%"
"01/26/2023","564.93","563.00","569.89","558.80","249.29K","0.91%"
"01/25/2023","559.85","564.68","568.51","557.68","217.23K","-1.92%"
"01/24/2023","570.83","565.98","571.48","556.77","142.35K","1.62%"
"01/23/2023","561.72","560.19","569.36","560.17","183.46K","0.26%"
"01/20/2023","560.24","546.78","561.69","544.95","274.01K","2.28%"
"01/19/2023","547.73","570.10","573.83","547.05","440.16K","-4.02%"
"01/18/2023","570.67","573.02","577.39","567.83","244.82K","-0.17%"
"01/17/2023","571.67","578.22","579.78","571.18","340.02K","-0.38%"
"01/13/2023","573.86","566.43","574.14","563.68","167.06K","0.23%"
"01/12/2023","572.54","582.51","586.39","570.19","230.55K","-1.67%"
"01/11/2023","582.28","566.08","582.28","566.05","349.84K","3.26%"
"01/10/2023","563.92","557.63","567.88","557.63","276.14K","1.13%"
"01/09/2023","557.63","556.75","572.16","553.85","293.52K","0.89%"
"01/06/2023","552.73","545.19","553.84","543.46","210.89K","2.83%"
"01/05/2023","537.53","552.46","556.33","534.01","296.57K","-2.98%"
"01/04/2023","554.03","556.31","561.22","544.91","238.41K","-0.34%"
"01/03/2023","555.93","558.54","559.12","549.08","271.10K","-0.06%"
"12/30/2022","556.25","561.52","561.99","550.84","177.64K","-1.06%"
"12/29/2022","562.22","559.58","563.82","557.85","177.50K","0.93%"
"12/28/2022","557.06","566.42","567.86","555.77","155.19K","-1.46%"
"12/27/2022","565.33","569.27","569.27","561.82","229.45K","0.04%"
"12/23/2022","565.10","562.02","567.47","561.00","110.39K","0.66%"
"12/22/2022","561.37","563.00","563.00","552.09","205.69K","-1.07%"
"12/21/2022","567.42","566.10","568.42","562.12","181.75K","0.83%"
"12/20/2022","562.74","561.00","566.78","559.69","340.22K","0.26%"
"12/19/2022","561.27","558.89","565.52","557.27","287.86K","0.47%"
"12/16/2022","558.65","555.50","559.63","551.47","770.65K","-0.51%"
"12/15/2022","561.53","570.77","572.17","557.82","396.61K","-2.52%"
"12/14/2022","576.02","585.38","588.00","570.27","529.83K","-1.52%"
"12/13/2022","584.93","605.95","605.95","576.72","392.30K","-1.44%"
"12/12/2022","593.46","590.12","593.46","585.48","249.54K","0.92%"
"12/09/2022","588.06","593.76","597.50","587.30","172.30K","-0.87%"
"12/08/2022","593.25","589.98","597.82","589.92","349.27K","1.17%"
"12/07/2022","586.41","579.42","592.21","577.62","275.05K","1.05%"
"12/06/2022","580.34","588.11","591.45","575.96","306.36K","-1.04%"
"12/05/2022","586.45","595.83","598.16","584.80","246.05K","-2.60%"
"12/02/2022","602.08","598.62","604.01","593.29","298.27K","-0.18%"
"12/01/2022","603.18","605.19","605.19","597.05","246.60K","0.02%"
"11/30/2022","603.06","587.71","604.45","582.92","641.54K","2.04%"
"11/29/2022","590.99","593.95","596.80","588.68","191.55K","-0.60%"
"11/28/2022","594.56","600.87","603.59","593.42","168.64K","-1.60%"
"11/25/2022","604.25","606.82","608.40","601.26","71.44K","-0.01%"
