"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","61.73","61.87","63.15","61.68","1.19M","-2.40%"
"02/02/2023","63.25","60.83","63.99","60.09","2.55M","5.00%"
"02/01/2023","60.24","58.58","60.47","58.10","2.40M","1.81%"
"01/31/2023","59.17","58.54","59.58","57.94","8.15M","0.39%"
"01/30/2023","58.94","58.36","59.54","58.13","3.55M","0.56%"
"01/27/2023","58.61","59.84","61.69","58.41","7.01M","-8.11%"
"01/26/2023","63.78","64.92","65.21","63.44","948.18K","-0.50%"
"01/25/2023","64.10","63.50","64.12","62.63","949.16K","0.44%"
"01/24/2023","63.82","64.87","65.39","63.65","978.59K","-1.83%"
"01/23/2023","65.01","63.80","65.09","63.31","1.54M","2.67%"
"01/20/2023","63.32","61.60","63.42","61.57","1.32M","2.89%"
"01/19/2023","61.54","63.70","63.92","61.03","1.52M","-4.10%"
"01/18/2023","64.17","65.50","65.63","64.00","1.27M","-1.91%"
"01/17/2023","65.42","65.68","65.90","64.88","1.38M","-0.91%"
"01/13/2023","66.02","65.11","66.17","64.90","914.28K","0.21%"
"01/12/2023","65.88","66.25","66.25","64.86","1.04M","-0.08%"
"01/11/2023","65.93","65.03","66.22","65.00","1.77M","2.25%"
"01/10/2023","64.48","63.64","64.56","63.50","1.32M","1.22%"
"01/09/2023","63.70","64.89","64.94","63.56","1.19M","-1.79%"
"01/06/2023","64.86","63.59","65.31","63.46","1.40M","2.46%"
"01/05/2023","63.30","61.90","63.42","61.61","1.62M","1.92%"
"01/04/2023","62.11","62.05","62.81","61.59","1.73M","0.26%"
"01/03/2023","61.95","61.58","62.05","61.22","1.65M","1.54%"
"12/30/2022","61.01","60.28","61.12","60.15","1.27M","0.03%"
"12/29/2022","60.99","58.77","61.12","58.63","1.60M","4.76%"
"12/28/2022","58.22","58.97","59.46","58.00","1.07M","-1.04%"
"12/27/2022","58.83","58.27","59.04","57.67","917.67K","1.07%"
"12/23/2022","58.21","57.88","58.26","57.45","1.15M","0.88%"
"12/22/2022","57.70","57.23","57.77","55.84","1.94M","0.00%"
"12/21/2022","57.70","55.17","58.00","55.17","2.65M","5.31%"
"12/20/2022","54.79","55.61","55.74","54.65","2.73M","-2.00%"
"12/19/2022","55.91","57.72","57.91","55.66","2.43M","-3.37%"
"12/16/2022","57.86","58.98","59.22","57.22","3.32M","-2.30%"
"12/15/2022","59.22","59.19","59.55","58.55","1.83M","-1.23%"
"12/14/2022","59.96","60.51","61.03","59.31","1.79M","-1.17%"
"12/13/2022","60.67","61.89","62.76","60.22","1.94M","1.12%"
"12/12/2022","60.00","59.56","60.05","59.10","1.63M","0.86%"
"12/09/2022","59.49","60.03","60.44","59.46","1.40M","-0.93%"
"12/08/2022","60.05","61.00","61.63","59.88","1.80M","0.02%"
"12/07/2022","60.04","60.74","61.76","59.98","1.25M","-0.88%"
"12/06/2022","60.57","63.47","63.58","59.60","2.03M","-4.22%"
"12/05/2022","63.24","63.09","63.69","62.57","1.39M","-0.11%"
"12/02/2022","63.31","63.01","63.71","62.65","1.25M","0.08%"
"12/01/2022","63.26","63.11","64.36","62.85","2.52M","0.70%"
"11/30/2022","62.82","62.03","63.04","60.33","2.88M","1.05%"
"11/29/2022","62.17","61.81","63.11","61.51","1.07M","0.65%"
"11/28/2022","61.77","61.15","62.18","61.06","990.99K","-0.53%"
"11/25/2022","62.10","62.17","62.72","62.08","509.86K","-0.10%"
"11/23/2022","62.16","61.30","62.92","61.28","1.05M","1.47%"
"11/22/2022","61.26","59.53","61.32","59.39","1.28M","3.57%"
"11/21/2022","59.15","59.39","59.87","58.68","1.26M","-0.62%"
"11/18/2022","59.52","59.20","60.59","59.20","1.91M","1.88%"
"11/17/2022","58.42","55.72","58.44","55.57","1.83M","4.38%"
"11/16/2022","55.97","58.15","58.21","55.15","2.42M","-4.67%"
"11/15/2022","58.71","57.99","58.99","57.96","2.10M","2.71%"
"11/14/2022","57.16","58.11","59.52","57.14","4.55M","-9.86%"
"11/11/2022","63.41","60.74","63.54","60.52","1.36M","5.00%"
"11/10/2022","60.39","59.66","60.41","59.47","2.08M","4.19%"
"11/09/2022","57.96","60.93","61.09","57.58","1.63M","-5.59%"
"11/08/2022","61.39","62.56","63.15","60.90","1.38M","-1.65%"
"11/07/2022","62.42","62.67","62.99","61.91","1.41M","0.37%"
"11/04/2022","62.19","61.93","63.62","61.21","1.54M","1.60%"
"11/03/2022","61.21","62.06","62.44","59.87","1.67M","-2.27%"
"11/02/2022","62.63","65.13","65.26","62.62","1.18M","-3.72%"
"11/01/2022","65.05","66.18","66.52","64.74","850.66K","-0.31%"
"10/31/2022","65.25","64.97","65.70","64.64","1.26M","-0.73%"
"10/28/2022","65.73","65.08","66.11","64.80","1.88M","0.95%"
"10/27/2022","65.11","66.36","67.36","65.02","1.24M","-1.45%"
"10/26/2022","66.07","66.94","67.69","65.53","1.24M","-1.34%"
"10/25/2022","66.97","65.74","67.06","65.63","976.76K","2.07%"
"10/24/2022","65.61","65.53","66.88","65.40","1.34M","0.18%"
"10/21/2022","65.49","63.85","65.63","63.49","1.63M","2.15%"
"10/20/2022","64.11","64.88","65.92","63.60","1.73M","-1.13%"
"10/19/2022","64.84","65.84","66.94","64.37","2.59M","-1.40%"
"10/18/2022","65.76","68.24","68.79","65.44","3.02M","-2.88%"
"10/17/2022","67.71","67.84","68.25","67.19","2.21M","1.67%"
"10/14/2022","66.60","69.13","69.26","66.40","2.16M","-2.19%"
"10/13/2022","68.09","66.43","69.17","65.83","1.37M","0.55%"
"10/12/2022","67.72","67.69","68.22","67.22","925.61K","-0.06%"
"10/11/2022","67.76","67.31","68.81","66.91","1.22M","0.55%"
"10/10/2022","67.39","69.34","69.52","66.54","1.11M","-2.29%"
"10/07/2022","68.97","67.88","69.40","67.26","1.97M","0.61%"
"10/06/2022","68.55","68.13","69.82","67.99","1.58M","0.38%"
"10/05/2022","68.29","69.01","69.25","68.10","1.86M","-3.11%"
"10/04/2022","70.48","70.46","73.28","66.67","4.85M","2.17%"
"10/03/2022","68.98","67.82","69.63","66.70","1.67M","2.31%"
