"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","258.08","257.99","260.16","256.28","936.56K","0.03%"
"02/02/2023","257.99","260.37","263.62","257.65","1.36M","-1.33%"
"02/01/2023","261.46","252.08","264.62","250.24","1.57M","2.51%"
"01/31/2023","255.07","253.68","255.07","251.06","1.91M","0.70%"
"01/30/2023","253.30","256.53","257.40","251.05","1.49M","-0.58%"
"01/27/2023","254.77","248.66","259.86","244.42","1.92M","-0.03%"
"01/26/2023","254.85","254.96","255.60","249.47","1.80M","0.48%"
"01/25/2023","253.64","251.70","253.66","249.53","1.70M","0.38%"
"01/24/2023","252.68","263.89","265.35","252.09","2.22M","-4.22%"
"01/23/2023","263.81","262.11","269.09","262.11","1.88M","0.92%"
"01/20/2023","261.40","257.35","261.59","253.84","1.24M","1.72%"
"01/19/2023","256.98","255.84","260.12","252.72","1.71M","0.09%"
"01/18/2023","256.76","258.68","262.70","256.42","1.81M","-0.60%"
"01/17/2023","258.32","258.88","260.97","257.40","1.88M","-0.21%"
"01/13/2023","258.87","254.35","259.75","253.56","1.04M","1.46%"
"01/12/2023","255.15","254.00","257.43","251.96","1.39M","1.12%"
"01/11/2023","252.32","251.24","253.12","247.00","1.17M","0.77%"
"01/10/2023","250.40","249.08","250.47","247.84","671.14K","0.24%"
"01/09/2023","249.79","254.09","255.44","249.43","1.54M","-1.86%"
"01/06/2023","254.52","253.45","255.79","249.51","1.16M","1.69%"
"01/05/2023","250.30","247.77","251.20","246.48","1.35M","0.57%"
"01/04/2023","248.88","244.53","248.99","243.92","1.19M","2.33%"
"01/03/2023","243.21","241.67","245.94","239.43","1.06M","1.35%"
"12/30/2022","239.96","238.81","240.54","237.95","710.54K","-0.17%"
"12/29/2022","240.38","238.26","241.94","236.71","567.55K","1.68%"
"12/28/2022","236.40","240.73","241.50","236.27","601.73K","-1.51%"
"12/27/2022","240.03","240.85","242.03","238.94","532.05K","-0.29%"
"12/23/2022","240.74","240.34","241.71","239.12","592.22K","-0.17%"
"12/22/2022","241.15","240.36","241.48","236.69","961.59K","-0.72%"
"12/21/2022","242.90","240.40","243.90","240.18","783.97K","1.90%"
"12/20/2022","238.36","238.13","243.26","237.12","1.09M","-0.13%"
"12/19/2022","238.67","238.41","241.95","236.71","871.89K","-0.16%"
"12/16/2022","239.05","235.81","239.98","234.02","2.21M","-0.27%"
"12/15/2022","239.70","241.64","241.67","238.92","1.28M","-2.04%"
"12/14/2022","244.70","243.78","247.29","241.55","1.15M","0.66%"
"12/13/2022","243.10","249.00","249.00","240.52","1.19M","0.15%"
"12/12/2022","242.73","238.67","243.26","237.59","1.16M","2.16%"
"12/09/2022","237.59","240.96","241.12","236.80","823.85K","-1.63%"
"12/08/2022","241.53","238.01","242.27","238.01","1.19M","1.44%"
"12/07/2022","238.11","236.80","240.90","236.29","972.72K","0.63%"
"12/06/2022","236.62","234.26","238.87","233.78","1.26M","0.54%"
"12/05/2022","235.35","235.53","237.29","234.00","740.35K","-1.54%"
"12/02/2022","239.03","234.79","240.01","234.33","803.57K","0.23%"
"12/01/2022","238.47","242.82","243.48","238.32","1.20M","-0.73%"
"11/30/2022","240.22","235.89","240.83","233.98","2.32M","1.87%"
"11/29/2022","235.81","233.91","238.30","232.87","774.78K","0.62%"
"11/28/2022","234.35","238.10","238.60","232.82","1.07M","-2.10%"
"11/25/2022","239.37","238.97","241.23","237.41","385.13K","0.88%"
"11/23/2022","237.28","235.37","238.24","234.23","973.53K","1.08%"
"11/22/2022","234.74","231.48","235.72","230.83","1.54M","2.51%"
"11/21/2022","228.99","228.45","231.74","227.59","1.43M","-0.47%"
"11/18/2022","230.08","230.83","233.16","228.57","1.09M","1.22%"
"11/17/2022","227.30","227.34","228.78","224.84","1.27M","-1.60%"
"11/16/2022","231.00","227.75","233.34","226.52","2.01M","0.85%"
"11/15/2022","229.05","224.85","229.05","224.00","1.57M","2.89%"
"11/14/2022","222.62","224.68","226.78","222.62","1.22M","-0.65%"
"11/11/2022","224.08","222.47","224.73","219.74","1.33M","0.71%"
"11/10/2022","222.50","216.48","222.84","215.49","1.35M","6.45%"
"11/09/2022","209.01","210.01","213.68","207.54","1.22M","-1.26%"
"11/08/2022","211.67","213.80","215.18","209.58","1.23M","-1.20%"
"11/07/2022","214.24","212.78","215.72","210.95","1.22M","1.10%"
"11/04/2022","211.91","214.25","214.99","207.24","1.65M","-0.39%"
"11/03/2022","212.75","211.72","213.99","208.30","1.49M","-0.50%"
"11/02/2022","213.82","219.22","221.41","213.68","1.29M","-3.31%"
"11/01/2022","221.13","218.92","222.14","216.66","1.08M","1.68%"
"10/31/2022","217.47","221.00","223.28","217.22","1.41M","-2.77%"
"10/28/2022","223.66","218.00","224.55","216.00","1.39M","2.70%"
"10/27/2022","217.77","218.96","222.48","217.47","1.64M","0.13%"
"10/26/2022","217.48","216.41","223.71","216.41","1.48M","1.44%"
"10/25/2022","214.40","210.36","220.14","209.59","2.33M","1.92%"
"10/24/2022","210.36","198.79","210.85","198.02","3.20M","6.97%"
"10/21/2022","196.66","183.58","198.08","178.32","6.29M","-5.73%"
"10/20/2022","208.61","209.68","213.91","207.42","2.47M","-0.28%"
"10/19/2022","209.19","208.90","209.83","206.95","1.01M","-0.40%"
"10/18/2022","210.02","212.36","213.53","208.71","1.46M","1.80%"
"10/17/2022","206.31","204.79","208.34","203.96","962.85K","2.40%"
"10/14/2022","201.47","208.24","208.58","200.72","1.12M","-2.20%"
"10/13/2022","206.00","197.00","207.78","195.24","1.31M","2.75%"
"10/12/2022","200.49","202.73","203.59","200.30","1.14M","-1.09%"
"10/11/2022","202.69","199.05","205.46","197.96","1.73M","1.81%"
"10/10/2022","199.09","201.33","202.89","198.05","1.10M","-0.68%"
"10/07/2022","200.46","199.83","200.74","195.97","1.30M","-0.53%"
"10/06/2022","201.53","201.83","205.00","200.39","1.12M","-0.50%"
"10/05/2022","202.54","200.69","203.76","198.51","1.28M","-0.67%"
"10/04/2022","203.90","196.74","204.27","196.60","1.81M","5.51%"
"10/03/2022","193.26","187.13","194.91","184.97","1.53M","5.15%"
"09/30/2022","183.79","188.44","189.02","183.61","1.33M","-2.07%"
"09/29/2022","187.68","187.63","189.03","183.44","1.13M","-1.19%"
"09/28/2022","189.94","186.06","190.93","184.61","1.72M","3.05%"
"09/27/2022","184.31","189.34","191.65","183.79","1.62M","-1.56%"
"09/26/2022","187.24","190.90","192.82","185.15","1.39M","-2.22%"
"09/23/2022","191.50","191.82","192.22","187.70","1.30M","-1.32%"
"09/22/2022","194.06","198.10","198.10","193.55","1.07M","-2.40%"
"09/21/2022","198.84","203.68","206.05","198.75","897.98K","-1.45%"
"09/20/2022","201.76","206.43","207.21","200.77","1.28M","-3.18%"
"09/19/2022","208.39","206.39","208.49","204.64","1.04M","-0.61%"
