"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","74.77","72.53","75.62","72.40","2.94M","0.46%"
"02/02/2023","74.43","75.74","75.74","73.53","3.03M","-2.10%"
"02/01/2023","76.03","76.83","77.41","75.39","2.52M","-2.04%"
"01/31/2023","77.61","76.65","77.66","76.05","1.58M","1.38%"
"01/30/2023","76.55","76.51","77.34","76.25","1.02M","-0.10%"
"01/27/2023","76.63","77.58","77.61","76.25","1.27M","-1.35%"
"01/26/2023","77.68","77.30","77.79","77.19","937.38K","0.77%"
"01/25/2023","77.09","76.14","77.32","76.14","1.10M","0.92%"
"01/24/2023","76.39","76.39","76.79","75.37","1.27M","0.35%"
"01/23/2023","76.12","75.02","76.53","74.87","1.62M","1.43%"
"01/20/2023","75.05","74.44","75.09","73.45","1.45M","1.00%"
"01/19/2023","74.31","74.69","74.93","73.44","2.09M","-1.07%"
"01/18/2023","75.11","75.65","76.45","74.96","1.48M","-1.12%"
"01/17/2023","75.96","76.50","76.71","74.93","2.38M","-0.94%"
"01/13/2023","76.68","75.72","76.88","75.51","1.13M","0.56%"
"01/12/2023","76.25","76.14","76.75","75.73","1.45M","0.36%"
"01/11/2023","75.98","76.11","76.43","75.56","1.78M","-0.29%"
"01/10/2023","76.20","76.68","77.04","75.24","1.77M","-0.85%"
"01/09/2023","76.85","78.34","78.57","76.70","2.12M","-2.60%"
"01/06/2023","78.90","77.62","79.44","77.62","1.88M","2.36%"
"01/05/2023","77.08","76.71","77.26","75.83","1.84M","0.34%"
"01/04/2023","76.82","75.84","77.01","75.72","1.52M","1.95%"
"01/03/2023","75.35","75.69","75.76","74.70","1.42M","-0.63%"
"12/30/2022","75.83","75.86","76.25","75.44","820.10K","-0.72%"
"12/29/2022","76.38","75.87","76.60","75.63","787.57K","0.92%"
"12/28/2022","75.68","76.97","76.97","75.65","754.93K","-1.21%"
"12/27/2022","76.61","76.44","76.93","76.04","955.06K","0.63%"
"12/23/2022","76.13","75.48","76.37","75.26","853.11K","0.99%"
"12/22/2022","75.38","75.72","75.97","74.29","1.13M","-0.84%"
"12/21/2022","76.02","75.61","76.35","75.50","1.21M","1.56%"
"12/20/2022","74.85","74.11","75.33","74.01","1.36M","1.62%"
"12/19/2022","73.66","74.14","75.03","72.93","1.35M","-0.74%"
"12/16/2022","74.21","73.19","74.42","72.88","4.11M","0.35%"
